OCCUPATION,VALUE,SOURCE,_id,UNIT,YEAR
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),18803,สำนักงานสถิติแห่งชาติ,89,คน,2567
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,20577,สำนักงานสถิติแห่งชาติ,90,คน,2567
ช่างไฟฟ้าและอิเล็กทรอนิกส์,14382,สำนักงานสถิติแห่งชาติ,91,คน,2567
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,52087,สำนักงานสถิติแห่งชาติ,92,คน,2567
ผู้ปฏิบัติงานด้านการประกอบ,55986,สำนักงานสถิติแห่งชาติ,93,คน,2567
ช่างถ่ายภาพ,16725,สำนักงานสถิติแห่งชาติ,94,คน,2567
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",31616,สำนักงานสถิติแห่งชาติ,95,คน,2567
รวม,794498,สำนักงานสถิติแห่งชาติ,96,คน,2567
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",42967,สำนักงานสถิติแห่งชาติ,97,คน,2568
ผู้ประกอบวิชาชีพด้านสุขภาพ,17815,สำนักงานสถิติแห่งชาติ,98,คน,2568
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,15555,สำนักงานสถิติแห่งชาติ,99,คน,2568
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,58449,สำนักงานสถิติแห่งชาติ,100,คน,2568
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),41768,สำนักงานสถิติแห่งชาติ,101,คน,2568
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,22792,สำนักงานสถิติแห่งชาติ,102,คน,2568
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,353140,สำนักงานสถิติแห่งชาติ,103,คน,2568
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,10140,สำนักงานสถิติแห่งชาติ,104,คน,2568
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),21577,สำนักงานสถิติแห่งชาติ,105,คน,2568
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,18857,สำนักงานสถิติแห่งชาติ,106,คน,2568
ช่างไฟฟ้าและอิเล็กทรอนิกส์,14915,สำนักงานสถิติแห่งชาติ,107,คน,2568
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,60603,สำนักงานสถิติแห่งชาติ,108,คน,2568
ผู้ปฏิบัติงานด้านการประกอบ,53183,สำนักงานสถิติแห่งชาติ,109,คน,2568
ช่างถ่ายภาพ,11790,สำนักงานสถิติแห่งชาติ,110,คน,2568
