สาขา,วันเริ่ม,จังหวัด,วันสิ้นสุด,สถานที่ฝึก,_id,ยุทธศาสตร์,ชั่วโมง(รวม),รุ่นที่,กิจกรรม,รายการ,ตำบล,อำเภอ,ปีงบประมาณ,โครงการ
การประกอบอาหารไทยประยุกต์,2568-12-05T00:00:00,สุรินทร์,2568-05-16T00:00:00,โฮมสเตย์บุญเหลือ 62 หมู่ที่ 14 ต.กระโพ อ.ท่าตูม จ.สุรินทร์,54,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,5,พัฒนาทักษะแรงงานรองรับนโยบาย Soft Power,ฝึกอบรมทักษะฝีมือ หลักสูตรระยะสั้น 30 ชั่วโมง,กระโพ,ท่าตูม,2568,โครงการพัฒนาทักษะแรงงงานรองรับนโยบาย Soft Power
การเชื่อมอาร์กโลหะด้วยมือ ระดับ 1,2568-05-13T00:00:00,สุรินทร์,2568-05-17T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,55,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ยกระดับแรงงานไทยให้ได้มาตรฐานฝีมือแรงงานเพื่อรองรับการแข่งขัน,พัฒนาศักยภาพแรงงานเพื่อรองรับการจ่ายค่าจ้างตามมาตรฐานฝีมือ,บ้านชบ,สังขะ,2568,โครงการพัฒนาศักยภาพแรงงานเพื่อรองรับการจ่ายค่าจ้างตามมาตรฐานฝีมือแรงงาน
PLC ระดับ 1,2568-05-19T00:00:00,สุรินทร์,2568-05-23T00:00:00,ภายในพื้นที่จังหวัดสุรินทร์,56,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,,,2568,โครงการพลิกโฉมผลิตภาพแรงงานไทย
การใช้เทคโนโลยีเพื่อจัดการน้ำสำหรับโรงเรือนเกษตรอัจฉริยะ,2568-05-19T00:00:00,สุรินทร์,2568-05-21T00:00:00,ศาลาประชาคม กลุ่มอังกัญรุ่งเรือง ม.6 ต.ท่าสว่าง อ.เมืองสุรินทร์ จ.สุรินทร์,57,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,18,1,พัฒนาศักยภาพแรงงานและผู้ประกอบการรองรับเศรษฐกิจ BCG,พัฒนาศักยภาพแรงงานเกษตรอัจฉริยะรองรับโมเดลเศรษฐกิจ BCG,ท่าสว่าง,เมืองสุรินทร์,2568,โครงการพลิกโฉมผลิตภาพแรงงานไทย
การใช้สมาร์ทโฟนเพื่อธุรกิจออนไลน์,2568-05-20T00:00:00,สุรินทร์,2568-05-24T00:00:00,องค์การบริหารส่วนตำบลศรีสุข หมู่ 1 ต.ศรีสุข อ.ศรีณรงค์ จ.สุรินทร์,58,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,2,พัฒนาฝีมือแรงงานสตรีเพื่อยกระดับศักยภาพวัยแรงงาน,พัฒนาฝีมือแรงงานสตรีเพื่อยกระดับศักยภาพวัยแรงงาน,ศรีสุข,ศรีณรงค์,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การจักสานผลิตภัณฑ์จากวัสดุธรรมชาติ,2568-05-22T00:00:00,,2568-05-26T00:00:00,ศาลาจามจุรีโรงเรียนผู้สูงวัยสุขใจวัยละออ ม.1 ต.สังขะ อ.สังขะ,59,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ฝึกอบรมแรงงานผู้สูงอายุเพื่อเพิ่มโอกาสในการประกอบอาชีพ,ฝึกอบรมแรงงานผู้สูงอายุเพื่อเพิ่มโอกาสในการประกอบอาชีพ,สังขะ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การใช้ Microsoft AI Skills for Everyone,2568-05-22T00:00:00,สุรินทร์,2568-05-22T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,60,บูรณาการหน่วยงานภาครัฐและเอกชน,3,6,โครงการบูรณาการความร่วมมือกับบริษัท ไมโครซอฟท์ (ประเทศไทย) จำกัด,หลักสูตรการใช้ Microsoft AI for Everyone ,บ้านชบ,สังขะ,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
การใช้เทคโนโลยีเพื่อจัดการน้ำสำหรับโรงเรือนเกษตรอัจฉริยะ,2568-05-22T00:00:00,,2568-05-24T00:00:00,ศาลาประชาคม บ้านระโยง ม.10 ต.ท่าสว่าง อ.เมืองสุรินทร์,61,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,18,2,พัฒนาศักยภาพแรงงานและผู้ประกอบการรองรับเศรษฐกิจ BCG,พัฒนาศักยภาพแรงงานเกษตรอัจฉริยะรองรับโมเดลเศรษฐกิจ BCG,ท่าสว่าง,เมืองสุรินทร์,2568,โครงการพลิกโฉมผลิตภาพแรงงานไทย
การแต่งผมชายสไตล์วินเทจ,2568-05-26T00:00:00,สุรินทร์,2568-05-30T00:00:00,อาคารฝึกอบรมองค์การบริหารส่วนตำบลโคกสะอาด อำเภอปราสาท จังหวัดสุรินทร์,62,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,9,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,โคกสะอาด,ปราสาท,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การสานเปลญวน,2568-05-27T00:00:00,สุรินทร์,2568-05-29T00:00:00,องค์การบริหารส่วนตำบลตาเบา อ.ปราสาท จ.สุรินทร์,63,ด้านการพัฒนาคนตลอดช่วงชีวิต,18,1,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,ตาเบา,ปราสาท,2568,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน
การติดตั้งและบำรุงรักษาระบบเซลล์แสงอาทิตย์,2568-02-06T00:00:00,สุรินทร์,2568-06-06T00:00:00,ศาลาประชาคมบ้านตรวจ ม.1 ต.ศรีณรงค์ อ.ศรีณรงค์ จ.สุรินทร์,64,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,10,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,ศรีณรงค์,ศรีณรงค์,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ภาษาอังกฤษเพื่อการทำงาน,2568-02-06T00:00:00,สุรินทร์,2568-06-23T00:00:00,บริษัท เอชบีไอแมนูแฟคเจอริ่งประเทศไทย จำกัด ต.เชื้อเพลิง อ.ปราสาท จ.สุรินทร์,65,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,10,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,เชื้อเพลิง,ปราสาท,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
ภาษาอังกฤษเพื่อการสื่อสาร,2568-06-06T00:00:00,สุรินทร์,2568-06-15T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 2 ตำบลนอกเมือง อำเภอเมือง จังหวัดสุรินทร์,66,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,8,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,นอกเมือง,เมือง,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การทำเบเกอรี่,2568-09-06T00:00:00,สุรินทร์,2568-06-13T00:00:00,ชมรมผู้ปกครองบุคคลออทิสติกจังหวัดสุรินทร์ ต.ชุมแสง อ.จอมพระ จ.สุรินทร์,67,ด้านการพัฒนาคนตลอดช่วงชีวิต,30,2,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,ชุมแสง,จอมพระ,2568,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน
การทำขนมฟิวชั่น,2568-06-14T00:00:00,สุรินทร์,2568-06-18T00:00:00,ชมรมผู้ปกครองบุคคลออทิสติกจังหวัดสุรินทร์ ต.ชุมแสง อ.จอมพระ จ.สุรินทร์,68,ด้านการพัฒนาคนตลอดช่วงชีวิต,30,3,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,ชุมแสง,จอมพระ,2568,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน
การติดตั้งและบำรุงรักษาระบบเซลล์แสงอาทิตย์,2568-06-16T00:00:00,สุรินทร์,2568-06-20T00:00:00,ศาลาประชาคมบ้านหนองพุก ม.14 ต.หนองบัว อ.ศีขรภูมิ จ.สุรินทร์,69,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,11,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,หนองบัว,ศีขรภูมิ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การถนอมอาหาร,2568-06-16T00:00:00,สุรินทร์,2568-06-20T00:00:00,ศาลาประชาคมบ้านหนองกะทม ม.15 ต.นาบัว อ.เมืองสุรินทร์ จ.สุรินทร์,70,ด้านการพัฒนาคนตลอดช่วงชีวิต,30,4,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน,นาบัว,เมืองสุรินทร์,2568,โครงการส่งเสริมและพัฒนาทักษะอาชีพคนพิการและผู้ดูแลคนพิการสู่ความยั่งยืน
การใช้สมาร์ทโฟนเพื่อธุรกิจออนไลน์,2568-06-16T00:00:00,สุรินทร์,2568-06-20T00:00:00,ห้องประชุมโรงพยาบาลส่งเสริมสุขภาพตำบลหนองแวง ม.4 ต.หนองแวง อ.ศรีณรงค์ จ.สุรินทร์,71,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,12,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,หนองแวง,ศรีณรงค์,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ภาษาอังกฤษสำหรับพนักงานบริการ,2568-06-16T00:00:00,สุรินทร์,2568-06-20T00:00:00,บริษัท เดอะวัน ซุปเปอร์เซ็นเตอร์ จำกัด ต.กังแอน อ.ปราสาท จ.สุรินทร์,72,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,9,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,กังแอน,ปราสาท,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การเชื่อมประกอบผลิตภัณฑ์,2568-06-18T00:00:00,สุรินทร์,2568-06-22T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 2 ตำบลนอกเมือง อำเภอเมือง จังหวัดสุรินทร์,73,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,14,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,นอกเมือง,เมือง,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การใช้โปรแกรม Microsoft Excel,2568-06-21T00:00:00,สุรินทร์,2568-06-29T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์ อ.เมือง จ.สุรินทร์,74,บูรณาการหน่วยงานภาครัฐและเอกชน,32,9,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,เมือง,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
การทำเบเกอรี่,2568-06-23T00:00:00,สุุรินทร์,2568-06-27T00:00:00,ห้องประชุมศูนย์ฝึกและพัฒนาอาชีพราษฎรไทยบริเวณชายแดนสุรินทร์ ต.กาบเชิง อ.กาบเชิง จ.สุุรินทร์,75,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,พัฒนาทักษะและส่งเสริมอาชีพเพื่อสร้างความมั่นคงทางเศรษฐกิจของประชาชน,การฝึกอบรมตามโครงการอันเนื่องมาจากพระราชดำริ,กาบเชิง,กาบเชิง,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การใช้สมาร์ทโฟนเพื่อธุรกิจออนไลน์,2568-06-23T00:00:00,สุรินทร์,2568-06-27T00:00:00,ห้องประชุมองค์การบริหารส่วนตำบลแจนแวน ม.4 ต.แจนแวน อ.ศรีณรงค์ จ.สุรินทร์,76,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,15,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,แจนแวน,ศรีณรงค์,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การติดตั้งและบำรุงรักษาระบบเซลล์แสงอาทิตย์,2568-06-26T00:00:00,สุรินทร์,2568-06-30T00:00:00,ศาลาประชาคมบ้านอังกัญ ม.4 ต.บุฤาษี อ.เมือง จ.สุรินทร์,77,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,13,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,พัฒนาทักษะแรงงานนอกระบบให้สอดคล้องกับความสามารถเฉพาะบุคคลเพื่อการประกอบอาชีพ,บุฤาษี,เมือง,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ผู้ฝึกสอนมวยไทย ระดับ 1,2568-03-07T00:00:00,สุรินทร์,2568-06-07T00:00:00,ค่ายมวยครูวอร์มมวยไทย อาคารธนารัตน์ปัทมา ชั้น 4 ถนนจิตรบำรุง ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์,78,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,6,พัฒนาทักษะแรงงานรองรับนโยบาย Soft Power,ฝึกอบรมทักษะฝีมือ หลักสูตรระยะสั้น 30 ชั่วโมง,ในเมือง,เมืองสุรินทร์,2568,โครงการพัฒนาทักษะแรงงงานรองรับนโยบาย Soft Power
ภาษาอังกฤษเพื่อการทำงาน,2568-03-07T00:00:00,สุรินทร์,2568-07-19T00:00:00,บริษัท เอชบีไอแมนูแฟคเจอริ่งประเทศไทย จำกัด ตำบลเชื้อเพลิง อำเภอปราสาท จังหวัดสุรินทร์,79,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,11,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,เชื้อเพลิง,ปราสาท,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การติดตั้งและการประยุกต์ใช้โซล่าเซลล์,2568-07-07T00:00:00,สุรินทร์,2568-11-07T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 1 ต.บ้านชบ อ.สังขะ จ.สุรินทร์,80,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ฝึกอบรมแรงงานกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ,ผู้ผ่านการบำบัดยาเสพติด,บ้านชบ,สังขะ,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
การบำรุงรักษาเครื่องปรับอากาศขนาดเล็ก,2568-07-14T00:00:00,สุรินทร์,2568-07-18T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 2 ตำบลนอกเมือง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์,81,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,1,ฝึกอบรมแรงงานกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ,ทหารเกณฑ์ก่อนปลดประจำการ,นอกเมือง,เมืองสุรินทร์,2568,โครงการเพิ่มทักษะแรงงานอิสระและกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ
ภาษากัมพูชาเพื่อการบริการในธุรกิจโรงพยาบาล,2568-07-16T00:00:00,สุรินทร์,2568-08-08T00:00:00,โรงพยาบาลรวมแพทย์ (หมออนันต์) ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์,82,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,12,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ยกระดับสมรรถนะแรงงานด้านทักษะภาษาต่างประเทศ,ในเมือง,เมืองสุรินทร์,2568,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ
การใช้โปรแกรม Microsoft Excel,2568-07-19T00:00:00,สุรินทร์,2568-07-27T00:00:00,สถาบันการอาชีวศึกษาภาคตะวันออกเฉียงเหนือ 5 วิทยาลัยอาชีวศึกษาสุรินทร์ อ.เมืองสุรินทร์ จ.สุรินทร์,83,บูรณาการหน่วยงานภาครัฐและเอกชน,32,10,โครงการบูรณาการภาครัฐและเอกชน,โครงการบูรณาการภาครัฐและเอกชน,,เมืองสุรินทร์,2568,บูรณาการหน่วยงานภาครัฐและเอกชน
เทคนิคการสอนงาน,2568-07-21T00:00:00,สุรินทร์,2568-07-25T00:00:00,สำนักงานพัฒนาฝีมือแรงงานสุรินทร์ แห่งที่ 2 ตำบลนอกเมือง อำเภอเมืองสุรินทร์ จังหวัดสุรินทร์,84,ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,30,5,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,ยกระดับเพื่อเพิ่มศักยภาพฝีมือและสมรรถนะแรงงานรองรับการเปลี่ยนแปลงเทคโนโลยี,นอกเมือง,เมืองสุรินทร์,2568,โครงการพลิกโฉมผลิตภาพแรงงานไทย
