ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
16,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,24,2566,การเผาถ่านจากไม้,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,25,2566,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
13,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,26,2566,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
224,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,27,2566,การผลิตวัตถุที่รับรองไว้ในตำรายาที่รัฐมนตรีว่าการกระทรวงสาธารณสุขประกาศ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
86,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,28,2566,การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
126,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,29,2566,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
16,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,30,2566,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
12,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,31,2566,การล้าง บด หรือย่อยพลาสติก,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
12,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,32,2566,โรงงานผลิตแก้ว เส้นใยแก้ว หรือผลิตภัณฑ์แก้ว,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
52,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,33,2566,โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
725,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,34,2566,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
31,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,35,2566,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
25,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,36,2566,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
12,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,37,2566,การทำผลิตภัณฑ์ด้วยวิธีปั๊มหรือกระแทก,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,38,2566,การอัดเศษโลหะ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
8,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,39,2566,การตัด พับ หรือม้วนโลหะ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
14,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,40,2566,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
9,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,41,2566,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรมหรือการเลี้ยงสัตว์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
707,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,42,2566,โรงงานผลิต ประกอบหรือดัดแปลง เครื่องมือหรือเครื่องใช้ไฟฟ้าที่ไม่ได้ระบุไว้ในลำดับใด และส่วนประกอบ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
59,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,43,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
110,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,44,2566,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
40,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,45,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพจักรยานยนต์ จักรยานสามล้อ หรือจักรยาน,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
12,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,46,2566,การผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
0,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,47,2566,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
6,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,48,2566,โรงงานผลิตก๊าซ ซึ่งมิใช่ก๊าซธรรมชาติ และโรงงานส่งหรือจำหน่ายก๊าซ แต่ไม่รวมถึงโรงงานส่งหรือจำหน่ายก๊าซที่เป็นน้ำมันเชื้อเพลิงตามกฎหมายว่าด้วยการควบคุมน้ำม้นเชื้อเพลิง,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
26,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,49,2566,โรงงานห้องเย็น,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
344,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,50,2566,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
20,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,51,2566,การพ่นสีกันสนิมยานที่ขับเคลื่อนด้วยเครื่องยนต์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
46,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,52,2566,โรงงานซักรีด ซักแห้ง ซักฟอก รีด อัด หรือย้อมผ้า หรือนุ่งห่ม พรม หรือขนสัตว์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,53,2566,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
71,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,54,2566,การทำเกลือสินเธาว์,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
27,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,55,2566,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
10,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,56,2566,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,คนงานของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,คน
