เนื้อที่เพาะปลูก,_id,ปี,หน่วยนับ,อำเภอ,รายการ
35699.75,66,2564/65,ไร่,   เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปรัง
3258,67,2564/65,ไร่,   ตาคลี,เนื้อที่เพาะปลูกข้าวนาปรัง
156917.32,68,2564/65,ไร่,   ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปรัง
118,69,2564/65,ไร่,   ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปรัง
36623.91,70,2564/65,ไร่,   พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปรัง
5401.5,71,2564/65,ไร่,   ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปรัง
26.25,72,2564/65,ไร่,   ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปรัง
865.75,73,2564/65,ไร่,   แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปรัง
6,74,2564/65,ไร่,   แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปรัง
3646.5,75,2564/65,ไร่,   ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปรัง
14445.92,76,2565/2566,ไร่,   เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปรัง
16624.5,77,2565/2566,ไร่,   โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปรัง
124751.83,78,2565/2566,ไร่,   ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปรัง
903.22,79,2565/2566,ไร่,   หนองบัว,เนื้อที่เพาะปลูกข้าวนาปรัง
21246.98,80,2565/2566,ไร่,   บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปรัง
12738.35,81,2565/2566,ไร่,   เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปรัง
16836.4,82,2565/2566,ไร่,   ตาคลี,เนื้อที่เพาะปลูกข้าวนาปรัง
137598.26,83,2565/2566,ไร่,   ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปรัง
37,84,2565/2566,ไร่,   ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปรัง
23396.01,85,2565/2566,ไร่,   พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปรัง
2375.19,86,2565/2566,ไร่,   ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปรัง
0,87,2565/2566,ไร่,   ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปรัง
1138,88,2565/2566,ไร่,   แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปรัง
0,89,2565/2566,ไร่,   แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปรัง
2881.5,90,2565/2566,ไร่,   ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปรัง
39258,91,2566/2567,ไร่,   เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปรัง
13984,92,2566/2567,ไร่,   โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปรัง
143460,93,2566/2567,ไร่,   ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปรัง
2110,94,2566/2567,ไร่,   หนองบัว,เนื้อที่เพาะปลูกข้าวนาปรัง
163313,95,2566/2567,ไร่,   บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปรัง
20987,96,2566/2567,ไร่,   เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปรัง
24805,97,2566/2567,ไร่,   ตาคลี,เนื้อที่เพาะปลูกข้าวนาปรัง
134597,98,2566/2567,ไร่,   ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปรัง
0,99,2566/2567,ไร่,   ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปรัง
60747,100,2566/2567,ไร่,   พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปรัง
7615,101,2566/2567,ไร่,   ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปรัง
0,102,2566/2567,ไร่,   ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปรัง
4196.75,103,2566/2567,ไร่,   แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปรัง
0,104,2566/2567,ไร่,   แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปรัง
1260,105,2566/2567,ไร่,   ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปรัง
8670,106,2567/2568,ไร่,   เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวนาปรัง
4134,107,2567/2568,ไร่,   โกรกพระ,เนื้อที่เพาะปลูกข้าวนาปรัง
60600,108,2567/2568,ไร่,   ชุมแสง,เนื้อที่เพาะปลูกข้าวนาปรัง
0,109,2567/2568,ไร่,   หนองบัว,เนื้อที่เพาะปลูกข้าวนาปรัง
34065,110,2567/2568,ไร่,   บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวนาปรัง
64543,111,2567/2568,ไร่,   เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวนาปรัง
0,112,2567/2568,ไร่,   ตาคลี,เนื้อที่เพาะปลูกข้าวนาปรัง
23115,113,2567/2568,ไร่,   ท่าตะโก,เนื้อที่เพาะปลูกข้าวนาปรัง
0,114,2567/2568,ไร่,   ไพศาลี,เนื้อที่เพาะปลูกข้าวนาปรัง
52143,115,2567/2568,ไร่,   พยุหะคีรี,เนื้อที่เพาะปลูกข้าวนาปรัง
1144.75,116,2567/2568,ไร่,   ลาดยาว,เนื้อที่เพาะปลูกข้าวนาปรัง
0,117,2567/2568,ไร่,   ตากฟ้า,เนื้อที่เพาะปลูกข้าวนาปรัง
4326.75,118,2567/2568,ไร่,   แม่วงก์,เนื้อที่เพาะปลูกข้าวนาปรัง
0,119,2567/2568,ไร่,   แม่เปิน,เนื้อที่เพาะปลูกข้าวนาปรัง
528,120,2567/2568,ไร่,   ชุมตาบง,เนื้อที่เพาะปลูกข้าวนาปรัง
