ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
"1,056",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,37,2562,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
223,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,38,2562,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
74,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,39,2562,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
419,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,40,2562,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
750,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,41,2562,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
290,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,42,2562,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
377,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,43,2563,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,084",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,44,2563,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
231,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,45,2563,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
75,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,46,2563,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
423,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,47,2563,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
777,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,48,2563,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
297,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,49,2563,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
375,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,50,2564,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,109",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,51,2564,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
233,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,52,2564,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
75,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,53,2564,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
442,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,54,2564,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
802,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,55,2564,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
302,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,56,2564,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
376,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,57,2565,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,139",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,58,2565,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
238,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,59,2565,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
75,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,60,2565,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
454,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,61,2565,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
813,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,62,2565,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
303,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,63,2565,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
375,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,64,2566,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,164",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,65,2566,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
242,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,66,2566,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
74,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,67,2566,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
467,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,68,2566,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
830,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,69,2566,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
308,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,70,2566,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
375,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,71,2567,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,174",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,72,2567,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
239,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,73,2567,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
73,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,74,2567,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
469,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,75,2567,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
743,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,76,2567,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
305,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,77,2567,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
383,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,78,2568,อำเภอเมืองปทุมธานี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
"1,228",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,79,2568,อำเภอคลองหลวง,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
238,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,80,2568,อำเภอธัญบุรี,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
77,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,81,2568,อำเภอหนองเสือ,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
488,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,82,2568,อำเภอลาดหลุมแก้ว,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
886,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,83,2568,อำเภอลำลูกกา,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
311,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,84,2568,อำเภอสามโคก,จำนวนโรงงานอุตสาหกรรม,ปทุมธานี,แห่ง
