ที่มา,ชนิดพืช,_id,ปี,ผลผลิตเฉลี่ย,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,27,2563," 2,805.26 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,28,2563," 1,300.50 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,29,2563, 386.84 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,30,2563," 2,716.50 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,31,2563," 3,890.81 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,32,2563, 406.91 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,33,2563, 340.11 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,34,2564," 1,858.38 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,35,2564," 2,594.70 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,36,2564," 2,528.97 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,37,2564," 1,987.25 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,38,2564," 2,208.55 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,39,2564, 499.43 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,40,2564, 265.81 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,41,2564," 2,228.29 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,42,2564," 3,160.60 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,43,2564, 521.08 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,44,2564, 386.25 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,45,2565," 1,261.69 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,46,2565," 2,981.91 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,47,2565," 2,841.39 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,48,2565," 1,266.18 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,49,2565," 3,545.15 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,50,2565, 667.25 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,51,2565, 285.32 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,52,2565," 1,156.54 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,53,2565," 2,126.03 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,54,2565, 803.55 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,55,2565, 289.80 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,56,2566, 842.12 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,57,2566," 2,337.71 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,58,2566," 1,856.36 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,59,2566, 961.67 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,60,2566," 1,574.64 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,61,2566, 714.38 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,62,2566, 310.20 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,63,2566, 558.18 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,64,2566, 631.83 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,65,2566, 174.62 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,66,2566, 262.79 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,67,2567," 1,055.41 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,68,2567," 2,702.84 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,69,2567," 2,413.31 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,70,2567," 1,044.48 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,71,2567," 7,769.15 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,72,2567," 2,638.39 ", กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,73,2567, 152.75 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,74,2567, 536.85 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,75,2567, 316.70 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,76,2567, 65.52 , กิโลกรัมต่อไร่ 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,77,2567," 1,390.97 ", กิโลกรัมต่อไร่ 
