เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,ผู้ประกอบการ
"2,800,000",46,46,-,ทำมันเส้น,หินตั้ง,บ้านไผ่,นายสมยศ ภควัตศิตานนท์
"7,330,000",47,47,สหกรณ์การเกษตรหนองหวาย จำกัด,สีข้าว,ท่ากระเสริม,น้ำพอง,สหกรณ์การเกษตรหนองหวาย จำกัด
"25,000,000",48,48,บริษัท โรงสีข้าว ป. ณัฐตพล จำกัด,สีข้าว ,เก่างิ้ว,พล,บริษัท โรงสีข้าว ป.ณัฐตพล จำกัด
"17,002,150",49,49,ชุมนุมสหกรณ์การเกษตรขอนแก่น จำกัด,โรงสีข้าว,โนนท่อน,เมืองขอนแก่น,ชุมนุมสหกรณ์การเกษตรขอนแก่น จำกัด
"40,000,000",50,50,บริษัท โรงสีข้าวกมลการเกษตร จำกัด,สีข้าว กำลังการผลิต 400 เกวียน/วัน และปรับปรุงคุณภาพข้าว,บ้านลาน,บ้านไผ่,บริษัท โรงสีข้าวกมลการเกษตร จำกัด
"11,000,000",51,51,บริษัท เกษตรสินโกลเด้นไรซ์ จำกัด,สีข้าวและปรับปรุงคุณภาพข้าว,โคกสำราญ,บ้านแฮด,บริษัท เกษตรสินโกลเด้นไรซ์ จำกัด
"37,350,000",52,52,โรงสีชุมชนสหกรณ์เครดิตยูเนี่ยนอำเภอหนองสองห้อง จำกัด,สีข้าว (กำลังสีสูงสุด 12 เกวียน/วัน),หนองไผ่ล้อม,หนองสองห้อง,สหกรณ์เครดิตยูเนี่ยนอำเภอหนองสองห้อง จำกัด
"11,600,000",53,53,บริษัท ข้าวบัวทิพย์ โปรดิวส์ จำกัด,สีข้าว,บึงเนียม,เมืองขอนแก่น,บริษัท ข้าวบัวทิพย์ โปรดิวส์ จำกัด
"70,000,000",54,54,ห้างหุ้นส่วนจำกัด โรงสีน้ำพองไฮ้พืชผล (2008),สีข้าว กำลังสีสูงสุด 100 ตัน/วัน,น้ำพอง,น้ำพอง,ห้างหุ้นส่วนจำกัด โรงสีน้ำพองไฮ้พืชผล (2000)
"13,200,000",55,55,ห้างหุ้นส่วนจำกัด โรงสีคูณทองพืชผล,ปรับปรุงคุณภาพข้าว,ทรายมูล,น้ำพอง,ห้างหุ้นส่วนจำกัด โรงสีคูณทองพืชผล
"22,500,000",56,56,สหกรณ์เครดิตยูเนี่ยนอำเภอหนองสองห้อง จำกัด,สีข้าว,หนองไผ่ล้อม,หนองสองห้อง,สหกรณ์เครดิตยูเนี่ยนอำเภอหนองสองห้อง จำกัด
"68,600,000",57,57,บริษัท โรงสีข้าวธีรวัฒน์เมืองพล จำกัด,สีข้าว กำลังการผลิต 150 เกวียน/วัน,เก่างิ้ว,พล,บริษัท โรงสีข้าวธีรวัฒน์เมืองพล จำกัด
"92,000,000",58,58,ห้างหุ้นส่วนจำกัด โรงสีคูณทองพืชผล,สีข้าว (กำลังการผลิต 250 เกวียน/วัน),ทรายมูล,น้ำพอง,ห้างหุ้นส่วนจำกัด โรงสีคูณทองพืชผล
"8,000,000",59,59,ห้างหุ้นส่วนจำกัด โรงสีศิริพรชัย,สีข้าว,เมืองพล,พล,ห้างหุ้นส่วนจำกัด โรงสีศิริพรชัย
"45,000,000",60,60,บริษัท โรงสีข้าว ป.ณัฐตพล จำกัด,สีข้าว,เก่างิ้ว,พล,บริษัท โรงสีข้าว ป.ณัฐตพล จำกัด
"700,000",61,61,บริษัท โรงสีข้าวกมลการเกษตร จำกัด,สีข้าว,บ้านลาน,บ้านไผ่,บริษัท โรงสีข้าวกมลการเกษตร จำกัด
"2,100,000",62,62,โรงสีข้าวถิรพงศ์พันธ์,สีข้าวเปลือก,หัวหนอง,บ้านไผ่,ห้างหุ้นส่วนจำกัด โรงสีข้าวถิรพงศ์พันธ์
"42,000,000",63,63,บริษัท โรงสีมีชัย จำกัด,สีข้าว (กำลังสีสูงสุด 400 เกวียน/วัน),หนองเสาเล้า,ชุมแพ,บริษัท โรงสีมีชัย จำกัด
"19,552,370",64,64,โรงงานปรับปรุงประสิทธิภาพและคุณภาพผลิตผลการเกษตร,ร่อน คัด แยกขนาด อบ เพื่อปรับปรุงคุณภาพเมล็ดพันธุ์พืช,ขัวเรียง,ชุมแพ,สหกรณ์การเกษตรชุมแพ จำกัด
"1,150,000",65,65,ห้างหุ้นส่วนจำกัด ญาณมารี,บดกากข้าวมอลท์,หินตั้ง,บ้านไผ่,ห้างหุ้นส่วนจำกัด ญาณมารี
"30,000,000",66,66,บริษัท โชคประเสริฐอาหารสัตว์ จำกัด,ผลิตอาหารสัตว์สำเร็จรูปชนิดผสมและชนิดเม็ด,คำม่วง,เขาสวนกวาง,บริษัท โชคประเสริฐอาหารสัตว์ จำกัด
"11,000,000",67,67,บริษัท บุญทัน ฟูดส์ (ประเทศไทย) จำกัด,ผลิตขนมมันสำปะหลังทอดกรอบ (ตรามันไฟว์),แคนเหนือ,บ้านไผ่,บริษัท บุญทัน ฟูดส์ (ประเทศไทย) จำกัด
"55,300,000",68,68,บริษัท ข้าวบัวทิพย์ โปรดิวส์ จำกัด,ผลิตข้าวสำเร็จรูป      ,บึงเนียม,เมืองขอนแก่น,บริษัท ข้าวบัวทิพย์ โปรดิวส์ จำกัด
"7,900,000",69,69,สี่แยกป่าหวายนั่ง,ทำมันเส้น,เขาสวนกวาง,เขาสวนกวาง,นายปรีดา อิศรวิริยะกุล
"8,040,000",70,70,นางสาวธารทิพย์ พลสิทธิ์,ทำมันเส้น,บ้านค้อ,เมืองขอนแก่น,นางสาวธารทิพย์ พลสิทธิ์
"21,000,000",71,71,ลานวีระพันธ์พืชผล,ผลิตมันเส้น (มันสำปะหลัง),โนนสมบูรณ์,เขาสวนกวาง,นายวฤทธิ์พันธ์ ศรียอด
"3,575,000",72,72,ลานมันสวรรค์สร้าง,ทำมันเส้น,นาข่า,มัญจาคีรี,นายบุญธรรม สุดชา
"6,600,000",73,73,นพดลพืชผล,"ทำมันเส้น, ลานตากกากมันสำปะหลังหรือผลผลิตทางการเกษตรอื่น ๆ",บ้านลาน,บ้านไผ่,นายกฤติธี ปิยะพรมดี
"6,600,000",74,74,นพดลพืชผล,"ทำมันเส้น, ลานตากกากมันสำปะหลังหรือผลผลิตทางการเกษตรอื่น ๆ",บ้านลาน,บ้านไผ่,นายกฤติธี ปิยะพรมดี
"64,000,000",75,75,บริษัท ไทย แคซซาวา ชิพ จำกัด,อบมันเส้น,คำม่วง,เขาสวนกวาง,บริษัท ไทย แคซซาวา ชิพ จำกัด
"3,620,000",76,76,ห้างหุ้นส่วนจำกัด อื้องี่กี่,ทำมันเส้น,แคนเหนือ,บ้านไผ่,ห้างหุ้นส่วนจำกัด อื้องี่กี่
"4,300,000",77,77,ศิริพืชผล,ทำมันเส้น และลานตากมันสำปะหลัง,เขาสวนกวาง,เขาสวนกวาง,นายเจรียณ ศิริโคจรสมบัติ
"23,500,000",78,78,โชคประเสริฐ,ผลิตมันเส้น (มันเส้นสะอาด),คำม่วง,เขาสวนกวาง,นายประเสริฐ โพธิ์ไพฑูรย์
"6,000,000",79,79,บริษัท รวมเจริญโภคภัณฑ์ จำกัด,ผลิตเต้าหู้บรรจุถุงพลาสติก,บ้านทุ่ม,เมืองขอนแก่น,บริษัท รวมเจริญโภคภัณฑ์ จำกัด
"1,200,000",80,80,เจงฮวด ฟู้ด โปรดัก,ผลิตเต้าหู้ยี้,บ้านค้อ,เมืองขอนแก่น,นายกิติโชค เบ็ญจพรเลิศ
"96,000,000",81,81,บริษัท มอนเดลีซ (ประเทศไทย) จำกัด,ผสมแป้งเค้ก,น้ำพอง,น้ำพอง,บริษัท มอนเดลีซ (ประเทศไทย) จำกัด
"3,384,655,354",82,,,,,,
,83,จำนวนโรงงานหมวดอุตสาหกรรมการเกษตร,,,,,จำนวนเงินลงทุนรวม
,84,81 โรงงาน,,ข้อมูล ณ วันที่ 12 กันยายน 2567,,,"3,384,655,354"
,85,,,,,,
,86,,เพิ่มขึ้นจำนวน 6 โรงงาน,,,,"เงินลงทุนเพิ่มขึ้น 51,154,207 บาท"
