ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,ชั่วโมงทำงาน/สัปดาห์
" 4,228 "," 3,938 ",38,2566," 3,716 "," 2,028 ",ชาย                         ,สระบุรี,10-19 ชั่วโมง
" 2,606 "," 1,003 ",39,2566," 4,634 "," 1,782 ",หญิง                        ,สระบุรี,10-19 ชั่วโมง
" 6,162 "," 43,563 ",40,2566," 13,202 "," 13,393 ",รวม,สระบุรี,20-29 ชั่วโมง
" 2,140 "," 26,013 ",41,2566," 4,518 "," 6,917 ",ชาย                         ,สระบุรี,20-29 ชั่วโมง
" 4,021 "," 17,550 ",42,2566," 8,684 "," 6,476 ",หญิง                        ,สระบุรี,20-29 ชั่วโมง
" 10,417 "," 33,868 ",43,2566," 25,748 "," 7,122 ",รวม,สระบุรี,30-34 ชั่วโมง
" 5,764 "," 16,881 ",44,2566," 13,307 "," 3,261 ",ชาย                         ,สระบุรี,30-34 ชั่วโมง
" 4,653 "," 16,987 ",45,2566," 12,442 "," 3,861 ",หญิง                        ,สระบุรี,30-34 ชั่วโมง
" 52,987 "," 53,456 ",46,2566," 51,269 "," 49,685 ",รวม,สระบุรี,35-39 ชั่วโมง
" 24,138 "," 26,738 ",47,2566," 25,774 "," 24,839 ",ชาย                         ,สระบุรี,35-39 ชั่วโมง
" 28,848 "," 26,718 ",48,2566," 25,494 "," 24,845 ",หญิง                        ,สระบุรี,35-39 ชั่วโมง
" 256,093 "," 211,262 ",49,2566," 244,258 "," 254,062 ",รวม,สระบุรี,40-49 ชั่วโมง
" 153,208 "," 118,422 ",50,2566," 142,993 "," 145,691 ",ชาย                         ,สระบุรี,40-49 ชั่วโมง
" 102,884 "," 92,841 ",51,2566," 101,265 "," 108,371 ",หญิง                        ,สระบุรี,40-49 ชั่วโมง
" 82,706 "," 64,709 ",52,2566," 73,845 "," 81,902 ",รวม,สระบุรี,50 ชั่วโมงขึ้นไป
" 43,315 "," 36,511 ",53,2566," 42,880 "," 50,930 ",ชาย                         ,สระบุรี,50 ชั่วโมงขึ้นไป
" 39,391 "," 28,199 ",54,2566," 30,965 "," 30,972 ",หญิง                        ,สระบุรี,50 ชั่วโมงขึ้นไป
