ที่มา,เกษตรกร (ครัวเรือน),ชนิดพืช,_id,ปีการผลิต,อำเภอ,พื้นที่ (ไร่)
สำนักงานเกษตรจังหวัดลพบุรี," 2,103 ",ข้าวนาปรัง,16,59/60,ท่าวุ้ง," 48,440 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,289 ",ข้าวนาปรัง,17,59/60,บ้านหมี่," 85,560 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,18,59/60,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 134 ,ข้าวนาปรัง,19,59/60,สระโบสถ์," 1,726 "
สำนักงานเกษตรจังหวัดลพบุรี, 5 ,ข้าวนาปรัง,20,59/60,โคกเจริญ, 54 
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,21,59/60,ลำสนธิ, 2 
สำนักงานเกษตรจังหวัดลพบุรี, 5 ,ข้าวนาปรัง,22,59/60,หนองม่วง, 67 
สำนักงานเกษตรจังหวัดลพบุรี, 550 ,ข้าวโพดเลี้ยงสัตว์,23,59/60,เมืองลพบุรี," 13,889 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,357 ",ข้าวโพดเลี้ยงสัตว์,24,59/60,พัฒนานิคม," 31,184 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,330 ",ข้าวโพดเลี้ยงสัตว์,25,59/60,โคกสำโรง," 35,047 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,985 ",ข้าวโพดเลี้ยงสัตว์,26,59/60,ชัยบาดาล," 43,177 "
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวโพดเลี้ยงสัตว์,27,59/60,ท่าวุ้ง, 14 
สำนักงานเกษตรจังหวัดลพบุรี, 427 ,ข้าวโพดเลี้ยงสัตว์,28,59/60,บ้านหมี่," 11,015 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,136 ",ข้าวโพดเลี้ยงสัตว์,29,59/60,ท่าหลวง," 26,087 "
สำนักงานเกษตรจังหวัดลพบุรี, 28 ,ข้าวโพดเลี้ยงสัตว์,30,59/60,สระโบสถ์, 459 
สำนักงานเกษตรจังหวัดลพบุรี, 283 ,ข้าวโพดเลี้ยงสัตว์,31,59/60,โคกเจริญ," 6,884 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,011 ",ข้าวโพดเลี้ยงสัตว์,32,59/60,ลำสนธิ," 19,417 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,233 ",ข้าวโพดเลี้ยงสัตว์,33,59/60,หนองม่วง," 32,542 "
สำนักงานเกษตรจังหวัดลพบุรี, 46 ,อ้อยโรงงาน,34,59/60,เมืองลพบุรี," 1,516 "
สำนักงานเกษตรจังหวัดลพบุรี, 482 ,อ้อยโรงงาน,35,59/60,พัฒนานิคม," 15,526 "
สำนักงานเกษตรจังหวัดลพบุรี, 529 ,อ้อยโรงงาน,36,59/60,โคกสำโรง," 13,432 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,363 ",อ้อยโรงงาน,37,59/60,ชัยบาดาล," 36,366 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,38,59/60,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 283 ,อ้อยโรงงาน,39,59/60,บ้านหมี่," 10,459 "
สำนักงานเกษตรจังหวัดลพบุรี, 606 ,อ้อยโรงงาน,40,59/60,ท่าหลวง," 17,980 "
สำนักงานเกษตรจังหวัดลพบุรี, 343 ,อ้อยโรงงาน,41,59/60,สระโบสถ์," 6,782 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,071 ",อ้อยโรงงาน,42,59/60,โคกเจริญ," 34,328 "
สำนักงานเกษตรจังหวัดลพบุรี, 627 ,อ้อยโรงงาน,43,59/60,ลำสนธิ," 11,699 "
สำนักงานเกษตรจังหวัดลพบุรี, 940 ,อ้อยโรงงาน,44,59/60,หนองม่วง," 35,074 "
สำนักงานเกษตรจังหวัดลพบุรี, 342 ,มันสำปะหลัง,45,59/60,เมืองลพบุรี," 10,787 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,245 ",มันสำปะหลัง,46,59/60,พัฒนานิคม," 22,948 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,055 ",มันสำปะหลัง,47,59/60,โคกสำโรง," 39,210 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,717 ",มันสำปะหลัง,48,59/60,ชัยบาดาล," 36,533 "
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,มันสำปะหลัง,49,59/60,ท่าวุ้ง, 14 
สำนักงานเกษตรจังหวัดลพบุรี, 372 ,มันสำปะหลัง,50,59/60,บ้านหมี่," 6,794 "
สำนักงานเกษตรจังหวัดลพบุรี, 895 ,มันสำปะหลัง,51,59/60,ท่าหลวง," 18,214 "
สำนักงานเกษตรจังหวัดลพบุรี, 750 ,มันสำปะหลัง,52,59/60,สระโบสถ์," 14,785 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,320 ",มันสำปะหลัง,53,59/60,โคกเจริญ," 26,050 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,043 ",มันสำปะหลัง,54,59/60,ลำสนธิ," 17,211 "
สำนักงานเกษตรจังหวัดลพบุรี, 711 ,มันสำปะหลัง,55,59/60,หนองม่วง," 12,727 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,392 ",ข้าวนาปี,56,60/61,เมืองลพบุรี," 115,889 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,748 ",ข้าวนาปี,57,60/61,พัฒนานิคม," 28,348 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,422 ",ข้าวนาปี,58,60/61,โคกสำโรง," 107,521 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,435 ",ข้าวนาปี,59,60/61,ชัยบาดาล," 16,406 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,995 ",ข้าวนาปี,60,60/61,ท่าวุ้ง," 90,687 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,172 ",ข้าวนาปี,61,60/61,บ้านหมี่," 197,684 "
สำนักงานเกษตรจังหวัดลพบุรี, 10 ,ข้าวนาปี,62,60/61,ท่าหลวง, 90 
สำนักงานเกษตรจังหวัดลพบุรี," 1,936 ",ข้าวนาปี,63,60/61,สระโบสถ์," 32,203 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,692 ",ข้าวนาปี,64,60/61,โคกเจริญ," 27,614 "
สำนักงานเกษตรจังหวัดลพบุรี, 854 ,ข้าวนาปี,65,60/61,ลำสนธิ," 7,151 "
สำนักงานเกษตรจังหวัดลพบุรี, 782 ,ข้าวนาปี,66,60/61,หนองม่วง," 12,442 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,346 ",ข้าวนาปรัง,67,60/61,เมืองลพบุรี," 71,450 "
สำนักงานเกษตรจังหวัดลพบุรี, 5 ,ข้าวนาปรัง,68,60/61,พัฒนานิคม, 113 
สำนักงานเกษตรจังหวัดลพบุรี, 76 ,ข้าวนาปรัง,69,60/61,โคกสำโรง," 1,890 "
สำนักงานเกษตรจังหวัดลพบุรี, 51 ,ข้าวนาปรัง,70,60/61,ชัยบาดาล, 909 
สำนักงานเกษตรจังหวัดลพบุรี," 3,208 ",ข้าวนาปรัง,71,60/61,ท่าวุ้ง," 67,358 "
สำนักงานเกษตรจังหวัดลพบุรี," 6,012 ",ข้าวนาปรัง,72,60/61,บ้านหมี่," 154,654 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,73,60/61,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 173 ,ข้าวนาปรัง,74,60/61,สระโบสถ์," 2,307 "
สำนักงานเกษตรจังหวัดลพบุรี, 2 ,ข้าวนาปรัง,75,60/61,โคกเจริญ, 11 
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,76,60/61,ลำสนธิ, 4 
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,77,60/61,หนองม่วง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 435 ,ข้าวโพดเลี้ยงสัตว์,78,60/61,เมืองลพบุรี," 10,478 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,247 ",ข้าวโพดเลี้ยงสัตว์,79,60/61,พัฒนานิคม," 31,119 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,179 ",ข้าวโพดเลี้ยงสัตว์,80,60/61,โคกสำโรง," 30,758 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,716 ",ข้าวโพดเลี้ยงสัตว์,81,60/61,ชัยบาดาล," 37,273 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวโพดเลี้ยงสัตว์,82,60/61,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 306 ,ข้าวโพดเลี้ยงสัตว์,83,60/61,บ้านหมี่," 7,301 "
สำนักงานเกษตรจังหวัดลพบุรี, 814 ,ข้าวโพดเลี้ยงสัตว์,84,60/61,ท่าหลวง," 18,748 "
สำนักงานเกษตรจังหวัดลพบุรี, 29 ,ข้าวโพดเลี้ยงสัตว์,85,60/61,สระโบสถ์, 501 
สำนักงานเกษตรจังหวัดลพบุรี, 288 ,ข้าวโพดเลี้ยงสัตว์,86,60/61,โคกเจริญ," 6,586 "
สำนักงานเกษตรจังหวัดลพบุรี, 783 ,ข้าวโพดเลี้ยงสัตว์,87,60/61,ลำสนธิ," 15,599 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,041 ",ข้าวโพดเลี้ยงสัตว์,88,60/61,หนองม่วง," 27,043 "
สำนักงานเกษตรจังหวัดลพบุรี, 79 ,อ้อยโรงงาน,89,60/61,เมืองลพบุรี," 2,230 "
สำนักงานเกษตรจังหวัดลพบุรี, 532 ,อ้อยโรงงาน,90,60/61,พัฒนานิคม," 16,844 "
สำนักงานเกษตรจังหวัดลพบุรี, 631 ,อ้อยโรงงาน,91,60/61,โคกสำโรง," 17,386 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,676 ",อ้อยโรงงาน,92,60/61,ชัยบาดาล," 46,736 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,93,60/61,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 386 ,อ้อยโรงงาน,94,60/61,บ้านหมี่," 14,331 "
สำนักงานเกษตรจังหวัดลพบุรี, 556 ,อ้อยโรงงาน,95,60/61,ท่าหลวง," 18,981 "
สำนักงานเกษตรจังหวัดลพบุรี, 515 ,อ้อยโรงงาน,96,60/61,สระโบสถ์," 11,366 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,066 ",อ้อยโรงงาน,97,60/61,โคกเจริญ," 34,799 "
สำนักงานเกษตรจังหวัดลพบุรี, 706 ,อ้อยโรงงาน,98,60/61,ลำสนธิ," 15,009 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,201 ",อ้อยโรงงาน,99,60/61,หนองม่วง," 45,500 "
สำนักงานเกษตรจังหวัดลพบุรี, 116 ,มันสำปะหลัง,100,60/61,เมืองลพบุรี," 2,238 "
สำนักงานเกษตรจังหวัดลพบุรี, 777 ,มันสำปะหลัง,101,60/61,พัฒนานิคม," 13,438 "
สำนักงานเกษตรจังหวัดลพบุรี, 990 ,มันสำปะหลัง,102,60/61,โคกสำโรง," 16,577 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,714 ",มันสำปะหลัง,103,60/61,ชัยบาดาล," 33,270 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,มันสำปะหลัง,104,60/61,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 314 ,มันสำปะหลัง,105,60/61,บ้านหมี่," 5,911 "
สำนักงานเกษตรจังหวัดลพบุรี, 585 ,มันสำปะหลัง,106,60/61,ท่าหลวง," 10,612 "
สำนักงานเกษตรจังหวัดลพบุรี, 931 ,มันสำปะหลัง,107,60/61,สระโบสถ์," 16,746 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,064 ",มันสำปะหลัง,108,60/61,โคกเจริญ," 18,811 "
สำนักงานเกษตรจังหวัดลพบุรี, 815 ,มันสำปะหลัง,109,60/61,ลำสนธิ," 10,373 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,181 ",มันสำปะหลัง,110,60/61,หนองม่วง," 20,169 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,949 ",ข้าวนาปี,111,61/62,เมืองลพบุรี," 104,679 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,940 ",ข้าวนาปี,112,61/62,พัฒนานิคม," 30,613 "
สำนักงานเกษตรจังหวัดลพบุรี," 6,024 ",ข้าวนาปี,113,61/62,โคกสำโรง," 113,861 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,738 ",ข้าวนาปี,114,61/62,ชัยบาดาล," 19,147 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,556 ",ข้าวนาปี,115,61/62,ท่าวุ้ง," 96,143 "
สำนักงานเกษตรจังหวัดลพบุรี," 7,899 ",ข้าวนาปี,116,61/62,บ้านหมี่," 202,119 "
สำนักงานเกษตรจังหวัดลพบุรี, 20 ,ข้าวนาปี,117,61/62,ท่าหลวง, 140 
สำนักงานเกษตรจังหวัดลพบุรี," 2,281 ",ข้าวนาปี,118,61/62,สระโบสถ์," 35,865 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,877 ",ข้าวนาปี,119,61/62,โคกเจริญ," 29,872 "
สำนักงานเกษตรจังหวัดลพบุรี, 968 ,ข้าวนาปี,120,61/62,ลำสนธิ," 8,816 "
สำนักงานเกษตรจังหวัดลพบุรี, 901 ,ข้าวนาปี,121,61/62,หนองม่วง," 13,345 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,701 ",ข้าวนาปรัง,122,61/62,เมืองลพบุรี," 73,739 "
สำนักงานเกษตรจังหวัดลพบุรี, 6 ,ข้าวนาปรัง,123,61/62,พัฒนานิคม, 77 
สำนักงานเกษตรจังหวัดลพบุรี, 210 ,ข้าวนาปรัง,124,61/62,โคกสำโรง," 4,209 "
สำนักงานเกษตรจังหวัดลพบุรี, 241 ,ข้าวนาปรัง,125,61/62,ชัยบาดาล," 3,008 "
สำนักงานเกษตรจังหวัดลพบุรี," 3,241 ",ข้าวนาปรัง,126,61/62,ท่าวุ้ง," 62,568 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,390 ",ข้าวนาปรัง,127,61/62,บ้านหมี่," 130,505 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวนาปรัง,128,61/62,ท่าหลวง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 71 ,ข้าวนาปรัง,129,61/62,สระโบสถ์, 870 
สำนักงานเกษตรจังหวัดลพบุรี, 9 ,ข้าวนาปรัง,130,61/62,โคกเจริญ, 158 
สำนักงานเกษตรจังหวัดลพบุรี, 4 ,ข้าวนาปรัง,131,61/62,ลำสนธิ, 18 
สำนักงานเกษตรจังหวัดลพบุรี, 7 ,ข้าวนาปรัง,132,61/62,หนองม่วง, 86 
สำนักงานเกษตรจังหวัดลพบุรี, 822 ,ข้าวโพดเลี้ยงสัตว์,133,61/62,เมืองลพบุรี," 38,769 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,401 ",ข้าวโพดเลี้ยงสัตว์,134,61/62,พัฒนานิคม," 34,197 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,306 ",ข้าวโพดเลี้ยงสัตว์,135,61/62,โคกสำโรง," 34,330 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,463 ",ข้าวโพดเลี้ยงสัตว์,136,61/62,ชัยบาดาล," 31,236 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวโพดเลี้ยงสัตว์,137,61/62,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 362 ,ข้าวโพดเลี้ยงสัตว์,138,61/62,บ้านหมี่," 8,529 "
สำนักงานเกษตรจังหวัดลพบุรี, 771 ,ข้าวโพดเลี้ยงสัตว์,139,61/62,ท่าหลวง," 17,103 "
สำนักงานเกษตรจังหวัดลพบุรี, 23 ,ข้าวโพดเลี้ยงสัตว์,140,61/62,สระโบสถ์, 270 
สำนักงานเกษตรจังหวัดลพบุรี, 264 ,ข้าวโพดเลี้ยงสัตว์,141,61/62,โคกเจริญ," 5,165 "
สำนักงานเกษตรจังหวัดลพบุรี, 569 ,ข้าวโพดเลี้ยงสัตว์,142,61/62,ลำสนธิ," 10,791 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,238 ",ข้าวโพดเลี้ยงสัตว์,143,61/62,หนองม่วง," 33,428 "
สำนักงานเกษตรจังหวัดลพบุรี, 212 ,อ้อยโรงงาน,144,61/62,เมืองลพบุรี," 5,395 "
สำนักงานเกษตรจังหวัดลพบุรี, 837 ,อ้อยโรงงาน,145,61/62,พัฒนานิคม," 24,889 "
สำนักงานเกษตรจังหวัดลพบุรี, 825 ,อ้อยโรงงาน,146,61/62,โคกสำโรง," 21,865 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,167 ",อ้อยโรงงาน,147,61/62,ชัยบาดาล," 61,590 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,148,61/62,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 485 ,อ้อยโรงงาน,149,61/62,บ้านหมี่," 17,975 "
สำนักงานเกษตรจังหวัดลพบุรี, 769 ,อ้อยโรงงาน,150,61/62,ท่าหลวง," 25,102 "
สำนักงานเกษตรจังหวัดลพบุรี, 269 ,อ้อยโรงงาน,151,61/62,สระโบสถ์," 5,274 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,136 ",อ้อยโรงงาน,152,61/62,โคกเจริญ," 33,892 "
สำนักงานเกษตรจังหวัดลพบุรี, 832 ,อ้อยโรงงาน,153,61/62,ลำสนธิ," 16,625 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,226 ",อ้อยโรงงาน,154,61/62,หนองม่วง," 45,977 "
สำนักงานเกษตรจังหวัดลพบุรี, 150 ,มันสำปะหลัง,155,61/62,เมืองลพบุรี," 2,647 "
สำนักงานเกษตรจังหวัดลพบุรี, 695 ,มันสำปะหลัง,156,61/62,พัฒนานิคม," 12,391 "
สำนักงานเกษตรจังหวัดลพบุรี, 868 ,มันสำปะหลัง,157,61/62,โคกสำโรง," 15,668 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,668 ",มันสำปะหลัง,158,61/62,ชัยบาดาล," 31,698 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,มันสำปะหลัง,159,61/62,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 240 ,มันสำปะหลัง,160,61/62,บ้านหมี่," 3,563 "
สำนักงานเกษตรจังหวัดลพบุรี, 707 ,มันสำปะหลัง,161,61/62,ท่าหลวง," 13,554 "
สำนักงานเกษตรจังหวัดลพบุรี, 930 ,มันสำปะหลัง,162,61/62,สระโบสถ์," 17,448 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,000 ",มันสำปะหลัง,163,61/62,โคกเจริญ," 17,801 "
สำนักงานเกษตรจังหวัดลพบุรี, 749 ,มันสำปะหลัง,164,61/62,ลำสนธิ," 8,887 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,109 ",มันสำปะหลัง,165,61/62,หนองม่วง," 19,501 "
สำนักงานเกษตรจังหวัดลพบุรี," 5,389 ",ข้าวนาปี,166,62/63,เมืองลพบุรี," 110,299 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,135 ",ข้าวนาปี,167,62/63,พัฒนานิคม," 33,675 "
สำนักงานเกษตรจังหวัดลพบุรี," 6,736 ",ข้าวนาปี,168,62/63,โคกสำโรง," 122,568 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,175 ",ข้าวนาปี,169,62/63,ชัยบาดาล," 26,079 "
สำนักงานเกษตรจังหวัดลพบุรี," 4,841 ",ข้าวนาปี,170,62/63,ท่าวุ้ง," 100,441 "
สำนักงานเกษตรจังหวัดลพบุรี," 8,572 ",ข้าวนาปี,171,62/63,บ้านหมี่," 206,365 "
สำนักงานเกษตรจังหวัดลพบุรี, 35 ,ข้าวนาปี,172,62/63,ท่าหลวง, 252 
สำนักงานเกษตรจังหวัดลพบุรี," 2,586 ",ข้าวนาปี,173,62/63,สระโบสถ์," 39,931 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,177 ",ข้าวนาปี,174,62/63,โคกเจริญ," 35,646 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,081 ",ข้าวนาปี,175,62/63,ลำสนธิ," 9,925 "
สำนักงานเกษตรจังหวัดลพบุรี, 977 ,ข้าวนาปี,176,62/63,หนองม่วง," 14,755 "
สำนักงานเกษตรจังหวัดลพบุรี, 615 ,ข้าวนาปรัง,177,62/63,เมืองลพบุรี," 11,012 "
สำนักงานเกษตรจังหวัดลพบุรี, 8 ,ข้าวนาปรัง,178,62/63,พัฒนานิคม, 91 
สำนักงานเกษตรจังหวัดลพบุรี, 5 ,ข้าวนาปรัง,179,62/63,โคกสำโรง, 51 
สำนักงานเกษตรจังหวัดลพบุรี, 64 ,ข้าวนาปรัง,180,62/63,ชัยบาดาล," 1,209 "
สำนักงานเกษตรจังหวัดลพบุรี, 790 ,ข้าวนาปรัง,181,62/63,ท่าวุ้ง," 14,117 "
สำนักงานเกษตรจังหวัดลพบุรี, 113 ,ข้าวนาปรัง,182,62/63,บ้านหมี่," 2,791 "
สำนักงานเกษตรจังหวัดลพบุรี, 1 ,ข้าวนาปรัง,183,62/63,ท่าหลวง, 5 
สำนักงานเกษตรจังหวัดลพบุรี, 68 ,ข้าวนาปรัง,184,62/63,สระโบสถ์, 821 
สำนักงานเกษตรจังหวัดลพบุรี, 9 ,ข้าวนาปรัง,185,62/63,โคกเจริญ, 142 
สำนักงานเกษตรจังหวัดลพบุรี, 3 ,ข้าวนาปรัง,186,62/63,ลำสนธิ, 25 
สำนักงานเกษตรจังหวัดลพบุรี, 8 ,ข้าวนาปรัง,187,62/63,หนองม่วง, 70 
สำนักงานเกษตรจังหวัดลพบุรี," 1,116 ",ข้าวโพดเลี้ยงสัตว์,188,62/63,เมืองลพบุรี," 48,315 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,874 ",ข้าวโพดเลี้ยงสัตว์,189,62/63,พัฒนานิคม," 45,132 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,913 ",ข้าวโพดเลี้ยงสัตว์,190,62/63,โคกสำโรง," 49,519 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,600 ",ข้าวโพดเลี้ยงสัตว์,191,62/63,ชัยบาดาล," 59,575 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,ข้าวโพดเลี้ยงสัตว์,192,62/63,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 588 ,ข้าวโพดเลี้ยงสัตว์,193,62/63,บ้านหมี่," 14,246 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,412 ",ข้าวโพดเลี้ยงสัตว์,194,62/63,ท่าหลวง," 34,158 "
สำนักงานเกษตรจังหวัดลพบุรี, 115 ,ข้าวโพดเลี้ยงสัตว์,195,62/63,สระโบสถ์," 2,107 "
สำนักงานเกษตรจังหวัดลพบุรี, 590 ,ข้าวโพดเลี้ยงสัตว์,196,62/63,โคกเจริญ," 12,892 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,083 ",ข้าวโพดเลี้ยงสัตว์,197,62/63,ลำสนธิ," 21,965 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,626 ",ข้าวโพดเลี้ยงสัตว์,198,62/63,หนองม่วง," 44,517 "
สำนักงานเกษตรจังหวัดลพบุรี, 379 ,อ้อยโรงงาน,199,62/63,เมืองลพบุรี," 11,915 "
สำนักงานเกษตรจังหวัดลพบุรี, 983 ,อ้อยโรงงาน,200,62/63,พัฒนานิคม," 29,058 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,110 ",อ้อยโรงงาน,201,62/63,โคกสำโรง," 28,616 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,345 ",อ้อยโรงงาน,202,62/63,ชัยบาดาล," 68,485 "
สำนักงานเกษตรจังหวัดลพบุรี, -   ,อ้อยโรงงาน,203,62/63,ท่าวุ้ง, -   
สำนักงานเกษตรจังหวัดลพบุรี, 425 ,อ้อยโรงงาน,204,62/63,บ้านหมี่," 15,581 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,278 ",อ้อยโรงงาน,205,62/63,ท่าหลวง," 42,808 "
สำนักงานเกษตรจังหวัดลพบุรี, 592 ,อ้อยโรงงาน,206,62/63,สระโบสถ์," 12,415 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,262 ",อ้อยโรงงาน,207,62/63,โคกเจริญ," 44,487 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,155 ",อ้อยโรงงาน,208,62/63,ลำสนธิ," 27,548 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,201 ",อ้อยโรงงาน,209,62/63,หนองม่วง," 49,478 "
สำนักงานเกษตรจังหวัดลพบุรี, 275 ,มันสำปะหลัง,210,62/63,เมืองลพบุรี," 5,518 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,596 ",มันสำปะหลัง,211,62/63,พัฒนานิคม," 29,635 "
สำนักงานเกษตรจังหวัดลพบุรี," 1,187 ",มันสำปะหลัง,212,62/63,โคกสำโรง," 20,157 "
สำนักงานเกษตรจังหวัดลพบุรี," 2,287 ",มันสำปะหลัง,213,62/63,ชัยบาดาล," 40,123 "
