commod,_id,attribute,year_th,unit,table_id,note,value
ลองกอง,82,ผลผลิตต่อไร่,2561,กก./ไร่,4.14,,294
ลองกอง,83,ราคาที่เกษตรกรขายได้,2561,บาท/กก.,4.14,,36.87
ลองกอง,84,มูลค่าของผลผลิต,2561,ล้านบาท,4.14,,2752
ลองกอง,85,เนื้อที่ยืนต้น,2562,พันไร่,4.14,,246
ลองกอง,86,เนื้อที่ให้ผล,2562,พันไร่,4.14,,236
ลองกอง,87,ผลผลิต,2562,พันตัน,4.14,,119
ลองกอง,88,ผลผลิตต่อไร่,2562,กก./ไร่,4.14,,502
ลองกอง,89,ราคาที่เกษตรกรขายได้,2562,บาท/กก.,4.14,,35.34
ลองกอง,90,มูลค่าของผลผลิต,2562,ล้านบาท,4.14,,4192
ลองกอง,91,เนื้อที่ยืนต้น,2563,พันไร่,4.14,,229
ลองกอง,92,เนื้อที่ให้ผล,2563,พันไร่,4.14,,223
ลองกอง,93,ผลผลิต,2563,พันตัน,4.14,,74
ลองกอง,94,ผลผลิตต่อไร่,2563,กก./ไร่,4.14,,334
ลองกอง,95,ราคาที่เกษตรกรขายได้,2563,บาท/กก.,4.14,,38.69
ลองกอง,96,มูลค่าของผลผลิต,2563,ล้านบาท,4.14,,2877
ลองกอง,97,เนื้อที่ยืนต้น,2564,พันไร่,4.14,,213
ลองกอง,98,เนื้อที่ให้ผล,2564,พันไร่,4.14,,207
ลองกอง,99,ผลผลิต,2564,พันตัน,4.14,,76
ลองกอง,100,ผลผลิตต่อไร่,2564,กก./ไร่,4.14,,368
ลองกอง,101,ราคาที่เกษตรกรขายได้,2564,บาท/กก.,4.14,,32.09
ลองกอง,102,มูลค่าของผลผลิต,2564,ล้านบาท,4.14,,2449
ลองกอง,103,เนื้อที่ยืนต้น,2565,พันไร่,4.14,,198
ลองกอง,104,เนื้อที่ให้ผล,2565,พันไร่,4.14,,193
ลองกอง,105,ผลผลิต,2565,พันตัน,4.14,,42
ลองกอง,106,ผลผลิตต่อไร่,2565,กก./ไร่,4.14,,219
ลองกอง,107,ราคาที่เกษตรกรขายได้,2565,บาท/กก.,4.14,,46.83
ลองกอง,108,มูลค่าของผลผลิต,2565,ล้านบาท,4.14,,1979
ลองกอง,109,เนื้อที่ยืนต้น,2566,พันไร่,4.14,,168
ลองกอง,110,เนื้อที่ให้ผล,2566,พันไร่,4.14,,162
ลองกอง,111,ผลผลิต,2566,พันตัน,4.14,,64
ลองกอง,112,ผลผลิตต่อไร่,2566,กก./ไร่,4.14,,393
ลองกอง,113,ราคาที่เกษตรกรขายได้,2566,บาท/กก.,4.14,,37.33
ลองกอง,114,มูลค่าของผลผลิต,2566,ล้านบาท,4.14,,2376
ลองกอง,115,เนื้อที่ยืนต้น,2567,พันไร่,4.14,p,158
ลองกอง,116,เนื้อที่ให้ผล,2567,พันไร่,4.14,p,152
ลองกอง,117,ผลผลิต,2567,พันตัน,4.14,p,47
ลองกอง,118,ผลผลิตต่อไร่,2567,กก./ไร่,4.14,p,310
ลองกอง,119,ราคาที่เกษตรกรขายได้,2567,บาท/กก.,4.14,,29.85
ลองกอง,120,มูลค่าของผลผลิต,2567,ล้านบาท,4.14,,1411
สับปะรดปัตตาเวีย,121,เนื้อที่เพาะปลูก,2558,พันไร่,4.2,,455
สับปะรดปัตตาเวีย,122,เนื้อที่เก็บเกี่ยว,2558,พันไร่,4.2,,447
สับปะรดปัตตาเวีย,123,ผลผลิต,2558,พันตัน,4.2,,1825
สับปะรดปัตตาเวีย,124,ผลผลิตต่อไร่,2558,กก./ไร่,4.2,,4085
สับปะรดปัตตาเวีย,125,ราคาที่เกษตรกรขายได้,2558,บาท/กก.,4.2,,10.29
สับปะรดปัตตาเวีย,126,มูลค่าของผลผลิต,2558,ล้านบาท,4.2,,18781
สับปะรดปัตตาเวีย,127,เนื้อที่เพาะปลูก,2559,พันไร่,4.2,,504
สับปะรดปัตตาเวีย,128,เนื้อที่เก็บเกี่ยว,2559,พันไร่,4.2,,493
สับปะรดปัตตาเวีย,129,ผลผลิต,2559,พันตัน,4.2,,2014
สับปะรดปัตตาเวีย,130,ผลผลิตต่อไร่,2559,กก./ไร่,4.2,,4082
สับปะรดปัตตาเวีย,131,ราคาที่เกษตรกรขายได้,2559,บาท/กก.,4.2,,10.18
สับปะรดปัตตาเวีย,132,มูลค่าของผลผลิต,2559,ล้านบาท,4.2,,20499
สับปะรดปัตตาเวีย,133,เนื้อที่เพาะปลูก,2560,พันไร่,4.2,,566
สับปะรดปัตตาเวีย,134,เนื้อที่เก็บเกี่ยว,2560,พันไร่,4.2,,558
สับปะรดปัตตาเวีย,135,ผลผลิต,2560,พันตัน,4.2,,2328
สับปะรดปัตตาเวีย,136,ผลผลิตต่อไร่,2560,กก./ไร่,4.2,,4173
สับปะรดปัตตาเวีย,137,ราคาที่เกษตรกรขายได้,2560,บาท/กก.,4.2,,4.95
สับปะรดปัตตาเวีย,138,มูลค่าของผลผลิต,2560,ล้านบาท,4.2,,11525
สับปะรดปัตตาเวีย,139,เนื้อที่เพาะปลูก,2561,พันไร่,4.2,,576
สับปะรดปัตตาเวีย,140,เนื้อที่เก็บเกี่ยว,2561,พันไร่,4.2,,568
สับปะรดปัตตาเวีย,141,ผลผลิต,2561,พันตัน,4.2,,2351
สับปะรดปัตตาเวีย,142,ผลผลิตต่อไร่,2561,กก./ไร่,4.2,,4136
สับปะรดปัตตาเวีย,143,ราคาที่เกษตรกรขายได้,2561,บาท/กก.,4.2,,2.97
สับปะรดปัตตาเวีย,144,มูลค่าของผลผลิต,2561,ล้านบาท,4.2,,6982
สับปะรดปัตตาเวีย,145,เนื้อที่เพาะปลูก,2562,พันไร่,4.2,,491
สับปะรดปัตตาเวีย,146,เนื้อที่เก็บเกี่ยว,2562,พันไร่,4.2,,485
สับปะรดปัตตาเวีย,147,ผลผลิต,2562,พันตัน,4.2,,1825
สับปะรดปัตตาเวีย,148,ผลผลิตต่อไร่,2562,กก./ไร่,4.2,,3760
สับปะรดปัตตาเวีย,149,ราคาที่เกษตรกรขายได้,2562,บาท/กก.,4.2,,5.91
สับปะรดปัตตาเวีย,150,มูลค่าของผลผลิต,2562,ล้านบาท,4.2,,10787
สับปะรดปัตตาเวีย,151,เนื้อที่เพาะปลูก,2563,พันไร่,4.2,,454
สับปะรดปัตตาเวีย,152,เนื้อที่เก็บเกี่ยว,2563,พันไร่,4.2,,450
สับปะรดปัตตาเวีย,153,ผลผลิต,2563,พันตัน,4.2,,1681
สับปะรดปัตตาเวีย,154,ผลผลิตต่อไร่,2563,กก./ไร่,4.2,,3737
สับปะรดปัตตาเวีย,155,ราคาที่เกษตรกรขายได้,2563,บาท/กก.,4.2,,10.68
สับปะรดปัตตาเวีย,156,มูลค่าของผลผลิต,2563,ล้านบาท,4.2,,17950
สับปะรดปัตตาเวีย,157,เนื้อที่เพาะปลูก,2564,พันไร่,4.2,,465
