VALUE,QUARTER,AREA,SOURCE,_id,REG,AGEGROUP,UNIT,YEAR
231.4,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,43,ภาคตะวันออกเฉียงเหนือ, 30-34 ปี,พันคน,2563
248.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,44,ภาคตะวันออกเฉียงเหนือ, 35-39 ปี,พันคน,2563
743.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,45,ภาคตะวันออกเฉียงเหนือ, 40-49 ปี,พันคน,2563
847.7,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,46,ภาคตะวันออกเฉียงเหนือ, 50-59 ปี,พันคน,2563
1138.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,47,ภาคตะวันออกเฉียงเหนือ, 60 ปีขึ้นไป,พันคน,2563
1029.5,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,48,ภาคตะวันออกเฉียงเหนือ, 15-19 ปี,พันคน,2563
1023.0,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,49,ภาคตะวันออกเฉียงเหนือ, 20-24 ปี,พันคน,2563
794.6,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,50,ภาคตะวันออกเฉียงเหนือ, 25-29 ปี,พันคน,2563
553.6,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,51,ภาคตะวันออกเฉียงเหนือ, 30-34 ปี,พันคน,2563
593.7,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,52,ภาคตะวันออกเฉียงเหนือ, 35-39 ปี,พันคน,2563
1776.1,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,53,ภาคตะวันออกเฉียงเหนือ, 40-49 ปี,พันคน,2563
2039.2,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,54,ภาคตะวันออกเฉียงเหนือ, 50-59 ปี,พันคน,2563
2794.4,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,55,ภาคตะวันออกเฉียงเหนือ, 60 ปีขึ้นไป,พันคน,2563
225.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,56,ภาคใต้, 15-19 ปี,พันคน,2563
242.7,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,57,ภาคใต้, 20-24 ปี,พันคน,2563
239.2,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,58,ภาคใต้, 25-29 ปี,พันคน,2563
231.0,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,59,ภาคใต้, 30-34 ปี,พันคน,2563
225.5,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,60,ภาคใต้, 35-39 ปี,พันคน,2563
464.1,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,61,ภาคใต้, 40-49 ปี,พันคน,2563
417.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,62,ภาคใต้, 50-59 ปี,พันคน,2563
484.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,63,ภาคใต้, 60 ปีขึ้นไป,พันคน,2563
452.9,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,64,ภาคใต้, 15-19 ปี,พันคน,2563
456.2,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,65,ภาคใต้, 20-24 ปี,พันคน,2563
447.0,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,66,ภาคใต้, 25-29 ปี,พันคน,2563
429.2,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,67,ภาคใต้, 30-34 ปี,พันคน,2563
429.5,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,68,ภาคใต้, 35-39 ปี,พันคน,2563
910.3,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,69,ภาคใต้, 40-49 ปี,พันคน,2563
833.5,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,70,ภาคใต้, 50-59 ปี,พันคน,2563
993.8,ไตรมาส 2,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,71,ภาคใต้, 60 ปีขึ้นไป,พันคน,2563
363.4,ไตรมาส 3,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,72,กรุงเทพมหานคร, 15-19 ปี,พันคน,2563
533.1,ไตรมาส 3,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,73,กรุงเทพมหานคร, 20-24 ปี,พันคน,2563
753.1,ไตรมาส 3,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,74,กรุงเทพมหานคร, 25-29 ปี,พันคน,2563
901.3,ไตรมาส 3,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,75,กรุงเทพมหานคร, 30-34 ปี,พันคน,2563
867.1,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,76,ภาคกลาง, 30-34 ปี,พันคน,2565
876.5,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,77,ภาคกลาง, 35-39 ปี,พันคน,2565
1721.2,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,78,ภาคกลาง, 40-49 ปี,พันคน,2565
1471.6,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,79,ภาคกลาง, 50-59 ปี,พันคน,2565
1552.9,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,80,ภาคกลาง, 60 ปีขึ้นไป,พันคน,2565
645.1,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,81,ภาคกลาง, 15-19 ปี,พันคน,2565
831.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,82,ภาคกลาง, 20-24 ปี,พันคน,2565
956.0,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,83,ภาคกลาง, 25-29 ปี,พันคน,2565
945.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,84,ภาคกลาง, 30-34 ปี,พันคน,2565
953.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,85,ภาคกลาง, 35-39 ปี,พันคน,2565
1904.5,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,86,ภาคกลาง, 40-49 ปี,พันคน,2565
1686.2,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,87,ภาคกลาง, 50-59 ปี,พันคน,2565
1855.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,88,ภาคกลาง, 60 ปีขึ้นไป,พันคน,2565
257.3,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,89,ภาคเหนือ, 15-19 ปี,พันคน,2565
277.3,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,90,ภาคเหนือ, 20-24 ปี,พันคน,2565
272.4,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,91,ภาคเหนือ, 25-29 ปี,พันคน,2565
227.1,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,92,ภาคเหนือ, 30-34 ปี,พันคน,2565
208.4,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,93,ภาคเหนือ, 35-39 ปี,พันคน,2565
498.7,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,94,ภาคเหนือ, 40-49 ปี,พันคน,2565
637.8,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,95,ภาคเหนือ, 50-59 ปี,พันคน,2565
942.5,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,96,ภาคเหนือ, 60 ปีขึ้นไป,พันคน,2565
480.8,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,97,ภาคเหนือ, 15-19 ปี,พันคน,2565
515.0,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,98,ภาคเหนือ, 20-24 ปี,พันคน,2565
502.9,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,99,ภาคเหนือ, 25-29 ปี,พันคน,2565
418.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,100,ภาคเหนือ, 30-34 ปี,พันคน,2565
386.6,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,101,ภาคเหนือ, 35-39 ปี,พันคน,2565
932.3,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,102,ภาคเหนือ, 40-49 ปี,พันคน,2565
1198.2,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,103,ภาคเหนือ, 50-59 ปี,พันคน,2565
1768.4,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,104,ภาคเหนือ, 60 ปีขึ้นไป,พันคน,2565
420.0,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,105,ภาคตะวันออกเฉียงเหนือ, 15-19 ปี,พันคน,2565
430.0,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,106,ภาคตะวันออกเฉียงเหนือ, 20-24 ปี,พันคน,2565
362.8,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,107,ภาคตะวันออกเฉียงเหนือ, 25-29 ปี,พันคน,2565
253.8,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,108,ภาคตะวันออกเฉียงเหนือ, 30-34 ปี,พันคน,2565
231.5,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,109,ภาคตะวันออกเฉียงเหนือ, 35-39 ปี,พันคน,2565
696.5,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,110,ภาคตะวันออกเฉียงเหนือ, 40-49 ปี,พันคน,2565
876.9,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,111,ภาคตะวันออกเฉียงเหนือ, 50-59 ปี,พันคน,2565
1167.6,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,112,ภาคตะวันออกเฉียงเหนือ, 60 ปีขึ้นไป,พันคน,2565
1000.0,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,113,ภาคตะวันออกเฉียงเหนือ, 15-19 ปี,พันคน,2565
1024.1,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,114,ภาคตะวันออกเฉียงเหนือ, 20-24 ปี,พันคน,2565
863.9,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,115,ภาคตะวันออกเฉียงเหนือ, 25-29 ปี,พันคน,2565
604.5,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,116,ภาคตะวันออกเฉียงเหนือ, 30-34 ปี,พันคน,2565
551.2,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,117,ภาคตะวันออกเฉียงเหนือ, 35-39 ปี,พันคน,2565
1657.2,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,118,ภาคตะวันออกเฉียงเหนือ, 40-49 ปี,พันคน,2565
2086.2,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,119,ภาคตะวันออกเฉียงเหนือ, 50-59 ปี,พันคน,2565
2773.7,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,120,ภาคตะวันออกเฉียงเหนือ, 60 ปีขึ้นไป,พันคน,2565
232.6,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,121,ภาคใต้, 15-19 ปี,พันคน,2565
250.2,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,122,ภาคใต้, 20-24 ปี,พันคน,2565
252.4,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,123,ภาคใต้, 25-29 ปี,พันคน,2565
237.2,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,124,ภาคใต้, 30-34 ปี,พันคน,2565
228.2,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,125,ภาคใต้, 35-39 ปี,พันคน,2565
473.9,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,126,ภาคใต้, 40-49 ปี,พันคน,2565
444.5,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,127,ภาคใต้, 50-59 ปี,พันคน,2565
512.2,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,128,ภาคใต้, 60 ปีขึ้นไป,พันคน,2565
451.0,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,129,ภาคใต้, 15-19 ปี,พันคน,2565
475.7,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,130,ภาคใต้, 20-24 ปี,พันคน,2565
476.6,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,131,ภาคใต้, 25-29 ปี,พันคน,2565
453.0,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,132,ภาคใต้, 30-34 ปี,พันคน,2565
441.7,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,133,ภาคใต้, 35-39 ปี,พันคน,2565
923.9,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,134,ภาคใต้, 40-49 ปี,พันคน,2565
872.3,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,135,ภาคใต้, 50-59 ปี,พันคน,2565
1002.1,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,136,ภาคใต้, 60 ปีขึ้นไป,พันคน,2565
357.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,137,กรุงเทพมหานคร, 15-19 ปี,พันคน,2565
518.6,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,138,กรุงเทพมหานคร, 20-24 ปี,พันคน,2565
710.4,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,139,กรุงเทพมหานคร, 25-29 ปี,พันคน,2565
888.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,140,กรุงเทพมหานคร, 30-34 ปี,พันคน,2565
924.0,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,141,กรุงเทพมหานคร, 35-39 ปี,พันคน,2565
1760.4,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,142,กรุงเทพมหานคร, 40-49 ปี,พันคน,2565
1366.4,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,143,กรุงเทพมหานคร, 50-59 ปี,พันคน,2565
1328.1,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,144,กรุงเทพมหานคร, 60 ปีขึ้นไป,พันคน,2565
543.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,145,ภาคกลาง, 15-19 ปี,พันคน,2565
732.9,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,146,ภาคกลาง, 20-24 ปี,พันคน,2565
899.2,ไตรมาส 3,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,147,กรุงเทพมหานคร, 35-39 ปี,พันคน,2563
342.21,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,148,กรุงเทพมหานคร,15-19 ปี,พันคน,2567
497.92,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,149,กรุงเทพมหานคร,20-24 ปี,พันคน,2567
652.94,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,150,กรุงเทพมหานคร,25-29 ปี,พันคน,2567
830.62,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,151,กรุงเทพมหานคร,30-34 ปี,พันคน,2567
918.99,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,152,กรุงเทพมหานคร,35-39 ปี,พันคน,2567
1788.01,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,153,กรุงเทพมหานคร,40-49 ปี,พันคน,2567
1414.72,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,154,กรุงเทพมหานคร,50-59 ปี,พันคน,2567
1440.07,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,155,กรุงเทพมหานคร,60 ปีขึ้นไป,พันคน,2567
635.93,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,156,ภาคกลาง,15-19 ปี,พันคน,2567
828.61,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,157,ภาคกลาง,20-24 ปี,พันคน,2567
957.57,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,158,ภาคกลาง,25-29 ปี,พันคน,2567
957.27,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,159,ภาคกลาง,30-34 ปี,พันคน,2567
945.99,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,160,ภาคกลาง,35-39 ปี,พันคน,2567
1929.2,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,161,ภาคกลาง,40-49 ปี,พันคน,2567
1731.98,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,162,ภาคกลาง,50-59 ปี,พันคน,2567
2024.9,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,163,ภาคกลาง,60 ปีขึ้นไป,พันคน,2567
539.62,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,164,ภาคกลาง,15-19 ปี,พันคน,2567
734.17,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,165,ภาคกลาง,20-24 ปี,พันคน,2567
869.75,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,166,ภาคกลาง,25-29 ปี,พันคน,2567
878.72,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,167,ภาคกลาง,30-34 ปี,พันคน,2567
874.8,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,168,ภาคกลาง,35-39 ปี,พันคน,2567
1762.99,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,169,ภาคกลาง,40-49 ปี,พันคน,2567
1530.68,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,170,ภาคกลาง,50-59 ปี,พันคน,2567
1710.73,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,171,ภาคกลาง,60 ปีขึ้นไป,พันคน,2567
960.08,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,172,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,พันคน,2567
986.78,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,173,ภาคตะวันออกเฉียงเหนือ,20-24 ปี,พันคน,2567
904.48,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,174,ภาคตะวันออกเฉียงเหนือ,25-29 ปี,พันคน,2567
684.85,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,175,ภาคตะวันออกเฉียงเหนือ,30-34 ปี,พันคน,2567
519.34,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,176,ภาคตะวันออกเฉียงเหนือ,35-39 ปี,พันคน,2567
1474.89,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,177,ภาคตะวันออกเฉียงเหนือ,40-49 ปี,พันคน,2567
2059.94,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,178,ภาคตะวันออกเฉียงเหนือ,50-59 ปี,พันคน,2567
2944.05,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,179,ภาคตะวันออกเฉียงเหนือ,60 ปีขึ้นไป,พันคน,2567
404.4,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,180,ภาคตะวันออกเฉียงเหนือ,15-19 ปี,พันคน,2567
415.61,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,181,ภาคตะวันออกเฉียงเหนือ,20-24 ปี,พันคน,2567
