province,﻿year,sex,quarter,_id,region,value,unit,source
ชัยภูมิ,2565,หญิง,ไตรมาส 1,20,ภาคตะวันออกเฉียงเหนือ,219.7,พันคน,สำนักงานสถิติแห่งชาติ
ลพบุรี,2565,หญิง,ไตรมาส 2,21,ภาคกลาง,214.1,พันคน,สำนักงานสถิติแห่งชาติ
นครศรีธรรมราช,2565,ชาย,ไตรมาส 2,22,ภาคใต้,469.8,พันคน,สำนักงานสถิติแห่งชาติ
อุตรดิตถ์,2565,ชาย,ไตรมาส 3,23,ภาคเหนือ,117.8,พันคน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,2565,หญิง,ไตรมาส 4,24,กรุงเทพมหานคร,2806.1,พันคน,สำนักงานสถิติแห่งชาติ
กาญจนบุรี,2565,ชาย,ไตรมาส 4,25,ภาคกลาง,261.8,พันคน,สำนักงานสถิติแห่งชาติ
กาญจนบุรี,2565,หญิง,ไตรมาส 4,26,ภาคกลาง,232.2,พันคน,สำนักงานสถิติแห่งชาติ
จันทบุรี,2565,ชาย,ไตรมาส 4,27,ภาคกลาง,195.1,พันคน,สำนักงานสถิติแห่งชาติ
จันทบุรี,2565,หญิง,ไตรมาส 4,28,ภาคกลาง,173.4,พันคน,สำนักงานสถิติแห่งชาติ
ฉะเชิงเทรา,2565,ชาย,ไตรมาส 4,29,ภาคกลาง,294.9,พันคน,สำนักงานสถิติแห่งชาติ
ฉะเชิงเทรา,2565,หญิง,ไตรมาส 4,30,ภาคกลาง,253.3,พันคน,สำนักงานสถิติแห่งชาติ
ชลบุรี,2565,ชาย,ไตรมาส 4,31,ภาคกลาง,582.9,พันคน,สำนักงานสถิติแห่งชาติ
ชลบุรี,2565,หญิง,ไตรมาส 4,32,ภาคกลาง,495.8,พันคน,สำนักงานสถิติแห่งชาติ
ชัยนาท,2565,ชาย,ไตรมาส 4,33,ภาคกลาง,89.4,พันคน,สำนักงานสถิติแห่งชาติ
ชัยนาท,2565,หญิง,ไตรมาส 4,34,ภาคกลาง,78.6,พันคน,สำนักงานสถิติแห่งชาติ
ตราด,2565,ชาย,ไตรมาส 4,35,ภาคกลาง,92.2,พันคน,สำนักงานสถิติแห่งชาติ
ตราด,2565,หญิง,ไตรมาส 4,36,ภาคกลาง,78.0,พันคน,สำนักงานสถิติแห่งชาติ
นครนายก,2565,ชาย,ไตรมาส 4,37,ภาคกลาง,79.6,พันคน,สำนักงานสถิติแห่งชาติ
นครนายก,2565,หญิง,ไตรมาส 4,38,ภาคกลาง,68.9,พันคน,สำนักงานสถิติแห่งชาติ
นครปฐม,2565,ชาย,ไตรมาส 4,39,ภาคกลาง,432.0,พันคน,สำนักงานสถิติแห่งชาติ
นครปฐม,2565,หญิง,ไตรมาส 4,40,ภาคกลาง,411.2,พันคน,สำนักงานสถิติแห่งชาติ
นนทบุรี,2565,ชาย,ไตรมาส 4,41,ภาคกลาง,617.4,พันคน,สำนักงานสถิติแห่งชาติ
นนทบุรี,2565,หญิง,ไตรมาส 4,42,ภาคกลาง,545.7,พันคน,สำนักงานสถิติแห่งชาติ
ปทุมธานี,2565,ชาย,ไตรมาส 4,43,ภาคกลาง,607.1,พันคน,สำนักงานสถิติแห่งชาติ
ปทุมธานี,2565,หญิง,ไตรมาส 4,44,ภาคกลาง,527.3,พันคน,สำนักงานสถิติแห่งชาติ
ประจวบคีรีขันธ์,2565,ชาย,ไตรมาส 4,45,ภาคกลาง,151.6,พันคน,สำนักงานสถิติแห่งชาติ
ประจวบคีรีขันธ์,2565,หญิง,ไตรมาส 4,46,ภาคกลาง,128.1,พันคน,สำนักงานสถิติแห่งชาติ
ปราจีนบุรี,2565,ชาย,ไตรมาส 4,47,ภาคกลาง,214.0,พันคน,สำนักงานสถิติแห่งชาติ
ปราจีนบุรี,2565,หญิง,ไตรมาส 4,48,ภาคกลาง,188.5,พันคน,สำนักงานสถิติแห่งชาติ
พระนครศรีอยุธยา,2565,ชาย,ไตรมาส 4,49,ภาคกลาง,283.2,พันคน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,2568,ชาย,ไตรมาส 4,50,กรุงเทพมหานคร,2965.46,พันคน,สำนักงานสถิติแห่งชาติ
พระนครศรีอยุธยา,2568,หญิง,ไตรมาส 4,51,ภาคกลาง,237.78,พันคน,สำนักงานสถิติแห่งชาติ
กระบี่,2563,หญิง,ไตรมาส 1,52,ภาคใต้,97.2,พันคน,สำนักงานสถิติแห่งชาติ
ชุมพร,2563,ชาย,ไตรมาส 1,53,ภาคใต้,170.2,พันคน,สำนักงานสถิติแห่งชาติ
ชุมพร,2563,หญิง,ไตรมาส 1,54,ภาคใต้,121.2,พันคน,สำนักงานสถิติแห่งชาติ
ตรัง,2563,ชาย,ไตรมาส 1,55,ภาคใต้,204.5,พันคน,สำนักงานสถิติแห่งชาติ
ตรัง,2563,หญิง,ไตรมาส 1,56,ภาคใต้,181.2,พันคน,สำนักงานสถิติแห่งชาติ
นครศรีธรรมราช,2563,ชาย,ไตรมาส 1,57,ภาคใต้,496.1,พันคน,สำนักงานสถิติแห่งชาติ
นครศรีธรรมราช,2563,หญิง,ไตรมาส 1,58,ภาคใต้,420.2,พันคน,สำนักงานสถิติแห่งชาติ
นราธิวาส,2563,ชาย,ไตรมาส 1,59,ภาคใต้,206.3,พันคน,สำนักงานสถิติแห่งชาติ
นราธิวาส,2563,หญิง,ไตรมาส 1,60,ภาคใต้,141.9,พันคน,สำนักงานสถิติแห่งชาติ
ปัตตานี,2563,ชาย,ไตรมาส 1,61,ภาคใต้,175.6,พันคน,สำนักงานสถิติแห่งชาติ
ปัตตานี,2563,หญิง,ไตรมาส 1,62,ภาคใต้,142.7,พันคน,สำนักงานสถิติแห่งชาติ
พังงา,2563,ชาย,ไตรมาส 1,63,ภาคใต้,90.5,พันคน,สำนักงานสถิติแห่งชาติ
พังงา,2563,หญิง,ไตรมาส 1,64,ภาคใต้,60.7,พันคน,สำนักงานสถิติแห่งชาติ
พัทลุง,2563,ชาย,ไตรมาส 1,65,ภาคใต้,158.9,พันคน,สำนักงานสถิติแห่งชาติ
พัทลุง,2563,หญิง,ไตรมาส 1,66,ภาคใต้,149.3,พันคน,สำนักงานสถิติแห่งชาติ
ภูเก็ต,2563,ชาย,ไตรมาส 1,67,ภาคใต้,183.6,พันคน,สำนักงานสถิติแห่งชาติ
ภูเก็ต,2563,หญิง,ไตรมาส 1,68,ภาคใต้,152.6,พันคน,สำนักงานสถิติแห่งชาติ
ยะลา,2563,ชาย,ไตรมาส 1,69,ภาคใต้,122.7,พันคน,สำนักงานสถิติแห่งชาติ
ยะลา,2563,หญิง,ไตรมาส 1,70,ภาคใต้,102.5,พันคน,สำนักงานสถิติแห่งชาติ
ระนอง,2563,ชาย,ไตรมาส 1,71,ภาคใต้,81.7,พันคน,สำนักงานสถิติแห่งชาติ
ระนอง,2563,หญิง,ไตรมาส 1,72,ภาคใต้,50.2,พันคน,สำนักงานสถิติแห่งชาติ
สงขลา,2563,ชาย,ไตรมาส 1,73,ภาคใต้,478.4,พันคน,สำนักงานสถิติแห่งชาติ
สงขลา,2563,หญิง,ไตรมาส 1,74,ภาคใต้,420.1,พันคน,สำนักงานสถิติแห่งชาติ
สตูล,2563,ชาย,ไตรมาส 1,75,ภาคใต้,84.1,พันคน,สำนักงานสถิติแห่งชาติ
สตูล,2563,หญิง,ไตรมาส 1,76,ภาคใต้,62.6,พันคน,สำนักงานสถิติแห่งชาติ
สุราษฎร์ธานี,2563,ชาย,ไตรมาส 1,77,ภาคใต้,344.6,พันคน,สำนักงานสถิติแห่งชาติ
สุราษฎร์ธานี,2563,หญิง,ไตรมาส 1,78,ภาคใต้,274.3,พันคน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,2563,ชาย,ไตรมาส 2,79,กรุงเทพมหานคร,2804.6,พันคน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,2563,หญิง,ไตรมาส 2,80,กรุงเทพมหานคร,2517.0,พันคน,สำนักงานสถิติแห่งชาติ
กาญจนบุรี,2563,ชาย,ไตรมาส 2,81,ภาคกลาง,258.5,พันคน,สำนักงานสถิติแห่งชาติ
กาญจนบุรี,2563,หญิง,ไตรมาส 2,82,ภาคกลาง,205.6,พันคน,สำนักงานสถิติแห่งชาติ
จันทบุรี,2563,ชาย,ไตรมาส 2,83,ภาคกลาง,197.0,พันคน,สำนักงานสถิติแห่งชาติ
จันทบุรี,2563,หญิง,ไตรมาส 2,84,ภาคกลาง,181.0,พันคน,สำนักงานสถิติแห่งชาติ
ฉะเชิงเทรา,2563,ชาย,ไตรมาส 2,85,ภาคกลาง,247.8,พันคน,สำนักงานสถิติแห่งชาติ
ฉะเชิงเทรา,2563,หญิง,ไตรมาส 2,86,ภาคกลาง,195.2,พันคน,สำนักงานสถิติแห่งชาติ
ชลบุรี,2563,ชาย,ไตรมาส 2,87,ภาคกลาง,565.5,พันคน,สำนักงานสถิติแห่งชาติ
ชลบุรี,2563,หญิง,ไตรมาส 2,88,ภาคกลาง,455.3,พันคน,สำนักงานสถิติแห่งชาติ
ชัยนาท,2563,ชาย,ไตรมาส 2,89,ภาคกลาง,95.8,พันคน,สำนักงานสถิติแห่งชาติ
ชัยนาท,2563,หญิง,ไตรมาส 2,90,ภาคกลาง,78.6,พันคน,สำนักงานสถิติแห่งชาติ
ตราด,2563,ชาย,ไตรมาส 2,91,ภาคกลาง,101.1,พันคน,สำนักงานสถิติแห่งชาติ
ตราด,2563,หญิง,ไตรมาส 2,92,ภาคกลาง,72.5,พันคน,สำนักงานสถิติแห่งชาติ
นครนายก,2563,ชาย,ไตรมาส 2,93,ภาคกลาง,83.0,พันคน,สำนักงานสถิติแห่งชาติ
นครนายก,2563,หญิง,ไตรมาส 2,94,ภาคกลาง,69.2,พันคน,สำนักงานสถิติแห่งชาติ
นครปฐม,2563,ชาย,ไตรมาส 2,95,ภาคกลาง,361.4,พันคน,สำนักงานสถิติแห่งชาติ
นครปฐม,2563,หญิง,ไตรมาส 2,96,ภาคกลาง,330.4,พันคน,สำนักงานสถิติแห่งชาติ
นนทบุรี,2563,ชาย,ไตรมาส 2,97,ภาคกลาง,525.4,พันคน,สำนักงานสถิติแห่งชาติ
นนทบุรี,2563,หญิง,ไตรมาส 2,98,ภาคกลาง,435.4,พันคน,สำนักงานสถิติแห่งชาติ
ปทุมธานี,2563,ชาย,ไตรมาส 2,99,ภาคกลาง,533.1,พันคน,สำนักงานสถิติแห่งชาติ
ปทุมธานี,2563,หญิง,ไตรมาส 2,100,ภาคกลาง,476.1,พันคน,สำนักงานสถิติแห่งชาติ
ประจวบคีรีขันธ์,2563,ชาย,ไตรมาส 2,101,ภาคกลาง,146.3,พันคน,สำนักงานสถิติแห่งชาติ
ประจวบคีรีขันธ์,2563,หญิง,ไตรมาส 2,102,ภาคกลาง,108.6,พันคน,สำนักงานสถิติแห่งชาติ
สุพรรณบุรี,2568,ชาย,ไตรมาส 4,103,ภาคกลาง,262.55,พันคน,สำนักงานสถิติแห่งชาติ
ฉะเชิงเทรา,2568,หญิง,ไตรมาส 4,104,ภาคตะวันออก,270.52,พันคน,สำนักงานสถิติแห่งชาติ
เชียงราย,2563,หญิง,ไตรมาส 2,105,ภาคเหนือ,252.9,พันคน,สำนักงานสถิติแห่งชาติ
เชียงใหม่,2563,ชาย,ไตรมาส 2,106,ภาคเหนือ,514.3,พันคน,สำนักงานสถิติแห่งชาติ
เชียงใหม่,2563,หญิง,ไตรมาส 2,107,ภาคเหนือ,444.7,พันคน,สำนักงานสถิติแห่งชาติ
เพชรบูรณ์,2563,ชาย,ไตรมาส 2,108,ภาคเหนือ,262.3,พันคน,สำนักงานสถิติแห่งชาติ
เพชรบูรณ์,2563,หญิง,ไตรมาส 2,109,ภาคเหนือ,217.4,พันคน,สำนักงานสถิติแห่งชาติ
แพร่,2563,ชาย,ไตรมาส 2,110,ภาคเหนือ,130.5,พันคน,สำนักงานสถิติแห่งชาติ
แพร่,2563,หญิง,ไตรมาส 2,111,ภาคเหนือ,111.2,พันคน,สำนักงานสถิติแห่งชาติ
แม่ฮ่องสอน,2563,ชาย,ไตรมาส 2,112,ภาคเหนือ,59.3,พันคน,สำนักงานสถิติแห่งชาติ
แม่ฮ่องสอน,2563,หญิง,ไตรมาส 2,113,ภาคเหนือ,45.6,พันคน,สำนักงานสถิติแห่งชาติ
กาฬสินธุ์,2563,ชาย,ไตรมาส 2,114,ภาคตะวันออกเฉียงเหนือ,221.7,พันคน,สำนักงานสถิติแห่งชาติ
กาฬสินธุ์,2563,หญิง,ไตรมาส 2,115,ภาคตะวันออกเฉียงเหนือ,165.2,พันคน,สำนักงานสถิติแห่งชาติ
ขอนแก่น,2563,ชาย,ไตรมาส 2,116,ภาคตะวันออกเฉียงเหนือ,482.1,พันคน,สำนักงานสถิติแห่งชาติ
ขอนแก่น,2563,หญิง,ไตรมาส 2,117,ภาคตะวันออกเฉียงเหนือ,414.8,พันคน,สำนักงานสถิติแห่งชาติ
ชัยภูมิ,2563,ชาย,ไตรมาส 2,118,ภาคตะวันออกเฉียงเหนือ,264.1,พันคน,สำนักงานสถิติแห่งชาติ
ชัยภูมิ,2563,หญิง,ไตรมาส 2,119,ภาคตะวันออกเฉียงเหนือ,208.0,พันคน,สำนักงานสถิติแห่งชาติ
นครพนม,2563,ชาย,ไตรมาส 2,120,ภาคตะวันออกเฉียงเหนือ,163.3,พันคน,สำนักงานสถิติแห่งชาติ
นครพนม,2563,หญิง,ไตรมาส 2,121,ภาคตะวันออกเฉียงเหนือ,141.6,พันคน,สำนักงานสถิติแห่งชาติ
นครราชสีมา,2563,ชาย,ไตรมาส 2,122,ภาคตะวันออกเฉียงเหนือ,735.3,พันคน,สำนักงานสถิติแห่งชาติ
นครราชสีมา,2563,หญิง,ไตรมาส 2,123,ภาคตะวันออกเฉียงเหนือ,596.4,พันคน,สำนักงานสถิติแห่งชาติ
บึงกาฬ,2563,ชาย,ไตรมาส 2,124,ภาคตะวันออกเฉียงเหนือ,95.0,พันคน,สำนักงานสถิติแห่งชาติ
บึงกาฬ,2563,หญิง,ไตรมาส 2,125,ภาคตะวันออกเฉียงเหนือ,76.2,พันคน,สำนักงานสถิติแห่งชาติ
บุรีรัมย์,2563,ชาย,ไตรมาส 2,126,ภาคตะวันออกเฉียงเหนือ,371.8,พันคน,สำนักงานสถิติแห่งชาติ
บุรีรัมย์,2563,หญิง,ไตรมาส 2,127,ภาคตะวันออกเฉียงเหนือ,303.0,พันคน,สำนักงานสถิติแห่งชาติ
มหาสารคาม,2563,ชาย,ไตรมาส 2,128,ภาคตะวันออกเฉียงเหนือ,227.5,พันคน,สำนักงานสถิติแห่งชาติ
มหาสารคาม,2563,หญิง,ไตรมาส 2,129,ภาคตะวันออกเฉียงเหนือ,147.9,พันคน,สำนักงานสถิติแห่งชาติ
มุกดาหาร,2563,ชาย,ไตรมาส 2,130,ภาคตะวันออกเฉียงเหนือ,106.7,พันคน,สำนักงานสถิติแห่งชาติ
มุกดาหาร,2563,หญิง,ไตรมาส 2,131,ภาคตะวันออกเฉียงเหนือ,83.7,พันคน,สำนักงานสถิติแห่งชาติ
ยโสธร,2563,ชาย,ไตรมาส 2,132,ภาคตะวันออกเฉียงเหนือ,146.6,พันคน,สำนักงานสถิติแห่งชาติ
ยโสธร,2563,หญิง,ไตรมาส 2,133,ภาคตะวันออกเฉียงเหนือ,131.2,พันคน,สำนักงานสถิติแห่งชาติ
ร้อยเอ็ด,2563,ชาย,ไตรมาส 2,134,ภาคตะวันออกเฉียงเหนือ,311.6,พันคน,สำนักงานสถิติแห่งชาติ
ร้อยเอ็ด,2563,หญิง,ไตรมาส 2,135,ภาคตะวันออกเฉียงเหนือ,276.4,พันคน,สำนักงานสถิติแห่งชาติ
ศรีสะเกษ,2563,ชาย,ไตรมาส 2,136,ภาคตะวันออกเฉียงเหนือ,307.2,พันคน,สำนักงานสถิติแห่งชาติ
ศรีสะเกษ,2563,หญิง,ไตรมาส 2,137,ภาคตะวันออกเฉียงเหนือ,250.6,พันคน,สำนักงานสถิติแห่งชาติ
สกลนคร,2563,ชาย,ไตรมาส 2,138,ภาคตะวันออกเฉียงเหนือ,229.6,พันคน,สำนักงานสถิติแห่งชาติ
สกลนคร,2563,หญิง,ไตรมาส 2,139,ภาคตะวันออกเฉียงเหนือ,169.0,พันคน,สำนักงานสถิติแห่งชาติ
สุรินทร์,2563,ชาย,ไตรมาส 2,140,ภาคตะวันออกเฉียงเหนือ,288.3,พันคน,สำนักงานสถิติแห่งชาติ
สุรินทร์,2563,หญิง,ไตรมาส 2,141,ภาคตะวันออกเฉียงเหนือ,233.4,พันคน,สำนักงานสถิติแห่งชาติ
หนองคาย,2563,ชาย,ไตรมาส 2,142,ภาคตะวันออกเฉียงเหนือ,117.4,พันคน,สำนักงานสถิติแห่งชาติ
หนองคาย,2563,หญิง,ไตรมาส 2,143,ภาคตะวันออกเฉียงเหนือ,92.2,พันคน,สำนักงานสถิติแห่งชาติ
หนองบัวลำภู,2563,ชาย,ไตรมาส 2,144,ภาคตะวันออกเฉียงเหนือ,130.6,พันคน,สำนักงานสถิติแห่งชาติ
หนองบัวลำภู,2563,หญิง,ไตรมาส 2,145,ภาคตะวันออกเฉียงเหนือ,97.9,พันคน,สำนักงานสถิติแห่งชาติ
อำนาจเจริญ,2563,ชาย,ไตรมาส 2,146,ภาคตะวันออกเฉียงเหนือ,79.9,พันคน,สำนักงานสถิติแห่งชาติ
อำนาจเจริญ,2563,หญิง,ไตรมาส 2,147,ภาคตะวันออกเฉียงเหนือ,65.0,พันคน,สำนักงานสถิติแห่งชาติ
อุดรธานี,2563,ชาย,ไตรมาส 2,148,ภาคตะวันออกเฉียงเหนือ,333.1,พันคน,สำนักงานสถิติแห่งชาติ
สระแก้ว,2568,หญิง,ไตรมาส 4,149,ภาคตะวันออก,171.42,พันคน,สำนักงานสถิติแห่งชาติ
บุรีรัมย์,2568,หญิง,ไตรมาส 4,150,ภาคตะวันออกเฉียงเหนือ,294.74,พันคน,สำนักงานสถิติแห่งชาติ
ปทุมธานี,2563,ชาย,ไตรมาส 3,151,ภาคกลาง,530.6,พันคน,สำนักงานสถิติแห่งชาติ
ปทุมธานี,2563,หญิง,ไตรมาส 3,152,ภาคกลาง,446.2,พันคน,สำนักงานสถิติแห่งชาติ
ประจวบคีรีขันธ์,2563,ชาย,ไตรมาส 3,153,ภาคกลาง,150.0,พันคน,สำนักงานสถิติแห่งชาติ
ประจวบคีรีขันธ์,2563,หญิง,ไตรมาส 3,154,ภาคกลาง,114.5,พันคน,สำนักงานสถิติแห่งชาติ
ปราจีนบุรี,2563,ชาย,ไตรมาส 3,155,ภาคกลาง,197.3,พันคน,สำนักงานสถิติแห่งชาติ
ปราจีนบุรี,2563,หญิง,ไตรมาส 3,156,ภาคกลาง,164.6,พันคน,สำนักงานสถิติแห่งชาติ
พระนครศรีอยุธยา,2563,ชาย,ไตรมาส 3,157,ภาคกลาง,270.0,พันคน,สำนักงานสถิติแห่งชาติ
พระนครศรีอยุธยา,2563,หญิง,ไตรมาส 3,158,ภาคกลาง,230.1,พันคน,สำนักงานสถิติแห่งชาติ
ระยอง,2563,ชาย,ไตรมาส 3,159,ภาคกลาง,328.8,พันคน,สำนักงานสถิติแห่งชาติ
ระยอง,2563,หญิง,ไตรมาส 3,160,ภาคกลาง,267.0,พันคน,สำนักงานสถิติแห่งชาติ
ราชบุรี,2563,ชาย,ไตรมาส 3,161,ภาคกลาง,243.4,พันคน,สำนักงานสถิติแห่งชาติ
ราชบุรี,2563,หญิง,ไตรมาส 3,162,ภาคกลาง,214.6,พันคน,สำนักงานสถิติแห่งชาติ
ลพบุรี,2563,ชาย,ไตรมาส 3,163,ภาคกลาง,248.2,พันคน,สำนักงานสถิติแห่งชาติ
ลพบุรี,2563,หญิง,ไตรมาส 3,164,ภาคกลาง,202.0,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรปราการ,2563,ชาย,ไตรมาส 3,165,ภาคกลาง,728.6,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรปราการ,2563,หญิง,ไตรมาส 3,166,ภาคกลาง,653.7,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรสงคราม,2563,ชาย,ไตรมาส 3,167,ภาคกลาง,60.9,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรสงคราม,2563,หญิง,ไตรมาส 3,168,ภาคกลาง,50.5,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรสาคร,2563,ชาย,ไตรมาส 3,169,ภาคกลาง,381.1,พันคน,สำนักงานสถิติแห่งชาติ
สมุทรสาคร,2563,หญิง,ไตรมาส 3,170,ภาคกลาง,338.8,พันคน,สำนักงานสถิติแห่งชาติ
สระบุรี,2563,ชาย,ไตรมาส 3,171,ภาคกลาง,226.8,พันคน,สำนักงานสถิติแห่งชาติ
สระบุรี,2563,หญิง,ไตรมาส 3,172,ภาคกลาง,177.6,พันคน,สำนักงานสถิติแห่งชาติ
สระแก้ว,2563,ชาย,ไตรมาส 3,173,ภาคกลาง,183.5,พันคน,สำนักงานสถิติแห่งชาติ
สระแก้ว,2563,หญิง,ไตรมาส 3,174,ภาคกลาง,139.1,พันคน,สำนักงานสถิติแห่งชาติ
สิงห์บุรี,2563,ชาย,ไตรมาส 3,175,ภาคกลาง,59.3,พันคน,สำนักงานสถิติแห่งชาติ
สิงห์บุรี,2563,หญิง,ไตรมาส 3,176,ภาคกลาง,51.7,พันคน,สำนักงานสถิติแห่งชาติ
สุพรรณบุรี,2563,ชาย,ไตรมาส 3,177,ภาคกลาง,254.5,พันคน,สำนักงานสถิติแห่งชาติ
สุพรรณบุรี,2563,หญิง,ไตรมาส 3,178,ภาคกลาง,204.6,พันคน,สำนักงานสถิติแห่งชาติ
อ่างทอง,2563,ชาย,ไตรมาส 3,179,ภาคกลาง,72.5,พันคน,สำนักงานสถิติแห่งชาติ
อ่างทอง,2563,หญิง,ไตรมาส 3,180,ภาคกลาง,64.5,พันคน,สำนักงานสถิติแห่งชาติ
เพชรบุรี,2563,ชาย,ไตรมาส 3,181,ภาคกลาง,150.5,พันคน,สำนักงานสถิติแห่งชาติ
เพชรบุรี,2563,หญิง,ไตรมาส 3,182,ภาคกลาง,132.0,พันคน,สำนักงานสถิติแห่งชาติ
กำแพงเพชร,2563,ชาย,ไตรมาส 3,183,ภาคเหนือ,236.2,พันคน,สำนักงานสถิติแห่งชาติ
กำแพงเพชร,2563,หญิง,ไตรมาส 3,184,ภาคเหนือ,194.8,พันคน,สำนักงานสถิติแห่งชาติ
ตาก,2563,ชาย,ไตรมาส 3,185,ภาคเหนือ,141.4,พันคน,สำนักงานสถิติแห่งชาติ
ตาก,2563,หญิง,ไตรมาส 3,186,ภาคเหนือ,99.1,พันคน,สำนักงานสถิติแห่งชาติ
นครสวรรค์,2563,ชาย,ไตรมาส 3,187,ภาคเหนือ,293.5,พันคน,สำนักงานสถิติแห่งชาติ
นครสวรรค์,2563,หญิง,ไตรมาส 3,188,ภาคเหนือ,256.3,พันคน,สำนักงานสถิติแห่งชาติ
น่าน,2563,ชาย,ไตรมาส 3,189,ภาคเหนือ,132.9,พันคน,สำนักงานสถิติแห่งชาติ
น่าน,2563,หญิง,ไตรมาส 3,190,ภาคเหนือ,108.1,พันคน,สำนักงานสถิติแห่งชาติ
พะเยา,2563,ชาย,ไตรมาส 3,191,ภาคเหนือ,122.2,พันคน,สำนักงานสถิติแห่งชาติ
พะเยา,2563,หญิง,ไตรมาส 3,192,ภาคเหนือ,99.0,พันคน,สำนักงานสถิติแห่งชาติ
พิจิตร,2563,ชาย,ไตรมาส 3,193,ภาคเหนือ,158.1,พันคน,สำนักงานสถิติแห่งชาติ
พิจิตร,2563,หญิง,ไตรมาส 3,194,ภาคเหนือ,135.8,พันคน,สำนักงานสถิติแห่งชาติ
พิษณุโลก,2563,ชาย,ไตรมาส 3,195,ภาคเหนือ,264.5,พันคน,สำนักงานสถิติแห่งชาติ
พิษณุโลก,2563,หญิง,ไตรมาส 3,196,ภาคเหนือ,234.1,พันคน,สำนักงานสถิติแห่งชาติ
ลำปาง,2563,ชาย,ไตรมาส 3,197,ภาคเหนือ,222.0,พันคน,สำนักงานสถิติแห่งชาติ
ลำปาง,2563,หญิง,ไตรมาส 3,198,ภาคเหนือ,185.4,พันคน,สำนักงานสถิติแห่งชาติ
ลำพูน,2563,ชาย,ไตรมาส 3,199,ภาคเหนือ,137.1,พันคน,สำนักงานสถิติแห่งชาติ
ลำพูน,2563,หญิง,ไตรมาส 3,200,ภาคเหนือ,127.6,พันคน,สำนักงานสถิติแห่งชาติ
สุโขทัย,2563,ชาย,ไตรมาส 3,201,ภาคเหนือ,176.7,พันคน,สำนักงานสถิติแห่งชาติ
สุรินทร์,2568,ชาย,ไตรมาส 4,202,ภาคตะวันออกเฉียงเหนือ,288.39,พันคน,สำนักงานสถิติแห่งชาติ
อำนาจเจริญ,2563,ชาย,ไตรมาส 3,203,ภาคตะวันออกเฉียงเหนือ,75.3,พันคน,สำนักงานสถิติแห่งชาติ
