จำนวน,_id,ปี,ระดับการศึกษา,สัดส่วน,ไตรมาส
5358,78,2565,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.61,4/2565
108454,79,2565,อุดมศึกษาสายวิชาการ,12.33,4/2565
65810,80,2565,อุดมศึกษาสายวิชาชีพ,7.48,4/2565
23237,81,2565,อุดมศึกษาสายวิชาการศึกษา,2.64,4/2565
863048,82,2565,รวม,100,
101081,83,2565,ต่ำกว่าประถมศึกษา,11.71,
208820,84,2565,ประถมศึกษา,24.2,
184463,85,2565,มัธยมศึกษาตอนต้น,21.37,
169122,86,2565,มัธยมศึกษาตอนปลายสายสามัญ,19.6,
12416,87,2565,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.44,
103890,88,2565,อุดมศึกษาสายวิชาการ,12.04,
59158,89,2565,อุดมศึกษาสายวิชาชีพ,6.85,
24099,90,2565,อุดมศึกษาสายวิชาการศึกษา,2.79,
913968,91,2566,รวม,100,1/2566
112437,92,2566,ต่ำกว่าประถมศึกษา,12.3,1/2566
233821,93,2566,ประถมศึกษา,25.58,1/2566
195958,94,2566,มัธยมศึกษาตอนต้น,21.44,1/2566
178834,95,2566,มัธยมศึกษาตอนปลายสายสามัญ,19.57,1/2566
10684,96,2566,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.17,1/2566
110107,97,2566,อุดมศึกษาสายวิชาการ,12.05,1/2566
58676,98,2566,อุดมศึกษาสายวิชาชีพ,6.42,1/2566
13451,99,2566,อุดมศึกษาสายวิชาการศึกษา,1.47,1/2566
942067,100,2566,รวม,100,2/2566
116712,101,2566,ต่ำกว่าประถมศึกษา,12.39,2/2566
235667,102,2566,ประถมศึกษา,25.02,2/2566
195144,103,2566,มัธยมศึกษาตอนต้น,20.71,2/2566
200679,104,2566,มัธยมศึกษาตอนปลายสายสามัญ,21.3,2/2566
9683,105,2566,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.03,2/2566
96031,106,2566,อุดมศึกษาสายวิชาการ,10.19,2/2566
73587,107,2566,อุดมศึกษาสายวิชาชีพ,7.81,2/2566
14564,108,2566,อุดมศึกษาสายวิชาการศึกษา,1.55,2/2566
961207,109,2566,รวม,100,3/2566
133460,110,2566,ต่ำกว่าประถมศึกษา,13.88,3/2566
263569,111,2566,ประถมศึกษา,27.42,3/2566
196795,112,2566,มัธยมศึกษาตอนต้น,20.47,3/2566
185911,113,2566,มัธยมศึกษาตอนปลายสายสามัญ,19.34,3/2566
8442,114,2566,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.88,3/2566
89748,115,2566,อุดมศึกษาสายวิชาการ,9.34,3/2566
72902,116,2566,อุดมศึกษาสายวิชาชีพ,7.58,3/2566
10380,117,2566,อุดมศึกษาสายวิชาการศึกษา,1.08,3/2566
945595,118,2566,รวม,100,4/2566
117067,119,2566,ต่ำกว่าประถมศึกษา,12.38,4/2566
257287,120,2566,ประถมศึกษา,27.21,4/2566
189768,121,2566,มัธยมศึกษาตอนต้น,20.07,4/2566
203156,122,2566,มัธยมศึกษาตอนปลายสายสามัญ,21.48,4/2566
8351,123,2566,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.88,4/2566
101144,124,2566,อุดมศึกษาสายวิชาการ,10.7,4/2566
58325,125,2566,อุดมศึกษาสายวิชาชีพ,6.17,4/2566
10497,126,2566,อุดมศึกษาสายวิชาการศึกษา,1.11,4/2566
940709,127,2566,รวม,100,
119919,128,2566,ต่ำกว่าประถมศึกษา,12.75,
247586,129,2566,ประถมศึกษา,26.32,
194416,130,2566,มัธยมศึกษาตอนต้น,20.67,
192145,131,2566,มัธยมศึกษาตอนปลายสายสามัญ,20.43,
9290,132,2566,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.99,
99258,133,2566,อุดมศึกษาสายวิชาการ,10.55,
65873,134,2566,อุดมศึกษาสายวิชาชีพ,7,
12223,135,2566,อุดมศึกษาสายวิชาการศึกษา,1.3,
913968,136,2567,รวม,100,1/2567
112437,137,2567,ต่ำกว่าประถมศึกษา,12.3,1/2567
233821,138,2567,ประถมศึกษา,25.58,1/2567
195958,139,2567,มัธยมศึกษาตอนต้น,21.44,1/2567
178834,140,2567,มัธยมศึกษาตอนปลายสายสามัญ,19.57,1/2567
10684,141,2567,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.17,1/2567
110107,142,2567,อุดมศึกษาสายวิชาการ,12.05,1/2567
58676,143,2567,อุดมศึกษาสายวิชาชีพ,6.42,1/2567
13451,144,2567,อุดมศึกษาสายวิชาการศึกษา,1.47,1/2567
942067,145,2567,รวม,100,2/2567
116712,146,2567,ต่ำกว่าประถมศึกษา,12.39,2/2567
235667,147,2567,ประถมศึกษา,25.02,2/2567
195144,148,2567,มัธยมศึกษาตอนต้น,20.71,2/2567
200679,149,2567,มัธยมศึกษาตอนปลายสายสามัญ,21.3,2/2567
9683,150,2567,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,1.03,2/2567
96031,151,2567,อุดมศึกษาสายวิชาการ,10.19,2/2567
73587,152,2567,อุดมศึกษาสายวิชาชีพ,7.81,2/2567
14564,153,2567,อุดมศึกษาสายวิชาการศึกษา,1.55,2/2567
961207,154,2567,รวม,100,3/2567
133460,155,2567,ต่ำกว่าประถมศึกษา,13.88,3/2567
263569,156,2567,ประถมศึกษา,27.42,3/2567
196795,157,2567,มัธยมศึกษาตอนต้น,20.47,3/2567
185911,158,2567,มัธยมศึกษาตอนปลายสายสามัญ,19.34,3/2567
8442,159,2567,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.88,3/2567
89748,160,2567,อุดมศึกษาสายวิชาการ,9.34,3/2567
72902,161,2567,อุดมศึกษาสายวิชาชีพ,7.58,3/2567
10380,162,2567,อุดมศึกษาสายวิชาการศึกษา,1.08,3/2567
945595,163,2567,รวม,100,4/2567
117067,164,2567,ต่ำกว่าประถมศึกษา,12.38,4/2567
257287,165,2567,ประถมศึกษา,27.21,4/2567
189768,166,2567,มัธยมศึกษาตอนต้น,20.07,4/2567
203156,167,2567,มัธยมศึกษาตอนปลายสายสามัญ,21.48,4/2567
8351,168,2567,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.88,4/2567
101144,169,2567,อุดมศึกษาสายวิชาการ,10.7,4/2567
58325,170,2567,อุดมศึกษาสายวิชาชีพ,6.17,4/2567
10497,171,2567,อุดมศึกษาสายวิชาการศึกษา,1.11,4/2567
940709,172,2567,รวม,100,
119919,173,2567,ต่ำกว่าประถมศึกษา,12.75,
247586,174,2567,ประถมศึกษา,26.32,
194416,175,2567,มัธยมศึกษาตอนต้น,20.67,
192145,176,2567,มัธยมศึกษาตอนปลายสายสามัญ,20.43,
9290,177,2567,มัธยมศึกษาตอนปลายสายอาชีวศึกษา,0.99,
99258,178,2567,อุดมศึกษาสายวิชาการ,10.55,
65873,179,2567,อุดมศึกษาสายวิชาชีพ,7,
12223,180,2567,อุดมศึกษาสายวิชาการศึกษา,1.3,
