กลุ่มอายุ,แรงงานในระบบ หญิง (คน),รวมแรงงานนอกระบบ (คน),_id,ปี,หญิง (คน),รวม (คน),รวมแรงงานในระบบ (คน),แรงงานนอกระบบ ชาย (คน),แรงงานนอกระบบ หญิง (คน),จังหวัด,ชาย (คน),แรงงานในระบบ ชาย (คน)
15 - 19,3558.5875,2157.7692,18,2560,4168.2954,9085.944,5527.356499999999869032762944698333740234375,1400.8182999999999083229340612888336181640625,1400.8183,ประจวบคีรีขันธ์,4917.6486,2759.8794
15 - 19,5454.3537,3538.6832,19,2561,2960.8383,8674.6775,3220.323800000000119325704872608184814453125,1915.670499999999947249307297170162200927734375,1915.6705,ประจวบคีรีขันธ์,5713.8392,2175.156
15 - 19,3980.4737,2133.1906,20,2562,2458.7235,6844.2458,2863.772100000000136788003146648406982421875,1847.28310000000010404619388282299041748046875,1847.2831,ประจวบคีรีขันธ์,4385.5223,2252.3317
15 - 19,3577.7221,2208.2021,21,2563,2304.4818,7945.6213,4367.899199999999837018549442291259765625,1369.51999999999998181010596454143524169921875,1369.52,ประจวบคีรีขันธ์,5641.1395,3432.9374
15 - 19,1846.7658,1393.6411,22,2564,1672.9071,5099.1944,3252.4286000000001877197064459323883056640625,453.12470000000001846274244599044322967529296875,453.1247,ประจวบคีรีขันธ์,3426.2873,2032.6462
15 - 19,1710.3117,1710.3117,23,2565,292.1961,3881.6704,2171.35870000000022628228180110454559326171875,0,0,ประจวบคีรีขันธ์,3589.4743,1879.1626
15 - 19,3577.7221,2208.2021,24,2566,2304.4818,7945.6213,4367.899199999999837018549442291259765625,1369.51999999999998181010596454143524169921875,1369.52,ประจวบคีรีขันธ์,5641.1395,3432.9374
20 - 24,10258.5952,5677.8586,25,2555,13909.0655,31577.3602,21318.764999999999417923390865325927734375,4580.73660000000018044374883174896240234375,4580.7366,ประจวบคีรีขันธ์,17668.2947,11990.4361
20 - 24,14436.4912,8796.9951,26,2556,13537.8379,32137.3743,17700.8830999999991036020219326019287109375,5639.49610000000029685907065868377685546875,5639.4961,ประจวบคีรีขันธ์,18599.5364,9802.5413
20 - 24,11881.695,6773.7465,27,2557,10111.6252,27278.1448,15396.449800000000323052518069744110107421875,5107.948500000000422005541622638702392578125,5107.9485,ประจวบคีรีขันธ์,17166.5196,10392.7731
20 - 24,12358.0146,8268.412,28,2558,9890.171,27760.674,15402.65940000000045984052121639251708984375,4089.602600000000165891833603382110595703125,4089.6026,ประจวบคีรีขันธ์,17870.503,9602.091
20 - 24,12893.6495,9251.8597,29,2559,9138.0802,28034.193,15140.54349999999976716935634613037109375,3641.78980000000001382431946694850921630859375,3641.7898,ประจวบคีรีขันธ์,18896.1128,9644.2531
20 - 24,11789.5892,8047.2848,30,2560,10318.8088,28366.1453,16576.556100000001606531441211700439453125,3742.3043999999999869032762944698333740234375,3742.3044,ประจวบคีรีขันธ์,18047.3365,10000.0517
20 - 24,9509.6951,7215.2832,31,2561,10308.3256,28005.2346,18495.539499999998952262103557586669921875,2294.4119000000000596628524363040924072265625,2294.4119,ประจวบคีรีขันธ์,17696.909,10481.6258
20 - 24,11362.1768,8184.7941,32,2562,10835.0083,29417.611,18055.43419999999969149939715862274169921875,3177.382700000000113504938781261444091796875,3177.3827,ประจวบคีรีขันธ์,18582.6027,10397.8086
20 - 24,11378.5932,7601.9327,33,2563,10470.8903,28400.9946,17022.40139999999883002601563930511474609375,3776.660499999999956344254314899444580078125,3776.6605,ประจวบคีรีขันธ์,17930.1043,10328.1716
20 - 24,11952.9842,8482.0337,34,2564,8451.8467,24790.4523,12837.468100000000049476511776447296142578125,3470.9504999999999199644662439823150634765625,3470.9505,ประจวบคีรีขันธ์,16338.6056,7856.5719
20 - 24,7671.7175,5162.787,35,2565,10043.2769,23106.6126,15434.895099999999729334376752376556396484375,2508.93049999999993815436027944087982177734375,2508.9305,ประจวบคีรีขันธ์,13063.3357,7900.5487
20 - 24,11378.5932,7601.9327,36,2566,10470.8903,28400.9946,17022.40139999999883002601563930511474609375,3776.660499999999956344254314899444580078125,3776.6605,ประจวบคีรีขันธ์,17930.1043,10328.1716
25 - 29,13001.5925,8846.0126,37,2555,14545.4362,32982.8376,19981.2451000000000931322574615478515625,4155.5798999999997249688021838665008544921875,4155.5799,ประจวบคีรีขันธ์,18437.4014,9591.3888
25 - 29,14476.2218,8771.1861,38,2556,14271.1208,33575.4585,19099.2367000000012922100722789764404296875,5705.0357000000003608874976634979248046875,5705.0357,ประจวบคีรีขันธ์,19304.3377,10533.1516
25 - 29,14176.3878,8844.9936,39,2557,13188.7722,31587.0924,17410.70460000000093714334070682525634765625,5331.3941999999997278791852295398712158203125,5331.3942,ประจวบคีรีขันธ์,18398.3202,9553.3266
25 - 29,13294.2244,8098.0682,40,2558,11147.7591,30121.1278,16826.90339999999923747964203357696533203125,5196.1562000000003536115400493144989013671875,5196.1562,ประจวบคีรีขันธ์,18973.3687,10875.3005
25 - 29,12506.4835,6746.1533,41,2559,11376.4803,29582.9697,17076.486199999999371357262134552001953125,5760.33020000000033178366720676422119140625,5760.3302,ประจวบคีรีขันธ์,18206.4894,11460.3361
25 - 29,9138.72309999999,6048.3054,42,2560,11014.7179,29765.757,20627.03389999999853898771107196807861328125,3090.417699999999967985786497592926025390625,3090.4177,ประจวบคีรีขันธ์,18751.0391,12702.7337
25 - 29,11076.1416,6918.0509,43,2561,12172.4373,30742.7273,19666.58569999999963329173624515533447265625,4158.0906999999997424311004579067230224609375,4158.0907,ประจวบคีรีขันธ์,18570.29,11652.2391
25 - 29,9235.737,5730.3772,44,2562,12014.7702,29210.7791,19975.0420999999987543560564517974853515625,3505.359800000000177533365786075592041015625,3505.3598,ประจวบคีรีขันธ์,17196.0089,11465.6317
25 - 29,11792.7057,7744.6805,45,2563,12197.7239,30502.554,18709.84830000000147265382111072540283203125,4048.02520000000004074536263942718505859375,4048.0252,ประจวบคีรีขันธ์,18304.8301,10560.1496
25 - 29,13446.6799,7517.3784,46,2564,12089.1206,30116.198,16669.518100000001140870153903961181640625,5929.301499999999577994458377361297607421875,5929.3015,ประจวบคีรีขันธ์,18027.0774,10509.699
25 - 29,11270.4697,7456.0329,47,2565,12332.856,29275.6311,18005.16140000000086729414761066436767578125,3814.43679999999994834070093929767608642578125,3814.4368,ประจวบคีรีขันธ์,16942.7751,9486.7422
25 - 29,11792.7057,7744.6805,48,2566,12197.7239,30502.554,18709.84830000000147265382111072540283203125,4048.02520000000004074536263942718505859375,4048.0252,ประจวบคีรีขันธ์,18304.8301,10560.1496
30 - 34,14948.643,8467.7684,49,2555,16738.4812,39185.9719,24237.3289000000004307366907596588134765625,6480.8746000000001004082150757312774658203125,6480.8746,ประจวบคีรีขันธ์,22447.4907,13979.7223
30 - 34,17503.5508,9987.2358,50,2556,15895.7473,36526.2738,19022.72300000000177533365786075592041015625,7516.3149999999995998223312199115753173828125,7516.315,ประจวบคีรีขันธ์,20630.5265,10643.2907
30 - 34,13097.2859,8139.3485,51,2557,13492.3812,31297.386,18200.10009999999965657480061054229736328125,4957.9373999999997977283783257007598876953125,4957.9374,ประจวบคีรีขันธ์,17805.0048,9665.6563
30 - 34,15075.9062,9593.6093,52,2558,14497.1347,31974.4114,16898.505199999999604187905788421630859375,5482.2969000000002779415808618068695068359375,5482.2969,ประจวบคีรีขันธ์,17477.2767,7883.6674
30 - 34,15338.6347,8122.208,53,2559,13441.6603,30722.652,15384.0172999999995226971805095672607421875,7216.42669999999998253770172595977783203125,7216.4267,ประจวบคีรีขันธ์,17280.9917,9158.7837
30 - 34,13734.872,7803.0281,54,2560,12515.3261,29376.1575,15641.285499999999956344254314899444580078125,5931.8438999999998486600816249847412109375,5931.8439,ประจวบคีรีขันธ์,16860.8314,9057.8033
30 - 34,14277.2531,8802.383,55,2561,12082.4292,29305.5563,15028.303200000000288127921521663665771484375,5474.8701000000000931322574615478515625,5474.8701,ประจวบคีรีขันธ์,17223.1271,8420.7441
30 - 34,12176.4131,7335.774,56,2562,10481.4954,26841.2625,14664.8493999999991501681506633758544921875,4840.63910000000032596290111541748046875,4840.6391,ประจวบคีรีขันธ์,16359.7671,9023.9931
30 - 34,13892.8034,8623.7096,57,2563,11528.0976,28329.9327,14437.12930000000051222741603851318359375,5269.0937999999996463884599506855010986328125,5269.0938,ประจวบคีรีขันธ์,16801.8351,8178.1255
30 - 34,11051.6176,7328.0408,58,2564,10442.9741,27519.9164,16468.29880000000048312358558177947998046875,3723.5767999999998210114426910877227783203125,3723.5768,ประจวบคีรีขันธ์,17076.9423,9748.9015
30 - 34,11138.4019,6355.5367,59,2565,11206.565,28458.2262,17319.8243000000002211891114711761474609375,4782.865200000000186264514923095703125,4782.8652,ประจวบคีรีขันธ์,17251.6612,10896.1245
30 - 34,13892.8034,8623.7096,60,2566,11528.0976,28329.9327,14437.12930000000051222741603851318359375,5269.0937999999996463884599506855010986328125,5269.0938,ประจวบคีรีขันธ์,16801.8351,8178.1255
35 - 39,16368.1494,9745.0323,61,2555,15338.5173,37117.1674,20749.01800000000002910383045673370361328125,6623.1171000000003914465196430683135986328125,6623.1171,ประจวบคีรีขันธ์,21778.6501,12033.6178
35 - 39,20532.2207,11293.1906,62,2556,17092.425,39869.2072999999,19336.98660000000018044374883174896240234375,9239.03009999999994761310517787933349609375,9239.0301,ประจวบคีรีขันธ์,22776.7823,11483.5917
35 - 39,18366.2433,9984.03440000001,63,2557,16207.0484,34369.6778,16003.43449999999938881956040859222412109375,8382.208899999999630381353199481964111328125,8382.2089,ประจวบคีรีขันธ์,18162.6294,8178.595
35 - 39,17816.5705,10224.5324,64,2558,14544.5055,32198.5314,14381.960900000000037834979593753814697265625,7592.038099999999758438207209110260009765625,7592.0381,ประจวบคีรีขันธ์,17654.0259,7429.4935
35 - 39,16547.2842,9513.4065,65,2559,14028.8714,31294.0506,14746.7664000000004307366907596588134765625,7033.8777000000000043655745685100555419921875,7033.8777,ประจวบคีรีขันธ์,17265.1792,7751.7727
35 - 39,14113.5621,7748.1406,66,2560,13060.814,29413.5299,15299.967800000000352156348526477813720703125,6365.42150000000037834979593753814697265625,6365.4215,ประจวบคีรีขันธ์,16352.7159,8604.5753
35 - 39,12127.8991,6673.3149,67,2561,12931.8452,28834.0447,16706.14559999999983119778335094451904296875,5454.5842000000002371962182223796844482421875,5454.5842,ประจวบคีรีขันธ์,15902.1995,9228.8846
35 - 39,13234.2046,7833.8495,68,2562,12507.1562,28645.4214,15411.216800000000148429535329341888427734375,5400.3550999999997657141648232936859130859375,5400.3551,ประจวบคีรีขันธ์,16138.2652,8304.4157
35 - 39,12554.3055,7487.32,69,2563,11603.7353,26708.7275,14154.422000000000480213202536106109619140625,5066.9854999999997744453139603137969970703125,5066.9855,ประจวบคีรีขันธ์,15104.9922,7617.6722
35 - 39,12761.7004,7608.8553,70,2564,11491.0837,26809.5855,14047.885099999999511055648326873779296875,5152.8450999999995474354363977909088134765625,5152.8451,ประจวบคีรีขันธ์,15318.5018,7709.6465
35 - 39,11911.5468,6641.8698,71,2565,10925.6807,26247.4405,14335.893700000000535510480403900146484375,5269.67699999999967985786497592926025390625,5269.677,ประจวบคีรีขันธ์,15321.7598,8679.89
35 - 39,12554.3055,7487.32,72,2566,11603.7353,26708.7275,14154.422000000000480213202536106109619140625,5066.9854999999997744453139603137969970703125,5066.9855,ประจวบคีรีขันธ์,15104.9922,7617.6722
40 - 44,16631.6588,7423.8006,73,2555,16976.9816,34759.9765,18128.317699999999604187905788421630859375,9207.858200000000579166226089000701904296875,9207.8582,ประจวบคีรีขันธ์,17782.9949,10359.1943
40 - 44,20293.3814,10554.2168,74,2556,16458.6816,33483.1958,13189.81439999999929568730294704437255859375,9739.16460000000006402842700481414794921875,9739.1646,ประจวบคีรีขันธ์,17024.5142,6470.2974
40 - 44,17130.4464,7995.7511,75,2557,14385.9193,31188.2174,14057.7710000000006402842700481414794921875,9134.6952999999994062818586826324462890625,9134.6953,ประจวบคีรีขันธ์,16802.2981,8806.547
40 - 44,16961.5532,9131.2052,76,2558,13278.1509,29664.38,12702.826800000000730506144464015960693359375,7830.347999999999956344254314899444580078125,7830.348,ประจวบคีรีขันธ์,16386.2291,7255.0239
40 - 44,22566.1008,12938.2907,77,2559,15048.4991,33531.397,10965.29620000000068102963268756866455078125,9627.810100000000602449290454387664794921875,9627.8101,ประจวบคีรีขันธ์,18482.8979,5544.6072
40 - 44,18805.684,10676.6973,78,2560,15116.9989,34190.736,15385.05199999999967985786497592926025390625,8128.9867000000003827153705060482025146484375,8128.9867,ประจวบคีรีขันธ์,19073.7371,8397.0398
40 - 44,15720.8568,8284.9372,79,2561,14879.5723,31309.029,15588.17220000000088475644588470458984375,7435.9196000000001731677912175655364990234375,7435.9196,ประจวบคีรีขันธ์,16429.4567,8144.5195
40 - 44,11714.1609,6646.8205,80,2562,10978.808,26374.0019,14659.841000000000349245965480804443359375,5067.3404000000000451109372079372406005859375,5067.3404,ประจวบคีรีขันธ์,15395.1939,8748.3734
40 - 44,13498.1674,8423.7554,81,2563,12777.9287,30684.4647,17186.2972999999983585439622402191162109375,5074.41200000000026193447411060333251953125,5074.412,ประจวบคีรีขันธ์,17906.536,9482.7806
40 - 44,13305.9649,7505.1759,82,2564,12678.6795,30565.2811,17259.31620000000111758708953857421875,5800.7889999999997598933987319469451904296875,5800.789,ประจวบคีรีขันธ์,17886.6016,10381.4257
40 - 44,13280.4455,7336.3905,83,2565,12878.6752,30146.0104,16865.56490000000121654011309146881103515625,5944.0550000000002910383045673370361328125,5944.055,ประจวบคีรีขันธ์,17267.3352,9930.9447
40 - 44,13280.4455,7336.3905,84,2566,12878.6752,30146.0104,16865.56490000000121654011309146881103515625,5944.0550000000002910383045673370361328125,5944.055,ประจวบคีรีขันธ์,17267.3352,9930.9447
45 - 49,21448.6704,9734.8723,85,2555,18288.1595,37445.5472999999,15996.87689999999929568730294704437255859375,11713.798099999999976716935634613037109375,11713.7981,ประจวบคีรีขันธ์,19157.3878,9422.5155
45 - 49,29043.5817,15774.2096,86,2556,18925.1268,39358.4885,10314.90680000000065774656832218170166015625,13269.3721000000005005858838558197021484375,13269.3721,ประจวบคีรีขันธ์,20433.3617,4659.1521
45 - 49,24775.1155,12555.9832,87,2557,17658.9708,35367.5528,10592.437299999999595456756651401519775390625,12219.132299999999304418452084064483642578125,12219.1323,ประจวบคีรีขันธ์,17708.582,5152.5988
45 - 49,20506.6681,9160.2286,88,2558,16214.0091,33435.8395,12929.1713999999992665834724903106689453125,11346.4395000000004074536263942718505859375,11346.4395,ประจวบคีรีขันธ์,17221.8304,8061.6018
45 - 49,16885.1627,7522.4394,89,2559,14516.0405,28734.8418,11849.679099999999380088411271572113037109375,9362.723299999999653664417564868927001953125,9362.7233,ประจวบคีรีขันธ์,14218.8013,6696.3619
45 - 49,15498.9906,7334.0564,90,2560,13950.4501,27511.3434,12012.3528000000005704350769519805908203125,8164.93419999999969149939715862274169921875,8164.9342,ประจวบคีรีขันธ์,13560.8933,6226.8369
45 - 49,16170.1317,8379.2347,91,2561,13721.1629,30618.9823,14448.850599999999758438207209110260009765625,7790.8969999999999345163814723491668701171875,7790.897,ประจวบคีรีขันธ์,16897.8194,8518.5847
45 - 49,17096.5495,7961.1804,92,2562,15782.6354,33187.4832,16090.933699999999589635990560054779052734375,9135.36909999999988940544426441192626953125,9135.3691,ประจวบคีรีขันธ์,17404.8478,9443.66740000001
45 - 49,13718.4796,6242.0204,93,2563,14401.9584,28584.6078,14866.1281999999991967342793941497802734375,7476.4592000000002371962182223796844482421875,7476.4592,ประจวบคีรีขันธ์,14182.6494,7940.629
45 - 49,14567.1589,6836.8273,94,2564,13310.3954,26560.1404,11992.981499999999869032762944698333740234375,7730.3316000000004351022653281688690185546875,7730.3316,ประจวบคีรีขันธ์,13249.745,6412.9177
45 - 49,14500.3013,7582.1899,95,2565,15388.6543,30227.3472,15727.045899999999164720065891742706298828125,6918.111399999999775900505483150482177734375,6918.1114,ประจวบคีรีขันธ์,14838.6929,7256.503
45 - 49,14500.3013,7582.1899,96,2566,15388.6543,30227.3472,15727.045899999999164720065891742706298828125,6918.111399999999775900505483150482177734375,6918.1114,ประจวบคีรีขันธ์,14838.6929,7256.503
50 - 54,18910.9493,9149.47240000001,97,2555,15186.6156,32084.1379,13173.188599999999496503733098506927490234375,9761.476900000010573421604931354522705078125,9761.47690000001,ประจวบคีรีขันธ์,16897.5223,7748.0499
50 - 54,22099.6207,10088.2739,98,2556,17455.8099,35568.3898,13468.769099999999525607563555240631103515625,12011.3467999999993480741977691650390625,12011.3468,ประจวบคีรีขันธ์,18112.5799,8024.306
50 - 54,18484.9529,8580.842,99,2557,14610.6362,28915.8666,10430.913699999999153078533709049224853515625,9904.11089999999967403709888458251953125,9904.1109,ประจวบคีรีขันธ์,14305.2304,5724.3884
50 - 54,17976.5406,9728.2817,100,2558,12259.6666,26826.3313,8849.790699999999560532160103321075439453125,8248.258900000000721774995326995849609375,8248.2589,ประจวบคีรีขันธ์,14566.6647,4838.383
50 - 54,20935.7599,10520.6224,101,2559,13947.3935,30271.4563,9335.696400000000721774995326995849609375,10415.13750000000072759576141834259033203125,10415.1375,ประจวบคีรีขันธ์,16324.0628,5803.4404
50 - 54,18727.9491,8813.7973,102,2560,13072.5916,29076.6208,10348.671700000000782893039286136627197265625,9914.1517999999996391125023365020751953125,9914.1518,ประจวบคีรีขันธ์,16004.0292,7190.2319
50 - 54,18870.3906,9378.0415,103,2561,13142.0653,28418.5969,9548.206299999999828287400305271148681640625,9492.3490999999994528479874134063720703125,9492.3491,ประจวบคีรีขันธ์,15276.5316,5898.4901
50 - 54,17377.07,8913.4273,104,2562,13211.8184,27045.3494,9668.279399999999441206455230712890625,8463.64270000000033178366720676422119140625,8463.6427,ประจวบคีรีขันธ์,13833.531,4920.1037
50 - 54,18239.5632,8813.6166,105,2563,13427.8293,26654.472,8414.908799999999246210791170597076416015625,9425.94659999999930732883512973785400390625,9425.9466,ประจวบคีรีขันธ์,13226.6427,4413.0261
50 - 54,18676.7275,9834.0868,106,2564,12304.6985,27197.2802,8520.552700000000186264514923095703125,8842.64069999999992433004081249237060546875,8842.6407,ประจวบคีรีขันธ์,14892.5817,5058.4949
50 - 54,20628.6816,9477.5535,107,2565,15254.8626,31601.0344,10972.3528000000005704350769519805908203125,11151.128099999999903957359492778778076171875,11151.1281,ประจวบคีรีขันธ์,16346.1718,6868.6183
50 - 54,20628.6816,9477.5535,108,2566,15254.8626,31601.0344,10972.3528000000005704350769519805908203125,11151.128099999999903957359492778778076171875,11151.1281,ประจวบคีรีขันธ์,16346.1718,6868.6183
55 - 59,14128.7668,5478.172,109,2555,11153.1368,22355.4558,8226.689000000000305590219795703887939453125,8650.594800000000759609974920749664306640625,8650.5948,ประจวบคีรีขันธ์,11202.319,5724.147
55 - 59,14434.9796,6085.0351,110,2556,10420.3041,21489.6898,7054.7102000000004409230314195156097412109375,8349.944499999999607098288834095001220703125,8349.9445,ประจวบคีรีขันธ์,11069.3857,4984.3506
55 - 59,16162.8889,9518.0256,111,2557,9034.32020000001,20563.0898,4400.20089999999981955625116825103759765625,6644.8632999999999810825102031230926513671875,6644.8633,ประจวบคีรีขันธ์,11528.7696,2010.744
55 - 59,15180.1911,7717.0051,112,2558,10673.7764,22405.0857,7224.89459999999962747097015380859375,7463.185999999999694409780204296112060546875,7463.186,ประจวบคีรีขันธ์,11731.3093,4014.3042
55 - 59,15010.8396,8426.0449,113,2559,10614.8002,21459.9265,6449.086900000000241561792790889739990234375,6584.794700000000375439412891864776611328125,6584.7947,ประจวบคีรีขันธ์,10845.1263,2419.0814
55 - 59,15266.9547,7632.1252,114,2560,10701.4004,22633.6155,7366.660799999999653664417564868927001953125,7634.8294999999998253770172595977783203125,7634.8295,ประจวบคีรีขันธ์,11932.2151,4300.0899
55 - 59,17314.1849,8278.9321,115,2561,12064.5901,24306.8904,6992.70550000000002910383045673370361328125,9035.2528000000093015842139720916748046875,9035.25280000001,ประจวบคีรีขันธ์,12242.3003,3963.3682
55 - 59,16639.0034,9420.8667,116,2562,10713.4041,24511.2199,7872.216500000000451109372079372406005859375,7218.1367000000000189174897968769073486328125,7218.1367,ประจวบคีรีขันธ์,13797.8158,4376.9491
55 - 59,17073.4591,8646.2542,117,2563,11167.1206,24265.5594,7192.100300000000061118043959140777587890625,8427.20490000000063446350395679473876953125,8427.2049,ประจวบคีรีขันธ์,13098.4388,4452.1846
55 - 59,14706.2652,7127.0006,118,2564,10933.9816,23553.5523,8847.287099999999554711394011974334716796875,7579.264600000000427826307713985443115234375,7579.2646,ประจวบคีรีขันธ์,12619.5707,5492.5701
55 - 59,17117.1845,9736.8596,119,2565,13744.4674,28352.6285,11235.44399999999950523488223552703857421875,7380.3248999999996158294379711151123046875,7380.3249,ประจวบคีรีขันธ์,14608.1611,4871.3015
55 - 59,17073.4591,8646.2542,120,2566,11167.1206,24265.5594,7192.100300000000061118043959140777587890625,8427.20490000000063446350395679473876953125,8427.2049,ประจวบคีรีขันธ์,13098.4388,4452.1846
60 ขึ้นไป,22094.0132,11108.9333,121,2555,12823.822,25630.2655,3536.2523000000001047737896442413330078125,10985.07990000000063446350395679473876953125,10985.0799,ประจวบคีรีขันธ์,12806.4435,1697.5102
60 ขึ้นไป,24361.8245,13337.9774,122,2556,12388.833,27906.6729,3544.8483999999998559360392391681671142578125,11023.847100000000864383764564990997314453125,11023.8471,ประจวบคีรีขันธ์,15517.8399,2179.8625
60 ขึ้นไป,18830.004,9771.05009999999,123,2557,10697.5424,23711.9123,4881.9083000000000538420863449573516845703125,9058.9539000000004307366907596588134765625,9058.9539,ประจวบคีรีขันธ์,13014.3699,3243.3198
60 ขึ้นไป,22748.1701,12250.0989,124,2558,11943.2529,26607.2802,3859.110099999999874853529036045074462890625,10498.071200000000317231751978397369384765625,10498.0712,ประจวบคีรีขันธ์,14664.0273,2413.9284
60 ขึ้นไป,26257.7717,13252.9893,125,2559,14363.4382,30352.6765,4094.90479999999979554559104144573211669921875,13004.78240000000005238689482212066650390625,13004.7824,ประจวบคีรีขันธ์,15989.2383,2736.249
60 ขึ้นไป,23011.1443,12332.0712,126,2560,13421.8187,28813.0078,5801.8635000000003856257535517215728759765625,10679.073099999999612919054925441741943359375,10679.0731,ประจวบคีรีขันธ์,15391.1891,3059.1179
60 ขึ้นไป,26488.9706,14843.5386,127,2561,13359.1888,30696.0693,4207.0986999999995532562024891376495361328125,11645.43200000000069849193096160888671875,11645.432,ประจวบคีรีขันธ์,17336.8805,2493.3419
60 ขึ้นไป,21532.2632,12279.68,128,2562,11038.9267,25290.7125,3758.4493000000002211891114711761474609375,9252.583199999999123974703252315521240234375,9252.5832,ประจวบคีรีขันธ์,14251.7858,1972.1058
60 ขึ้นไป,25737.7871,14023.1591,129,2563,13391.5301,29997.5242,4259.737100000000282307155430316925048828125,11714.62800000000061118043959140777587890625,11714.628,ประจวบคีรีขันธ์,16605.9941,2582.835
60 ขึ้นไป,29060.6672,16560.7584,130,2564,14687.4182,32860.132,3799.46480000000019572325982153415679931640625,12499.908799999999246210791170597076416015625,12499.9088,ประจวบคีรีขันธ์,18172.7138,1611.9554
60 ขึ้นไป,30788.9779,14869.8976,131,2565,18714.6325,37552.2343,6763.256400000000212457962334156036376953125,15919.080299999999624560587108135223388671875,15919.0803,ประจวบคีรีขันธ์,18837.6018,3967.7042
60 ขึ้นไป,25737.7871,14023.1591,132,2566,13391.5301,29997.5242,4259.737100000000282307155430316925048828125,11714.62800000000061118043959140777587890625,11714.628,ประจวบคีรีขันธ์,16605.9941,2582.835
