วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2570-01-07T00:00:00,176,GI(E) 3-922,บริษัท สุขสมบูรณ์กรีนเพาเวอร์ จำกัด,176,02/07/2567,ชลบุรี
2570-02-07T00:00:00,177,GI(E) 3-925,บริษัท ไทยโตโยโฟม อีสเทอร์น จำกัด,177,03/07/2567,ชลบุรี
2570-02-07T00:00:00,178,GI(E) 3-928,บริษัท มิตซูมิ (ไทยแลนด์) จำกัด,178,03/07/2567,ชลบุรี
2570-07-07T00:00:00,179,GI(E) 3-941,บริษัท อีโคแมเนจเม้นท์ อินดัสเตรียล จำกัด,179,08/07/2567,ชลบุรี
2570-07-07T00:00:00,180,GI(E) 3-942,บริษัท เคซเท็ม (ไทยเเลนด์) จำกัด,180,08/07/2567,ชลบุรี
2570-07-07T00:00:00,181,GI(E) 3-944,บริษัท อิชิ อลูมิเนียม (ประเทศไทย) จำกัด,181,08/07/2567,ชลบุรี
2570-10-07T00:00:00,182,GI(E) 3-951,บริษัท แอร์ ลิควิค (ประเทศไทย) จำกัด,182,11/07/2567,ชลบุรี
2570-10-07T00:00:00,183,GI(E) 3-952,บริษัท ไทยผลิตภัณฑ์ยิบซั่ม จำกัด (มหาชน) โรงงานแหลมฉบัง,183,11/07/2567,ชลบุรี
2570-07-14T00:00:00,184,GI(E) 3-963,บริษัท นิคเคอิ เอ็มซี อลูมินัม (ประเทศไทย) จำกัด,184,15/07/2567,ชลบุรี
2570-07-24T00:00:00,185,GI(E) 3-973,บริษัท ไอเอชไอ เทอร์โบ (ประเทศไทย) จำกัด,185,25/07/2567,ชลบุรี
2570-05-08T00:00:00,186,GI(E) 3-995,บริษัท อินโนเวชั่น โพลีมิกซ์ จำกัด,186,06/08/2567,ชลบุรี
2570-05-08T00:00:00,187,GI(E) 3-996,บริษัท ไทยซัมมิท พลาสเทค จำกัด,187,06/08/2567,ชลบุรี
2570-05-08T00:00:00,188,GI(E) 3-1001,บริษัท เมทเทิลคอม จำกัด,188,06/08/2567,ชลบุรี
2570-07-08T00:00:00,189,GI(E) 3-1020,บริษัท คลีน เท็กซ์ (ไทยแลนด์) จำกัด,189,08/08/2567,ชลบุรี
2570-12-08T00:00:00,190,GI(E) 3-1025,บริษัท เจ.โอ.บี. คอนตรัคชั่น จำกัด,190,13/08/2567,ชลบุรี
2570-08-19T00:00:00,191,GI(E) 3-1036,บริษัท โคคุซัง พาร์ท (ประเทศไทย) จำกัด,191,20/08/2567,ชลบุรี
2570-08-25T00:00:00,192,GI(E) 3-1042,บริษัท อมตะ ฟาซิลิตี้ เซอร์วิส จำกัด,192,26/08/2567,ชลบุรี
2570-08-26T00:00:00,193,GI(E) 3-1075,บริษัท เออห์ลินส์ เอเซีย จำกัด,193,27/08/2567,ชลบุรี
2570-08-27T00:00:00,194,GI(E) 3-1083,บริษัท ไอวัน เทคโนโลยี (ประเทศไทย) จำกัด,194,28/08/2567,ชลบุรี
