ที่มา,เลขทะเบียน,_id,ปี,ชื่อโรงงาน,รายการ,ที่อยู่,จังหวัด
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,ศ3-11(6)-1/34นม,26,2568,บริษัท คอนร์นโปรดักส์ อำมาด๊าส (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,350 ม.4 ซ. ถ.นครราชสีมา-โชคชัย ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.-,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-66-7/33นม,27,2568,ห้างหุ้นส่วนจำกัด โคราชสงวนการช่าง,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,107 ม.2 ซ.บ้านหนองตะลุมปุ๊ก ถ.นครราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.252709,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-88-7/47นม,28,2568,,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,88 ม.5 ซ.- ถ.นิเวศรัตน์ ต.ด่านช้าง อ.บัวใหญ่ จ.นครราชสีมา 30120 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-53(4)-19/52นม,29,2568,บริษัท วาวา แพค จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,"52/1, 52/2, 52/3 ม.3 ซ. ถ. ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.",นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-64(13)-138/48นม,30,2568,บริษัท หนองงูเหลือม อินดัสทรี จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,999 ม.2 ซ.- ถ.- ต.หนองงูเหลือม อ.เฉลิมพระเกียรติ จ.นครราชสีมา 30000 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-66-1/32นม,31,2568,ห้างหุ้นส่วนจำกัด ปากช่อง-ธีระบริการ,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,885 ม. ซ. ถ.มิตรภาพ ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130 โทร.311226,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-77(2)-2/43นม,32,2568,บริษัท ไดซิน จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,324 ม.6 ซ.- ถ.ราชสีมา-โชคชัย ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-212964-5,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,ศ3-15(2)-1/38นม,33,2568,บริษัท แหลมทองโพลทริ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,1/10 ม.8 ซ.- ถ.มิตรภาพ ต.สูงเนิน อ.สูงเนิน จ.นครราชสีมา 30170 โทร.(044) 419646-8,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-70-1/40นม,34,2568,บริษัท เอส.ดับบลิว แอนด์ ซันส์ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,222-223 ม.6 ซ. ถ.มิตรภาพ ต.โคกกรวด อ.เมืองนครราชสีมา จ.นครราชสีมา 30280 โทร.044-395222-31,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-71-2/39นม,35,2568,บริษัท คายาม่า เอ็นจิเนียริ่ง จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,359 ม.6 ซ. ถ.นครราชสีมา-โชคชัย ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-42(1)-1/39นม,36,2568,บริษัท ยูเอซี แอ็ดวานซ์ โพลิเมอร์ แอนด์ เคมีคัลส์ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,50 ม.3 ซ. ถ.สีคิ้ว-ด่านขุนทด กม.7.5 ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.044-419937,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-53(4)-18/52นม,37,2568,บริษัท ซี.พี.สหอุตสาหกรรม จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,140 ม.16 ซ. ถ.มิตรภาพ ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340 โทร.044-325029,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-53(4)-1/30นม,38,2568,บริษัท กระสอบปากช่อง จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,158 ม.2 ซ. ถ.มิตรภาพ กม.ที่ 174 ต.หนองสาหร่าย อ.ปากช่อง จ.นครราชสีมา 30130 โทร.044-279608-17,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,ศ3-9(2)-1/39นม,39,2568,บริษัท เยนเนอรัล ฟู้ด โปรดักส์ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,89 ม.3 ซ.- ถ.สีคิ้ว - ชัยภูมิ ต.วังโรงใหญ่ อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.044-411985,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-34(1)-18/65นม,40,2568,บริษัท 9แสนก้าว(ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,369 ม.11 ซ.- ถ.- ต.หลุ่งประดู่ อ.ห้วยแถลง จ.นครราชสีมา 30240 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-11(6)-1/41นม,41,2568,,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,43/1 ม.3 ซ. ถ.สีคิ้ว-ด่านขุนทด ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/20นม,42,2568,บริษัท ที.เอช.แพลเล็ท จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,36-37 ม. 3 ซ. ถ.สีคิ้ว-ชัยภูมิ ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140 โทร.411052,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/36นม,43,2568,บริษัท เยนเนรัล สตาร์ช จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,99 ม. 6 ซ.- ถ.โชคชัย-ครบุรี ต.อรพิมพ์ อ.ครบุรี จ.นครราชสีมา 30250 โทร.044-446100,นครราชสีมา
