_id,ค่าข้อมูล,ปี,ที่มา,อำเภอ,หน่วยนับ,รายการ
17,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
18,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
19,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
20,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
21,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
22,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
23,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
24,-,2562,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
25,50.00,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
26,50.00,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
27,50.00,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
28,50.00,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
29,50.00,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
30,67.69,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
31,-,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
32,-,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
33,-,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
34,-,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
35,-,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
36,-,2563,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
37,80.00,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
38,80.00,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
39,80.00,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
40,78.00,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
41,80.00,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
42,78.00,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
43,-,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
44,-,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
45,-,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
46,-,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
47,-,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
48,-,2564,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
49,80.00,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
50,80.00,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
51,80.00,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
52,65.00,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
53,70.00,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
54,60.00,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
55,-,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
56,-,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
57,-,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
58,-,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
59,-,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
60,-,2565,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
61,80.00,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
62,70.00,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
63,80.00,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
64,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
65,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
66,70.00,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
67,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
68,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
69,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
70,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
71,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
72,-,2566,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
73,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
74,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
75,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
76,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
77,140.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
78,130.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
79,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
80,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
81,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
82,150.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
83,130.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
84,100.00,2567,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
85,66.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเมืองนครพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
86,60.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอปลาปาก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
87,60.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอท่าอุเทน,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
88,50.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอบ้านแพง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
89,50.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอธาตุพนม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
90,61.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอเรณูนคร,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
91,54.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาแก,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
92,50.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอศรีสงคราม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
93,60.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาหว้า,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
94,60.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอโพนสวรรค์,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
95,60.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอนาทม,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
96,45.00,2568,สำนักงานเกษตรจังหวัดนครพนม,อำเภอวังยาง,บาท,ราคาผลผลิตลิ้นจี่ นพ.1 ต่อกิโลกรัม
