จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,ไตรมาส
236397.44,151,2562,ลูกจ้างเอกชน,รวม,ไตรมาส 1
218874.66,152,2562,ลูกจ้างเอกชน,รวม,ไตรมาส 2
215903.21,153,2562,ลูกจ้างเอกชน,รวม,ไตรมาส 3
226194.28,154,2562,ลูกจ้างเอกชน,รวม,ไตรมาส 4
224342.3975,155,2562,ลูกจ้างเอกชน,รวม,เฉลี่ย 4 ไตรมาส
145394.3,156,2562,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 1
134520.15,157,2562,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 2
135304.54,158,2562,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 3
135776.26,159,2562,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 4
137748.8125,160,2562,ลูกจ้างเอกชน,ชาย                         ,เฉลี่ย 4 ไตรมาส
91003.15,161,2562,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 1
84354.51,162,2562,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 2
80598.67,163,2562,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 3
90418.02,164,2562,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 4
86593.5875,165,2562,ลูกจ้างเอกชน,หญิง                        ,เฉลี่ย 4 ไตรมาส
79140.66,166,2562,ทำงานส่วนตัว,รวม,ไตรมาส 1
80604.19,167,2562,ทำงานส่วนตัว,รวม,ไตรมาส 2
79182.06,168,2562,ทำงานส่วนตัว,รวม,ไตรมาส 3
79234.87,169,2562,ทำงานส่วนตัว,รวม,ไตรมาส 4
79540.445,170,2562,ทำงานส่วนตัว,รวม,เฉลี่ย 4 ไตรมาส
36783.84,171,2562,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 1
39944.22,172,2562,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 2
36505.53,173,2562,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 3
34984.66,174,2562,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 4
37054.5625,175,2562,ทำงานส่วนตัว,ชาย                         ,เฉลี่ย 4 ไตรมาส
42356.82,176,2562,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 1
40659.97,177,2562,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 2
42676.53,178,2562,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 3
44250.2,179,2562,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 4
42485.880000000005,180,2562,ทำงานส่วนตัว,หญิง                        ,เฉลี่ย 4 ไตรมาส
30420.94,181,2562,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 1
39271.73,182,2562,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 2
37543.43,183,2562,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 3
37071.41,184,2562,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 4
36076.8775,185,2562,ช่วยธุรกิจครัวเรือน,รวม,เฉลี่ย 4 ไตรมาส
11040.55,186,2562,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 1
16339.71,187,2562,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 2
18384.24,188,2562,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 3
17440.46,189,2562,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 4
