จำนวน,กลุ่มอายุ,_id,ปี,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
307112,40 - 44,56,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
246126,45 - 49,57,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
165369,50 - 54,58,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
90206,55 - 59,59,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
38027,60 ขึ้นไป,60,2555,หญิง,ภาคกลาง,แรงงานในระบบ,คน
87308,15 - 19,61,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
174308,20 - 24,62,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
210995,25 - 29,63,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
221701,30 - 34,64,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
246844,35 - 39,65,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
277306,40 - 44,66,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
311797,45 - 49,67,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
272182,50 - 54,68,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
253985,55 - 59,69,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
318123,60 ขึ้นไป,70,2555,ชาย,ภาคกลาง,แรงงานนอกระบบ,คน
40956,15 - 19,71,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
105575,20 - 24,72,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
128362,25 - 29,73,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
181115,30 - 34,74,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
231589,35 - 39,75,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
286459,40 - 44,76,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
326414,45 - 49,77,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
295907,50 - 54,78,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
242848,55 - 59,79,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
272975,60 ขึ้นไป,80,2555,หญิง,ภาคกลาง,แรงงานนอกระบบ,คน
3395,15 - 19,81,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
25034,20 - 24,82,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
39752,25 - 29,83,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
47660,30 - 34,84,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
53022,35 - 39,85,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
55412,40 - 44,86,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
35553,45 - 49,87,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
25787,50 - 54,88,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
15590,55 - 59,89,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
3502,60 ขึ้นไป,90,2555,ชาย,สมุทรปราการ,แรงงานในระบบ,คน
3998,15 - 19,91,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
33406,20 - 24,92,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
47650,25 - 29,93,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
56196,30 - 34,94,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
50395,35 - 39,95,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
40241,40 - 44,96,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
30647,45 - 49,97,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
18288,50 - 54,98,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
7452,55 - 59,99,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
2190,60 ขึ้นไป,100,2555,หญิง,สมุทรปราการ,แรงงานในระบบ,คน
1961,15 - 19,101,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
1687,20 - 24,102,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
2308,25 - 29,103,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
9414,30 - 34,104,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
13350,35 - 39,105,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
14233,40 - 44,106,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
15246,45 - 49,107,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
12342,50 - 54,108,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
12938,55 - 59,109,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
10090,60 ขึ้นไป,110,2555,ชาย,สมุทรปราการ,แรงงานนอกระบบ,คน
0,15 - 19,111,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
2539,20 - 24,112,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
3674,25 - 29,113,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
2694,30 - 34,114,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
14082,35 - 39,115,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
10850,40 - 44,116,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
12933,45 - 49,117,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
13974,50 - 54,118,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
10322,55 - 59,119,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
7383,60 ขึ้นไป,120,2555,หญิง,สมุทรปราการ,แรงงานนอกระบบ,คน
4962,15 - 19,121,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
12697,20 - 24,122,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
24477,25 - 29,123,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
30898,30 - 34,124,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
31311,35 - 39,125,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
26551,40 - 44,126,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
31418,45 - 49,127,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
20502,50 - 54,128,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
13646,55 - 59,129,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
7746,60 ขึ้นไป,130,2555,ชาย,นนทบุรี,แรงงานในระบบ,คน
1879,15 - 19,131,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
14235,20 - 24,132,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
19027,25 - 29,133,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
35314,30 - 34,134,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
30893,35 - 39,135,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
35236,40 - 44,136,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
25257,45 - 49,137,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
17799,50 - 54,138,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
9774,55 - 59,139,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
1840,60 ขึ้นไป,140,2555,หญิง,นนทบุรี,แรงงานในระบบ,คน
296,15 - 19,141,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
4022,20 - 24,142,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
8172,25 - 29,143,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
8726,30 - 34,144,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
9584,35 - 39,145,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
12869,40 - 44,146,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
12003,45 - 49,147,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
11906,50 - 54,148,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
7788,55 - 59,149,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
6202,60 ขึ้นไป,150,2555,ชาย,นนทบุรี,แรงงานนอกระบบ,คน
0,15 - 19,151,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
1596,20 - 24,152,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
3313,25 - 29,153,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
4483,30 - 34,154,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
11029,35 - 39,155,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
9196,40 - 44,156,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
9753,45 - 49,157,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
7915,50 - 54,158,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
8667,55 - 59,159,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
4234,60 ขึ้นไป,160,2555,หญิง,นนทบุรี,แรงงานนอกระบบ,คน
1849,15 - 19,161,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
12432,20 - 24,162,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
18681,25 - 29,163,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
32347,30 - 34,164,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
32003,35 - 39,165,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
28282,40 - 44,166,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
18822,45 - 49,167,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
16280,50 - 54,168,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
10231,55 - 59,169,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
1935,60 ขึ้นไป,170,2555,ชาย,ปทุมธานี,แรงงานในระบบ,คน
1913,15 - 19,171,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
9659,20 - 24,172,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
23175,25 - 29,173,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
28264,30 - 34,174,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
32389,35 - 39,175,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
21770,40 - 44,176,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
15400,45 - 49,177,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
10919,50 - 54,178,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
4518,55 - 59,179,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
1144,60 ขึ้นไป,180,2555,หญิง,ปทุมธานี,แรงงานในระบบ,คน
501,15 - 19,181,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
2527,20 - 24,182,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
9355,25 - 29,183,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
6137,30 - 34,184,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
7662,35 - 39,185,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
10091,40 - 44,186,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
14398,45 - 49,187,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
8704,50 - 54,188,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
7011,55 - 59,189,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
5519,60 ขึ้นไป,190,2555,ชาย,ปทุมธานี,แรงงานนอกระบบ,คน
769,15 - 19,191,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
1387,20 - 24,192,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
4770,25 - 29,193,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
8307,30 - 34,194,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
8863,35 - 39,195,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
13351,40 - 44,196,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
13044,45 - 49,197,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
13464,50 - 54,198,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
5989,55 - 59,199,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
3926,60 ขึ้นไป,200,2555,หญิง,ปทุมธานี,แรงงานนอกระบบ,คน
4223,15 - 19,201,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
17997,20 - 24,202,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
18850,25 - 29,203,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
22481,30 - 34,204,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
24136,35 - 39,205,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
20204,40 - 44,206,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
15686,45 - 49,207,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
9962,50 - 54,208,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
6140,55 - 59,209,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
4300,60 ขึ้นไป,210,2555,ชาย,พระนครศรีอยุธยา,แรงงานในระบบ,คน
2149,15 - 19,211,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
11233,20 - 24,212,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
18585,25 - 29,213,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
24503,30 - 34,214,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
27589,35 - 39,215,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
12442,40 - 44,216,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
18664,45 - 49,217,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
8417,50 - 54,218,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
3078,55 - 59,219,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
2000,60 ขึ้นไป,220,2555,หญิง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
734,15 - 19,221,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
5814,20 - 24,222,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
7195,25 - 29,223,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
7355,30 - 34,224,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
9128,35 - 39,225,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
14735,40 - 44,226,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
9463,45 - 49,227,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
15786,50 - 54,228,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
8331,55 - 59,229,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
12281,60 ขึ้นไป,230,2555,ชาย,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
1302,15 - 19,231,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
2731,20 - 24,232,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
5072,25 - 29,233,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
6530,30 - 34,234,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
5579,35 - 39,235,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
8129,40 - 44,236,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
14658,45 - 49,237,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
11300,50 - 54,238,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
8623,55 - 59,239,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
11126,60 ขึ้นไป,240,2555,หญิง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
1430,15 - 19,241,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
5966,20 - 24,242,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
7007,25 - 29,243,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
5934,30 - 34,244,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
4456,35 - 39,245,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
4586,40 - 44,246,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
3831,45 - 49,247,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
3277,50 - 54,248,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
3406,55 - 59,249,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
1237,60 ขึ้นไป,250,2555,ชาย,อ่างทอง,แรงงานในระบบ,คน
1009,15 - 19,251,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
6030,20 - 24,252,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
5979,25 - 29,253,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
5965,30 - 34,254,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
5996,35 - 39,255,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
4549,40 - 44,256,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
4589,45 - 49,257,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
2937,50 - 54,258,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
2388,55 - 59,259,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
1488,60 ขึ้นไป,260,2555,หญิง,อ่างทอง,แรงงานในระบบ,คน
1767,15 - 19,261,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
2635,20 - 24,262,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
2527,25 - 29,263,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
3108,30 - 34,264,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
3726,35 - 39,265,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
4677,40 - 44,266,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
5384,45 - 49,267,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
3910,50 - 54,268,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
4901,55 - 59,269,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
8176,60 ขึ้นไป,270,2555,ชาย,อ่างทอง,แรงงานนอกระบบ,คน
417,15 - 19,271,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
1535,20 - 24,272,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
1913,25 - 29,273,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
2698,30 - 34,274,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
2407,35 - 39,275,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
3628,40 - 44,276,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
5976,45 - 49,277,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
5440,50 - 54,278,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
6632,55 - 59,279,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
7579,60 ขึ้นไป,280,2555,หญิง,อ่างทอง,แรงงานนอกระบบ,คน
3219,15 - 19,281,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
13518,20 - 24,282,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
14695,25 - 29,283,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
14005,30 - 34,284,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
11598,35 - 39,285,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
8722,40 - 44,286,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
10825,45 - 49,287,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
4333,50 - 54,288,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
4276,55 - 59,289,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
2572,60 ขึ้นไป,290,2555,ชาย,ลพบุรี,แรงงานในระบบ,คน
1410,15 - 19,291,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
11372,20 - 24,292,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
18001,25 - 29,293,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
13813,30 - 34,294,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
11822,35 - 39,295,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
10463,40 - 44,296,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
6495,45 - 49,297,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
6785,50 - 54,298,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
3054,55 - 59,299,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
1211,60 ขึ้นไป,300,2555,หญิง,ลพบุรี,แรงงานในระบบ,คน
5952,15 - 19,301,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
12428,20 - 24,302,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
14299,25 - 29,303,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
19761,30 - 34,304,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
20233,35 - 39,305,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
18666,40 - 44,306,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
19058,45 - 49,307,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
21032,50 - 54,308,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
18321,55 - 59,309,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
22870,60 ขึ้นไป,310,2555,ชาย,ลพบุรี,แรงงานนอกระบบ,คน
1703,15 - 19,311,2555,หญิง,ลพบุรี,แรงงานนอกระบบ,คน
6456,20 - 24,312,2555,หญิง,ลพบุรี,แรงงานนอกระบบ,คน
7960,25 - 29,313,2555,หญิง,ลพบุรี,แรงงานนอกระบบ,คน
