จำนวน,ชนิดของพืชไร่,_id,ปี,รายการ
4814.66,มันแกว,84,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
40873,มันสำปะหลังโรงงาน,85,2563,เนื้อที่เพาะปลูก (ไร่)
40062,มันสำปะหลังโรงงาน,86,2563,เนื้อที่เก็บเกี่ยว (ไร่)
120123,มันสำปะหลังโรงงาน,87,2563,ผลผลิต (ตัน)
2998,มันสำปะหลังโรงงาน,88,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
108603,อ้อยโรงงาน,89,2563,เนื้อที่เพาะปลูก (ไร่)
108603,อ้อยโรงงาน,90,2563,เนื้อที่เก็บเกี่ยว (ไร่)
718626.051,อ้อยโรงงาน,91,2563,ผลผลิต (ตัน)
6617,อ้อยโรงงาน,92,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5662,หญ้าเลี้ยงสัตว์,93,2563,เนื้อที่เพาะปลูก (ไร่)
5662,หญ้าเลี้ยงสัตว์,94,2563,เนื้อที่เก็บเกี่ยว (ไร่)
8778.931,หญ้าเลี้ยงสัตว์,95,2563,ผลผลิต (ตัน)
1550.5,หญ้าเลี้ยงสัตว์,96,2563,ผลผลิตเฉลี่ยต่อไร่ (กก.)
173433.47,ข้าวโพดเลี้ยงสัตว์,97,2564,เนื้อที่เพาะปลูก (ไร่)
160205.47,ข้าวโพดเลี้ยงสัตว์,98,2564,เนื้อที่เก็บเกี่ยว (ไร่)
152195.2,ข้าวโพดเลี้ยงสัตว์,99,2564,ผลผลิต (ตัน)
950,ข้าวโพดเลี้ยงสัตว์,100,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
8781.5,ถั่วเขียวผิวมัน,101,2564,เนื้อที่เพาะปลูก (ไร่)
8781.5,ถั่วเขียวผิวมัน,102,2564,เนื้อที่เก็บเกี่ยว (ไร่)
1668.49,ถั่วเขียวผิวมัน,103,2564,ผลผลิต (ตัน)
190,ถั่วเขียวผิวมัน,104,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
216.75,ถั่วลิสง,105,2564,เนื้อที่เพาะปลูก (ไร่)
219.75,ถั่วลิสง,106,2564,เนื้อที่เก็บเกี่ยว (ไร่)
65.03,ถั่วลิสง,107,2564,ผลผลิต (ตัน)
300,ถั่วลิสง,108,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
67.93,ทานตะวัน,109,2564,เนื้อที่เพาะปลูก (ไร่)
67.93,ทานตะวัน,110,2564,เนื้อที่เก็บเกี่ยว (ไร่)
16.98,ทานตะวัน,111,2564,ผลผลิต (ตัน)
250,ทานตะวัน,112,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
340.5,มันแกว,113,2564,เนื้อที่เพาะปลูก (ไร่)
340.5,มันแกว,114,2564,เนื้อที่เก็บเกี่ยว (ไร่)
1362,มันแกว,115,2564,ผลผลิต (ตัน)
4000,มันแกว,116,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
55161.25,มันสำปะหลังโรงงาน,117,2564,เนื้อที่เพาะปลูก (ไร่)
55161.25,มันสำปะหลังโรงงาน,118,2564,เนื้อที่เก็บเกี่ยว (ไร่)
206854.69,มันสำปะหลังโรงงาน,119,2564,ผลผลิต (ตัน)
3750,มันสำปะหลังโรงงาน,120,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
81915.25,อ้อยโรงงาน,121,2564,เนื้อที่เพาะปลูก (ไร่)
81915.25,อ้อยโรงงาน,122,2564,เนื้อที่เก็บเกี่ยว (ไร่)
733141.49,อ้อยโรงงาน,123,2564,ผลผลิต (ตัน)
8950,อ้อยโรงงาน,124,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
4218.27,หญ้าเลี้ยงสัตว์,125,2564,เนื้อที่เพาะปลูก (ไร่)
4218.27,หญ้าเลี้ยงสัตว์,126,2564,เนื้อที่เก็บเกี่ยว (ไร่)
13287.55,หญ้าเลี้ยงสัตว์,127,2564,ผลผลิต (ตัน)
3150,หญ้าเลี้ยงสัตว์,128,2564,ผลผลิตเฉลี่ยต่อไร่ (กก.)
139202.5,ข้าวโพดเลี้ยงสัตว์,129,2565,เนื้อที่เพาะปลูก (ไร่)
135369,ข้าวโพดเลี้ยงสัตว์,130,2565,เนื้อที่เก็บเกี่ยว (ไร่)
98819.37,ข้าวโพดเลี้ยงสัตว์,131,2565,ผลผลิต (ตัน)
730,ข้าวโพดเลี้ยงสัตว์,132,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
12633,ถั่วเขียวผิวมัน,133,2565,เนื้อที่เพาะปลูก (ไร่)
7316,ถั่วเขียวผิวมัน,134,2565,เนื้อที่เก็บเกี่ยว (ไร่)
1353.46,ถั่วเขียวผิวมัน,135,2565,ผลผลิต (ตัน)
185,ถั่วเขียวผิวมัน,136,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
22.5,ถั่วลิสง,137,2565,เนื้อที่เพาะปลูก (ไร่)
22.5,ถั่วลิสง,138,2565,เนื้อที่เก็บเกี่ยว (ไร่)
6.75,ถั่วลิสง,139,2565,ผลผลิต (ตัน)
300,ถั่วลิสง,140,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
180,ทานตะวัน,141,2565,เนื้อที่เพาะปลูก (ไร่)
180,ทานตะวัน,142,2565,เนื้อที่เก็บเกี่ยว (ไร่)
50.4,ทานตะวัน,143,2565,ผลผลิต (ตัน)
280,ทานตะวัน,144,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
829,มันแกว,145,2565,เนื้อที่เพาะปลูก (ไร่)
769,มันแกว,146,2565,เนื้อที่เก็บเกี่ยว (ไร่)
1840.986,มันแกว,147,2565,ผลผลิต (ตัน)
2394,มันแกว,148,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
48629.7,มันสำปะหลังโรงงาน,149,2565,เนื้อที่เพาะปลูก (ไร่)
47352.95,มันสำปะหลังโรงงาน,150,2565,เนื้อที่เก็บเกี่ยว (ไร่)
169997.0905,มันสำปะหลังโรงงาน,151,2565,ผลผลิต (ตัน)
3590,มันสำปะหลังโรงงาน,152,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
55261.25,อ้อยโรงงาน,153,2565,เนื้อที่เพาะปลูก (ไร่)
55237.25,อ้อยโรงงาน,154,2565,เนื้อที่เก็บเกี่ยว (ไร่)
444770.337,อ้อยโรงงาน,155,2565,ผลผลิต (ตัน)
8052,อ้อยโรงงาน,156,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
22135,หญ้าเลี้ยงสัตว์,157,2565,เนื้อที่เพาะปลูก (ไร่)
22062,หญ้าเลี้ยงสัตว์,158,2565,เนื้อที่เก็บเกี่ยว (ไร่)
69495.3,หญ้าเลี้ยงสัตว์,159,2565,ผลผลิต (ตัน)
3150,หญ้าเลี้ยงสัตว์,160,2565,ผลผลิตเฉลี่ยต่อไร่ (กก.)
"170,440.00",ข้าวโพดเลี้ยงสัตว์,161,2566,เนื้อที่เพาะปลูก (ไร่)
"167,723.00",ข้าวโพดเลี้ยงสัตว์,162,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"165,867.98",ข้าวโพดเลี้ยงสัตว์,163,2566,ผลผลิต (ตัน)
973.18,ข้าวโพดเลี้ยงสัตว์,164,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
"26,378.50",ถั่วเขียวผิวมัน,165,2566,เนื้อที่เพาะปลูก (ไร่)
"26,378.50",ถั่วเขียวผิวมัน,166,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"4,760.99",ถั่วเขียวผิวมัน,167,2566,ผลผลิต (ตัน)
180.49,ถั่วเขียวผิวมัน,168,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
35,ถั่วลิสง,169,2566,เนื้อที่เพาะปลูก (ไร่)
35,ถั่วลิสง,170,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"7,000.00",ถั่วลิสง,171,2566,ผลผลิต (ตัน)
200,ถั่วลิสง,172,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
430,ทานตะวัน,173,2566,เนื้อที่เพาะปลูก (ไร่)
430,ทานตะวัน,174,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"43,000.00",ทานตะวัน,175,2566,ผลผลิต (ตัน)
100,ทานตะวัน,176,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
659,มันแกว,177,2566,เนื้อที่เพาะปลูก (ไร่)
659,มันแกว,178,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"1,498.00",มันแกว,179,2566,ผลผลิต (ตัน)
"2,370.25",มันแกว,180,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
"47,428.50",มันสำปะหลังโรงงาน,181,2566,เนื้อที่เพาะปลูก (ไร่)
"47,218.50",มันสำปะหลังโรงงาน,182,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"192,248.92",มันสำปะหลังโรงงาน,183,2566,ผลผลิต (ตัน)
"4,053.45",มันสำปะหลังโรงงาน,184,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
"12,721.19",หญ้าเลี้ยงสัตว์,185,2566,เนื้อที่เพาะปลูก (ไร่)
"12,721.19",หญ้าเลี้ยงสัตว์,186,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"13,522.62",หญ้าเลี้ยงสัตว์,187,2566,ผลผลิต (ตัน)
"1,063.00",หญ้าเลี้ยงสัตว์,188,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
"50,480.50",อ้อยโรงงาน,189,2566,เนื้อที่เพาะปลูก (ไร่)
"49,215.50",อ้อยโรงงาน,190,2566,เนื้อที่เก็บเกี่ยว (ไร่)
"540,549.98",อ้อยโรงงาน,191,2566,ผลผลิต (ตัน)
"10,708.09",อ้อยโรงงาน,192,2566,ผลผลิตเฉลี่ยต่อไร่ (กก.)
