จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
17.2,25,2567,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
28.0,26,2567,ประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
36.5,27,2567,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
18.3,28,2567,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 3,ร้อยละ
16.0,29,2567,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 4,ร้อยละ
28.3,30,2567,ประถมศึกษา,ระดับการศึกษา ไตรมาส 4,ร้อยละ
37.5,31,2567,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 4,ร้อยละ
18.2,32,2567,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 4,ร้อยละ
13.4,33,2568,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
28.4,34,2568,ประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
39.0,35,2568,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
19.2,36,2568,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 1,ร้อยละ
15.0,37,2568,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
30.4,38,2568,ประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
37.9,39,2568,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
16.7,40,2568,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 2,ร้อยละ
15.6,41,2568,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
30.5,42,2568,ประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
38.4,43,2568,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
15.5,44,2568,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 3,ร้อยละ
13.4,45,2568,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
28.4,46,2568,ประถมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
39.0,47,2568,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 1,ร้อยละ
19.2,48,2568,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 1,ร้อยละ
15.0,49,2568,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
30.4,50,2568,ประถมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
37.9,51,2568,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 2,ร้อยละ
16.7,52,2568,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 2,ร้อยละ
15.6,53,2568,ไม่มีการศึกษา ต่ำกว่าประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
30.5,54,2568,ประถมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
38.4,55,2568,มัธยมศึกษา,ระดับการศึกษา ไตรมาส 3,ร้อยละ
15.5,56,2568,มหาวิทยาลัย,ระดับการศึกษา ไตรมาส 3,ร้อยละ
