ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,25,2565,ธวัชบุรี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,26,2565,พนมไพร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"13,302.00",27,2565,โพนทอง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"11,416.00",28,2565,โพธิ์ชัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"30,008.00",29,2565,หนองพอก,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"3,274.44",30,2565,เสลภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,31,2565,สุวรรณภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,32,2565,เมืองสรวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,33,2565,โพนทราย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,34,2565,อาจสามารถ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"14,685.00",35,2565,เมยวดี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,36,2565,ศรีสมเด็จ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,37,2565,จังหาร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,38,2565,เชียงขวัญ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,39,2565,หนองฮี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,40,2565,ทุ่งเขาหลวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,41,2566,เมืองร้อยเอ็ด,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
754,42,2566,เกษตรวิสัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
192.75,43,2566,ปทุมรัตต์,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
330,44,2566,จตุรพักตรพิมาน,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
169,45,2566,ธวัชบุรี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,46,2566,พนมไพร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"14,460.00",47,2566,โพนทอง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"18,768.00",48,2566,โพธิ์ชัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"30,008.00",49,2566,หนองพอก,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"3,274.44",50,2566,เสลภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,51,2566,สุวรรณภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,52,2566,เมืองสรวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,53,2566,โพนทราย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,54,2566,อาจสามารถ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"13,335.00",55,2566,เมยวดี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,56,2566,ศรีสมเด็จ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,57,2566,จังหาร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,58,2566,เชียงขวัญ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,59,2566,หนองฮี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,60,2566,ทุ่งเขาหลวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,61,2567,เมืองร้อยเอ็ด,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"1,219.00",62,2567,เกษตรวิสัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
192.75,63,2567,ปทุมรัตต์,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
690.5,64,2567,จตุรพักตรพิมาน,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
492,65,2567,ธวัชบุรี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,66,2567,พนมไพร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"43,766.00",67,2567,โพนทอง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"12,028.00",68,2567,โพธิ์ชัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"30,008.00",69,2567,หนองพอก,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"3,274.44",70,2567,เสลภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,71,2567,สุวรรณภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,72,2567,เมืองสรวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,73,2567,โพนทราย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,74,2567,อาจสามารถ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"14,025.00",75,2567,เมยวดี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,76,2567,ศรีสมเด็จ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,77,2567,จังหาร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,78,2567,เชียงขวัญ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,79,2567,หนองฮี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
38,80,2567,ทุ่งเขาหลวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,81,2568,เมืองร้อยเอ็ด,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
695,82,2568,เกษตรวิสัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
192.75,83,2568,ปทุมรัตต์,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
390.5,84,2568,จตุรพักตรพิมาน,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
438,85,2568,ธวัชบุรี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,86,2568,พนมไพร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"35,612.00",87,2568,โพนทอง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"3,836.00",88,2568,โพธิ์ชัย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"32,908.00",89,2568,หนองพอก,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"3,274.44",90,2568,เสลภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,91,2568,สุวรรณภูมิ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,92,2568,เมืองสรวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,93,2568,โพนทราย,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,94,2568,อาจสามารถ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
"12,260.00",95,2568,เมยวดี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,96,2568,ศรีสมเด็จ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,97,2568,จังหาร,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,98,2568,เชียงขวัญ,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,99,2568,หนองฮี,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
38,100,2568,ทุ่งเขาหลวง,พื้นที่เพาะปลูกอ้อยโรงงาน,ร้อยเอ็ด,ไร่
