﻿year,quarter,_id,labor_force_sta,region,value,unit,age_group,source
2556,ไตรมาส 1,32,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,4.54,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,33,หางานทำ,ภาคเหนือ,0.11,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,34,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,2.87,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,35,หางานทำ,ภาคเหนือ,0.68,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,36,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,0.4,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,37,หางานทำ,ภาคเหนือ,0.64,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,38,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,1.8,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,39,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,1.61,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,40,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,0.46,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,41,หางานทำ,ภาคตะวันออกเฉียงเหนือ,1.34,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,42,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,15.13,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,43,หางานทำ,ภาคตะวันออกเฉียงเหนือ,15.78,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,44,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,33.59,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,45,หางานทำ,ภาคตะวันออกเฉียงเหนือ,2.64,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,46,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,16.81,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,47,หางานทำ,ภาคตะวันออกเฉียงเหนือ,3.59,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,48,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,9.19,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,49,หางานทำ,ภาคตะวันออกเฉียงเหนือ,0.13,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,50,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,3.04,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,51,หางานทำ,ภาคตะวันออกเฉียงเหนือ,1.12,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,52,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,3.15,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,53,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,1.08,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,54,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,0.5,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,55,หางานทำ,ภาคใต้,1.9,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,56,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,3.55,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,57,หางานทำ,ภาคใต้,1.95,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,58,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,27.74,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,59,หางานทำ,ภาคใต้,4.18,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,60,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,5.03,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,61,หางานทำ,ภาคใต้,1.31,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,62,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,3.32,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,63,หางานทำ,ภาคใต้,0.71,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,64,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,1.36,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,65,หางานทำ,ภาคใต้,0.68,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,66,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,1.14,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,67,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,1.63,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 1,68,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,0.32,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,69,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,1.6,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,70,หางานทำ,กรุงเทพมหานคร,1.61,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,71,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,7.05,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,72,หางานทำ,กรุงเทพมหานคร,1.2,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,73,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,4.06,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,74,หางานทำ,กรุงเทพมหานคร,1.69,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,75,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,2.19,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,76,หางานทำ,กรุงเทพมหานคร,0.57,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,77,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,2.07,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,78,หางานทำ,กรุงเทพมหานคร,0.28,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,79,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,3.17,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,80,หางานทำ,กรุงเทพมหานคร,1.03,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,81,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,1.66,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,82,หางานทำ,ภาคกลาง,3.49,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,83,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,7.25,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,84,หางานทำ,ภาคกลาง,9.86,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,85,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,25.52,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,86,หางานทำ,ภาคกลาง,4.9,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,87,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,9.81,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,88,หางานทำ,ภาคกลาง,2.69,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,89,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,3.84,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,90,หางานทำ,ภาคกลาง,2.42,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,91,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,1.53,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,92,หางานทำ,ภาคกลาง,0.86,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,93,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,3.9,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,94,หางานทำ,ภาคกลาง,0.71,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,95,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,1.75,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,96,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,0.18,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,97,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,1.71,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,98,หางานทำ,ภาคเหนือ,8.85,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,99,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,13.8,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,100,หางานทำ,ภาคเหนือ,1.15,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,101,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,3.92,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,102,หางานทำ,ภาคเหนือ,0.39,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,103,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,2.83,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,104,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,0.74,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,105,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,2.66,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,106,หางานทำ,ภาคเหนือ,0.06,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,107,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,3.24,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,108,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,0.21,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,109,หางานทำ,ภาคตะวันออกเฉียงเหนือ,1.37,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,110,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,12.03,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,111,หางานทำ,ภาคตะวันออกเฉียงเหนือ,10.96,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,112,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,20.01,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,113,หางานทำ,ภาคตะวันออกเฉียงเหนือ,6.19,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,114,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,21.45,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,115,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,2.94,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,116,หางานทำ,ภาคตะวันออกเฉียงเหนือ,2.14,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,117,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,2.27,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,118,หางานทำ,ภาคตะวันออกเฉียงเหนือ,3.24,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,119,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,6.39,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,120,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคตะวันออกเฉียงเหนือ,1.45,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,121,หางานทำ,ภาคใต้,2.78,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,122,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,6.56,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,123,หางานทำ,ภาคใต้,6.19,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,124,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,17.52,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,125,หางานทำ,ภาคใต้,3.03,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,126,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,10.92,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,127,หางานทำ,ภาคใต้,0.48,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,128,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,3.33,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,129,หางานทำ,ภาคใต้,0.27,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,130,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,0.56,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,131,หางานทำ,ภาคใต้,0.74,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,132,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,2.51,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,133,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคใต้,0.24,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 2,134,หางานทำ,ภาคใต้,0.11,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,135,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,1.47,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,136,หางานทำ,กรุงเทพมหานคร,1.23,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,137,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,5.01,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,138,หางานทำ,กรุงเทพมหานคร,2.44,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,139,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,7.4,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,140,หางานทำ,กรุงเทพมหานคร,1.25,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,141,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,5.15,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,142,หางานทำ,กรุงเทพมหานคร,2.07,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,143,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,0.64,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,144,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,2.6,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,145,หางานทำ,กรุงเทพมหานคร,0.83,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,146,ไม่หางานทำ/พร้อมที่จะทำงาน,กรุงเทพมหานคร,0.66,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,147,หางานทำ,ภาคกลาง,3.25,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,148,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,7.93,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,149,หางานทำ,ภาคกลาง,8.61,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,150,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,25.49,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,151,หางานทำ,ภาคกลาง,5.1,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,152,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,11.43,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,153,หางานทำ,ภาคกลาง,1.47,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,154,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,4.41,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,155,หางานทำ,ภาคกลาง,0.54,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,156,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,4.56,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,157,หางานทำ,ภาคกลาง,1.74,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,158,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,3.89,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,159,หางานทำ,ภาคกลาง,1.26,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,160,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคกลาง,1.31,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,161,หางานทำ,ภาคเหนือ,0.18,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,162,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,3.06,พันคน,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,163,หางานทำ,ภาคเหนือ,4.5,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,164,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,15.3,พันคน,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,165,หางานทำ,ภาคเหนือ,0.4,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,166,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,12.49,พันคน,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,167,หางานทำ,ภาคเหนือ,0.45,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,168,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,1.25,พันคน,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,169,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,1.11,พันคน,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,170,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,5.6,พันคน,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,171,หางานทำ,ภาคเหนือ,0.01,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,172,ไม่หางานทำ/พร้อมที่จะทำงาน,ภาคเหนือ,4.35,พันคน,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,ไตรมาส 3,173,หางานทำ,ภาคเหนือ,0.07,พันคน,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
