AGE_GROUP,VALUE,ST_GRADUATE,SOURCE,_id,UNIT,YEAR,LABOUR_STATUS
60 ขึ้นไป,17631,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,27,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,571007,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,28,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,8633,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,29,คน,2557,ทำงานด้านอื่น
20 ถึง 29,453957,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,30,คน,2557,ทำงานด้านอื่น
30 ถึง 39,528704,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,31,คน,2557,ทำงานด้านอื่น
40 ถึง 49,263600,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,32,คน,2557,ทำงานด้านอื่น
50 ถึง 59,156919,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,33,คน,2557,ทำงานด้านอื่น
60 ขึ้นไป,24118,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,34,คน,2557,ทำงานด้านอื่น
รวม,1435931,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,35,คน,2557,ทำงานด้านอื่น
15 ถึง 19,2600,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,36,คน,2557,ผู้ว่างงาน
20 ถึง 29,41980,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,37,คน,2557,ผู้ว่างงาน
30 ถึง 39,5685,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,38,คน,2557,ผู้ว่างงาน
40 ถึง 49,696,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,39,คน,2557,ผู้ว่างงาน
50 ถึง 59,494,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,40,คน,2557,ผู้ว่างงาน
60 ขึ้นไป,0,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,41,คน,2557,ผู้ว่างงาน
รวม,51455,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,42,คน,2557,ผู้ว่างงาน
15 ถึง 19,21922,รวม,สำนักงานสถิติแห่งชาติ,43,คน,2558,รวม
20 ถึง 29,1245739,รวม,สำนักงานสถิติแห่งชาติ,44,คน,2558,รวม
30 ถึง 39,1465832,รวม,สำนักงานสถิติแห่งชาติ,45,คน,2558,รวม
40 ถึง 49,771202,รวม,สำนักงานสถิติแห่งชาติ,46,คน,2558,รวม
50 ถึง 59,397668,รวม,สำนักงานสถิติแห่งชาติ,47,คน,2558,รวม
60 ขึ้นไป,66653,รวม,สำนักงานสถิติแห่งชาติ,48,คน,2558,รวม
รวม,3969016,รวม,สำนักงานสถิติแห่งชาติ,49,คน,2558,รวม
15 ถึง 19,8478,รวม,สำนักงานสถิติแห่งชาติ,50,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,741700,รวม,สำนักงานสถิติแห่งชาติ,51,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,903153,รวม,สำนักงานสถิติแห่งชาติ,52,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,478904,รวม,สำนักงานสถิติแห่งชาติ,53,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,233044,รวม,สำนักงานสถิติแห่งชาติ,54,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,39828,รวม,สำนักงานสถิติแห่งชาติ,55,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,2405107,รวม,สำนักงานสถิติแห่งชาติ,56,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,6979,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,57,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,594581,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,58,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,665978,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,59,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,355850,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,60,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,153878,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,61,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,21463,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,62,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,1798729,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,63,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,1499,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,64,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,147119,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,65,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,237175,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,66,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,123054,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,67,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,79166,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,68,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,18365,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,69,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,606378,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,70,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,11821,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,71,คน,2558,ทำงานด้านอื่น
20 ถึง 29,460371,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,72,คน,2558,ทำงานด้านอื่น
30 ถึง 39,554956,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,73,คน,2558,ทำงานด้านอื่น
40 ถึง 49,290583,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,74,คน,2558,ทำงานด้านอื่น
50 ถึง 59,164083,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,75,คน,2558,ทำงานด้านอื่น
60 ขึ้นไป,26825,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,76,คน,2558,ทำงานด้านอื่น
รวม,1508639,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,77,คน,2558,ทำงานด้านอื่น
15 ถึง 19,1623,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,78,คน,2558,ผู้ว่างงาน
20 ถึง 29,43668,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,79,คน,2558,ผู้ว่างงาน
30 ถึง 39,7723,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,80,คน,2558,ผู้ว่างงาน
40 ถึง 49,1715,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,81,คน,2558,ผู้ว่างงาน
50 ถึง 59,541,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,82,คน,2558,ผู้ว่างงาน
60 ขึ้นไป,0,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,83,คน,2558,ผู้ว่างงาน
รวม,55270,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,84,คน,2558,ผู้ว่างงาน
15 ถึง 19,18061,รวม,สำนักงานสถิติแห่งชาติ,85,คน,2559,รวม
20 ถึง 29,1239638,รวม,สำนักงานสถิติแห่งชาติ,86,คน,2559,รวม
30 ถึง 39,1432044,รวม,สำนักงานสถิติแห่งชาติ,87,คน,2559,รวม
40 ถึง 49,812626,รวม,สำนักงานสถิติแห่งชาติ,88,คน,2559,รวม
50 ถึง 59,438117,รวม,สำนักงานสถิติแห่งชาติ,89,คน,2559,รวม
60 ขึ้นไป,68297,รวม,สำนักงานสถิติแห่งชาติ,90,คน,2559,รวม
รวม,4008783,รวม,สำนักงานสถิติแห่งชาติ,91,คน,2559,รวม
15 ถึง 19,8551,รวม,สำนักงานสถิติแห่งชาติ,92,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,729710,รวม,สำนักงานสถิติแห่งชาติ,93,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,874050,รวม,สำนักงานสถิติแห่งชาติ,94,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,491616,รวม,สำนักงานสถิติแห่งชาติ,95,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,260261,รวม,สำนักงานสถิติแห่งชาติ,96,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,42755,รวม,สำนักงานสถิติแห่งชาติ,97,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,2406943,รวม,สำนักงานสถิติแห่งชาติ,98,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,6722,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,99,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,592563,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,100,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,642551,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,101,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,364435,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,102,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,170452,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,103,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,18651,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,104,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,1795374,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,105,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,1829,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,106,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,137147,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,107,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,231499,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,108,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,127181,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,109,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,89809,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,110,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,24104,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,111,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,611569,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,112,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,7853,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,113,คน,2559,ทำงานด้านอื่น
20 ถึง 29,461267,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,114,คน,2559,ทำงานด้านอื่น
30 ถึง 39,551073,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,115,คน,2559,ทำงานด้านอื่น
40 ถึง 49,318174,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,116,คน,2559,ทำงานด้านอื่น
50 ถึง 59,177579,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,117,คน,2559,ทำงานด้านอื่น
60 ขึ้นไป,25330,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,118,คน,2559,ทำงานด้านอื่น
รวม,1541276,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,119,คน,2559,ทำงานด้านอื่น
15 ถึง 19,1657,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,120,คน,2559,ผู้ว่างงาน
20 ถึง 29,48661,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,121,คน,2559,ผู้ว่างงาน
30 ถึง 39,6921,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,122,คน,2559,ผู้ว่างงาน
40 ถึง 49,2836,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,123,คน,2559,ผู้ว่างงาน
50 ถึง 59,277,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,124,คน,2559,ผู้ว่างงาน
60 ขึ้นไป,212,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,125,คน,2559,ผู้ว่างงาน
รวม,60564,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,126,คน,2559,ผู้ว่างงาน
15 ถึง 19,18904,รวม,สำนักงานสถิติแห่งชาติ,127,คน,2560,รวม
20 ถึง 29,1247149,รวม,สำนักงานสถิติแห่งชาติ,128,คน,2560,รวม
30 ถึง 39,1423204,รวม,สำนักงานสถิติแห่งชาติ,129,คน,2560,รวม
40 ถึง 49,853071,รวม,สำนักงานสถิติแห่งชาติ,130,คน,2560,รวม
50 ถึง 59,470836,รวม,สำนักงานสถิติแห่งชาติ,131,คน,2560,รวม
60 ขึ้นไป,79570,รวม,สำนักงานสถิติแห่งชาติ,132,คน,2560,รวม
รวม,4092734,รวม,สำนักงานสถิติแห่งชาติ,133,คน,2560,รวม
15 ถึง 19,9368,รวม,สำนักงานสถิติแห่งชาติ,134,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,690220,รวม,สำนักงานสถิติแห่งชาติ,135,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,877095,รวม,สำนักงานสถิติแห่งชาติ,136,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,513904,รวม,สำนักงานสถิติแห่งชาติ,137,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,277382,รวม,สำนักงานสถิติแห่งชาติ,138,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,49612,รวม,สำนักงานสถิติแห่งชาติ,139,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,2417581,รวม,สำนักงานสถิติแห่งชาติ,140,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,7593,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,141,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,557534,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,142,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,653127,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,143,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,369129,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,144,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,179370,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,145,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,21539,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,146,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,1788292,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,147,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,1775,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,148,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
20 ถึง 29,132686,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,149,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
30 ถึง 39,223968,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,150,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
40 ถึง 49,144775,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,151,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
50 ถึง 59,98012,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,152,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
60 ขึ้นไป,28073,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,153,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
รวม,629289,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,154,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
15 ถึง 19,7732,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,155,คน,2560,ทำงานด้านอื่น
20 ถึง 29,493309,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,156,คน,2560,ทำงานด้านอื่น
30 ถึง 39,535808,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,157,คน,2560,ทำงานด้านอื่น
40 ถึง 49,335228,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,158,คน,2560,ทำงานด้านอื่น
50 ถึง 59,192412,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,159,คน,2560,ทำงานด้านอื่น
60 ขึ้นไป,29958,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,160,คน,2560,ทำงานด้านอื่น
รวม,1594447,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,161,คน,2560,ทำงานด้านอื่น
15 ถึง 19,1804,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,162,คน,2560,ผู้ว่างงาน
20 ถึง 29,63620,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,163,คน,2560,ผู้ว่างงาน
