_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
93,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2565,0,เบนซิน-ไฟฟ้า
94,รย. 4 รถยนต์สามล้อส่วนบุคคล,2565,0,เบนซิน-ไฟฟ้า
95,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2565,0,เบนซิน-ไฟฟ้า
96,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2565,0,เบนซิน-ไฟฟ้า
97,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,เบนซิน-ไฟฟ้า
98,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,เบนซิน-ไฟฟ้า
99,รย. 9 รถยนต์บริการธุรกิจ,2565,0,เบนซิน-ไฟฟ้า
100,รย. 10 รถยนต์บริการทัศนาจร,2565,0,เบนซิน-ไฟฟ้า
101,รย. 11 รถยนต์บริการให้เช่า,2565,0,เบนซิน-ไฟฟ้า
102,รย. 12 รถจักรยานยนต์,2565,0,เบนซิน-ไฟฟ้า
103,รย. 13 รถแทร็กเตอร์,2565,0,เบนซิน-ไฟฟ้า
104,รย. 14 รถบดถนน,2565,0,เบนซิน-ไฟฟ้า
105,รย. 15 รถใช้ในงานเกษตรกรรม,2565,0,เบนซิน-ไฟฟ้า
106,รย. 16 รถพ่วง,2565,0,เบนซิน-ไฟฟ้า
107,รย. 17 รถจักรยานยนต์สาธารณะ,2565,0,เบนซิน-ไฟฟ้า
108,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2565,0,เบนซิน-ไฟฟ้า
109,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2565,5,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
110,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
111,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
112,รย. 4 รถยนต์สามล้อส่วนบุคคล,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
113,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
114,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
115,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
116,รย. 8 รถยนต์รับจ้างสามล้อ,2565,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
