เดือน,_id,ปี,ปริมาณ,รายการ,จังหวัด,หน่วยงาน,หน่วย
มิถุนายน,42,2566," 12,696.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,43,2566," 12,895.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,44,2566," 12,566.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,45,2566," 17,475.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,46,2566," 19,055.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,47,2566," 14,994.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,48,2566," 13,524.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,49,2567," 9,184.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,50,2567," 12,168.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,51,2567," 15,108.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,52,2567," 17,077.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,53,2567," 18,245.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,54,2567," 18,216.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,55,2567," 21,815.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,56,2567," 20,316.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,57,2567," 14,783.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,58,2567," 9,260.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,59,2567," 6,762.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,60,2567," 6,381.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,61,2568," 7,841.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,62,2568," 6,802.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,63,2568," 11,119.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,64,2568," 15,904.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤษภาคม,65,2568," 28,783.00 ",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มิถุนายน,66,2568,"25,908.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กรกฎาคม,67,2568,"18,740.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
สิงหาคม,68,2568,"14,364.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กันยายน,69,2568,"19,548.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ตุลาคม,70,2568,"15,542.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
พฤศจิกายน,71,2568,"15,208.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
ธันวาคม,72,2568,"11,273.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มกราคม,73,2569,"9,802.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
กุมภาพันธ์,74,2569,"23,115.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
มีนาคม,75,2569,"22,590.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
เมษายน,76,2569,"13,954.00",การออกใบอนุญาตขนย้ายน้ำมันปาล์มดิบ,ตรัง,สำนักงานพาณิชย์จังหวัดตรัง,ตัน
