วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ปี,วันที่รับรอง,จังหวัด,ระดับ
--,45,GI(E) 1-1356,บริษัท เฉิงเหยา เทคโนโลยี จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
--,46,GI(E) 1-1357,บริษัท อาเจไทย จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
--,47,GI(E) 1-1366,บริษัท ไทยล่อน เทคโน ไฟเบอร์ จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
--,48,GI(E) 1-1369,บริษัท เทคโนพลาส (ประเทศไทย) จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
--,49,GI(E) 1-1370,บริษัท โตโยต้า ทูโช (ไทยแลนด์) จำกัด,2566,2566-06-01T00:00:00,ชลบุรี,1
--,50,GI(E) 1-1428,บริษัท ดับบลิวเอชเอ วอเตอร์ จำกัด,2566,2566-10-01T00:00:00,ชลบุรี,1
--,51,GI(E) 1-1552,บริษัท ซิกโนด (ประเทศไทย) จำกัด,2566,2566-01-18T00:00:00,ชลบุรี,1
--,52,GI(E) 1-1656,บริษัท เฮนนี่เวย์ (ไทยแลนด์) จำกัด,2566,2566-01-18T00:00:00,ชลบุรี,1
--,53,GI(E) 1-1731,บริษัท ชิกะ ออโตเมชั่น (ไทยแลนด์) จำกัด,2566,2566-01-23T00:00:00,ชลบุรี,1
--,54,GI(E) 1-2391,บริษัท ฮามากะ (ประะเทศไทย) จำกัด,2566,2566-01-02T00:00:00,ชลบุรี,1
--,55,GI(E) 1-2392,บริษัท พลาสเทคสยาม จำกัด,2566,2566-01-02T00:00:00,ชลบุรี,1
--,56,GI(E) 1-2393,บริษัท โกลบอล อาร์เมอร์ (ประเทศไทย) จำกัด,2566,2566-01-02T00:00:00,ชลบุรี,1
--,57,GI(E) 1-2394,บริษัท เลาอิ้ง ฮีทเทค จำกัด,2566,2566-01-02T00:00:00,ชลบุรี,1
--,58,GI(E) 1-2396,บริษัท โจโฟ นอนโวเวน (ประเทศไทย) จำกัด,2566,2566-01-02T00:00:00,ชลบุรี,1
--,59,GI(E) 1-2895,บริษัท ที เอ็น ดี ฟู้ดส์ อินดัสตรีย์ จำกัด,2566,2566-06-02T00:00:00,ชลบุรี,1
--,60,GI(E) 1-3360,บริษัท เจ.บี.ที. อินดัสเทรียล จำกัด,2566,2566-02-13T00:00:00,ชลบุรี,1
--,61,GI(E) 1-3361,บริษัท ซัมมิท คูราตะ แมนูแฟคเจอริ่ง จำกัด,2566,2566-02-13T00:00:00,ชลบุรี,1
--,62,GI(E) 1-3362,บริษัท ซัมมิท แหลมฉบัง โอโต บอดี้ เวิร์ค จำกัด,2566,2566-02-13T00:00:00,ชลบุรี,1
--,63,GI(E) 1-3363,บริษัท ซาเดซ่า (ประเทศไทย) จำกัด,2566,2566-02-13T00:00:00,ชลบุรี,1
--,64,GI(E) 1-3364,บริษัท ซิเลซติกา (ประเทศไทย) จำกัด,2566,2566-02-13T00:00:00,ชลบุรี,1
--,65,GI(E) 1-3448,บริษัท ออโต้ เม็ททอล จำกัด,2566,2566-02-14T00:00:00,ชลบุรี,1
--,66,GI(E) 1-3455,บริษัท อมากาซากิ ไพพ (ประเทศไทย) จำกัด,2566,2566-02-14T00:00:00,ชลบุรี,1
--,67,GI(E) 1-3810,บริษัท ซานโฮ พรีซีชั่น อินดัสเทรียล จำกัด,2566,2566-02-16T00:00:00,ชลบุรี,1
--,68,GI(E) 1-3811,บริษัท ปรัสเซีย (เอเชีย) จำกัด,2566,2566-02-16T00:00:00,ชลบุรี,1
--,69,GI(E) 1-3812,บริษัท ทีทีเค โลจิสติคส์ (ประเทศไทย) จำกัด,2566,2566-02-16T00:00:00,ชลบุรี,1
--,70,GI(E) 1-3816,บริษัท หลิงเย อินเทลลิเจนท์ (ประเทศไทย) จำกัด,2566,2566-02-16T00:00:00,ชลบุรี,1
--,71,GI(E) 1-3978,บริษัท เอส เอ็ม ซี ฟู้ดส์ (ประเทศไทย) จำกัด,2566,2566-02-20T00:00:00,ชลบุรี,1
--,72,GI(E) 1-4251,บริษัท หลัว ปัง คิทเช่น แอนด์ บาธ (ไทยแลนด์) จำกัด,2566,2566-02-22T00:00:00,ชลบุรี,1
--,73,GI(E) 1-4288,บริษัท เหล็กสยามยามาโตะ จำกัด,2566,2566-02-22T00:00:00,ชลบุรี,1
--,74,GI(E) 1-5209,บริษัท อีซูซุมอเตอร์ (ประเทศไทย) จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,75,GI(E) 1-5210,บริษัท อากทิโอะ (ประเทศไทย) จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,76,GI(E) 1-5211,บริษัท อเรสโซ ริฟิเนรี่ จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,77,GI(E) 1-5212,บริษัท เหยี่ยน ไห่ อิเลคทรอนิกส์ จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,78,GI(E) 1-5213,บริษัท สยามมิชลิน จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,79,GI(E) 1-5214,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน),2566,2566-09-03T00:00:00,ชลบุรี,1
--,80,GI(E) 1-5215,บริษัท อีสเทิร์น พี.ยู. โฟม อินดัสตรี จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,81,GI(E) 1-5216,บริษัท อีสเทิร์น พี.ยู. โฟม อินดัสตรี จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,82,GI(E) 1-5217,บริษัท เอส ที บี เท็กซ์ไทล์ อินดัสตรี จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,83,GI(E) 1-5247,ห้างหุ้นส่วนจำกัด ห้างขายยาลี้บ้วนซัว (ตราตกเบ็ด),2566,2566-09-03T00:00:00,ชลบุรี,1
--,84,GI(E) 1-5249,บริษัท เอสเซม อินเตอร์เนชั่นแนล จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,85,GI(E) 1-5250,บริษัท แฮดเลย์ (ประเทศไทย) จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,86,GI(E) 1-5251,บริษัท ฮอปปี้ อินดัสเตรียล (ประเทศไทย) จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,87,GI(E) 1-5252,บริษัท โอโต แอดวานซ์ แมททีเรียล แมนูแฟคเจอริ่ง จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,88,GI(E) 1-5255,บริษัท เอส เอ็ม ซี ฟูดส์ (ประเทศไทย) จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,89,GI(E) 1-5257,บริษัท เอส เอ็ม ซี ฟูดส์ (ประเทศไทย) จำกัด,2566,2566-09-03T00:00:00,ชลบุรี,1
--,90,GI(E) 1-5388,บริษัท อาซาฮี เอเซีย คาสติ้ง จำกัด,2566,2566-03-14T00:00:00,ชลบุรี,1
--,91,GI(E) 1-5470,บริษัท เอสที โนซากะ จำกัด,2566,2566-03-14T00:00:00,ชลบุรี,1
--,92,GI(E) 1-5537,บริษัท ซีคอม เซ็สโก้ เอ็นจิเนียริ่ง จำกัด,2566,2566-03-15T00:00:00,ชลบุรี,1
--,93,GI(E) 1-5541,บริษัท อิมแพคท์ โซล่าร์ กรุ๊ป (ประเทศไทย) จำกัด,2566,2566-03-15T00:00:00,ชลบุรี,1
--,94,GI(E) 1-5542,บริษัท ไทยซัมมิท พีเคเค เอนจิเนียริง จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,95,GI(E) 1-5543,บริษัท ทีเอ็มเอ็ม ฟู้ด (ไทยแลนด์) จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,96,GI(E) 1-5544,บริษัท ซี โบ จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,97,GI(E) 1-5545,บริษัท แอโร่เวิร์ค คอมโพสิต (เอเชีย) จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,98,GI(E) 1-5546,บริษัท แอโร่เวิร์ค คอมโพสิต (เอเชีย) จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,99,GI(E) 1-5547,บริษัท แอโร่เวิร์ค (เอเชีย) จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,100,GI(E) 1-5548,บริษัท ซินเจม จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,101,GI(E) 1-5549,บริษัท แอมคอร์ เฟล็กซิเบิ้ล ชลบุรี จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,102,GI(E) 1-5550,บริษัท แอเดียนท์ แอนด์ ซัมมิท คอร์ปอเรชั่น จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,103,GI(E) 1-5551,บริษัท เดอเรดา สยาม จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,104,GI(E) 1-5552,บริษัท แอเดียนท์ (ประเทศไทย) จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,105,GI(E) 1-5553,บริษัท ทีที โซล่าร์ จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,106,GI(E) 1-5554,บริษัท สตรองแพค จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,107,GI(E) 1-5555,บริษัท สยามมิชลิน จำกัด,2566,2566-03-16T00:00:00,ชลบุรี,1
--,108,GI(E) 1-5571,บริษัท วิศวกิจพัฒนา จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,109,GI(E) 1-5572,บริษัท ยามาโตะ เคมิคัลส์ (ประเทศไทย) จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,110,GI(E) 1-5573,บริษัท ฟาเกอร์ดาลา แหลมฉบัง จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,111,GI(E) 1-5574,บริษัท ลี้บ้วนซัวอินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,112,GI(E) 1-5575,บริษัท แดนไทย แมชชินเนอรี่ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,113,GI(E) 1-5576,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),2566,2566-03-17T00:00:00,ชลบุรี,1
--,114,GI(E) 1-5577,บริษัท ไทยล็อค ฟาสท์เทนเนอร์ส จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,115,GI(E) 1-5595,บริษัท ซิมสุลาลัย จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,116,GI(E) 1-5596,บริษัท เบเคอร์ ฮิวช์ส โอเปอเรชั่นส์ (ประเทศไทย) จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,117,GI(E) 1-5597,บริษัท ซินวู จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,118,GI(E) 1-5598,บริษัท ซีเอ็มที ออโตโมทีฟ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,119,GI(E) 1-5599,บริษัท พีพี แอนด์ พี อินเตอร์ พาร์ท จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,120,GI(E) 1-5600,บริษัท อ๊าออโต้การาจ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,121,GI(E) 1-5601,สถานีสูบน้ำเพิ่มแรงดันสำนักบก,2566,2566-03-17T00:00:00,ชลบุรี,1
--,122,GI(E) 1-5602,บริษัท พนัส ฟีดมิลล์ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,123,GI(E) 1-5603,บริษัท ทีเอฟยู โมลด์ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,124,GI(E) 1-5604,บริษัท พี โอ เอฟ แปซิฟิค จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,125,GI(E) 1-5605,บริษัท ไทย ฟู้ดส์ สไวน อินเตอร์เนชั่นแนล จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,126,GI(E) 1-5606,บริษัท แซมโก้ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,127,GI(E) 1-5607,บริษัท ไทย ซุง ซู จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,128,GI(E) 1-5608,ห้างหุ้นส่วนจำกัด วี ไอ ที อัลลอยด์ แคสติ้ง,2566,2566-03-17T00:00:00,ชลบุรี,1
--,129,GI(E) 1-5609,บริษัท โรจนะ อินดัสเตรียล แมเนจเม้นท์ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,130,GI(E) 1-5611,บริษัท ซอง มูน (ไทยแลนด์) จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,131,GI(E) 1-5612,บริษัท เอสพีซี อินเตอร์พรินท์ จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,132,GI(E) 1-5613,บริษัท ที เค ซี ออโต้พาร์ท จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,133,GI(E) 1-5614,บริษัท น้ำแข็งศรีราชา จำกัด,2566,2566-03-17T00:00:00,ชลบุรี,1
--,134,GI(E) 1-5620,บริษัท ยูนิเวอร์แซล โพลีแบค จำกัด,2566,2566-03-20T00:00:00,ชลบุรี,1
--,135,GI(E) 1-5621,บริษัท ท็อป เบลนด์ อินเตอร์เนชั่นแนล จำกัด,2566,2566-03-20T00:00:00,ชลบุรี,1
--,136,GI(E) 1-5622,บริษัท ทิสคอม-พีแอลเอส จำกัด,2566,2566-03-20T00:00:00,ชลบุรี,1
--,137,GI(E) 1-5626,บริษัท นิโค สตีล เซ็นเตอร์ (ประเทศไทย) จำกัด,2566,2566-03-20T00:00:00,ชลบุรี,1
--,138,GI(E) 1-5627,บริษัท ซิเลซติกา (ประเทศไทย) จำกัด,2566,2566-03-20T00:00:00,ชลบุรี,1
--,139,GI(E) 1-5629,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,2566,2566-03-20T00:00:00,ชลบุรี,1
--,140,GI(E) 1-5638,บริษัท เออิโคอุ จำกัด,2566,2566-03-21T00:00:00,ชลบุรี,1
--,141,GI(E) 1-5639,บริษัท คานโต ฮารา จำกัด,2566,2566-03-21T00:00:00,ชลบุรี,1
--,142,GI(E) 1-5653,บริษัท อิมานากะ (ไทยแลนด์) จำกัด,2566,2566-03-22T00:00:00,ชลบุรี,1
--,143,GI(E) 1-5661,บริษัท เอ็มเอสเอ็ม (ประเทศไทย) จำกัด,2566,2566-03-24T00:00:00,ชลบุรี,1
--,144,GI(E) 1-5662,บริษัท เอ็มเอสเอ็ม (ประเทศไทย) จำกัด,2566,2566-03-24T00:00:00,ชลบุรี,1
--,145,GI(E) 1-5663,บริษัท ฟอร์มิก้า คริสตัล ซิสเต็มส์ จำกัด,2566,2566-03-24T00:00:00,ชลบุรี,1
--,146,GI(E) 1-5664,บริษัท ฟอร์มิก้า คริสตัล ซิสเต็มส์ จำกัด,2566,2566-03-24T00:00:00,ชลบุรี,1
--,147,GI(E) 1-5665,บริษัท อีซูซุมอเตอร์ อินเตอร์เนชั่นแนล โอเปอเรชั่น (ประเทศไทย) จำกัด,2566,2566-03-24T00:00:00,ชลบุรี,1
--,148,GI(E) 1-5666,บริษัท อีซูซุมอเตอร์ อินเตอร์เนชั่นแนล โอเปอเรชั่น (ประเทศไทย) จำกัด,2566,2566-03-24T00:00:00,ชลบุรี,1
--,149,GI(E) 1-5997,บริษัท เซอาห์ โกลบอล (ประเทศไทย) จำกัด,2566,2566-03-27T00:00:00,ชลบุรี,1
--,150,GI(E) 1-6043,บริษัท นิปปอน เซอิโร (ประเทศไทย) จำกัด,2566,2566-03-29T00:00:00,ชลบุรี,1
--,151,GI(E) 1-6048,บริษัท มิซาวา (ไทยแลนด์) จำกัด,2566,2566-03-29T00:00:00,ชลบุรี,1
--,152,GI(E) 1-6118,บริษัท เอเอ็มซี เอเชีย จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,153,GI(E) 1-6119,บริษัท เออห์ลินส์ เอเซีย จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,154,GI(E) 1-6120,บริษัท เคยัง พาวเวอร์ ทูลส์ จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,155,GI(E) 1-6121,บริษัท ดองกุก สตีล (ประเทศไทย) จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,156,GI(E) 1-6122,บริษัท คันไซ เอนเนอร์จี โซลูชั่นส์ (ประเทศไทย) จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,157,GI(E) 1-6126,บริษัท แม็คคอร์มิค (ประเทศไทย) จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,158,GI(E) 1-6127,บริษัท ซันเมอิ เมคานิคอล (ประเทศไทย) จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,159,GI(E) 1-6128,บริษัท เคซเท็ม (ไทยเเลนด์) จำกัด,2566,2566-05-04T00:00:00,ชลบุรี,1
--,160,GI(E) 1-6171,บริษัท อนาล็อก ซิตี้ จำกัด,2566,2566-12-04T00:00:00,ชลบุรี,1
--,161,GI(E) 1-6223,บริษัท วาซิน เมทัล จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,162,GI(E) 1-6224,บริษัท แอล.อี. อินโนเวชั่น จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,163,GI(E) 1-6225,บริษัท ชั่น ซุ่น อินเตอร์เนชั่นแนล จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,164,GI(E) 1-6226,บริษัท เอ็ม.บี.เจ.เอ็นเตอร์ไพรส์ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,165,GI(E) 1-6227,บริษัท ยุ่นซี พลาสติก จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,166,GI(E) 1-6229,บริษัท กรีนนี่กราส จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,167,GI(E) 1-6231,ห้างหุ้นส่วนจำกัด บางปูการช่าง,2566,2566-04-18T00:00:00,ชลบุรี,1
--,168,GI(E) 1-6233,บริษัท อาร์ซีไอ ซิสเท็มส์ แอนด์ แอดวานซ์ เคมิคอล จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,169,GI(E) 1-6235,บริษัท กรุงไทย ออโต้พาร์ท จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,170,GI(E) 1-6236,บริษัท ไทยอัลลอย แมนูแฟคเจอริ่ง จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,171,GI(E) 1-6238,บริษัท ไอ แคน รีไซเคิล จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,172,GI(E) 1-6240,บริษัท ดีดีเอ็มโมลด์ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,173,GI(E) 1-6242,บริษัท เจีย เฟิง จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,174,GI(E) 1-6244,บริษัท ชัยวดี คอนกรีต จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,175,GI(E) 1-6246,บริษัท ซัน เรย์ อินดัสทรีส์ (ประเทศไทย) จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,176,GI(E) 1-6248,บริษัท ชัยวดี คอนกรีต จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,177,GI(E) 1-6251,บริษัท ไอเอชไอ เอเชียแปซิฟิค (ประเทศไทย) จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,178,GI(E) 1-6253,บริษัท สแกนสยาม บริการ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,179,GI(E) 1-6256,นางสาวบุษดี ชาญอนุวัตร,2566,2566-04-18T00:00:00,ชลบุรี,1
--,180,GI(E) 1-6261,บริษัท เวิร์ลพาร์ททูลแอนด์ดายส์ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,181,GI(E) 1-6263,บริษัท เวลท์ เดฟท์ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,182,GI(E) 1-6264,ส.ถุงทรัพย์รีไซเคิล,2566,2566-04-18T00:00:00,ชลบุรี,1
--,183,GI(E) 1-6265,บริษัท ออปติมัส แพคเกจจิ้ง จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,184,GI(E) 1-6267,บริษัท คาร์เทล รีไซคลิ่ง จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,185,GI(E) 1-6268,บริษัท ซี.พี.พัทยา การาจ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,186,GI(E) 1-6270,บริษัท สยาม คอยล์ เซ็นเตอร์ จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
--,187,GI(E) 1-6272,บริษัท ดีเค เทค จำกัด,2566,2566-04-18T00:00:00,ชลบุรี,1
