sex,_id,year,value,unit,age_group,source
หญิง (SEX = 2),95,2561,6.1,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,96,2561,1.4,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),97,2561,1.5,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),98,2561,1.4,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,99,2561,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),100,2561,0.4,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),101,2561,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,102,2561,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),103,2561,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),104,2561,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,105,2561,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),106,2561,0.0,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),107,2561,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,108,2562,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),109,2562,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),110,2562,0.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,111,2562,5.3,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),112,2562,4.7,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),113,2562,6.3,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,114,2562,1.2,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),115,2562,1.4,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),116,2562,0.9,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,117,2562,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),118,2562,0.4,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),119,2562,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,120,2562,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),121,2562,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),122,2562,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
