ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ผลิตดอกไม้ประดิษฐ์จากผ้าและกระดาษ,ประเวศ,8704,การทำร่ม ไม้ถือ ขนนก ดอกไม้เทียม ซิป กระดุม ไม้กวาด แปรง ตะเกียง โป๊ะตะเกียงหรือไฟฟ้า กล้อง,ราม 2 ,นาทอง 2,10100000000000,#VALUE!,67,กรุงเทพมหานคร,NULL,6/479-482,27,2533,ดอกไม้,2-87(4)-1/33 ,บริษัท แปซิฟิค ฟลาวเวอร์ส จำกัด,11,บริษัท แปซิฟิค ฟลาวเวอร์ส จำกัด,2,10250
ทำโครงเหล็กสำหรับงานก่อสร้าง,ลาดกระบัง,6302,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,ร่มเกล้า,-,10100000000000,0.476598,4,กรุงเทพมหานคร,4,81/18,50,2544,คลองสามประเวศ,2-63(2)-15/44,บริษัท รุ่งเรือง บริรักษ์ จำกัด,12,บริษัท รุ่งเรือง บริรักษ์ จำกัด,2,10520
ทำมันเส้น,นากลาง,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,NULL,NULL,10400000000000,0.74,6,หนองบัวลำภู,9,105,50,2527,กุดดินจี่,2-9(6)-12/27นภ,นายชรินทร ศิระเกล้า,13,รุ่งแสง,2,39350
รับจ้างปักผ้า,หนองแขม,8705,การทำป้าย ตรา เครื่องหมาย ป้ายติดของ หรือเครื่องโฆษณาสินค้า ตราโลหะ หรือยางแม่พิมพ์,NULL,เลียบคลองภาษีเจริญฝังเหนือ,10100000000000,27,67,กรุงเทพมหานคร,NULL,65,52.5,2544,หนองแขม,2-87(5)-1/44,นายศิริชัย บวรกีรติโรจน์,14,-,2,10160
ตัดเย็บเสื้อผ้าสำเร็จรูป และซักเสื้อผ้า (จำนวนจักรเย็บผ้า 30 เครื่อง),แม่สาย,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,เหมืองแดง (แม่สาย-เชียงแสนสายเก่า),บ้านเหมืองแดง,10600000000000,1.05,43,เชียงราย,1,128,34.86,2533,แม่สาย,2-28(1)-1/33ชร,นายศรีเกียรติ ประกายวิเชียร,15,NULL,2,57130
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 16 เกวียน/วัน,บางปะกง,901,การสี ฝัด หรือขัดข้าว,-,-,10200000000000,0,8,ฉะเชิงเทรา,7,2,50,2529,บางวัว,2-9(1)-1/29ฉช,บริษัท กสิกรปากตะคลอง จำกัด,16,บริษัท กสิกรปากตะคลอง จำกัด,2,24180
ซ่อมแซมรถโฟล์คลิฟท์,บางพลี,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,NULL,NULL,20100000000000,338.18,119,สมุทรปราการ,6,57,74.5,2566,ราชาเทวะ,จ2-70-1/66สป,บริษัท โตโยต้า แมททีเรียล แฮนด์ลิ่ง แวร์เฮ้าส์ โซลูชั่นส์ (ประเทศไทย) จำกัด,17,บริษัท โตโยต้า แมททีเรียล แฮนด์ลิ่ง แวร์เฮ้าส์ โซลูชั่นส์ (ประเทศไทย) จำกัด,2,10540
ผลิตเครื่องเร่งการระเหยกลายเป็นไอ ของก๊าซเหลว,บางพลี,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,บางพลี-ตำหรุ,ยิ่งเจริญ 2,20100000000000,2.5,6,สมุทรปราการ,19,888/205,57.16,2564,บางพลีใหญ่,จ2-64(13)-10/64สป,นางปิยนุช บำรุงศักดิ์,18,นางปิยนุช บำรุงศักดิ์,2,10540
"ผลิต,ประกอบหมวกนิรภัยสำหรับผู้ใช้รถจักรยานยนต์ หมวกนิรภัยทั่วไป และอุปกรณ์",พระสมุทรเจดีย์,7802,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับจักรยานยนต์ จักรยานสามล้อ หรือจักรยานสองล้อ,สุขสวัสด์,NULL,20100000000000,11.76522,67,สมุทรปราการ,1,299,23.46,2564,แหลมฟ้าผ่า,จ2-78(2)-1/64สป,ห้างหุ้นส่วนจำกัด โอวอาหลั่ยพาร์ทเซ็นเตอร์,19,ห้างหุ้นส่วนจำกัด โอวอาหลั่ยพาร์ทเซ็นเตอร์,2,10290
ผลิตน้ำดื่ม,บางบ่อ,2001,การทำน้ำดื่ม,รัตนราช,ปรียา,20100000000000,107,5,สมุทรปราการ,1,888/1,73,2565,บางบ่อ,จ2-20(1)-2/65สป,ห้างหุ้นส่วนจำกัด พีเอที พลัส ดีไซน์ แอนด์ บิวดิ้ง,20,ห้างหุ้นส่วนจำกัด พีเอที พลัส ดีไซน์ แอนด์ บิวดิ้ง,2,10560
กลึง ตัด ปั๊ม พับ เจาะ ม้วนและเชื่อมโลหะเพื่อทำชิ้นงานโลหะ,บางเสาธง,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,NULL,ไทยประกัน1,20100000000000,4.0413,17,สมุทรปราการ,1,191/37,55.2,2564,บางเสาธง,จ2-77(2)-11/64สป,ห้างหุ้นส่วนจำกัด กิจรุ่งเจริญ ซัพพลาย,21,ห้างหุ้นส่วนจำกัด กิจรุ่งเจริญ ซัพพลาย,2,10570
ผลิตหมอน,บางเสาธง,2301,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,NULL,NULL,20100000000000,8.4301583,50,สมุทรปราการ,7,"268 อาคาร 3-4 ชั้น 9 ห้องเลขที่ 3-901,4-901",66.68,2568,บางเสาธง,จ2-23(1)-5/68สป,บริษัท วาร่า โฮม (ไทยแลนด์) จำกัด,22,บริษัท วาร่า โฮม (ไทยแลนด์) จำกัด,2,10570
ประกอบ และซ่อมแซมชิ้นส่วนยานยนต์ ได้แก่ พวงมาลัย หัวเกียร์ บู้ท,บางบ่อ,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,NULL,NULL,20100000000000,41,46,สมุทรปราการ,4,188/58,74.4,2564,บางเพรียง,จ2-77(2)-7/64สป,บริษัท อาอิชิ แอลพ์ ออโตเลทเธอร์ จำกัด,23,บริษัท อาอิชิ แอลพ์ ออโตเลทเธอร์ จำกัด,2,10560
ผลิตกล่องกระดาษ,บางเสาธง,3900,โรงงานผลิตภาชนะบรรจุจากกระดาษทุกชนิดหรือแผ่นกระดาษไฟเบอร์ (Fibreboard),เทพารักษ์,ไทยประกัน,20100000000000,44,40,สมุทรปราการ,15,899/79,68.5,2564,บางเสาธง,จ2-39-10/64สป,บริษัท เอื้อวัฒนชัย จำกัด,24,บริษัท เอื้อวัฒนชัย จำกัด,2,10570
ผลิตผ้าปูที่นอนและปลอกหมอน,บางเสาธง,2301,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,NULL,NULL,20100000000000,8.4301583,50,สมุทรปราการ,7,"268 อาคาร 3-4 ชั้น 7-8 ห้องเลขที่ 3-701,3-801,4-701,4-801",44.51,2568,บางเสาธง,จ2-23(1)-4/68สป,บริษัท วาร่า โฮม (ไทยแลนด์) จำกัด,25,บริษัท วาร่า โฮม (ไทยแลนด์) จำกัด,2,10570
ผลิตสกรู น๊อต ตะปู เกลียวปล่อย สลัก แป้นเกลียว และอุปกรณ์เครื่องมือ,บางพลี,6406,การทำขดสปริงเหล็ก สลัก แป้นเกลียว วงแหวน หมุดย้ำ หรือหลอดชนิดพับได้,เทพารักษ์,ธนสิทธิ์,20100000000000,5,30,สมุทรปราการ,19,79/163,65,2564,บางพลีใหญ่,จ2-64(6)-5/64สป,บริษัท วัฒนากร จำกัด,26,บริษัท วัฒนากร จำกัด,2,10540
"พิมพ์สติ๊กเกอร์และสลากสินค้าทั้งแบบแผ่น,แบบม้วน และอื่นๆ",บางเสาธง,8705,การทำป้าย ตรา เครื่องหมาย ป้ายติดของ หรือเครื่องโฆษณาสินค้า ตราโลหะ หรือยางแม่พิมพ์,NULL,ธรรมศิริ,20100000000000,11.78,15,สมุทรปราการ,5,29/2,62,2565,บางเสาธง,จ2-87(5)-1/65สป,บริษัท เต๋อซิน จำกัด,27,บริษัท เต๋อซิน จำกัด,2,10570
ตัดและเย็บเครื่องนุ่งห่ม เช่นเครื่องแต่งกายผู้ชาย เครื่องแต่งกายผู้หญิง,บางเสาธง,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,NULL,NULL,20100000000000,13.2,70,สมุทรปราการ,7,268 อาคาร 5 ชั้น 3 ห้องเลขที่ 5-301,65.43,2568,บางเสาธง,จ2-28(1)-8/68สป,บริษัท ดอร์มี่ โคลทติ้ง จำกัด,28,บริษัท ดอร์มี่ โคลทติ้ง จำกัด,2,10570
"ทำเครื่องตัดกระแสไฟฟ้าอัตโนมัติ , เครื่องตัดกระแสไฟฟ้ารั่วอัตโนมัติ ,ชุดสายพ่วง , ตู้ควบคุมวงจรไฟฟ้า , เต้ารับตัดกระแสไฟฟ้ารั่ว",บางพลี,7403,การทำอุปกรณ์ติดตั้งหรือเต้าเสียบหลอดไฟฟ้า (Fixtures or lamp sockets or receptacles),กิ่งแก้ว,กิ่งแก้ว 25/1,20100000000000,105,29,สมุทรปราการ,13,399/72-73,69.7,2567,ราชาเทวะ,จ2-74(3)-7/67สป,บริษัท เซฟ-ที-คัท แมนูแฟคเจอริ่ง จำกัด,29,บริษัท เซฟ-ที-คัท แมนูแฟคเจอริ่ง จำกัด,2,10540
ตัด พับ กลึง เจาะ คว้าน กัด ไส เจียน และเชื่อมโลหะ,บางบ่อ,6412,การตัด พับ  หรือม้วนโลหะ,NULL,NULL,20100000000000,25,24,สมุทรปราการ,2,198/1,73.83,2566,บ้านระกาศ,จ2-64(12)-5/66สป,บริษัท ซัน แอนด์ เซี่ยซัน โรบอท (ประเทศไทย) จำกัด,30,บริษัท ซัน แอนด์ เซี่ยซัน โรบอท (ประเทศไทย) จำกัด ,2,10560
พิมพ์ ทำแฟ้มเก็บเอกสาร เย็บเล่ม,พระสมุทรเจดีย์,4101,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,สุขสวัสดิ์,สุขสวัสดิ์ 78 ซอย 19,20100000000000,12.45,14,สมุทรปราการ,6,219/10,58,2564,ในคลองบางปลากด,จ2-41(1)-14/64สป,บริษัท เอ็น ที การพิมพ์ จำกัด,31,บริษัท เอ็น ที การพิมพ์ จำกัด,2,10290
พิมพ์ฉลาก เครื่องหมาย ตรา ป้ายติดของเครื่องโฆษณาสินค้า,บางพลี,8705,การทำป้าย ตรา เครื่องหมาย ป้ายติดของ หรือเครื่องโฆษณาสินค้า ตราโลหะ หรือยางแม่พิมพ์,เทพารักษ์ กม.19.5,ทรัพย์โสภณ,20100000000000,4.6,8,สมุทรปราการ,9,117/20,50.5,2564,บางปลา,จ2-87(5)-1/64สป,บริษัท กราเวียร์ ปริ้นแพ็ค จำกัด,32,บริษัท กราเวียร์ ปริ้นแพ็ค จำกัด,2,10540
ถักผ้าลูกไม้ (จำนวนเครื่องถักผ้าลูกไม้ 4 เครื่อง),บางพลี,2400,โรงงานถักผ้า ผ้าลูกไม้ หรือเครื่องนุ่งห่มด้วยด้ายหรือเส้นใย หรือฟอกย้อมสี หรือแต่งสำเร็จผ้า,เทพารักษ์,NULL,20100000000000,24,23,สมุทรปราการ,10,33/76-77,72.89,2564,บางปลา,จ2-24-4/64สป,บริษัท สยามซันเลดี้ส์ จำกัด,33,บริษัท สยามซันเลดี้ส์ จำกัด,2,10540
ตัดเย็บกางเกง เสื้อ และอุปกรณ์ป้องกันอันตรายจากการซ้อมกีฬา,บางพลี,2801,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย  ปลอกแขน ถุงมือ,เทพารักษ์,บุญธรรมอนุสรณ์,20100000000000,7,72,สมุทรปราการ,3,99/8,26.68,2565,บางพลีใหญ่,จ2-28(1)-4/65สป,บริษัท รัสยานา จำกัด,34,บริษัท รัสยานา จำกัด,2,10540
ผลิตสิ่งพิมพ์ทุกชนิด,พระสมุทรเจดีย์,4101,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,NULL,NULL,20100000000000,18,15,สมุทรปราการ,9,347/36,51,2564,ในคลองบางปลากด,จ2-41(1)-15/64สป,บริษัท พริ้นท์โนเวทีฟ จำกัด,35,บริษัท พริ้นท์โนเวทีฟ จำกัด,2,10290
บริการรับจ้างทำผลิตภัณฑ์ สำหรับใช้เป็นป้าย ตรา เครื่องหมาย ป้ายติดของ เครื่องโฆษณาสินค้าและปั๊มตัดชินงานทั่วไป,บางพลี,8705,การทำป้าย ตรา เครื่องหมาย ป้ายติดของ หรือเครื่องโฆษณาสินค้า ตราโลหะ หรือยางแม่พิมพ์,NULL,NULL,20100000000000,5,26,สมุทรปราการ,21,88/15,53,2564,บางพลีใหญ่,จ2-87(5)-4/64สป,บริษัท ยูไนเต็ด พรีซิชั่น เอ็นจิเนียริ่ง จำกัด,36,บริษัท ยูไนเต็ด พรีซิชั่น เอ็นจิเนียริ่ง จำกัด,2,10540
สร้างระบบลำเลียงวัสดุ กลึง เจาะ คว้าน กัด ไส เจียร หรือเชื่อมโลหะทั่วไป,บางพลี,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,-,-,20100000000000,16.46,52,สมุทรปราการ,12,88/63,49,2562,บางปลา,จ2-64(13)-8/62สป,บริษัท ฮิวจ์เนส จำกัด,37,บริษัท ฮิวจ์เนส จำกัด,2,10540
ผลิตตะปู ตะปูแผง ลวดยิงสำหรับงานไม้ ลวดอลูมิเนียม,บางเสาธง,6405,การทำผลิตภัณฑ์จากลวดหรือสายเคเบิล โดยใช้ลวดที่ได้มาจากแหล่งผลิตอื่น ซึ่งมิใช่ลวด,บางนา-ตราด,    -,20100000000000,9.008136,8,สมุทรปราการ,6,24/39,59,2564,บางเสาธง,จ2-64(5)-4/64สป,บริษัท ลวดยิงและตะปูลมไทย จำกัด,38,บริษัท ลวดยิงและตะปูลมไทย จำกัด,2,10570
การผลิตกระบวนการปั๊มโลหะและเครื่องจักรสำหรับอุตสาหกรรม(Production of Metal Stamping and Machining Processes for industry),บางพลี,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,เทพารักษ์,ธ่นสิทธิ์,20100000000000,14.48,8,สมุทรปราการ,19,38/105,72.47,2567,บางพลีใหญ่,จ2-64(13)-30/67สป,บริษัท ดีวาย ไทย โอโต้พาร์ทส์ จำกัด,39,บริษัท ดีวาย ไทย โอโต้พาร์ทส์ จำกัด,2,10540
ผลิตกล่องกระดาษลูกฟูก,บางเสาธง,3900,โรงงานผลิตภาชนะบรรจุจากกระดาษทุกชนิดหรือแผ่นกระดาษไฟเบอร์ (Fibreboard),สายวัดบัวโรย,NULL,20100000000000,14,15,สมุทรปราการ,11,89/89-1,60,2564,บางเสาธง,จ2-39-7/64สป,นางลัดดาวัลย์ ฐิติสุทธ์,40,NULL,2,10570
ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ไส้กรอก แฮม เบคอน ซอส,บางเสาธง,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,NULL,NULL,20100000000000,8,13,สมุทรปราการ,15,174,71.57,2564,บางเสาธง,จ2-4(3)-2/64สป,บริษัท โบ.ลาน และ สโลนส์ อาหารฝรั่ง จำกัด,41,บริษัท โบ.ลาน และ สโลนส์ อาหารฝรั่ง จำกัด,2,10570
ตัดเย็บปลอกหมอนและผ้าปูที่นอน,บางเสาธง,2301,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,NULL,NULL,20100000000000,3.49238795,70,สมุทรปราการ,7,268 ห้องเลขที่ 5-201,78.02,2568,บางเสาธง,จ2-23(1)-6/68สป,บริษัท อาร์ มอ นี่ โฮม (ประเทศไทย) จำกัด,42,บริษัท อาร์ มอ นี่ โฮม (ประเทศไทย) จำกัด,2,10570
ผลิตชิ้นส่วนรถจักรยานยนต์,บางเสาธง,7802,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับจักรยานยนต์ จักรยานสามล้อ หรือจักรยานสองล้อ,เทพารักษ์ กม.21,ไทยประกัน,20100000000000,7,35,สมุทรปราการ,1,128/185,63,2564,บางเสาธง,จ2-78(2)-3/64สป,บริษัท สยาม ซัสเพนชัน อินโนเวชั่น จำกัด,43,บริษัท สยาม ซัสเพนชัน อินโนเวชั่น จำกัด,2,10570
กลึง-เชื่อมโลหะ,บางพลี,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,กิ่งแก้ว,ปัญญา,20100000000000,1.05,16,สมุทรปราการ,15,46303,67,2564,ราชาเทวะ,จ2-64(13)-67/64สป,นายสกล เรืองรุ่งรัตนกุล,44,นายสกล เรืองรุ่งรัตนกุล,2,10540
ทำเปลือกหุ้มไส้กรอก บรรจุภัณฑ์ และเครื่องใช้พลาสติก,บางพลี,5302,การทำเสื่อหรือพรม,เทพารักษ์,ไทรอัมพ์เซ็นเตอร์,20100000000000,10.4,8,สมุทรปราการ,20,79/15,74.5,2566,บางพลีใหญ่,จ2-53(2)-1/66สป,บริษัท ทองมงคล อินดัสทรี จำกัด ,45,บริษัท ทองมงคล อินดัสทรี จำกัด,2,10540
ดัดแปลงชิ้นส่วนอุปกรณ์ของเครื่องยนต์ แม่พิมพ์โลหะต่างๆ ,บางพลี,6500,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องยนต์ เครื่องกังหัน และรวมถึงส่วนประกอบ,NULL,NULL,20100000000000,86.36190605,22,สมุทรปราการ,7,36/32,66.07,2566,บางพลีใหญ่,จ2-65-1/66สป,บริษัท เสียงไถ่ ฮาร์ดเดนนิ่ง เมทัล จำกัด ,46,บริษัท เสียงไถ่ ฮาร์ดเดนนิ่ง เมทัล จำกัด ,2,10540
ผลิตเครื่องสำอางบำรุงผิวหน้า ร่างกาย และเครื่องสำอางทำความสะอาดผิวหน้า แต่งหน้า ร่างกาย,บางเสาธง,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,เทพารักษ์,NULL,20100000000000,9.5,8,สมุทรปราการ,1,99/7 อาคาร 2 ชั้น 3,55,2564,บางเสาธง,จ2-47(3)-30/64สป,บริษัท โฮเม่ (ประเทศไทย) จำกัด,47,บริษัท โฮเม่ (ประเทศไทย) จำกัด,2,10570
โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับโทรทัศน์ เครื่องรับสัญญาณทีวีดิจิตอล พัดลมไฟฟ้า กาต้มน้ำไฟฟ้า หม้อหุงข้าว กระทะไฟฟ้า หม้ออบลมร้อนไฟฟ้า,บางเสาธง,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,เทพารักษ์,NULL,20100000000000,30,18,สมุทรปราการ,1,134/22,59.88,2565,บางเสาธง,จ2-72-1/65สป,บริษัท แฟมิลี่ คอร์ป จำกัด,48,บริษัท แฟมิลี่ คอร์ป จำกัด,2,10570
ผลิตกระเป๋าเดินทาง เย็บชิ้นส่วนภายในรถยนต์หรือภาชนะบรรจุสิ่งของจากหนังเทียมและหนังแท้,บางเสาธง,3201,โรงงานผลิตผลิตภัณฑ์หรือชิ้นส่วนของผลิตภัณฑ์ ซึ่งมิใช่เครื่องแต่งกายหรือรองเท้า จากหนังสัตว์ ขนสัตว์ เขาสัตว์,NULL,NULL,20100000000000,56,20,สมุทรปราการ,15,55,57.86,2565,บางเสาธง,จ2-32(1)-3/65สป,บริษัท เจมินิ เวิลด์ไวด์ จำกัด,49,บริษัท เจมินิ เวิลด์ไวด์ จำกัด,2,10570
ผลิตอุปกรณ์เครื่องมือคมตัด เช่น ใบตัดของเครื่องมิลลิ่ง หรือดอกสว่าน และรับจ้าง กลึง เชื่อม ไส เจาะ คว้าน เจียร,บางพลี,6100,โรงงานผลิต ตบแต่ง ดัดแปลง หรือซ่อมแซมเครื่องมือหรือเครื่องใช้ที่ทำด้วยเหล็กหรือเหล็กกล้า,ธนสิทธิ์,รัตนโชค 12,20100000000000,6.5,30,สมุทรปราการ,12,104,63,2564,บางปลา,จ2-61-22/64สป,บริษัท แซน เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,50,บริษัท แซน เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,2,10540
ผลิตอาหารที่สกัดจากมะพร้าวและทำจากมะพร้าว,บางพลี,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,เทพารักษ์,บางปลา 40,20100000000000,7,23,สมุทรปราการ,9,119/11,63.5,2564,บางปลา,จ2-8(1)-25/64สป,บริษัท ไทยคณา อินเตอร์ฟู้ดส์ จำกัด,51,บริษัท ไทยคณา อินเตอร์ฟู้ดส์ จำกัด,2,10540
