จำนวน,ประเภท,_id,ปี,แหล่งข้อมูล,หน่วยนับ,รายการ,จังหวัด
10,อุตสาหกรรมเครื่องดื่ม,11,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,อุตสาหกรรมเครื่องดื่ม,12,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
32,สิ่งทอ,13,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
33,สิ่งทอ,14,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
33,สิ่งทอ,15,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
32,สิ่งทอ,16,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,17,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,18,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,19,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,20,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
13,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,21,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,22,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
13,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,23,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,24,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
34,แปรรูปไม้และผลิตภัณฑ์จากไม้,25,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
34,แปรรูปไม้และผลิตภัณฑ์จากไม้,26,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
33,แปรรูปไม้และผลิตภัณฑ์จากไม้,27,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
35,แปรรูปไม้และผลิตภัณฑ์จากไม้,28,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
18,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,29,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
19,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,30,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
19,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,31,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
20,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,32,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
31,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,33,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
31,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,34,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
31,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,35,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
34,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,36,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
9,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,37,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
9,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,38,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
9,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,39,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,40,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
38,เคมีภัณฑ์และผลิตภัณฑ์เคมี,41,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
41,เคมีภัณฑ์และผลิตภัณฑ์เคมี,42,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
42,เคมีภัณฑ์และผลิตภัณฑ์เคมี,43,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
44,เคมีภัณฑ์และผลิตภัณฑ์เคมี,44,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,ผลิตภัณฑ์จากปิโตรเลียม,45,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,ผลิตภัณฑ์จากปิโตรเลียม,46,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,ผลิตภัณฑ์จากปิโตรเลียม,47,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,ผลิตภัณฑ์จากปิโตรเลียม,48,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,ยางและผลิตภัณฑ์ยาง,49,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,ยางและผลิตภัณฑ์ยาง,50,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,ยางและผลิตภัณฑ์ยาง,51,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
11,ยางและผลิตภัณฑ์ยาง,52,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
70,ผลิตภัณฑ์พลาสติก,53,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
78,ผลิตภัณฑ์พลาสติก,54,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
79,ผลิตภัณฑ์พลาสติก,55,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
79,ผลิตภัณฑ์พลาสติก,56,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
49,ผลิตภัณฑ์อโลหะ,57,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
47,ผลิตภัณฑ์อโลหะ,58,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
51,ผลิตภัณฑ์อโลหะ,59,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
56,ผลิตภัณฑ์อโลหะ,60,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
25,ผลิตภัณฑ์โลหะขั้นมูลฐาน,61,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
25,ผลิตภัณฑ์โลหะขั้นมูลฐาน,62,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
25,ผลิตภัณฑ์โลหะขั้นมูลฐาน,63,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
25,ผลิตภัณฑ์โลหะขั้นมูลฐาน,64,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
55,ผลิตภัณฑ์โลหะ,65,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
54,ผลิตภัณฑ์โลหะ,66,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
57,ผลิตภัณฑ์โลหะ,67,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
63,ผลิตภัณฑ์โลหะ,68,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
35,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,69,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
36,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,70,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
36,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,71,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
36,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,72,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
46,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์ ,73,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
46,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์ ,74,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
47,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์ ,75,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
51,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์ ,76,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
76,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,77,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
77,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,78,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
78,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,79,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
81,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,80,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
251,การผลิตอื่น ๆ,81,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
266,การผลิตอื่น ๆ,82,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
280,การผลิตอื่น ๆ,83,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
296,การผลิตอื่น ๆ,84,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,จำนวนเหมืองแร่,85,2564,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,จำนวนเหมืองแร่,86,2565,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,จำนวนเหมืองแร่,87,2566,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
12,จำนวนเหมืองแร่,88,2567,สำนักงานอุตสาหกรรมจังหวัดปราจีนบุรี,แห่ง,จำนวนสถานประกอบการอุตสาหกรรม เหมืองแร่,ปราจีนบุรี
