ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
สกัดน้ำมันจากไม้กฤษณา,บ่อไร่,701,,, 2.50 ,20230001625564, 21 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,,, 386.00 ,จ3-7(1)-16/56ตร,56,บ่อพลอย,บริษัท ไทย นพพะชาติอการ์วู้ด จำกัด,6418,บริษัท ไทย นพพะชาติอการ์วู้ด จำกัด,3,23140
"สกัดน้ำมันจากไม้กฤษณา
",บ่อไร่,701,,, 5.00 ,20230001125573, 5 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,389/4, 98.26 ,จ3-7(1)-11/57ตร,57,บ่อพลอย,โรงงาน อัลมาส เอสเซนเซียลออยล์,6419,โรงงาน อัลมาส เอสเซนเซียลออยล์,3,23140
สกัดน้ำมันจากไม้กฤษณา,บ่อไร่,701,-,-, 1.02 ,20230001125532, 1 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,5,27/2, 55.64 ,จ3-7(1)-11/53ตร,53,บ่อพลอย,นายตี๋ แซ่ลิ้ม,6420,,3,23140
สกัดน้ำมันจากไม้กฤษณา,บ่อไร่,701,จัดสรร-ปะอา,, 0.30 ,20230000525534, 10 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,58/9, 121.60 ,จ3-7(1)-5/53ตร,53,บ่อพลอย,ช.กฤษณา,6421,ช.กฤษณา,3,23140
สกัดน้ำมันจากไม้กฤษณา,บ่อไร่,701,,, 1.80 ,20230001025575, 2 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,5,39/1, 61.50 ,จ3-7(1)-10/57ตร,57,ช้างทูน,นายสมศิษย์ อะโข,6422,,3,23140
สกัดน้ำมันปาล์ม,บ่อไร่,701,,, 106.00 ,10230002125566, 57 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,8," 31,844.50 ",3-7(1)-21/56ตร,56,นนทรีย์,บริษัท สุขสมบูรณ์ น้ำมันปาล์ม บ่อไร่ จำกัด,6423,บริษัท สุขสมบูรณ์ น้ำมันปาล์ม บ่อไร่ จำกัด,3,23140
สกัดน้ำมันจากไม้กฤษณา,บ่อไร่,701,บ่อไร่-ช้างทูน,-, 4.00 ,20230002125531, 2 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,100/2, 52.20 ,จ3-7(1)-21/53ตร,53,บ่อพลอย,เจ.เค.อาการ์วูด,6424,เจ.เค.อาการ์วูด,3,23140
สกัดน้ำมันจากพืช (ไม้หอม),บ่อไร่,701,,, 22.00 ,20230000125400, 15 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,3,86, 404.48 ,จ3-7(1)-1/40ตร,40,บ่อพลอย,D.U.M Agarwood & oil,6425,D.U.M Agarwood & oil,3,23140
สกัดน้ำมันจากไม้กฤษณา,บ่อไร่,701,-,-, 0.70 ,10230000625484, 2 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,5,23, 182.00 ,3-7(1)-6/48ตร,48,ช้างทูน,พุทธประทานกฤษณา (ไม้หอม),6426,พุทธประทานกฤษณา (ไม้หอม),3,23140
ทำผงโกโก้และสกัดน้ำมันโกโก้ เพื่อจำหน่ายและส่งออก,บ่อไร่,1203,,, 34.00 ,20230259925633, 15 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,"โฉนดที่ดินเลขที่ 3091, 3292", 465.00 ,จ3-12(3)-1/63ตร,63,ช้างทูน,บริษัท ควีนส์ โกโก้ 1971 จำกัด,6427,บริษัท ควีนส์ โกโก้ 1971 จำกัด,3,23140
ทำอาหารทะเลบรรจุกระป๋อง และห้องเย็น,เมืองตราด,601,แหลมหิน,-, 36.50 ,20230000125426, 56 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,227, 528.25 ,จ3-6(1)-1/42ตร,42,หนองคันทรง,แกรนด์ เบย์ ซีฟู้ด,6428,แกรนด์ เบย์ ซีฟู้ด,3,23000
ทำอาหารจากสัตว์น้ำ เช่น แกะเนื้อปู,เมืองตราด,605,,, 31.10 ,20230000425503, 80 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,3,151, 1.01 ,จ3-6(5)-4/50ตร,50,แหลมกลัด,ห้างหุ้นส่วนจำกัด ส.วงศ์บุญ,6429,ห้างหุ้นส่วนจำกัด ส.วงศ์บุญ,3,23000
สกัดน้ำมันจากพืช  (ไม้หอม),เมืองตราด,701,,, 0.56 ,20230000925411, 2 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,3,8, 23.13 ,จ3-7(1)-9/41ตร,41,ตะกาง,นายอิสระพัฒน์ ฉิมมาแก้ว,6430,นายอิสระพัฒน์ ฉิมมาแก้ว,3,23000
กลั่นน้ำมันจากไม้กฤษณา,เมืองตราด,701,,, 2.00 ,20230000625508, 2 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,6,77/5, 87.24 ,จ3-7(1)-6/50ตร,50,หนองโสน,นายสำราญ โตวินัส,6431,,3,23000
สกัดน้ำมันจากไม้กฤษณา,เมืองตราด,701,สุขุมวิท,-, 5.00 ,20230002425527, 20 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,9,276/1, 386.00 ,จ3-7(1)-24/52ตร,52,วังกระแจะ,บริษัท ทรีด้อม (ประเทศไทย) จำกัด,6432,บริษัท ทรีด้อม (ประเทศไทย) จำกัด,3,23000
สกัดน้ำมันจากไม้กฤษณา,เมืองตราด,701,,, 20.00 ,20230065925629, 2 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,3,โฉนดที่ดินเลขที่ 33633 เล่ม 377 หน้า 33, 91.10 ,จ3-7(1)-7/62ตร,62,วังกระแจะ,นายอิศรา แพทย์พิบูลย์,6433,,3,23000
สกัดน้ำมันปาล์ม (กำลังการผลิต 90 ตันทะลายปาล์มต่อชั่วโมง),เมืองตราด,701,,, 335.00 ,10230000825571, 35 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,9,99," 31,260.98 ",3-7(1)-8/57ตร,57,วังกระแจะ,บริษัท ไทยอีสเทิร์น ตราด จำกัด,6434,บริษัท ไทยอีสเทิร์น ตราด จำกัด,3,23000
สกัดน้ำมันจากไม้กฤษณา,เมืองตราด,701,ตราด-แหลมงอบ,เฉลิมชัย, 0.75 ,10230001725473, 6 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,89/2, 225.50 ,3-7(1)-17/47ตร,47,หนองโสน,นางบุญธรรม เจริญสุข,6435,-,3,23000
สกัดน้ำมันจากไม้กฤษณา,เมืองตราด,701,,, 3.50 ,20230100225563, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,4,โฉนดที่ดินเลขที่ 39884 เล่มที่ 399 หน้า 84, 89.40 ,จ3-7(1)-2/56ตร,56,ท่าพริก,นายวิเชียร ธนากิจ,6436,นายวิเชียร ธนากิจ,3,23000
ต้มกลั่นไม้กฤษณา,เมืองตราด,701,-,-, 1.70 ,20230001325538, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,3,โฉนดเลขที่ 19322, 98.60 ,จ3-7(1)-13/53ตร,53,เนินทราย,นางหทัยรัตน์ ติณสุวรรณ,6437,,3,23000
สกัดน้ำมันจากไม้กฤษณา,เมืองตราด,701,-,-, 5.75 ,20230003025540, 16 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,3,324/1, 382.00 ,จ3-7(1)-30/54ตร,54,วังกระแจะ,นายสุธดี ชิดชอบ,6438,,3,23000
สกัดน้ำมันปาล์มดิบ,เมืองตราด,701,,, 67.00 ,20230001325587, 22 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,9,โฉนดที่ดิน 46532, 429.00 ,จ3-7(1)-13/58ตร,58,เนินทราย,บริษัท ตราดปาล์มออยล์ จำกัด,6439,บริษัท ตราดปาล์มออยล์ จำกัด,3,23000
ผลิตน้ำปลา,เมืองตราด,1302,,, 7.10 ,20230117625631, 13 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,4,317, 102.00 ,จ3-13(2)-8/63ตร,63,เนินทราย,บริษัท ระยอง อาหารและเครื่องปรุง จำกัด,6440,บริษัท ระยอง อาหารและเครื่องปรุง จำกัด,3,23000
ทำน้ำแข็ง ได้วัละ 896 ซอง,เมืองตราด,1400,-,-, 21.50 ,230000125347, 17 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,8,431/2," 1,084.70 ",ศ3-14-1/34ตร,34,วังกระแจะ,บริษัท โรงน้ำแข็งท่าเรือจ้าง จำกัด,6441,บริษัท โรงน้ำแข็งท่าเรือจ้าง จำกัด,3,23000
ผลิตน้ำแข็งซอง 640 ซอง/วัน,เมืองตราด,1400,ตราด-คลองใหญ่,, 8.65 ,20230005525539, 12 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,โฉนดเลขที่ 3097, 483.50 ,จ3-14-55/53ตร,53,เนินทราย,นางวรรณา โชคอุดมพร,6442,-,3,23000
ทำน้ำแข็ง ได้วันละ 384 ซอง,เมืองตราด,1400,ชลประทาน,, -   ,10230000125220, 15 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,662, 802.07 ,3-14-1/22ตร,22,วังกระแจะ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็ง ป.ไพบูลย์,6443,ห้างหุ้นส่วนจำกัด โรงน้ำแข็ง ป.ไพบูลย์,3,23000
ผลิตน้ำแข็งซอง 640 ซอง/วัน (ไม่ใช่เพื่อการบริโภค),เมืองตราด,1400,,, 8.65 ,20230110625596, 12 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,151, 483.50 ,จ3-14-106/59ตร,59,เนินทราย,ห้างหุ้นส่วนจำกัด พี แอนด์ พี ไอซ์,6444,ห้างหุ้นส่วนจำกัด พี แอนด์ พี ไอซ์,3,23000
ทำน้ำแข็งซองได้วันละ 1674 ซอง เพื่อทำน้ำแข็งก้อนเล็กวันละ 113.6 ตัน,เมืองตราด,1400,ชลประทาน,, 17.20 ,10230000125188, 15 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,8,431," 1,852.24 ",3-14-1/18ตร,18,วังกระแจะ,โรงน้ำแข็งวนการ,6445,โรงน้ำแข็งวนการ,3,23000
ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,เมืองตราด,1400,สุขุมวิท,, 3.50 ,20230000125376, 16 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,32, 143.70 ,จ3-14-1/37ตร,37,วังกระแจะ,ห้างหุ้นส่วนจำกัด น้ำดื่มเมืองตราด,6446,ห้างหุ้นส่วนจำกัด น้ำดื่มเมืองตราด,3,23000
ทำน้ำแข็งซองวันละ 774 ซอง,เมืองตราด,1400,สุขุมวิท,, 85.00 ,10230000125162, 25 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,1/5, 987.00 ,3-14-1/16ตร,16,วังกระแจะ,โรงน้ำแข็งเฉลิมพล,6447,โรงน้ำแข็งเฉลิมพล,3,23000
ทำปลาป่น,เมืองตราด,1502,ชลประทาน,, 1.80 ,10230100125161, 14 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,99," 7,108.00 ",3-15(2)-1/16ตร,16,วังกระแจะ,ห้างหุ้นส่วนจำกัด แสงเจริญโพรดักส์,6448,ห้างหุ้นส่วนจำกัด แสงเจริญโพรดักส์,3,23000
ผลิตภัณฑ์เครื่องสำอางและสิ่งปรุงแต่งร่างกาย เช่น แชมพู สบู่ สกินแคร์ เมคอัพ,เมืองตราด,4701,,, 16.30 ,20230171425670, 50 ,อุตสาหกรรมท่องเที่ยวสุขภาพ,10,ตราด,1,68/8, 250.32 ,จ3-47(1)-8/67ตร,67,ท่าพริก,บริษัท โกลเด้น คอสเมติก จำกัด,6449,บริษัท โกลเด้น คอสเมติก จำกัด,3,23000
ผลิตตะแกรงเหล็กกล้าเชื่อมติดเสริมคอนกรีต ,เมืองตราด,6405,ตราด-คลองใหญ่,, 4.00 ,20230160325659, 4 ,อุตสาหกรรมโลจิสติกส์,2,ตราด,4,23/5, 486.87 ,จ3-64(5)-3/65ตร,65,ท่าพริก,บริษัท ตราด ไวร์เมช จำกัด,6450,บริษัท ตราด ไวร์เมช จำกัด,3,23000
ต่อเรือเหล็ก,เมืองตราด,7501,,, 6.00 ,20230200125408, 26 ,อุตสาหกรรมโลจิสติกส์,2,ตราด,2,215, 330.50 ,จ3-75(1)-1/40ตร,40,เนินทราย,บริษัท พูลสวัสดิ์สลิปเวย์ จำกัด,6451,บริษัท พูลสวัสดิ์สลิปเวย์ จำกัด,3,23000
ต่อและซ่อมเรือไม้,เมืองตราด,7501,ชลประทาน,, 1.15 ,10230000525304, 21 ,อุตสาหกรรมโลจิสติกส์,2,ตราด,1,851/2, 198.49 ,3-75(1)-5/30ตร,30,วังกระแจะ,คานเรือวสันต์สมุทร,6452,คานเรือวสันต์สมุทร,3,23000
ต่อเรือและซ่อมแซมเรือ,เมืองตราด,7501,ชลประทาน,, 0.85 ,10230100125229, 7 ,อุตสาหกรรมโลจิสติกส์,2,ตราด,1,614, 136.00 ,3-75(1)-1/22ตร,22,วังกระแจะ,คานเรือเกษมศิริ,6453,คานเรือเกษมศิริ,3,23000
ต่อ ซ่อมแซมเรือและชิ้นส่วนอุปกรณ์เรือ,เมืองตราด,7501,ชลประทาน,-, 21.00 ,20230000425495, 15 ,อุตสาหกรรมโลจิสติกส์,2,ตราด,1,432, 278.53 ,จ3-75(1)-4/49ตร,49,วังกระแจะ,คานเรือสินประเสริฐ,6454,คานเรือสินประเสริฐ,3,23000
สกัดน้ำมันจากไม้กฤษณา,แหลมงอบ,701,,, 3.50 ,20230001425551, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,โฉนดที่ดิน เลขที่ 4808 เล่ม 49 หน้า 8, 89.40 ,จ3-7(1)-14/55ตร,55,คลองใหญ่,นายสำเนา หอยสังข์,6455,นายสำเนา หอยสังข์,3,23120
สกัดน้ำมันจากไม้กฤษณา,แหลมงอบ,701,,, 3.00 ,20230000325562, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,,โฉนดที่ดินเลขที่ 3034 เล่ม 31 หน้า 4, 89.40 ,จ3-7(1)-3/56ตร,56,คลองใหญ่,นายสมเศก สุขสวัสดิ์,6456,นายสมเศก สุขสวัสดิ์,3,23120
ทำน้ำปลา,แหลมงอบ,1302,สายตราด-แหลมงอบ,-, 20.40 ,20230200125465, 72 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,59, 285.00 ,จ3-13(2)-1/46ตร,46,แหลมงอบ,บริษัท น้ำปลาพื้นเมือง จำกัด,6457,บริษัท น้ำปลาพื้นเมือง จำกัด,3,23120
ทำน้ำปลา,แหลมงอบ,1302,,, 13.00 ,20230000325463, 42 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,2,24/4, 333.00 ,จ3-13(2)-3/46ตร,46,แหลมงอบ,บริษัท น้ำปลาพื้นเมือง จำกัด,6458,บริษัท น้ำปลาพื้นเมือง จำกัด,3,23120
ทำน้ำแข็งก้อนเล็ก,แหลมงอบ,1400,-,-, 5.75 ,20230007925547, 4 ,อุตสาหกรรมแปรรูปอาหาร,5,ตราด,1,254/4, 197.50 ,จ3-14-79/54ตร,54,แหลมงอบ,นายเอกชัย แพทย์คุณ,6459,-,3,23120
ซ่อมเครื่องยนต์และอุปกรณ์เรือ,แหลมงอบ,6500,,, 0.22 ,10230000225319, 4 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,ตราด,1,99, 95.93 ,3-65-2/31ตร,31,คลองใหญ่,คานเรือคลองใหญ่,6460,คานเรือคลองใหญ่,3,23120
การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,คลองเขื่อน,1501,,, 10.00 ,20240082425651, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,6,11/2, 461.00 ,จ3-15(1)-6/65ฉช,65,ก้อนแก้ว,บริษัท ยีสต์ มาสเตอร์ จำกัด,6461,บริษัท ยีสต์ มาสเตอร์ จำกัด,3,24000
ทำมันเส้น,ท่าตะเกียบ,906,สนามชัยเขต-ท่าตะเกียบ,, 6.50 ,20240001325487, 8 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,18,168/8, 295.00 ,จ3-9(6)-13/48ฉช,48,คลองตะเกรา,ลานมัน คุณไล้ คุณวิรัชต์ มั่นเจริญพร,6462,ลานมัน คุณไล้ คุณวิรัชต์ มั่นเจริญพร,3,24160
ทำมันเส้น,ท่าตะเกียบ,906,หนองคอก-คลองหาด,, 3.20 ,20240003225586, 6 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,9,554, 110.00 ,จ3-9(6)-32/58ฉช,58,คลองตะเกรา,วรวัฒน์ ท่าตะเกียบ,6463,วรวัฒน์ ท่าตะเกียบ,3,24160
ฆ่าและแปรรูปสุกร,บางคล้า,401,หัวไทร-ทางข้ามน้อย,-, 281.55 ,10240000125419, 685 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,1,163/1," 2,603.85 ",3-4(1)-1/41ฉช,41,หัวไทร,บริษัท บางคล้าพัฒนา จำกัด,6464,บริษัท บางคล้าพัฒนา จำกัด,3,24110
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 90 เกวียน/วัน ขยายส่วนการสีข้าวนึ่ง กำลังสีสุงสุด 50 เกวียน/วัน รวมกับของเดิมเป็น 140 เกวียน/วัน,บางคล้า,901,ฉะเชิงเทรา-พนมสารคาม,-, 6.00 ,10240000225268, 20 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,5,2/1," 1,687.33 ",3-9(1)-2/26ฉช,26,เสม็ดเหนือ,บริษัท โรงสีนาทองพืชผล จำกัด,6465,บริษัท โรงสีนาทองพืชผล จำกัด,3,24110
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน และบรรจุข้าวสารใส่ถุง,บางคล้า,901,ฉะเชิงเทรา-พนมสารคาม,, 12.00 ,10240000225292, 28 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,3,9/1, 403.50 ,3-9(1)-2/29ฉช,29,เสม็ดเหนือ,บริษัท ซี.ดับบลิว.อาร์ ไรซ์ เทรดดิ้ง จำกัด,6466,บริษัท ซี.ดับบลิว.อาร์ ไรซ์ เทรดดิ้ง จำกัด,3,24110
ทำเส้นหมี่และก๋วยเตี๋ยว,บางคล้า,1003,-,-, 9.00 ,240100125345, 20 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,9,5/1," 3,593.82 ",ศ3-10(3)-1/34ฉช,34,ปากน้ำ,โรงงานเส้นหมี่ตราพระอาทิตย์,6467,โรงงานเส้นหมี่ตราพระอาทิตย์,3,24110
ทำขนมเปี้ยะและขนมจันอับ,บางคล้า,1003,บางคล้า-แปลงยาว,, 23.20 ,20240323525640, 36 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,,40, 449.00 ,จ3-10(3)-6/64ฉช,64,บางคล้า,ช่วงชัย ตันคงคารัตน์,6468,ช่วงชัย ตันคงคารัตน์,3,24110
ทำเส้นก๋วยเตี๋ยว,บางคล้า,1003,ฤทธิ์ประศาสน์,, 3.30 ,240000325342, 36 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,,69/2, 561.50 ,ศ3-10(3)-3/34ฉช,34,บางคล้า,บริษัท สื่อจิ้นเอี้ยง จำกัด,6469,บริษัท สื่อจิ้นเอี้ยง จำกัด,3,24110
ทำน้ำแข็งก้อนเล็กได้วันละ 3 ตัน,บางคล้า,1400,วัฒนปรีดา,-, 4.20 ,10240000225235, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,-,98, 115.00 ,3-14-2/23ฉช,23,บางคล้า,บริษัท ศรีรุ่งเรืองไอซ์ จำกัด,6470,บริษัท ศรีรุ่งเรืองไอซ์ จำกัด,3,24110
ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,บางคล้า,1501,-,-, 115.00 ,20240144225677, 40 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,4,โฉนดที่ดินเลขที่ 1465, 392.00 ,จ3-15(1)-15/67ฉช,67,เสม็ดใต้,บริษัท ฟาร์มศิริปุณย์ จำกัด,6471,บริษัท ฟาร์มศิริปุณย์ จำกัด,3,24110
ผลิตชิ้นส่วนพลาสติกที่ใช้ประกอบเข้ากับชุดสายไฟฟ้าสำหรับรถยนต,บางคล้า,7702,ฉะเชิงเทรา-พนมสารคาม,-, 765.50 ,10240500125315, 99 ,อุตสาหกรรมยานยนต์,3,ฉะเชิงเทรา,4,79," 30,518.22 ",3-77(2)-1/31ฉช,31,เสม็ดใต้,บริษัท ไทยแอโรว์ จำกัด,6472,บริษัท ไทยแอโรว์ จำกัด,3,24110
อบข้าว ขัดข้าว ได้วันละ 225 ตัน/วัน,บางน้ำเปรี้ยว,201,,, 65.00 ,20240004725576, 40 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,5,, 487.50 ,จ3-2(1)-47/57ฉช,57,บางน้ำเปรี้ยว,บริษัท เกรียงชัยโกลเด้นไรซ์ จำกัด,6473,บริษัท เกรียงชัยโกลเด้นไรซ์ จำกัด,3,24150
อบสีข้าวนึ่ง,บางน้ำเปรี้ยว,201,,, 86.84 ,10240003025582, 13 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,4,โฉนดที่ดินเลขที่ 1888," 4,618.80 ",3-2(1)-30/58ฉช,58,ดอนฉิมพลี,บริษัท ชัยวัฒนาไรซ์มิลล์ จำกัด,6474,บริษัท ชัยวัฒนาไรซ์มิลล์ จำกัด,3,24170
นึ่ง อบข้าวเปลือก ได้วันละ 300 ตัน,บางน้ำเปรี้ยว,201,บางน้ำเปรี้ยว-บางขนาก,     -, 4.00 ,20240000125458, 10 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,9,7/2, 419.50 ,จ3-2(1)-1/45ฉช,45,บางขนาก,บริษัท โรงสีเตียใจ้ฮง จำกัด,6475,บริษัท โรงสีเตียใจ้ฮง จำกัด,3,24150
อบข้าวเปลือก,บางน้ำเปรี้ยว,201,,, 38.22 ,10240378425649, 5 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,4,100, 778.00 ,3-2(1)-12/64ฉช,64,ดอนฉิมพลี,บริษัท โรงสีสำเภาทอง จำกัด,6476,บริษัท โรงสีสำเภาทอง จำกัด,3,24170
นึ่ง อบ เมล็ดข้าวเปลือก,บางน้ำเปรี้ยว,201,บางน้ำเปรี้ยว-หนองจอก,, 6.00 ,10240000125468, 8 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,8,54," 1,098.14 ",3-2(1)-1/46ฉช,46,บางน้ำเปรี้ยว,บริษัท แคราย ธัญญกิจ จำกัด,6477,บริษัท แคราย ธัญญกิจ จำกัด,3,24150
อบข้าวเปลือก,บางน้ำเปรี้ยว,201,-,-, 5.00 ,20240000125466, 5 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,16,35/2, 295.00 ,จ3-2(1)-1/46ฉช,46,ศาลาแดง,ห้างหุ้นส่วนจำกัด โรงสีมงคลธัญญกิจ,6478,ห้างหุ้นส่วนจำกัด โรงสีมงคลธัญญกิจ,3,24000
นึ่งข้าว อบข้าว ได้วันละ 400 เกวียนต่อวัน,บางน้ำเปรี้ยว,201,-,-, 65.00 ,10240001725530, 40 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,5,55," 2,351.54 ",3-2(1)-17/53ฉช,53,บางน้ำเปรี้ยว,บริษัท เกรียงชัยโกลเด้นไรซ์ จำกัด,6479,บริษัท เกรียงชัยโกลเด้นไรซ์ จำกัด,3,24150
อบข้าวเปลือก,บางน้ำเปรี้ยว,201,,, 20.00 ,20240004425508, 30 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,9,99, 276.00 ,จ3-2(1)-44/50ฉช,50,หมอนทอง,ท่าข้าวศิริพร,6480,ท่าข้าวศิริพร,3,24150
"นึ่งข้าว ได้ปีละ 32,800 ตัน",บางน้ำเปรี้ยว,201,บางน้ำเปรี้ยว-องครักษ์,-, 8.20 ,10240003625480, 38 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,5,33/9, 924.15 ,3-2(1)-36/48ฉช,48,สิงโตทอง,บริษัท ยี่สิบไพบูลย์ ไรซ์ อินเตอร์เทรด 2009 จำกัด,6481,บริษัท ยี่สิบไพบูลย์ ไรซ์ อินเตอร์เทรด 2009 จำกัด,3,24150
การเพาะเห็ด,บางน้ำเปรี้ยว,208,,," 1,974.00 ",20240308125648, 161 ,อุตสาหกรรมเกษตรเทคโนชีวภาพ,8,ฉะเชิงเทรา,13,88-99 ," 16,380.00 ",จ3-2(8)-1/64ฉช,64,ศาลาแดง,บริษัท โซรอน ไบโอเทคโนโลยี (ประเทศไทย) จำกัด,6482,บริษัท โซรอน ไบโอเทคโนโลยี (ประเทศไทย) จำกัด,3,24000
การเพาะเห็ด,บางน้ำเปรี้ยว,208,,," 1,974.00 ",10240002725638, 178 ,อุตสาหกรรมเกษตรเทคโนชีวภาพ,8,ฉะเชิงเทรา,13,"88,89 "," 17,457.00 ",3-2(8)-1/63ฉช,63,ศาลาแดง,บริษัท โซรอน ไบโอเทคโนโลยี (ประเทศไทย) จำกัด,6483,บริษัท โซรอน ไบโอเทคโนโลยี (ประเทศไทย) จำกัด,3,24000
โรงเชือดชำแหละไก่,บางน้ำเปรี้ยว,401,,, 6.00 ,20240142625662, 30 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,16,"โฉนดที่ดินเลขที่ 22781, 37411", 414.00 ,จ3-4(1)-8/66ฉช,66,ดอนฉิมพลี,นายสุรชัย นุตตะโยธิน,6484,นายสุรชัย นุตตะโยธิน,3,24170
การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์และการทำขนมปัง,บางน้ำเปรี้ยว,403,,, 797.00 ,10240001725589, 20 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,14,59/1," 3,168.65 ",3-4(3)-17/58ฉช,58,ศาลาแดง,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),6485,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),3,24000
สกัดน้ำมันดิบจากเมล็ดในปาล์ม,บางน้ำเปรี้ยว,701,,, 193.00 ,20240001625571, 31 ,อุตสาหกรรมแปรรูปอาหาร,5,ฉะเชิงเทรา,6,36/1, 485.50 ,จ3-7(1)-16/57ฉช,57,บางขนาก,บริษัท ใจข้าว คอร์ปอเรชั่น จำกัด,6486,บริษัท ใจข้าว คอร์ปอเรชั่น จำกัด,3,24150
