ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ฆ่าสัตว์ และเก็บรักษาเนื้อสัตว์ (ไก่ ปลาไหลญี่ปุ่น) ห้องเย็นขนาด 820 ตันริฟิเจอร์เรชั่น,คันนายาว,401,นวมินทร์,," 2,006.13 ",10100000125258," 2,589 ",อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,128," 7,846.99 ",3-4(1)-1/25,25,รามอินทรา,บริษัท สหฟาร์ม จำกัด,25,บริษัท สหฟาร์ม จำกัด,3,10230
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,คันนายาว,901,รามอินทรา,คู้บอน, 14.00 ,10100006425520, 12 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,13,92, 332.50 ,3-9(1)-64/52,52,คันนายาว,ห้างหุ้นส่วนจำกัด กิจทวีผลค้าข้าว,26,ห้างหุ้นส่วนจำกัด กิจทวีผลค้าข้าว,3,10230
ทำขนมปัง,คันนายาว,1001,สุขาภิบาล 1,, 2.86 ,100100125390, 26 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,44/4, 72.21 ,ศ3-10(1)-1/39,39,คันนายาว,บริษัท ผลิตภัณฑ์อาหารเพื่อสุขภาพ จำกัด,27,บริษัท ผลิตภัณฑ์อาหารเพื่อสุขภาพ จำกัด,3,10230
ผลิตน้ำส้มสายชู,คันนายาว,1304,รามอินทรา,, -   ,10100000125159, 3 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,731, 313.70 ,3-13(4)-1/15,15,คันนายาว,ห้างหุ้นส่วนจำกัด ชายทะเลจันทร์เพ็ญ,28,ห้างหุ้นส่วนจำกัด ชายทะเลจันทร์เพ็ญ,3,10230
ผลิตและซ่อมแซมอุปกรณ์ของเครื่องจักรสำหรับอุตสาหกรรมอาหาร ทำเต้ารับเสียบ-เต้ารับ สำหรับเครื่องใช้ไฟฟ้าและประกอบชุดสายไฟฟ้าต่างๆ และทำผลิตภัณฑ์สำหรับใช้เป็นฉนวน,คันนายาว,6800,เสรีไทย,เสรีไทย 79, 11.50 ,10100501025346, 115 ,อุตสาหกรรมหุ่นยนต์และแขนกล,1,กรุงเทพมหานคร,,"55, 57, 59", 204.49 ,3-68-10/34,34,คันนายาว,บริษัท บี.บี.เค.อีเลคตริค จำกัด,29,บริษัท บี.บี.เค.อีเลคตริค จำกัด,3,10230
ทำชิ้นส่วนตัวถังพลาสติกของครื่องอิเลคโทรนิคต่างๆ และแบบพิมพ์โลหะ,คันนายาว,6900,คู้บอน,คู้บอน 31 แยก 8, 32.80 ,10101000425342, 196 ,อุตสาหกรรมดิจิตอล,9,กรุงเทพมหานคร,,9," 1,738.31 ",3-69-4/34,34,คันนายาว,บริษัท อินเตอร์ คัพพ้า คอร์ปอเรชั่น จำกัด,30,บริษัท อินเตอร์ คัพพ้า คอร์ปอเรชั่น จำกัด,3,10230
ทำท่อไอเสียรถยนต์และซ่อมไดนาโม,คันนายาว,7100,รามอินทรา,, 0.96 ,10100001425285, 16 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,"232,230,228", 84.00 ,3-71-14/28,28,รามอินทรา,ง้วนไดนาโม,31,ง้วนไดนาโม,3,10230
ผลิตอุปกรณ์เตาไฟหรือเตาอบสำหรับใช้ในการอุตสาหกรรมและการทำเต้าเสียบเต้ารับ สำหรับเครื่องใช้ไฟฟ้าและประกอบชุดสายไฟฟ้าต่างๆ,คันนายาว,7100,เสรีไทย,เสรีไทย 79, 2.10 ,10100401225525, 45 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,141, 193.38 ,3-71-12/52,52,คันนายาว,บริษัท บี.บี.เค.อีเลคตริค จำกัด,32,บริษัท บี.บี.เค.อีเลคตริค จำกัด,3,10230
"ผลิตชิ้นส่วนและอุปกรณ์อีเล็คโทรนิค (กลไกใส่ตลับเทปวีดีโอ, ชิ้นส่วนโลหะของหลอดภาพโทรทัศน์และชิ้นส่วนเครื่องพิมพ์ดีดไฟฟ้า) ผลิตแม่พิมพ์ที่ใช้ในการฉีดพลาสติกและปั๊มโลหะขึ้นรูป และผลิตชิ้นส่วนโลหะของอุปกรณ์ที่ติดตั้งในรถยนต์",คันนายาว,7200,รามอินทรา,-, 941.80 ,100000425304, 455 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,,886," 7,003.48 ",ส3-72-4/30กท,30,คันนายาว,บริษัท มูราโมโต้ อีเล็คตรอน (ประเทศไทย) จำกัด (มหาชน),33,บริษัท มูราโมโต้ อีเล็คตรอน (ประเทศไทย) จำกัด (มหาชน),3,10230
ทำอุปกรณ์ไฟฟ้า เช่น น๊อต สกรู เหล็กสลักภัณฑ์ต่าง ๆ,คันนายาว,7300,รามอินทรา,, 11.69 ,10100100525191, 24 ,อุตสาหกรรมอิเล็กทรอนิกส์,4,กรุงเทพมหานคร,1,178," 1,016.59 ",3-73-5/19,19,รามอินทรา,บริษัท กิจพูนชัย จำกัด,34,บริษัท กิจพูนชัย จำกัด,3,10230
คัดคุณภาพและบรรจุเก็บรักษาผลไม้,จตุจักร,209,ในบริเวณมหาวิทยาลัยเกษตรศาสตร์ ,-, 0.07 ,10100001125547, 35 ,อุตสาหกรรมเกษตรเทคโนชีวภาพ,8,กรุงเทพมหานคร,-,ขึ้นทะเบียนที่ราชพัสดุเลขที่ 601  , 346.79 ,3-2(9)-11/54,54,ลาดยาว,บริษัท พีแอนด์เอฟ เทคโน จำกัด,35,บริษัท พีแอนด์เอฟ เทคโน จำกัด,3,10900
ทำบาร์บีคิวหมู เนื้อ ไก่ อาหารทะเล และเครื่องปรุงรสบาร์บีคิว,จตุจักร,403,ลาดพร้าว,ลาดพร้าว 23, 36.50 ,100000125391, 60 ,อุตสาหกรรมแปรรูปอาหาร,5,กรุงเทพมหานคร,,32/124, 99.60 ,ศ3-4(3)-1/39,39,ลาดยาว,บริษัท ฟู้ดแพชชั่น จำกัด,36,บริษัท ฟู้ดแพชชั่น จำกัด,3,10900
