จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,อำเภอ
7,83,2565,ผลิตภัณฑ์จากปิโตรเลียม,ศรีมหาโพธิ
0,84,2565,ผลิตภัณฑ์จากปิโตรเลียม,ศรีมโหสถ
1,85,2565,ยางและผลิตภัณฑ์ยาง,เมืองปราจีนบุรี
6,86,2565,ยางและผลิตภัณฑ์ยาง,กบินทร์บุรี
0,87,2565,ยางและผลิตภัณฑ์ยาง,นาดี
0,88,2565,ยางและผลิตภัณฑ์ยาง,บ้านสร้าง
0,89,2565,ยางและผลิตภัณฑ์ยาง,ประจันตคาม
2,90,2565,ยางและผลิตภัณฑ์ยาง,ศรีมหาโพธิ
2,91,2565,ยางและผลิตภัณฑ์ยาง,ศรีมโหสถ
5,92,2565,ผลิตภัณฑ์พลาสติก,เมืองปราจีนบุรี
34,93,2565,ผลิตภัณฑ์พลาสติก,กบินทร์บุรี
4,94,2565,ผลิตภัณฑ์พลาสติก,นาดี
4,95,2565,ผลิตภัณฑ์พลาสติก,บ้านสร้าง
0,96,2565,ผลิตภัณฑ์พลาสติก,ประจันตคาม
31,97,2565,ผลิตภัณฑ์พลาสติก,ศรีมหาโพธิ
0,98,2565,ผลิตภัณฑ์พลาสติก,ศรีมโหสถ
10,99,2565,ผลิตภัณฑ์อโลหะ,เมืองปราจีนบุรี
16,100,2565,ผลิตภัณฑ์อโลหะ,กบินทร์บุรี
1,101,2565,ผลิตภัณฑ์อโลหะ,นาดี
2,102,2565,ผลิตภัณฑ์อโลหะ,บ้านสร้าง
0,103,2565,ผลิตภัณฑ์อโลหะ,ประจันตคาม
17,104,2565,ผลิตภัณฑ์อโลหะ,ศรีมหาโพธิ
1,105,2565,ผลิตภัณฑ์อโลหะ,ศรีมโหสถ
0,106,2565,ผลิตโลหะขั้นมูลฐาน,เมืองปราจีนบุรี
7,107,2565,ผลิตโลหะขั้นมูลฐาน,กบินทร์บุรี
0,108,2565,ผลิตโลหะขั้นมูลฐาน,นาดี
0,109,2565,ผลิตโลหะขั้นมูลฐาน,บ้านสร้าง
0,110,2565,ผลิตโลหะขั้นมูลฐาน,ประจันตคาม
18,111,2565,ผลิตโลหะขั้นมูลฐาน,ศรีมหาโพธิ
0,112,2565,ผลิตโลหะขั้นมูลฐาน,ศรีมโหสถ
4,113,2565,ผลิตภัณฑ์โลหะ,เมืองปราจีนบุรี
15,114,2565,ผลิตภัณฑ์โลหะ,กบินทร์บุรี
0,115,2565,ผลิตภัณฑ์โลหะ,นาดี
2,116,2565,ผลิตภัณฑ์โลหะ,บ้านสร้าง
2,117,2565,ผลิตภัณฑ์โลหะ,ประจันตคาม
24,118,2565,ผลิตภัณฑ์โลหะ,ศรีมหาโพธิ
7,119,2565,ผลิตภัณฑ์โลหะ,ศรีมโหสถ
5,120,2565,ผลิตเครื่องจักรและเครื่องกล,เมืองปราจีนบุรี
12,121,2565,ผลิตเครื่องจักรและเครื่องกล,กบินทร์บุรี
0,122,2565,ผลิตเครื่องจักรและเครื่องกล,นาดี
0,123,2565,ผลิตเครื่องจักรและเครื่องกล,บ้านสร้าง
0,124,2565,ผลิตเครื่องจักรและเครื่องกล,ประจันตคาม
18,125,2565,ผลิตเครื่องจักรและเครื่องกล,ศรีมหาโพธิ
1,126,2565,ผลิตเครื่องจักรและเครื่องกล,ศรีมโหสถ
5,127,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,เมืองปราจีนบุรี
15,128,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,กบินทร์บุรี
0,129,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,นาดี
3,130,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,บ้านสร้าง
1,131,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ประจันตคาม
19,132,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ศรีมหาโพธิ
3,133,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,ศรีมโหสถ
12,134,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,เมืองปราจีนบุรี
20,135,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,กบินทร์บุรี
0,136,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,นาดี
1,137,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,บ้านสร้าง
2,138,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ประจันตคาม
42,139,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ศรีมหาโพธิ
0,140,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ศรีมโหสถ
13,141,2565,การผลิตอื่นๆ,เมืองปราจีนบุรี
103,142,2565,การผลิตอื่นๆ,กบินทร์บุรี
19,143,2565,การผลิตอื่นๆ,นาดี
10,144,2565,การผลิตอื่นๆ,บ้านสร้าง
5,145,2565,การผลิตอื่นๆ,ประจันตคาม
112,146,2565,การผลิตอื่นๆ,ศรีมหาโพธิ
5,147,2565,การผลิตอื่นๆ,ศรีมโหสถ
3,148,2566,ผลิตภัณฑ์จากพืช,เมืองปราจีนบุรี
18,149,2566,ผลิตภัณฑ์จากพืช,กบินทร์บุรี
3,150,2566,ผลิตภัณฑ์จากพืช,นาดี
3,151,2566,ผลิตภัณฑ์จากพืช,บ้านสร้าง
5,152,2566,ผลิตภัณฑ์จากพืช,ประจันตคาม
10,153,2566,ผลิตภัณฑ์จากพืช,ศรีมหาโพธิ
1,154,2566,ผลิตภัณฑ์จากพืช,ศรีมโหสถ
11,155,2566,อุตสาหกรรมอาหาร,เมืองปราจีนบุรี
23,156,2566,อุตสาหกรรมอาหาร,กบินทร์บุรี
0,157,2566,อุตสาหกรรมอาหาร,นาดี
1,158,2566,อุตสาหกรรมอาหาร,บ้านสร้าง
4,159,2566,อุตสาหกรรมอาหาร,ประจันตคาม
16,160,2566,อุตสาหกรรมอาหาร,ศรีมหาโพธิ
1,161,2566,อุตสาหกรรมอาหาร,ศรีมโหสถ
0,162,2566,อุตสาหกรรมเครื่องดื่ม,เมืองปราจีนบุรี
2,163,2566,อุตสาหกรรมเครื่องดื่ม,กบินทร์บุรี
0,164,2566,อุตสาหกรรมเครื่องดื่ม,นาดี
2,165,2566,อุตสาหกรรมเครื่องดื่ม,บ้านสร้าง
0,166,2566,อุตสาหกรรมเครื่องดื่ม,ประจันตคาม
2,167,2566,อุตสาหกรรมเครื่องดื่ม,ศรีมหาโพธิ
2,168,2566,อุตสาหกรรมเครื่องดื่ม,ศรีมโหสถ
0,169,2566,สิ่งทอ,เมืองปราจีนบุรี
23,170,2566,สิ่งทอ,กบินทร์บุรี
0,171,2566,สิ่งทอ,นาดี
0,172,2566,สิ่งทอ,บ้านสร้าง
