ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,อุตสาหกรรม,หน่วย
409,สำนักงานสถิติจังหวัดมหาสารคาม,68,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
3026,สำนักงานสถิติจังหวัดมหาสารคาม,69,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,70,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,71,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,72,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,73,2565,รวม,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,74,2565,ชาย,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,75,2565,หญิง,ไตรมาสที่ 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ทราบ,คน
369629,สำนักงานสถิติจังหวัดมหาสารคาม,76,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
208718,สำนักงานสถิติจังหวัดมหาสารคาม,77,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
160911,สำนักงานสถิติจังหวัดมหาสารคาม,78,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด,คน
176960,สำนักงานสถิติจังหวัดมหาสารคาม,79,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
108398,สำนักงานสถิติจังหวัดมหาสารคาม,80,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
68562,สำนักงานสถิติจังหวัดมหาสารคาม,81,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ภาคเกษตรกรรม,คน
176960,สำนักงานสถิติจังหวัดมหาสารคาม,82,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
108398,สำนักงานสถิติจังหวัดมหาสารคาม,83,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
68562,สำนักงานสถิติจังหวัดมหาสารคาม,84,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,เกษตรกรรม การป่าไม้ และการประมง,คน
192669,สำนักงานสถิติจังหวัดมหาสารคาม,85,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
100320,สำนักงานสถิติจังหวัดมหาสารคาม,86,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
92349,สำนักงานสถิติจังหวัดมหาสารคาม,87,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,นอกภาคเกษตรกรรม,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,88,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,89,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,90,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การทำเหมืองแร่ และเหมืองหิน,คน
20873,สำนักงานสถิติจังหวัดมหาสารคาม,91,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
10429,สำนักงานสถิติจังหวัดมหาสารคาม,92,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
10444,สำนักงานสถิติจังหวัดมหาสารคาม,93,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การผลิต,คน
648,สำนักงานสถิติจังหวัดมหาสารคาม,94,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
198,สำนักงานสถิติจังหวัดมหาสารคาม,95,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
450,สำนักงานสถิติจังหวัดมหาสารคาม,96,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,97,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,98,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,99,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การจัดการน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล,คน
32099,สำนักงานสถิติจังหวัดมหาสารคาม,100,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
29151,สำนักงานสถิติจังหวัดมหาสารคาม,101,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
2948,สำนักงานสถิติจังหวัดมหาสารคาม,102,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การก่อสร้าง,คน
61096,สำนักงานสถิติจังหวัดมหาสารคาม,103,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
28075,สำนักงานสถิติจังหวัดมหาสารคาม,104,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
33021,สำนักงานสถิติจังหวัดมหาสารคาม,105,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,คน
792,สำนักงานสถิติจังหวัดมหาสารคาม,106,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
792,สำนักงานสถิติจังหวัดมหาสารคาม,107,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
,สำนักงานสถิติจังหวัดมหาสารคาม,108,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การขนส่งและสถานที่เก็บสินค้า,คน
16759,สำนักงานสถิติจังหวัดมหาสารคาม,109,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
5532,สำนักงานสถิติจังหวัดมหาสารคาม,110,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
11227,สำนักงานสถิติจังหวัดมหาสารคาม,111,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ที่พักแรมและบริการด้านอาหาร,คน
792,สำนักงานสถิติจังหวัดมหาสารคาม,112,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
108,สำนักงานสถิติจังหวัดมหาสารคาม,113,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
684,สำนักงานสถิติจังหวัดมหาสารคาม,114,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,ข้อมูลข่าวสารและการสื่อสาร,คน
804,สำนักงานสถิติจังหวัดมหาสารคาม,115,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
577,สำนักงานสถิติจังหวัดมหาสารคาม,116,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
227,สำนักงานสถิติจังหวัดมหาสารคาม,117,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการทางการเงินและประกันภัย,คน
1133,สำนักงานสถิติจังหวัดมหาสารคาม,118,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
438,สำนักงานสถิติจังหวัดมหาสารคาม,119,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
695,สำนักงานสถิติจังหวัดมหาสารคาม,120,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจการอสังหาริมทรัพย์,คน
279,สำนักงานสถิติจังหวัดมหาสารคาม,121,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
133,สำนักงานสถิติจังหวัดมหาสารคาม,122,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
147,สำนักงานสถิติจังหวัดมหาสารคาม,123,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,คน
2286,สำนักงานสถิติจังหวัดมหาสารคาม,124,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
1929,สำนักงานสถิติจังหวัดมหาสารคาม,125,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
357,สำนักงานสถิติจังหวัดมหาสารคาม,126,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมการบริหารและการบริการสนับสนุน,คน
12892,สำนักงานสถิติจังหวัดมหาสารคาม,127,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
8015,สำนักงานสถิติจังหวัดมหาสารคาม,128,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
4877,สำนักงานสถิติจังหวัดมหาสารคาม,129,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การบริหารราชการ การป้องกันประเทศและการประกันสังคม,คน
18863,สำนักงานสถิติจังหวัดมหาสารคาม,130,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
6337,สำนักงานสถิติจังหวัดมหาสารคาม,131,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
12525,สำนักงานสถิติจังหวัดมหาสารคาม,132,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,การศึกษา,คน
12459,สำนักงานสถิติจังหวัดมหาสารคาม,133,2565,รวม,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
2880,สำนักงานสถิติจังหวัดมหาสารคาม,134,2565,ชาย,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
9579,สำนักงานสถิติจังหวัดมหาสารคาม,135,2565,หญิง,ไตรมาสที่ 2,จำนวนผู้มีงานทำ,มหาสารคาม,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,คน
