จำนวน,_id,ปี,แหล่งข้อมูล,หน่วยนับ,รายการ,ประเภทรถ,จังหวัด
2,15,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2536,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
2,16,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2537,รถยนต์สามล้อส่วนบุคคล,ปราจีนบุรี
369,17,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2538,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
357,18,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2539,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
340,19,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2540,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
316,20,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2541,รถยนต์รับจ้างสามล้อ,ปราจีนบุรี
1,21,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2542,รถยนต์บริการธุรกิจ,ปราจีนบุรี
1,22,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2543,รถยนต์บริการธุรกิจ,ปราจีนบุรี
1,23,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2544,รถยนต์บริการธุรกิจ,ปราจีนบุรี
1,24,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2545,รถยนต์บริการธุรกิจ,ปราจีนบุรี
"158,914",25,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2546,รถจักรยานยนต์,ปราจีนบุรี
"163,737",26,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2547,รถจักรยานยนต์,ปราจีนบุรี
"169,620",27,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2548,รถจักรยานยนต์,ปราจีนบุรี
"169,456",28,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2549,รถจักรยานยนต์,ปราจีนบุรี
"2,998",29,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2550,รถแทรกเตอร์,ปราจีนบุรี
"3,098",30,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2551,รถแทรกเตอร์,ปราจีนบุรี
"3,136",31,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2552,รถแทรกเตอร์,ปราจีนบุรี
"3,153",32,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2553,รถแทรกเตอร์,ปราจีนบุรี
182,33,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2554,รถบดถนน,ปราจีนบุรี
186,34,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2555,รถบดถนน,ปราจีนบุรี
186,35,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2556,รถบดถนน,ปราจีนบุรี
181,36,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2557,รถบดถนน,ปราจีนบุรี
18,37,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2558,รถใช้งานเกษตรกรรม,ปราจีนบุรี
18,38,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2559,รถใช้งานเกษตรกรรม,ปราจีนบุรี
18,39,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2560,รถใช้งานเกษตรกรรม,ปราจีนบุรี
18,40,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2561,รถใช้งานเกษตรกรรม,ปราจีนบุรี
10,41,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2562,รถพ่วง,ปราจีนบุรี
11,42,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2563,รถพ่วง,ปราจีนบุรี
13,43,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2564,รถพ่วง,ปราจีนบุรี
14,44,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2565,รถพ่วง,ปราจีนบุรี
199,45,2564,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2566,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
179,46,2565,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2567,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
149,47,2566,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2568,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
126,48,2567,สำนักงานขนส่งจังหวัดปราจีนบุรี,คัน,จำนวนรถจดทะเบียนสะสม ตาม พรบ.2569,รถจักรยานยนต์สาธารณะ,ปราจีนบุรี
