จำนวน,_id,ปี,เพศ,ปัญหา,จังหวัด,ประเภทแรงงาน,หน่วย
5232,65,2561,ชาย,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานนอกระบบ,คน
318,66,2561,ชาย,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานนอกระบบ,คน
733,67,2561,ชาย,ไม่ทราบ,ปทุมธานี,แรงงานนอกระบบ,คน
2820,68,2561,หญิง,ค่าตอบแทน,ปทุมธานี,แรงงานนอกระบบ,คน
941,69,2561,หญิง,งานหนัก,ปทุมธานี,แรงงานนอกระบบ,คน
2872,70,2561,หญิง,งานไม่ต่อเนื่อง,ปทุมธานี,แรงงานนอกระบบ,คน
281,71,2561,หญิง,ไม่มีสวัสดิการ,ปทุมธานี,แรงงานนอกระบบ,คน
513,72,2561,หญิง,ไม่ทราบ,ปทุมธานี,แรงงานนอกระบบ,คน
8274,73,2561,ชาย,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานในระบบ,คน
665,74,2561,ชาย,งานหนัก,พระนครศรีอยุธยา,แรงงานในระบบ,คน
1864,75,2561,ชาย,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
2060,76,2561,ชาย,ชั่วโมงทำงานมากเกินไป,พระนครศรีอยุธยา,แรงงานในระบบ,คน
1504,77,2561,ชาย,ไม่มีวันหยุด,พระนครศรีอยุธยา,แรงงานในระบบ,คน
608,78,2561,ชาย,ลาพักผ่อนไม่ได้,พระนครศรีอยุธยา,แรงงานในระบบ,คน
3999,79,2561,ชาย,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
13838,80,2561,หญิง,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานในระบบ,คน
1798,81,2561,หญิง,งานหนัก,พระนครศรีอยุธยา,แรงงานในระบบ,คน
277,82,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
6097,83,2561,หญิง,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานในระบบ,คน
335,84,2561,หญิง,ไม่มีวันหยุด,พระนครศรีอยุธยา,แรงงานในระบบ,คน
1307,85,2561,หญิง,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานในระบบ,คน
580,86,2561,ชาย,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
443,87,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
7856,88,2561,ชาย,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
2101,89,2561,ชาย,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
1822,90,2561,หญิง,ค่าตอบแทน,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
387,91,2561,หญิง,งานหนัก,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
2041,92,2561,หญิง,งานไม่ต่อเนื่อง,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
446,93,2561,หญิง,ไม่มีสวัสดิการ,พระนครศรีอยุธยา,แรงงานนอกระบบ,คน
1577,94,2561,ชาย,ค่าตอบแทน,อ่างทอง,แรงงานในระบบ,คน
901,95,2561,ชาย,งานหนัก,อ่างทอง,แรงงานในระบบ,คน
426,96,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,อ่างทอง,แรงงานในระบบ,คน
1244,97,2561,ชาย,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานในระบบ,คน
132,98,2561,ชาย,ชั่วโมงทำงานมากเกินไป,อ่างทอง,แรงงานในระบบ,คน
399,99,2561,ชาย,ไม่มีวันหยุด,อ่างทอง,แรงงานในระบบ,คน
772,100,2561,ชาย,ลาพักผ่อนไม่ได้,อ่างทอง,แรงงานในระบบ,คน
522,101,2561,ชาย,ไม่มีสวัสดิการ,อ่างทอง,แรงงานในระบบ,คน
720,102,2561,ชาย,ไม่ทราบ,อ่างทอง,แรงงานในระบบ,คน
1148,103,2561,หญิง,ค่าตอบแทน,อ่างทอง,แรงงานในระบบ,คน
904,104,2561,หญิง,งานหนัก,อ่างทอง,แรงงานในระบบ,คน
682,105,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,อ่างทอง,แรงงานในระบบ,คน
631,106,2561,หญิง,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานในระบบ,คน
776,107,2561,หญิง,ชั่วโมงทำงานมากเกินไป,อ่างทอง,แรงงานในระบบ,คน
300,108,2561,หญิง,ไม่มีวันหยุด,อ่างทอง,แรงงานในระบบ,คน
285,109,2561,หญิง,ลาพักผ่อนไม่ได้,อ่างทอง,แรงงานในระบบ,คน
363,110,2561,หญิง,ไม่มีสวัสดิการ,อ่างทอง,แรงงานในระบบ,คน
231,111,2561,หญิง,ไม่ทราบ,อ่างทอง,แรงงานในระบบ,คน
1342,112,2561,ชาย,ค่าตอบแทน,อ่างทอง,แรงงานนอกระบบ,คน
650,113,2561,ชาย,งานหนัก,อ่างทอง,แรงงานนอกระบบ,คน
2203,114,2561,ชาย,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานนอกระบบ,คน
128,115,2561,ชาย,ไม่มีวันหยุด,อ่างทอง,แรงงานนอกระบบ,คน
97,116,2561,ชาย,ลาพักผ่อนไม่ได้,อ่างทอง,แรงงานนอกระบบ,คน
133,117,2561,ชาย,ไม่มีสวัสดิการ,อ่างทอง,แรงงานนอกระบบ,คน
1607,118,2561,หญิง,ค่าตอบแทน,อ่างทอง,แรงงานนอกระบบ,คน
425,119,2561,หญิง,งานหนัก,อ่างทอง,แรงงานนอกระบบ,คน
921,120,2561,หญิง,งานไม่ต่อเนื่อง,อ่างทอง,แรงงานนอกระบบ,คน
58,121,2561,หญิง,ชั่วโมงทำงานมากเกินไป,อ่างทอง,แรงงานนอกระบบ,คน
150,122,2561,หญิง,ไม่มีวันหยุด,อ่างทอง,แรงงานนอกระบบ,คน
84,123,2561,หญิง,ลาพักผ่อนไม่ได้,อ่างทอง,แรงงานนอกระบบ,คน
260,124,2561,หญิง,ไม่มีสวัสดิการ,อ่างทอง,แรงงานนอกระบบ,คน
6402,125,2561,ชาย,ค่าตอบแทน,ลพบุรี,แรงงานในระบบ,คน
6705,126,2561,ชาย,งานหนัก,ลพบุรี,แรงงานในระบบ,คน
736,127,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,ลพบุรี,แรงงานในระบบ,คน
875,128,2561,ชาย,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานในระบบ,คน
791,129,2561,ชาย,ไม่มีวันหยุด,ลพบุรี,แรงงานในระบบ,คน
2286,130,2561,ชาย,ลาพักผ่อนไม่ได้,ลพบุรี,แรงงานในระบบ,คน
4748,131,2561,ชาย,ไม่มีสวัสดิการ,ลพบุรี,แรงงานในระบบ,คน
7166,132,2561,หญิง,ค่าตอบแทน,ลพบุรี,แรงงานในระบบ,คน
3954,133,2561,หญิง,งานหนัก,ลพบุรี,แรงงานในระบบ,คน
1451,134,2561,หญิง,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานในระบบ,คน
252,135,2561,หญิง,ไม่มีวันหยุด,ลพบุรี,แรงงานในระบบ,คน
486,136,2561,หญิง,ลาพักผ่อนไม่ได้,ลพบุรี,แรงงานในระบบ,คน
2811,137,2561,หญิง,ไม่มีสวัสดิการ,ลพบุรี,แรงงานในระบบ,คน
33344,138,2561,ชาย,ค่าตอบแทน,ลพบุรี,แรงงานนอกระบบ,คน
6895,139,2561,ชาย,งานหนัก,ลพบุรี,แรงงานนอกระบบ,คน
19070,140,2561,ชาย,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานนอกระบบ,คน
849,141,2561,ชาย,ไม่มีสวัสดิการ,ลพบุรี,แรงงานนอกระบบ,คน
26348,142,2561,หญิง,ค่าตอบแทน,ลพบุรี,แรงงานนอกระบบ,คน
4495,143,2561,หญิง,งานหนัก,ลพบุรี,แรงงานนอกระบบ,คน
10946,144,2561,หญิง,งานไม่ต่อเนื่อง,ลพบุรี,แรงงานนอกระบบ,คน
3567,145,2561,หญิง,ไม่มีสวัสดิการ,ลพบุรี,แรงงานนอกระบบ,คน
2509,146,2561,ชาย,ค่าตอบแทน,สิงห์บุรี,แรงงานในระบบ,คน
218,147,2561,ชาย,งานหนัก,สิงห์บุรี,แรงงานในระบบ,คน
405,148,2561,ชาย,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานในระบบ,คน
163,149,2561,ชาย,ไม่มีสวัสดิการ,สิงห์บุรี,แรงงานในระบบ,คน
2723,150,2561,หญิง,ค่าตอบแทน,สิงห์บุรี,แรงงานในระบบ,คน
31,151,2561,หญิง,งานหนัก,สิงห์บุรี,แรงงานในระบบ,คน
311,152,2561,หญิง,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานในระบบ,คน
52,153,2561,หญิง,ชั่วโมงทำงานมากเกินไป,สิงห์บุรี,แรงงานในระบบ,คน
136,154,2561,หญิง,ลาพักผ่อนไม่ได้,สิงห์บุรี,แรงงานในระบบ,คน
219,155,2561,หญิง,ไม่มีสวัสดิการ,สิงห์บุรี,แรงงานในระบบ,คน
4898,156,2561,ชาย,ค่าตอบแทน,สิงห์บุรี,แรงงานนอกระบบ,คน
444,157,2561,ชาย,งานหนัก,สิงห์บุรี,แรงงานนอกระบบ,คน
118,158,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,สิงห์บุรี,แรงงานนอกระบบ,คน
831,159,2561,ชาย,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานนอกระบบ,คน
4213,160,2561,หญิง,ค่าตอบแทน,สิงห์บุรี,แรงงานนอกระบบ,คน
87,161,2561,หญิง,งานหนัก,สิงห์บุรี,แรงงานนอกระบบ,คน
35,162,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,สิงห์บุรี,แรงงานนอกระบบ,คน
676,163,2561,หญิง,งานไม่ต่อเนื่อง,สิงห์บุรี,แรงงานนอกระบบ,คน
3596,164,2561,ชาย,ค่าตอบแทน,ชัยนาท,แรงงานในระบบ,คน
1343,165,2561,ชาย,งานหนัก,ชัยนาท,แรงงานในระบบ,คน
240,166,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,ชัยนาท,แรงงานในระบบ,คน
370,167,2561,ชาย,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานในระบบ,คน
77,168,2561,ชาย,ชั่วโมงทำงานมากเกินไป,ชัยนาท,แรงงานในระบบ,คน
175,169,2561,ชาย,ไม่มีวันหยุด,ชัยนาท,แรงงานในระบบ,คน
315,170,2561,ชาย,ลาพักผ่อนไม่ได้,ชัยนาท,แรงงานในระบบ,คน
200,171,2561,ชาย,ไม่มีสวัสดิการ,ชัยนาท,แรงงานในระบบ,คน
501,172,2561,ชาย,ไม่ทราบ,ชัยนาท,แรงงานในระบบ,คน
3075,173,2561,หญิง,ค่าตอบแทน,ชัยนาท,แรงงานในระบบ,คน
695,174,2561,หญิง,งานหนัก,ชัยนาท,แรงงานในระบบ,คน
483,175,2561,หญิง,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานในระบบ,คน
231,176,2561,หญิง,ชั่วโมงทำงานมากเกินไป,ชัยนาท,แรงงานในระบบ,คน
205,177,2561,หญิง,ไม่มีวันหยุด,ชัยนาท,แรงงานในระบบ,คน
96,178,2561,หญิง,ลาพักผ่อนไม่ได้,ชัยนาท,แรงงานในระบบ,คน
876,179,2561,หญิง,ไม่มีสวัสดิการ,ชัยนาท,แรงงานในระบบ,คน
474,180,2561,หญิง,ไม่ทราบ,ชัยนาท,แรงงานในระบบ,คน
10158,181,2561,ชาย,ค่าตอบแทน,ชัยนาท,แรงงานนอกระบบ,คน
4697,182,2561,ชาย,งานหนัก,ชัยนาท,แรงงานนอกระบบ,คน
736,183,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,ชัยนาท,แรงงานนอกระบบ,คน
3158,184,2561,ชาย,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานนอกระบบ,คน
206,185,2561,ชาย,ชั่วโมงทำงานมากเกินไป,ชัยนาท,แรงงานนอกระบบ,คน
632,186,2561,ชาย,ไม่มีสวัสดิการ,ชัยนาท,แรงงานนอกระบบ,คน
8074,187,2561,หญิง,ค่าตอบแทน,ชัยนาท,แรงงานนอกระบบ,คน
2339,188,2561,หญิง,งานหนัก,ชัยนาท,แรงงานนอกระบบ,คน
1380,189,2561,หญิง,งานไม่ต่อเนื่อง,ชัยนาท,แรงงานนอกระบบ,คน
1264,190,2561,หญิง,ไม่มีสวัสดิการ,ชัยนาท,แรงงานนอกระบบ,คน
231,191,2561,หญิง,ไม่ทราบ,ชัยนาท,แรงงานนอกระบบ,คน
7508,192,2561,ชาย,ค่าตอบแทน,สระบุรี,แรงงานในระบบ,คน
2605,193,2561,ชาย,งานหนัก,สระบุรี,แรงงานในระบบ,คน
876,194,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,สระบุรี,แรงงานในระบบ,คน
3485,195,2561,ชาย,งานไม่ต่อเนื่อง,สระบุรี,แรงงานในระบบ,คน
1260,196,2561,ชาย,ชั่วโมงทำงานมากเกินไป,สระบุรี,แรงงานในระบบ,คน
303,197,2561,ชาย,ไม่มีวันหยุด,สระบุรี,แรงงานในระบบ,คน
1672,198,2561,ชาย,ลาพักผ่อนไม่ได้,สระบุรี,แรงงานในระบบ,คน
3963,199,2561,ชาย,ไม่มีสวัสดิการ,สระบุรี,แรงงานในระบบ,คน
8455,200,2561,หญิง,ค่าตอบแทน,สระบุรี,แรงงานในระบบ,คน
2044,201,2561,หญิง,งานหนัก,สระบุรี,แรงงานในระบบ,คน
529,202,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,สระบุรี,แรงงานในระบบ,คน
1877,203,2561,หญิง,งานไม่ต่อเนื่อง,สระบุรี,แรงงานในระบบ,คน
863,204,2561,หญิง,ชั่วโมงทำงานมากเกินไป,สระบุรี,แรงงานในระบบ,คน
371,205,2561,หญิง,ลาพักผ่อนไม่ได้,สระบุรี,แรงงานในระบบ,คน
2231,206,2561,หญิง,ไม่มีสวัสดิการ,สระบุรี,แรงงานในระบบ,คน
1210,207,2561,ชาย,ค่าตอบแทน,สระบุรี,แรงงานนอกระบบ,คน
3141,208,2561,ชาย,งานหนัก,สระบุรี,แรงงานนอกระบบ,คน
1124,209,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,สระบุรี,แรงงานนอกระบบ,คน
1813,210,2561,ชาย,งานไม่ต่อเนื่อง,สระบุรี,แรงงานนอกระบบ,คน
207,211,2561,ชาย,ชั่วโมงทำงานมากเกินไป,สระบุรี,แรงงานนอกระบบ,คน
397,212,2561,ชาย,ไม่มีวันหยุด,สระบุรี,แรงงานนอกระบบ,คน
2212,213,2561,ชาย,ไม่มีสวัสดิการ,สระบุรี,แรงงานนอกระบบ,คน
810,214,2561,หญิง,ค่าตอบแทน,สระบุรี,แรงงานนอกระบบ,คน
1204,215,2561,หญิง,งานหนัก,สระบุรี,แรงงานนอกระบบ,คน
684,216,2561,หญิง,งานไม่ต่อเนื่อง,สระบุรี,แรงงานนอกระบบ,คน
477,217,2561,หญิง,ชั่วโมงทำงานมากเกินไป,สระบุรี,แรงงานนอกระบบ,คน
465,218,2561,หญิง,ไม่มีวันหยุด,สระบุรี,แรงงานนอกระบบ,คน
386,219,2561,หญิง,ลาพักผ่อนไม่ได้,สระบุรี,แรงงานนอกระบบ,คน
1274,220,2561,หญิง,ไม่มีสวัสดิการ,สระบุรี,แรงงานนอกระบบ,คน
25939,221,2561,ชาย,ค่าตอบแทน,ชลบุรี,แรงงานในระบบ,คน
24198,222,2561,ชาย,งานหนัก,ชลบุรี,แรงงานในระบบ,คน
2456,223,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,ชลบุรี,แรงงานในระบบ,คน
429,224,2561,ชาย,งานไม่ต่อเนื่อง,ชลบุรี,แรงงานในระบบ,คน
4582,225,2561,ชาย,ชั่วโมงทำงานมากเกินไป,ชลบุรี,แรงงานในระบบ,คน
2790,226,2561,ชาย,ไม่มีวันหยุด,ชลบุรี,แรงงานในระบบ,คน
455,227,2561,ชาย,ไม่มีสวัสดิการ,ชลบุรี,แรงงานในระบบ,คน
24470,228,2561,ชาย,ไม่ทราบ,ชลบุรี,แรงงานในระบบ,คน
29540,229,2561,หญิง,ค่าตอบแทน,ชลบุรี,แรงงานในระบบ,คน
4600,230,2561,หญิง,งานหนัก,ชลบุรี,แรงงานในระบบ,คน
920,231,2561,หญิง,ทำงานไม่ตรงเวลาปกติ,ชลบุรี,แรงงานในระบบ,คน
1664,232,2561,หญิง,งานไม่ต่อเนื่อง,ชลบุรี,แรงงานในระบบ,คน
3225,233,2561,หญิง,ชั่วโมงทำงานมากเกินไป,ชลบุรี,แรงงานในระบบ,คน
607,234,2561,หญิง,ไม่มีสวัสดิการ,ชลบุรี,แรงงานในระบบ,คน
15341,235,2561,หญิง,ไม่ทราบ,ชลบุรี,แรงงานในระบบ,คน
8393,236,2561,ชาย,ค่าตอบแทน,ชลบุรี,แรงงานนอกระบบ,คน
1644,237,2561,ชาย,งานหนัก,ชลบุรี,แรงงานนอกระบบ,คน
3943,238,2561,ชาย,งานไม่ต่อเนื่อง,ชลบุรี,แรงงานนอกระบบ,คน
1040,239,2561,ชาย,ไม่มีวันหยุด,ชลบุรี,แรงงานนอกระบบ,คน
13183,240,2561,ชาย,ไม่มีสวัสดิการ,ชลบุรี,แรงงานนอกระบบ,คน
1002,241,2561,ชาย,ไม่ทราบ,ชลบุรี,แรงงานนอกระบบ,คน
5495,242,2561,หญิง,ค่าตอบแทน,ชลบุรี,แรงงานนอกระบบ,คน
2098,243,2561,หญิง,งานหนัก,ชลบุรี,แรงงานนอกระบบ,คน
358,244,2561,หญิง,งานไม่ต่อเนื่อง,ชลบุรี,แรงงานนอกระบบ,คน
5551,245,2561,หญิง,ไม่มีสวัสดิการ,ชลบุรี,แรงงานนอกระบบ,คน
1287,246,2561,หญิง,ไม่ทราบ,ชลบุรี,แรงงานนอกระบบ,คน
6875,247,2561,ชาย,ค่าตอบแทน,ระยอง,แรงงานในระบบ,คน
734,248,2561,ชาย,งานหนัก,ระยอง,แรงงานในระบบ,คน
410,249,2561,ชาย,ทำงานไม่ตรงเวลาปกติ,ระยอง,แรงงานในระบบ,คน
483,250,2561,ชาย,งานไม่ต่อเนื่อง,ระยอง,แรงงานในระบบ,คน
803,251,2561,ชาย,ชั่วโมงทำงานมากเกินไป,ระยอง,แรงงานในระบบ,คน
834,252,2561,ชาย,ไม่มีวันหยุด,ระยอง,แรงงานในระบบ,คน
996,253,2561,ชาย,ลาพักผ่อนไม่ได้,ระยอง,แรงงานในระบบ,คน
3010,254,2561,ชาย,ไม่มีสวัสดิการ,ระยอง,แรงงานในระบบ,คน
1726,255,2561,ชาย,ไม่ทราบ,ระยอง,แรงงานในระบบ,คน
7830,256,2561,หญิง,ค่าตอบแทน,ระยอง,แรงงานในระบบ,คน
296,257,2561,หญิง,ชั่วโมงทำงานมากเกินไป,ระยอง,แรงงานในระบบ,คน
826,258,2561,หญิง,ไม่มีวันหยุด,ระยอง,แรงงานในระบบ,คน
189,259,2561,หญิง,ลาพักผ่อนไม่ได้,ระยอง,แรงงานในระบบ,คน
3469,260,2561,หญิง,ไม่มีสวัสดิการ,ระยอง,แรงงานในระบบ,คน
187,261,2561,หญิง,ไม่ทราบ,ระยอง,แรงงานในระบบ,คน
7654,262,2561,ชาย,ค่าตอบแทน,ระยอง,แรงงานนอกระบบ,คน
461,263,2561,ชาย,งานหนัก,ระยอง,แรงงานนอกระบบ,คน
2954,264,2561,ชาย,งานไม่ต่อเนื่อง,ระยอง,แรงงานนอกระบบ,คน
1119,265,2561,ชาย,ไม่มีสวัสดิการ,ระยอง,แรงงานนอกระบบ,คน
5661,266,2561,หญิง,ค่าตอบแทน,ระยอง,แรงงานนอกระบบ,คน
451,267,2561,หญิง,งานหนัก,ระยอง,แรงงานนอกระบบ,คน
1198,268,2561,หญิง,งานไม่ต่อเนื่อง,ระยอง,แรงงานนอกระบบ,คน
199,269,2561,หญิง,ชั่วโมงทำงานมากเกินไป,ระยอง,แรงงานนอกระบบ,คน
653,270,2561,หญิง,ไม่มีวันหยุด,ระยอง,แรงงานนอกระบบ,คน
498,271,2561,หญิง,ไม่มีสวัสดิการ,ระยอง,แรงงานนอกระบบ,คน
6454,272,2561,ชาย,ค่าตอบแทน,จันทบุรี,แรงงานในระบบ,คน
743,273,2561,ชาย,งานหนัก,จันทบุรี,แรงงานในระบบ,คน
5803,274,2561,ชาย,งานไม่ต่อเนื่อง,จันทบุรี,แรงงานในระบบ,คน
397,275,2561,ชาย,ชั่วโมงทำงานมากเกินไป,จันทบุรี,แรงงานในระบบ,คน
233,276,2561,ชาย,ไม่มีวันหยุด,จันทบุรี,แรงงานในระบบ,คน
195,277,2561,ชาย,ลาพักผ่อนไม่ได้,จันทบุรี,แรงงานในระบบ,คน
614,278,2561,ชาย,ไม่มีสวัสดิการ,จันทบุรี,แรงงานในระบบ,คน
6303,279,2561,ชาย,ไม่ทราบ,จันทบุรี,แรงงานในระบบ,คน
6779,280,2561,หญิง,ค่าตอบแทน,จันทบุรี,แรงงานในระบบ,คน
