ค่าข้อมูล,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,ชนิดข้าว,หน่วย
"3,325.00",43,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,โซ่พิสัย,ข้าวเหนียว,ไร่
"6,478.00",44,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,เซกา,ข้าวเหนียว,ไร่
847,45,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,ปากคาด,ข้าวเหนียว,ไร่
"1,158.00",46,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,บึงโขงหลง,ข้าวเหนียว,ไร่
44,47,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,ศรีวิไล,ข้าวเหนียว,ไร่
108,48,เนื้อที่เพาะปลูกข้าวนาปรัง,2564,บุ่งคล้า,ข้าวเหนียว,ไร่
9.25,49,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,เมืองบึงกาฬ,ข้าวเจ้า,ไร่
812,50,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,พรเจริญ,ข้าวเจ้า,ไร่
195,51,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,โซ่พิสัย,ข้าวเจ้า,ไร่
30,52,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,เซกา,ข้าวเจ้า,ไร่
0,53,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,ปากคาด,ข้าวเจ้า,ไร่
0,54,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,บึงโขงหลง,ข้าวเจ้า,ไร่
0,55,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,ศรีวิไล,ข้าวเจ้า,ไร่
0,56,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,บุ่งคล้า,ข้าวเจ้า,ไร่
477.17,57,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,เมืองบึงกาฬ,ข้าวเหนียว,ไร่
712,58,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,พรเจริญ,ข้าวเหนียว,ไร่
"2,352.00",59,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,โซ่พิสัย,ข้าวเหนียว,ไร่
"6,498.00",60,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,เซกา,ข้าวเหนียว,ไร่
965,61,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,ปากคาด,ข้าวเหนียว,ไร่
"1,088.50",62,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,บึงโขงหลง,ข้าวเหนียว,ไร่
20,63,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,ศรีวิไล,ข้าวเหนียว,ไร่
100,64,เนื้อที่เพาะปลูกข้าวนาปรัง,2563,บุ่งคล้า,ข้าวเหนียว,ไร่
110,65,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,เมืองบึงกาฬ,ข้าวเจ้า,ไร่
525,66,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,พรเจริญ,ข้าวเจ้า,ไร่
0,67,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,โซ่พิสัย,ข้าวเจ้า,ไร่
0,68,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,เซกา,ข้าวเจ้า,ไร่
0,69,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,ปากคาด,ข้าวเจ้า,ไร่
0,70,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,บึงโขงหลง,ข้าวเจ้า,ไร่
0,71,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,ศรีวิไล,ข้าวเจ้า,ไร่
0,72,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,บุ่งคล้า,ข้าวเจ้า,ไร่
740,73,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,เมืองบึงกาฬ,ข้าวเหนียว,ไร่
"2,995",74,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,พรเจริญ,ข้าวเหนียว,ไร่
"2,329",75,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,โซ่พิสัย,ข้าวเหนียว,ไร่
"5,285",76,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,เซกา,ข้าวเหนียว,ไร่
334,77,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,ปากคาด,ข้าวเหนียว,ไร่
975,78,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,บึงโขงหลง,ข้าวเหนียว,ไร่
20,79,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,ศรีวิไล,ข้าวเหนียว,ไร่
0,80,เนื้อที่เพาะปลูกข้าวนาปรัง,2562,บุ่งคล้า,ข้าวเหนียว,ไร่
30,81,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,เมืองบึงกาฬ,ข้าวเจ้า,ไร่
0,82,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,พรเจริญ,ข้าวเจ้า,ไร่
0,83,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,โซ่พิสัย,ข้าวเจ้า,ไร่
0,84,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,เซกา,ข้าวเจ้า,ไร่
0,85,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,ปากคาด,ข้าวเจ้า,ไร่
0,86,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,บึงโขงหลง,ข้าวเจ้า,ไร่
0,87,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,ศรีวิไล,ข้าวเจ้า,ไร่
0,88,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,บุ่งคล้า,ข้าวเจ้า,ไร่
1566,89,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,เมืองบึงกาฬ,ข้าวเหนียว,ไร่
"1,311",90,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,พรเจริญ,ข้าวเหนียว,ไร่
"3,360",91,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,โซ่พิสัย,ข้าวเหนียว,ไร่
0,92,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,เซกา,ข้าวเหนียว,ไร่
107,93,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,ปากคาด,ข้าวเหนียว,ไร่
988,94,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,บึงโขงหลง,ข้าวเหนียว,ไร่
20,95,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,ศรีวิไล,ข้าวเหนียว,ไร่
0,96,เนื้อที่เพาะปลูกข้าวนาปรัง,2561,บุ่งคล้า,ข้าวเหนียว,ไร่
