จำนวน,_id,ปี,ไตรมาส,หน่วยวัด,อาชีพ
"77,687",46,2564,1,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"26,070",47,2564,1,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"7,270",48,2564,1,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"20,005",49,2564,1,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,50,2564,1,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"5,430",51,2564,2,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"7,964",52,2564,2,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"4,660",53,2564,2,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"6,346",54,2564,2,คน,เสมียน
"38,156",55,2564,2,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"104,295",56,2564,2,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"19,321",57,2564,2,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"8,017",58,2564,2,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"17,351",59,2564,2,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,60,2564,2,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"3,576",61,2564,3,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"5,360",62,2564,3,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"3,222",63,2564,3,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"7,211",64,2564,3,คน,เสมียน
"30,567",65,2564,3,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"131,805",66,2564,3,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"14,990",67,2564,3,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,998",68,2564,3,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"14,013",69,2564,3,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,70,2564,3,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"5,372",71,2564,4,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"7,282",72,2564,4,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"3,775",73,2564,4,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"5,455",74,2564,4,คน,เสมียน
"33,004",75,2564,4,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"116,829",76,2564,4,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"17,548",77,2564,4,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,387",78,2564,4,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"12,308",79,2564,4,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,80,2564,4,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,286",81,2565,1,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"10,718",82,2565,1,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"2,627",83,2565,1,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"4,432",84,2565,1,คน,เสมียน
"36,167",85,2565,1,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"72,594",86,2565,1,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"19,469",87,2565,1,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"7,571",88,2565,1,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"19,352",89,2565,1,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,90,2565,1,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"5,138",91,2565,2,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"11,150",92,2565,2,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"5,130",93,2565,2,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"5,956",94,2565,2,คน,เสมียน
"31,492",95,2565,2,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"70,931",96,2565,2,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"21,499",97,2565,2,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,621",98,2565,2,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"18,239",99,2565,2,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,100,2565,2,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,282",101,2565,3,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"10,506",102,2565,3,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"5,061",103,2565,3,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"6,327",104,2565,3,คน,เสมียน
"35,649",105,2565,3,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"91,479",106,2565,3,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"14,654",107,2565,3,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,776",108,2565,3,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"13,878",109,2565,3,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,110,2565,3,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"3,065",111,2565,4,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"11,075",112,2565,4,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"2,966",113,2565,4,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"3,435",114,2565,4,คน,เสมียน
"36,172",115,2565,4,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"82,605",116,2565,4,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"15,134",117,2565,4,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"2,818",118,2565,4,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"13,376",119,2565,4,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,120,2565,4,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,049",121,2566,1,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"8,608",122,2566,1,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"5,613",123,2566,1,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"6,967",124,2566,1,คน,เสมียน
"36,257",125,2566,1,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"68,408",126,2566,1,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"17,981",127,2566,1,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"9,571",128,2566,1,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"20,595",129,2566,1,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,130,2566,1,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,517",131,2566,2,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"10,163",132,2566,2,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"5,609",133,2566,2,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"5,842",134,2566,2,คน,เสมียน
"33,784",135,2566,2,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"75,053",136,2566,2,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"15,492",137,2566,2,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"7,721",138,2566,2,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"21,432",139,2566,2,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,140,2566,2,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,631",141,2566,3,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"10,014",142,2566,3,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"3,482",143,2566,3,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"5,605",144,2566,3,คน,เสมียน
"32,173",145,2566,3,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"89,907",146,2566,3,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"10,733",147,2566,3,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,002",148,2566,3,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"16,015",149,2566,3,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,150,2566,3,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"5,883",151,2566,4,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"11,032",152,2566,4,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"4,299",153,2566,4,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"4,854",154,2566,4,คน,เสมียน
"36,641",155,2566,4,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"68,259",156,2566,4,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"14,972",157,2566,4,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"6,435",158,2566,4,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"18,575",159,2566,4,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,160,2566,4,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"6,242",161,2567,1,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"11,950",162,2567,1,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"10,332",163,2567,1,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"7,990",164,2567,1,คน,เสมียน
"35,727",165,2567,1,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"66,707",166,2567,1,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"20,653",167,2567,1,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"4,512",168,2567,1,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"18,073",169,2567,1,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,170,2567,1,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,808",171,2567,2,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"12,258",172,2567,2,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"8,708",173,2567,2,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"7,974",174,2567,2,คน,เสมียน
"34,780",175,2567,2,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"67,640",176,2567,2,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"19,478",177,2567,2,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"3,754",178,2567,2,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"17,811",179,2567,2,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,180,2567,2,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"4,391",181,2567,3,คน,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ
"12,369",182,2567,3,คน,ผู้ประกอบวิชาชีพด้านต่างๆ
"4,830",183,2567,3,คน,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆและอาชีพที่เกี่ยวข้อง   
"8,286",184,2567,3,คน,เสมียน
"30,116",185,2567,3,คน,พนักงานบริการและพนักงานในร้านค้า และตลาด 
"84,402",186,2567,3,คน,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
"13,298",187,2567,3,คน,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง
"6,074",188,2567,3,คน,ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ
"14,905",189,2567,3,คน,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
0,190,2567,3,คน,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
,191,,,,
,192,,,,
,193,,,,
,194,,,,
,195,,,,
,196,,,,
,197,,,,
,198,,,,
,199,,,,
,200,,,,
