ค่าข้อมูล,ประเภทข้าว,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,หน่วย
"7,380.92",ข้าวเจ้า,19,เนื้อที่เพาะปลูกข้าวนาปี,2565,โซ่พิสัย,ไร่
"23,859.73",ข้าวเจ้า,20,เนื้อที่เพาะปลูกข้าวนาปี,2565,เซกา,ไร่
"3,763.86",ข้าวเจ้า,21,เนื้อที่เพาะปลูกข้าวนาปี,2565,ปากคาด,ไร่
"4,483.52",ข้าวเจ้า,22,เนื้อที่เพาะปลูกข้าวนาปี,2565,บึงโขงหลง,ไร่
"5,606.97",ข้าวเจ้า,23,เนื้อที่เพาะปลูกข้าวนาปี,2565,ศรีวิไล,ไร่
"1,396.56",ข้าวเจ้า,24,เนื้อที่เพาะปลูกข้าวนาปี,2565,บุ่งคล้า,ไร่
"61,371.53",ข้าวเหนียว,25,เนื้อที่เพาะปลูกข้าวนาปี,2565,เมืองบึงกาฬ,ไร่
"36,958.17",ข้าวเหนียว,26,เนื้อที่เพาะปลูกข้าวนาปี,2565,พรเจริญ,ไร่
"84,137.90",ข้าวเหนียว,27,เนื้อที่เพาะปลูกข้าวนาปี,2565,โซ่พิสัย,ไร่
"112,284.11",ข้าวเหนียว,28,เนื้อที่เพาะปลูกข้าวนาปี,2565,เซกา,ไร่
"26,981.30",ข้าวเหนียว,29,เนื้อที่เพาะปลูกข้าวนาปี,2565,ปากคาด,ไร่
"36,898.62",ข้าวเหนียว,30,เนื้อที่เพาะปลูกข้าวนาปี,2565,บึงโขงหลง,ไร่
"43,428.62",ข้าวเหนียว,31,เนื้อที่เพาะปลูกข้าวนาปี,2565,ศรีวิไล,ไร่
"11,698.02",ข้าวเหนียว,32,เนื้อที่เพาะปลูกข้าวนาปี,2565,บุ่งคล้า,ไร่
"9,432.71",ข้าวเจ้า,33,เนื้อที่เพาะปลูกข้าวนาปี,2564,เมืองบึงกาฬ,ไร่
"20,567.00",ข้าวเจ้า,34,เนื้อที่เพาะปลูกข้าวนาปี,2564,พรเจริญ,ไร่
"6,337.00",ข้าวเจ้า,35,เนื้อที่เพาะปลูกข้าวนาปี,2564,โซ่พิสัย,ไร่
"27,528.00",ข้าวเจ้า,36,เนื้อที่เพาะปลูกข้าวนาปี,2564,เซกา,ไร่
"5,765.00",ข้าวเจ้า,37,เนื้อที่เพาะปลูกข้าวนาปี,2564,ปากคาด,ไร่
"4,309.75",ข้าวเจ้า,38,เนื้อที่เพาะปลูกข้าวนาปี,2564,บึงโขงหลง,ไร่
"7,693.00",ข้าวเจ้า,39,เนื้อที่เพาะปลูกข้าวนาปี,2564,ศรีวิไล,ไร่
"12,703.00",ข้าวเจ้า,40,เนื้อที่เพาะปลูกข้าวนาปี,2564,บุ่งคล้า,ไร่
"68,729.00",ข้าวเหนียว,41,เนื้อที่เพาะปลูกข้าวนาปี,2564,เมืองบึงกาฬ,ไร่
"28,734.00",ข้าวเหนียว,42,เนื้อที่เพาะปลูกข้าวนาปี,2564,พรเจริญ,ไร่
"77,454.00",ข้าวเหนียว,43,เนื้อที่เพาะปลูกข้าวนาปี,2564,โซ่พิสัย,ไร่
"108,915.00",ข้าวเหนียว,44,เนื้อที่เพาะปลูกข้าวนาปี,2564,เซกา,ไร่
"24,457.00",ข้าวเหนียว,45,เนื้อที่เพาะปลูกข้าวนาปี,2564,ปากคาด,ไร่
"40,410.25",ข้าวเหนียว,46,เนื้อที่เพาะปลูกข้าวนาปี,2564,บึงโขงหลง,ไร่
"38,844.00",ข้าวเหนียว,47,เนื้อที่เพาะปลูกข้าวนาปี,2564,ศรีวิไล,ไร่
"11,960.00",ข้าวเหนียว,48,เนื้อที่เพาะปลูกข้าวนาปี,2564,บุ่งคล้า,ไร่
"15,336.55",ข้าวเจ้า,49,เนื้อที่เพาะปลูกข้าวนาปี,2563,เมืองบึงกาฬ,ไร่
"13,994.00",ข้าวเจ้า,50,เนื้อที่เพาะปลูกข้าวนาปี,2563,พรเจริญ,ไร่
"6,751.00",ข้าวเจ้า,51,เนื้อที่เพาะปลูกข้าวนาปี,2563,โซ่พิสัย,ไร่
"24,015.00",ข้าวเจ้า,52,เนื้อที่เพาะปลูกข้าวนาปี,2563,เซกา,ไร่
"5,758.00",ข้าวเจ้า,53,เนื้อที่เพาะปลูกข้าวนาปี,2563,ปากคาด,ไร่
"4,950.00",ข้าวเจ้า,54,เนื้อที่เพาะปลูกข้าวนาปี,2563,บึงโขงหลง,ไร่
"11,355.00",ข้าวเจ้า,55,เนื้อที่เพาะปลูกข้าวนาปี,2563,ศรีวิไล,ไร่
"1,116.00",ข้าวเจ้า,56,เนื้อที่เพาะปลูกข้าวนาปี,2563,บุ่งคล้า,ไร่
"55,971.68",ข้าวเหนียว,57,เนื้อที่เพาะปลูกข้าวนาปี,2563,เมืองบึงกาฬ,ไร่
"35,172.00",ข้าวเหนียว,58,เนื้อที่เพาะปลูกข้าวนาปี,2563,พรเจริญ,ไร่
"78,990.00",ข้าวเหนียว,59,เนื้อที่เพาะปลูกข้าวนาปี,2563,โซ่พิสัย,ไร่
"114,479.00",ข้าวเหนียว,60,เนื้อที่เพาะปลูกข้าวนาปี,2563,เซกา,ไร่
"26,304.00",ข้าวเหนียว,61,เนื้อที่เพาะปลูกข้าวนาปี,2563,ปากคาด,ไร่
"39,678.00",ข้าวเหนียว,62,เนื้อที่เพาะปลูกข้าวนาปี,2563,บึงโขงหลง,ไร่
"37,947.00",ข้าวเหนียว,63,เนื้อที่เพาะปลูกข้าวนาปี,2563,ศรีวิไล,ไร่
"13,267.00",ข้าวเหนียว,64,เนื้อที่เพาะปลูกข้าวนาปี,2563,บุ่งคล้า,ไร่
"5,248",ข้าวเจ้า,65,เนื้อที่เพาะปลูกข้าวนาปี,2562,เมืองบึงกาฬ,ไร่
"3,323",ข้าวเจ้า,66,เนื้อที่เพาะปลูกข้าวนาปี,2562,พรเจริญ,ไร่
0,ข้าวเจ้า,67,เนื้อที่เพาะปลูกข้าวนาปี,2562,โซ่พิสัย,ไร่
0,ข้าวเจ้า,68,เนื้อที่เพาะปลูกข้าวนาปี,2562,เซกา,ไร่
0,ข้าวเจ้า,69,เนื้อที่เพาะปลูกข้าวนาปี,2562,ปากคาด,ไร่
111,ข้าวเจ้า,70,เนื้อที่เพาะปลูกข้าวนาปี,2562,บึงโขงหลง,ไร่
"1,850",ข้าวเจ้า,71,เนื้อที่เพาะปลูกข้าวนาปี,2562,ศรีวิไล,ไร่
0,ข้าวเจ้า,72,เนื้อที่เพาะปลูกข้าวนาปี,2562,บุ่งคล้า,ไร่
"60,716",ข้าวเหนียว,73,เนื้อที่เพาะปลูกข้าวนาปี,2562,เมืองบึงกาฬ,ไร่
"35,000",ข้าวเหนียว,74,เนื้อที่เพาะปลูกข้าวนาปี,2562,พรเจริญ,ไร่
"83,365",ข้าวเหนียว,75,เนื้อที่เพาะปลูกข้าวนาปี,2562,โซ่พิสัย,ไร่
"112,349",ข้าวเหนียว,76,เนื้อที่เพาะปลูกข้าวนาปี,2562,เซกา,ไร่
"25,489",ข้าวเหนียว,77,เนื้อที่เพาะปลูกข้าวนาปี,2562,ปากคาด,ไร่
"39,506",ข้าวเหนียว,78,เนื้อที่เพาะปลูกข้าวนาปี,2562,บึงโขงหลง,ไร่
"36,912",ข้าวเหนียว,79,เนื้อที่เพาะปลูกข้าวนาปี,2562,ศรีวิไล,ไร่
"15,747",ข้าวเหนียว,80,เนื้อที่เพาะปลูกข้าวนาปี,2562,บุ่งคล้า,ไร่
"9,600",ข้าวเจ้า,81,เนื้อที่เพาะปลูกข้าวนาปี,2561,เมืองบึงกาฬ,ไร่
"12,515",ข้าวเจ้า,82,เนื้อที่เพาะปลูกข้าวนาปี,2561,พรเจริญ,ไร่
"1,238",ข้าวเจ้า,83,เนื้อที่เพาะปลูกข้าวนาปี,2561,โซ่พิสัย,ไร่
"30,871",ข้าวเจ้า,84,เนื้อที่เพาะปลูกข้าวนาปี,2561,เซกา,ไร่
"3,896",ข้าวเจ้า,85,เนื้อที่เพาะปลูกข้าวนาปี,2561,ปากคาด,ไร่
"3,898",ข้าวเจ้า,86,เนื้อที่เพาะปลูกข้าวนาปี,2561,บึงโขงหลง,ไร่
"15,005",ข้าวเจ้า,87,เนื้อที่เพาะปลูกข้าวนาปี,2561,ศรีวิไล,ไร่
"2,340",ข้าวเจ้า,88,เนื้อที่เพาะปลูกข้าวนาปี,2561,บุ่งคล้า,ไร่
"64,290",ข้าวเหนียว,89,เนื้อที่เพาะปลูกข้าวนาปี,2561,เมืองบึงกาฬ,ไร่
"33,950",ข้าวเหนียว,90,เนื้อที่เพาะปลูกข้าวนาปี,2561,พรเจริญ,ไร่
"112,766",ข้าวเหนียว,91,เนื้อที่เพาะปลูกข้าวนาปี,2561,โซ่พิสัย,ไร่
"92,543",ข้าวเหนียว,92,เนื้อที่เพาะปลูกข้าวนาปี,2561,เซกา,ไร่
"14,956",ข้าวเหนียว,93,เนื้อที่เพาะปลูกข้าวนาปี,2561,ปากคาด,ไร่
"37,851",ข้าวเหนียว,94,เนื้อที่เพาะปลูกข้าวนาปี,2561,บึงโขงหลง,ไร่
"31,071",ข้าวเหนียว,95,เนื้อที่เพาะปลูกข้าวนาปี,2561,ศรีวิไล,ไร่
"9,000",ข้าวเหนียว,96,เนื้อที่เพาะปลูกข้าวนาปี,2561,บุ่งคล้า,ไร่
