จำนวน,ประเภท,รายละเอียด,_id,ปี,เพศ,หน่วย
558,สถานภาพแรงงาน,ผู้ว่างงาน,50,2563,หญิง,คน
-,สถานภาพแรงงาน,ผู้ที่รอฤดูกาล,51,2563,หญิง,คน
1537,สถานภาพแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,52,2563,หญิง,คน
386,ระดับการศึกษาที่สำเร็จ,ไม่มีการศึกษา,53,2563,หญิง,คน
1859,ระดับการศึกษาที่สำเร็จ,ต่ำกว่าประถมศึกษา,54,2563,หญิง,คน
2517,ระดับการศึกษาที่สำเร็จ,ประถมศึกษา,55,2563,หญิง,คน
2674,ระดับการศึกษาที่สำเร็จ,มัธยมศึกษา,56,2563,หญิง,คน
2802,ระดับการศึกษาที่สำเร็จ,อุดมศึกษา,57,2563,หญิง,คน
-,ระดับการศึกษาที่สำเร็จ,อื่นๆ และไม่ทราบ,58,2563,หญิง,คน
914,กลุ่มอายุ (ปี),15-24,59,2563,หญิง,คน
2773,กลุ่มอายุ (ปี),25-34,60,2563,หญิง,คน
2265,กลุ่มอายุ (ปี),35-44,61,2563,หญิง,คน
2084,กลุ่มอายุ (ปี),45-54,62,2563,หญิง,คน
1682,กลุ่มอายุ (ปี),55-59,63,2563,หญิง,คน
519,กลุ่มอายุ (ปี),60 ปีขึ้นไป,64,2563,หญิง,คน
15118,สถานภาพแรงงาน,ผู้มีงานทำ,65,2564,ชาย,คน
172,สถานภาพแรงงาน,ผู้ว่างงาน,66,2564,ชาย,คน
-,สถานภาพแรงงาน,ผู้ที่รอฤดูกาล,67,2564,ชาย,คน
264,สถานภาพแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,68,2564,ชาย,คน
646,ระดับการศึกษาที่สำเร็จ,ไม่มีการศึกษา,69,2564,ชาย,คน
1028,ระดับการศึกษาที่สำเร็จ,ต่ำกว่าประถมศึกษา,70,2564,ชาย,คน
3037,ระดับการศึกษาที่สำเร็จ,ประถมศึกษา,71,2564,ชาย,คน
8224,ระดับการศึกษาที่สำเร็จ,มัธยมศึกษา,72,2564,ชาย,คน
2620,ระดับการศึกษาที่สำเร็จ,อุดมศึกษา,73,2564,ชาย,คน
-,ระดับการศึกษาที่สำเร็จ,อื่นๆ และไม่ทราบ,74,2564,ชาย,คน
2844,กลุ่มอายุ (ปี),15-24,75,2564,ชาย,คน
6051,กลุ่มอายุ (ปี),25-34,76,2564,ชาย,คน
2435,กลุ่มอายุ (ปี),35-44,77,2564,ชาย,คน
2618,กลุ่มอายุ (ปี),45-54,78,2564,ชาย,คน
627,กลุ่มอายุ (ปี),55-59,79,2564,ชาย,คน
979,กลุ่มอายุ (ปี),60 ปีขึ้นไป,80,2564,ชาย,คน
11033,สถานภาพแรงงาน,ผู้มีงานทำ,81,2564,หญิง,คน
1341,สถานภาพแรงงาน,ผู้ว่างงาน,82,2564,หญิง,คน
-,สถานภาพแรงงาน,ผู้ที่รอฤดูกาล,83,2564,หญิง,คน
2684,สถานภาพแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,84,2564,หญิง,คน
1069,ระดับการศึกษาที่สำเร็จ,ไม่มีการศึกษา,85,2564,หญิง,คน
1924,ระดับการศึกษาที่สำเร็จ,ต่ำกว่าประถมศึกษา,86,2564,หญิง,คน
2895,ระดับการศึกษาที่สำเร็จ,ประถมศึกษา,87,2564,หญิง,คน
5453,ระดับการศึกษาที่สำเร็จ,มัธยมศึกษา,88,2564,หญิง,คน
3717,ระดับการศึกษาที่สำเร็จ,อุดมศึกษา,89,2564,หญิง,คน
-,ระดับการศึกษาที่สำเร็จ,อื่นๆ และไม่ทราบ,90,2564,หญิง,คน
2387,กลุ่มอายุ (ปี),15-24,91,2564,หญิง,คน
3496,กลุ่มอายุ (ปี),25-34,92,2564,หญิง,คน
2479,กลุ่มอายุ (ปี),35-44,93,2564,หญิง,คน
4550,กลุ่มอายุ (ปี),45-54,94,2564,หญิง,คน
977,กลุ่มอายุ (ปี),55-59,95,2564,หญิง,คน
1168,กลุ่มอายุ (ปี),60 ปีขึ้นไป,96,2564,หญิง,คน
