_id,ค่าข้อมูล,พ.ศ.,ชนิดพืช,รายการ
75,37.09,2562,ยางพารา,ราคาผลผลิต
76,946.27,2562,ยางพารา,มูลค่าผลผลิต
77,137412,2563,ยางพารา,พื้นที่เพาะปลูก
78,208,2563,ยางพารา,ผลผลิต
79,40.97,2563,ยางพารา,ราคาผลผลิต
80,1058.82,2563,ยางพารา,มูลค่าผลผลิต
81,19502,2562,ปาล์มน้ำมัน,พื้นที่เพาะปลูก
82,1640,2562,ปาล์มน้ำมัน,ผลผลิต
83,2.38,2562,ปาล์มน้ำมัน,ราคาผลผลิต
84,73.57,2562,ปาล์มน้ำมัน,มูลค่าผลผลิต
85,19940,2563,ปาล์มน้ำมัน,พื้นที่เพาะปลูก
86,1650,2563,ปาล์มน้ำมัน,ผลผลิต
87,3.88,2563,ปาล์มน้ำมัน,ราคาผลผลิต
88,121,2563,ปาล์มน้ำมัน,มูลค่าผลผลิต
89,2243318,2562,รวม,พื้นที่เพาะปลูก
90,13530.2,2562,รวม,มูลค่าผลผลิต
91,2214600,2563,รวม,พื้นที่เพาะปลูก
92,17072.58,2563,รวม,มูลค่าผลผลิต
93,,,ที่มา: สำนักงานเกษตรจังหวัดกาญจนบุรี,
