2558,2560,2561,_id,2559,2564,2567,2566,2557,2563,2565,ตำบล,อำเภอ,รายการ,หน่วยวัด,2562,จังหวัด
,,,1,,,,,,,,ต.ในเมือง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
0.9,1.9,1.9,2,0.9,1.9,1.9,1.9,0.9,1.9,1.9,ต.โพธิ์กลาง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),1.9,จ.นครราชสีมา
2.15,2.15,2.15,3,2.15,2.15,2.15,2.15,2.15,2.15,2.15,ต.หนองจะบก,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),2.15,จ.นครราชสีมา
,,,4,,,,,,,,ต.โคกสูง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,5,,,,,,,,ต.มะเริง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,6,,,,,,,,ต.หนองระเวียง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,7,,,,,,,,ต.ปรุใหญ่,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,8,,,,,,,,ต.หมื่นไวย,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,9,,,,,,,,ต.พลกรัง,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,10,,,,,,,,ต.หนองไผ่ล้อม,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,11,,,,,,,,ต.หัวทะเล,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,12,,,,,,,,ต.บ้านเกาะ,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,13,,,,,,,,ต.บ้านใหม่,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
1,1,1,14,1,1,1,1,1,1,1,ต.พุดซา,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),1,จ.นครราชสีมา
9.9,9.9,9.9,15,9.9,9.9,9.9,9.9,9.9,9.9,9.9,ต.บ้านโพธิ์,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),9.9,จ.นครราชสีมา
,,,16,,,,,,,,ต.จอหอ,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,17,,4,4,4,,,4,ต.โคกกรวด,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,18,,,,,,,,ต.ไชยมงคล,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
10.77,14.97,14.97,19,14.97,23.25,23.25,23.25,10.77,20.33,23.25,ต.หนองบัวศาลา,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),14.97,จ.นครราชสีมา
3.06,3.06,3.06,20,3.06,3.06,3.06,3.06,3.06,3.06,3.06,ต.สุรนารี,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),3.06,จ.นครราชสีมา
,,,21,,,,,,,,ต.สีมุม,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,22,,,,,,,,ต.ตลาด,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,23,,,,,,,,ต.พะเนา,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,24,,,,,,,,ต.หนองกระทุ่ม,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,25,,,,,,,,ต.หนองไข่น้ำ,อ.เมืองนครราชสีมา,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,26,,,,,,,,,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,27,,,,,,,,ต.แชะ,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,28,,,,,,,,ต.เฉลียง,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,29,,,,,,,,ต.ครบุรี,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,30,,,,,,,,ต.โคกกระชาย,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
38,38,38,31,38,96,96,96,38,96,96,ต.จระเข้หิน,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),96,จ.นครราชสีมา
,,,32,,,,,,,,ต.มาบตะโกเอน,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,9.41,9.41,33,,9.41,9.41,9.41,,9.41,9.41,ต.อรพิมพ์,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),9.41,จ.นครราชสีมา
,,,34,,,,,,,,ต.บ้านใหม่,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,35,,,,,,,,ต.ลำเพียก,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,36,,,,,,,,ต.ครบุรีใต้,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,37,,,,,,,,ต.ตะแบกบาน,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,38,,,,,,,,ต.สระวานพระยา,อ.ครบุรี,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,39,,,,,,,,,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
1.91,1.91,1.91,40,1.91,4.74,4.74,4.74,1.91,1.91,4.74,ต.เสิงสาง,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),1.91,จ.นครราชสีมา
,2.37,2.37,41,,2.37,2.37,2.37,,2.37,2.37,ต.สระตะเคียน,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),2.37,จ.นครราชสีมา
,,,42,,,,,,,,ต.โนนสมบูรณ์,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,43,,12.83,12.83,12.83,,12.83,12.83,ต.กุลโบสถ์,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,44,,,,,,,,ต.สุขไพบูลย์,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,45,,,,,,,,ต.บานราษฎร์,อ.เสิงสาง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,46,,,,,,,,,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,47,,,,,,,,ต.เมืองคง,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,48,,,,,,,,ต.คูขาด,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,49,,,,,,,,ต.เทพาลัย,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,50,,,,,,,,ต.ตาจั่น,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,51,,,,,,,,ต.บานปรางค์,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,52,,,,,,,,ต.หนองมะนาว,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,53,,,,,,,,ต.หนองบัว,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,54,,,,,,,,ต.โนนเต็ง,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,55,,,,,,,,ต.ดอนใหญ่,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,56,,,,,,,,ต.ขามสมบูรณ์,อ.คง,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,57,,,,,,,,,อ.บ้านเหลื่อม,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,58,,,,,,,,ต.บ้านเหลื่อม,อ.บ้านเหลื่อม,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,59,,,,,,,,ต.วังโพธิ์,อ.บ้านเหลื่อม,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,60,,,,,,,,ต.โคกกระเบื้อง,อ.บ้านเหลื่อม,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,61,,,,,,,,ต.ช่อระกา,อ.บ้านเหลื่อม,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,62,,,,,,,,,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,63,,,,,,,,ต.จักราช,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,64,,,,,,,,ต.ทองหลาง,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,65,,,,,,,,ต.สีสุก,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,66,,,,,,,,ต.หนองขาม,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,67,,,,,,,,ต.หนองพลวง,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,68,,,,,,,,ต.ศรีละกอ,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,69,,,,,,,,ต.คลองเมือง,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
7.13,7.13,7.13,70,7.13,7.13,7.13,7.13,7.13,7.13,7.13,ต.หินโคน,อ.จักราช,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),7.13,จ.นครราชสีมา
,,,71,,,,,,,,,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,72,,,,,,,,ต.กระโทก,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,73,,,,,,,,ต.พลับพลา,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
5.94,5.94,5.94,74,5.94,5.94,5.94,5.94,5.94,5.94,5.94,ต.ท่าอ่าง,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),5.94,จ.นครราชสีมา
,,,75,,,,,,,,ต.ทุ่งอรุณ,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,76,,,,,,,,ต.ท่าลาดขาว,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,77,,,,,,,,ต.ท่าจะหลุง,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,78,,,,,,,,ต.ท่าเยี่ยม,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
9.9,9.9,9.9,79,9.9,11.1,11.1,11.1,9.9,9.9,11.1,ต.โชคชัย,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),9.9,จ.นครราชสีมา
,,,80,,,,,,,,ต.ละลมใหม่พัฒนา,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,81,,,,,,,,ต.ด่านเกวียน,อ.โชคชัย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,82,,,,,,,,,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,83,,,,,,,,ต.กุดพิมาน,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,84,,,,,,,,ต.ด่านขุนทด,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,85,,,,,,,,ต.ด่านนอก,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
5.94,5.94,5.94,86,5.94,5.94,5.94,5.94,5.94,5.94,5.94,ต.ด่านใน,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),5.94,จ.นครราชสีมา
16.88,16.88,16.88,87,16.88,16.88,16.88,16.88,16.88,16.88,16.88,ต.ตะเคียน,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),16.88,จ.นครราชสีมา
,,,88,,,,,,,,ต.บ้านเก่า,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,89,,,,,,,,ต.บ้านแปรง,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,90,,,,,,,,ต.พันชนะ,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,91,,,,,,,,ต.สระจรเข้,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,92,,,,,,,,ต.หนองกราด,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
2.2,2.2,2.2,93,2.2,2.2,2.2,2.2,2.2,2.2,2.2,ต.หนองบัวตะเกียด,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),2.2,จ.นครราชสีมา
,,,94,,,,,,,,ต.หนองบัวละคร,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,1.95,95,,3.08,3.08,3.08,,3.08,3.08,ต.หินดาด,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),1.95,จ.นครราชสีมา
207,267,334.5,96,267,334.5,334.5,334.5,207,334.5,334.5,ต.ห้วยบง,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),334.5,จ.นครราชสีมา
,,,97,,,,,,,,ต.โนนเมืองพัฒนา,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,98,,,,,,,,ต.หนองไทร,อ.ด่านขุนทด,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,99,,,,,,,,,,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,100,,,,,,,,ต.โนนไทย,อ.โนนไทย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,4.26,101,,4.26,4.26,4.26,,4.26,4.26,ต.ด่านจาก,อ.โนนไทย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),4.26,จ.นครราชสีมา
,,,102,,,,,,,,ต.กำปัง,อ.โนนไทย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,103,,,,,,,,ต.สำโรง,อ.โนนไทย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,104,,,,,,,,ต.ค้างพลู,อ.โนนไทย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
,,,105,,,,,,,,ต.บ้านวัง,อ.โนนไทย,กำลังการผลิตไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,เมกะวัตต์ (MW),,จ.นครราชสีมา
