Province,Dataset_name,Item,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,มะระจีน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,65,579,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,66,550,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,ผลผลิต,ตัน,เกษตรและประมง,67,485,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มะระจีน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,68,881,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,69,2325,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,70,1915,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,ผลผลิต,ตัน,เกษตรและประมง,71,2545,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ข้าวโพดหวาน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,72,1329,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,73,1703,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,74,1501,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,ผลผลิต,ตัน,เกษตรและประมง,75,1371,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ถั่วฝักยาว,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,76,914,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,77,494,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,78,494,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,ผลผลิต,ตัน,เกษตรและประมง,79,640,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักบุ้งจีน,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,80,1295,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,81,652,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,82,612,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,ผลผลิต,ตัน,เกษตรและประมง,83,623,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,บวบ,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,84,1019,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,คะน้า,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,85,374,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,คะน้า,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,86,374,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,คะน้า,ผลผลิต,ตัน,เกษตรและประมง,87,429,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,คะน้า,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,88,1147,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,89,205,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,90,205,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,ผลผลิต,ตัน,เกษตรและประมง,91,251,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกวางตุ้ง,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,92,1224,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,93,988,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,94,973,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,ผลผลิต,ตัน,เกษตรและประมง,95,1453,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,ผักกาดหอม,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,96,1493,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,97,748,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,98,748,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,ผลผลิต,ตัน,เกษตรและประมง,99,1120,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,กระเพรา-โหระพา,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,100,1498,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,101,1430,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,102,1410,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,พริกขี้หนูสวน,ผลผลิต,ตัน,เกษตรและประมง,103,769,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
