Province,Unit,_id,Year,Source,Amp,Value
สระแก้ว,แห่ง,22,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังน้ำเย็น,51
สระแก้ว,แห่ง,23,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วัฒนานคร,84
สระแก้ว,แห่ง,24,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,อรัญประเทศ,86
สระแก้ว,แห่ง,25,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เขาฉกรรจ์,10
สระแก้ว,แห่ง,26,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,โคกสูง,6
สระแก้ว,แห่ง,27,2563,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังสมบูรณ์,50
สระแก้ว,แห่ง,28,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เมืองสระแก้ว,167
สระแก้ว,แห่ง,29,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,คลองหาด,26
สระแก้ว,แห่ง,30,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,ตาพระยา,25
สระแก้ว,แห่ง,31,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังน้ำเย็น,52
สระแก้ว,แห่ง,32,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วัฒนานคร,84
สระแก้ว,แห่ง,33,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,อรัญประเทศ,90
สระแก้ว,แห่ง,34,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เขาฉกรรจ์,11
สระแก้ว,แห่ง,35,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,โคกสูง,6
สระแก้ว,แห่ง,36,2564,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังสมบูรณ์,49
สระแก้ว,แห่ง,37,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เมืองสระแก้ว,177
สระแก้ว,แห่ง,38,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,คลองหาด,26
สระแก้ว,แห่ง,39,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,ตาพระยา,27
สระแก้ว,แห่ง,40,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังน้ำเย็น,60
สระแก้ว,แห่ง,41,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วัฒนานคร,90
สระแก้ว,แห่ง,42,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,อรัญประเทศ,100
สระแก้ว,แห่ง,43,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เขาฉกรรจ์,13
สระแก้ว,แห่ง,44,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,โคกสูง,6
สระแก้ว,แห่ง,45,2565,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังสมบูรณ์,53
สระแก้ว,แห่ง,46,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เมืองสระแก้ว,151
สระแก้ว,แห่ง,47,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,คลองหาด,19
สระแก้ว,แห่ง,48,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,ตาพระยา,19
สระแก้ว,แห่ง,49,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังน้ำเย็น,49
สระแก้ว,แห่ง,50,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วัฒนานคร,69
สระแก้ว,แห่ง,51,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,อรัญประเทศ,87
สระแก้ว,แห่ง,52,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,เขาฉกรรจ์,12
สระแก้ว,แห่ง,53,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,โคกสูง,6
สระแก้ว,แห่ง,54,2566,สำนักงานอุตสาหกรรมจังหวัดสระแก้ว,วังสมบูรณ์,36
