จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการข้อมูล
"33,974.75",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,83,2567,ข้าวนาปี,ไร่,ขามทะเลสอ,เนื้อที่เพาะข้าวนาปี
"66,773.79",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,84,2567,ข้าวนาปี,ไร่,สีคิ้ว,เนื้อที่เพาะข้าวนาปี
"3,353.25",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,85,2567,ข้าวนาปี,ไร่,ปากช่อง,เนื้อที่เพาะข้าวนาปี
"64,960.19",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,86,2567,ข้าวนาปี,ไร่,หนองบุญมาก,เนื้อที่เพาะข้าวนาปี
"80,759.31",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,87,2567,ข้าวนาปี,ไร่,แก้งสนามนาง,เนื้อที่เพาะข้าวนาปี
"67,652.19",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,88,2567,ข้าวนาปี,ไร่,โนนแดง,เนื้อที่เพาะข้าวนาปี
"14,903.17",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,89,2567,ข้าวนาปี,ไร่,วังน้ำเขียว,เนื้อที่เพาะข้าวนาปี
"31,115.47",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,90,2567,ข้าวนาปี,ไร่,เทพารักษ์,เนื้อที่เพาะข้าวนาปี
"113,134.67",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,91,2567,ข้าวนาปี,ไร่,เมืองยาง,เนื้อที่เพาะข้าวนาปี
"79,880.74",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,92,2567,ข้าวนาปี,ไร่,พระทองคำ,เนื้อที่เพาะข้าวนาปี
"72,485.49",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,93,2567,ข้าวนาปี,ไร่,ลำทะเมนชัย,เนื้อที่เพาะข้าวนาปี
"56,513.54",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,94,2567,ข้าวนาปี,ไร่,บัวลาย,เนื้อที่เพาะข้าวนาปี
"74,453.18",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,95,2567,ข้าวนาปี,ไร่,สีดา,เนื้อที่เพาะข้าวนาปี
"34,584.96",ข้าวนาปี,สำนักงานเกษตรจังหวัดนครราชสีมา,96,2567,ข้าวนาปี,ไร่,เฉลิมพระเกียรติ,เนื้อที่เพาะข้าวนาปี
