จำนวน,_id,ปี,ไตรมาส,อุตสาหกรรม
10303,196,2566,12566,กิจกรรมบริการด้านอื่นๆ
3625,197,2566,12566,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
-,198,2566,12566,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
942066,199,2566,22566,รวม
393766,200,2566,22566,เกษตรกรรม การป่าไม้ และการประมง
n.a.,201,2566,22566,การทำเหมืองแร่และเหมืองหิน
63838,202,2566,22566,การผลิต
1443,203,2566,22566,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
1736,204,2566,22566,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
71866,205,2566,22566,การก่อสร้าง
219682,206,2566,22566,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์
6001,207,2566,22566,การขนส่ง และสถานที่เก็บสินค้า
79933,208,2566,22566,ที่พักแรมและบริการด้านอาหาร
3029,209,2566,22566,ข้อมูลข่าวสารและการสื่อสาร
8561,210,2566,22566,กิจการทางการเงินและการประกันภัย
2028,211,2566,22566,กิจการอสังหาริมทรัพย์
3963,212,2566,22566,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
6488,213,2566,22566,กิจกรรมการบริหารและการบริการสนับสนุน
24623,214,2566,22566,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม
22522,215,2566,22566,การศึกษา
14361,216,2566,22566,กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์
1600,217,2566,22566,ศิลปะ ความบันเทิง และนันทนาการ
14965,218,2566,22566,กิจกรรมบริการด้านอื่นๆ
1661,219,2566,22566,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
n.a.,220,2566,22566,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
961207,221,2566,32566,รวม
423355,222,2566,32566,เกษตรกรรม การป่าไม้ และการประมง
n.a.,223,2566,32566,การทำเหมืองแร่และเหมืองหิน
59130,224,2566,32566,การผลิต
1100,225,2566,32566,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
908,226,2566,32566,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
58881,227,2566,32566,การก่อสร้าง
208979,228,2566,32566,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์
5578,229,2566,32566,การขนส่ง และสถานที่เก็บสินค้า
102734,230,2566,32566,ที่พักแรมและบริการด้านอาหาร
827,231,2566,32566,ข้อมูลข่าวสารและการสื่อสาร
4537,232,2566,32566,กิจการทางการเงินและการประกันภัย
1315,233,2566,32566,กิจการอสังหาริมทรัพย์
4977,234,2566,32566,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
10748,235,2566,32566,กิจกรรมการบริหารและการบริการสนับสนุน
17965,236,2566,32566,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม
17699,237,2566,32566,การศึกษา
12332,238,2566,32566,กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์
2699,239,2566,32566,ศิลปะ ความบันเทิง และนันทนาการ
26277,240,2566,32566,กิจกรรมบริการด้านอื่นๆ
1166,241,2566,32566,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
n.a.,242,2566,32566,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
945593,243,2566,42566,รวม
401653,244,2566,42566,เกษตรกรรม การป่าไม้ และการประมง
n.a.,245,2566,42566,การทำเหมืองแร่และเหมืองหิน
67698,246,2566,42566,การผลิต
2461,247,2566,42566,ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
1595,248,2566,42566,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
57537,249,2566,42566,การก่อสร้าง
207452,250,2566,42566,การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์
11226,251,2566,42566,การขนส่ง และสถานที่เก็บสินค้า
82871,252,2566,42566,ที่พักแรมและบริการด้านอาหาร
876,253,2566,42566,ข้อมูลข่าวสารและการสื่อสาร
4981,254,2566,42566,กิจการทางการเงินและการประกันภัย
1203,255,2566,42566,กิจการอสังหาริมทรัพย์
1812,256,2566,42566,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
6486,257,2566,42566,กิจกรรมการบริหารและการบริการสนับสนุน
22990,258,2566,42566,การบริหารราชการ การป้องกันประเทศ และการประกันสังคม
22610,259,2566,42566,การศึกษา
17646,260,2566,42566,กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์
1387,261,2566,42566,ศิลปะ ความบันเทิง และนันทนาการ
31412,262,2566,42566,กิจกรรมบริการด้านอื่นๆ
1699,263,2566,42566,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคลการผลิตสินค้าและบริการที่ทำขี้นเองเพื่อใช้ในครัวเรือน
n.a.,264,2566,42566,กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก
