ที่มา,ชนิดพืช,_id,ปี,ราคา,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,40,2564,24.78, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,41,2564,24.42, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,42,2564,29.47, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,43,2564,16.14, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,44,2564,30.24, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,45,2565,18.18, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,46,2565,14.25, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,47,2565,29.93, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,48,2565,34.94, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,49,2565,1.15, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,50,2565,27.7, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,51,2565,24.65, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,52,2565,28.73, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,53,2565,17.22, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,54,2565,14.05, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,55,2565,28.54, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,56,2566,22.01, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,57,2566,17.65, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,58,2566,23.19, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,59,2566,30.7, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,60,2566,1.33, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,61,2566,25.19, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,62,2566,24.45, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,63,2566,29.21, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,64,2566,20.19, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,65,2566,19.38, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,66,2566,29.6, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,67,2567,18.64, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,68,2567,22.63, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,69,2567,15.24, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,70,2567,31.21, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,71,2567,1.0, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,72,2567,53.89, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,73,2567,38.29, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,74,2567,25.5, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,75,2567,12.7, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,76,2567,23.0, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,77,2567,37.54, บาทต่อกิโลกรัม 
