เนื้อที่ปลูกข้าว,ที่มา,_id,ปี,เนื้อที่เก็บเกี่ยว,อำเภอ,ชนิดข้าว,หน่วย
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,81,2565,0,บางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,82,2565,0,พระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,83,2565,0,พระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,84,2565,0,บางเสาธง,ข้าวเหนียว,ไร่
"17,554",สำนักงานเกษตรจังหวัดสมุทรปราการ,85,2566,"17,554",รวมทุกอำเภอ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,86,2566,0,อำเภอเมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"13,537",สำนักงานเกษตรจังหวัดสมุทรปราการ,87,2566,"13,537",อำเภอบางบ่อ,ข้าวเจ้า,ไร่
19,สำนักงานเกษตรจังหวัดสมุทรปราการ,88,2566,19,อำเภอบางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,89,2566,0,อำเภอพระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,90,2566,0,อำเภอพระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"3,998",สำนักงานเกษตรจังหวัดสมุทรปราการ,91,2566,"3,998",อำเภอบางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,92,2566,0,รวมทุกอำเภอ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,93,2566,0,อำเภอเมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,94,2566,0,อำเภอบางบ่อ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,95,2566,0,อำเภอบางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,96,2566,0,อำเภอพระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,97,2566,0,อำเภอพระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,98,2566,0,อำเภอบางเสาธง,ข้าวเหนียว,ไร่
"17,343",สำนักงานเกษตรจังหวัดสมุทรปราการ,99,2567,"17,343",รวมทุกอำเภอ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,100,2567,0,อำเภอเมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"13,258",สำนักงานเกษตรจังหวัดสมุทรปราการ,101,2567,"13,258",อำเภอบางบ่อ,ข้าวเจ้า,ไร่
38,สำนักงานเกษตรจังหวัดสมุทรปราการ,102,2567,38,อำเภอบางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,103,2567,0,อำเภอพระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,104,2567,0,อำเภอพระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"4,047",สำนักงานเกษตรจังหวัดสมุทรปราการ,105,2567,"4,047",อำเภอบางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,106,2567,0,รวมทุกอำเภอ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,107,2567,0,อำเภอเมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,108,2567,0,อำเภอบางบ่อ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,109,2567,0,อำเภอบางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,110,2567,0,อำเภอพระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,111,2567,0,อำเภอพระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,112,2567,0,อำเภอบางเสาธง,ข้าวเหนียว,ไร่
"16,455.00",สำนักงานเกษตรจังหวัดสมุทรปราการ,113,2568,"16,392.00",รวมทุกอำเภอ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,114,2568,0,อำเภอเมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"12,242.00",สำนักงานเกษตรจังหวัดสมุทรปราการ,115,2568,"12,193.00",อำเภอบางบ่อ,ข้าวเจ้า,ไร่
19,สำนักงานเกษตรจังหวัดสมุทรปราการ,116,2568,19,อำเภอบางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,117,2568,0,อำเภอพระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,118,2568,0,อำเภอพระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"4,194.00",สำนักงานเกษตรจังหวัดสมุทรปราการ,119,2568,"4,180.00",อำเภอบางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,120,2568,0,รวมทุกอำเภอ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,121,2568,0,อำเภอเมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,122,2568,0,อำเภอบางบ่อ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,123,2568,0,อำเภอบางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,124,2568,0,อำเภอพระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,125,2568,0,อำเภอพระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,126,2568,0,อำเภอบางเสาธง,ข้าวเหนียว,ไร่
