เดือน,ไม่อันตราย (ตัน),อันตราย (ตัน),_id,ปี,ลำดับเดือน,ของเสียทั้งหมด (ตัน),จังหวัด,หน่วย
เม.ย.,0,1.86,154,2566,4,1.86,นครพนม,ตัน
เม.ย.,0,5.08,155,2566,4,5.08,นราธิวาส,ตัน
เม.ย.,0,1.79,156,2566,4,1.79,น่าน,ตัน
เม.ย.,0,0.6,157,2566,4,0.6,ปัตตานี,ตัน
เม.ย.,0,23.67,158,2566,4,23.67,พังงา,ตัน
เม.ย.,0,28.58,159,2566,4,28.58,ภูเก็ต,ตัน
เม.ย.,0,7.9,160,2566,4,7.9,มุกดาหาร,ตัน
เม.ย.,0,1.59,161,2566,4,1.59,แม่ฮ่องสอน,ตัน
เม.ย.,0,0.4,162,2566,4,0.4,ยโสธร,ตัน
เม.ย.,0,0.05,163,2566,4,0.05,ระนอง,ตัน
เม.ย.,0,17.1,164,2566,4,17.1,ศรีสะเกษ,ตัน
เม.ย.,0,8.16,165,2566,4,8.16,สกลนคร,ตัน
เม.ย.,0,6.33,166,2566,4,6.33,อำนาจเจริญ,ตัน
เม.ย.,0,3.27,167,2566,4,3.27,อุตรดิตถ์,ตัน
เม.ย.,0,3.25,168,2566,4,3.25,อุทัยธานี,ตัน
พ.ค.,0,16.59,169,2566,5,16.59,กระบี่,ตัน
พ.ค.,0,20.31,170,2566,5,20.31,ชุมพร,ตัน
พ.ค.,0,18.55,171,2566,5,18.55,เชียงราย,ตัน
พ.ค.,0,5.1,172,2566,5,5.1,นราธิวาส,ตัน
พ.ค.,0,3.31,173,2566,5,3.31,น่าน,ตัน
พ.ค.,0,4.22,174,2566,5,4.22,บึงกาฬ,ตัน
พ.ค.,0,4,175,2566,5,4,ปัตตานี,ตัน
พ.ค.,0,25.84,176,2566,5,25.84,ภูเก็ต,ตัน
พ.ค.,0,20.29,177,2566,5,20.29,มุกดาหาร,ตัน
พ.ค.,0,1.49,178,2566,5,1.49,แม่ฮ่องสอน,ตัน
พ.ค.,0,0.98,179,2566,5,0.98,ยโสธร,ตัน
พ.ค.,0,7,180,2566,5,7,ยะลา,ตัน
พ.ค.,0,7.93,181,2566,5,7.93,สกลนคร,ตัน
พ.ค.,0,3.44,182,2566,5,3.44,อำนาจเจริญ,ตัน
พ.ค.,0,11.25,183,2566,5,11.25,อุดรธานี,ตัน
มิ.ย.,0,25.41,184,2566,6,25.41,กระบี่,ตัน
มิ.ย.,0,5.3,185,2566,6,5.3,นราธิวาส,ตัน
มิ.ย.,0,3.13,186,2566,6,3.13,น่าน,ตัน
มิ.ย.,0,10.97,187,2566,6,10.97,บึงกาฬ,ตัน
มิ.ย.,0,14.89,188,2566,6,14.89,พังงา,ตัน
มิ.ย.,0,1.49,189,2566,6,1.49,แม่ฮ่องสอน,ตัน
มิ.ย.,0,18.78,190,2566,6,18.78,ยโสธร,ตัน
มิ.ย.,0,4,191,2566,6,4,ยะลา,ตัน
มิ.ย.,0,6.59,192,2566,6,6.59,ลำปาง,ตัน
มิ.ย.,0,21.05,193,2566,6,21.05,หนองคาย,ตัน
ม.ค.,0,10.82,194,2565,1,10.82,กระบี่,ตัน
ม.ค.,0,0.7,195,2565,1,0.7,กาฬสินธุ์,ตัน
ม.ค.,0,3.18,196,2565,1,3.18,เชียงราย,ตัน
ม.ค.,0,0.25,197,2565,1,0.25,ตราด,ตัน
ม.ค.,0,1.89,198,2565,1,1.89,นครพนม,ตัน
ม.ค.,0,6.2,199,2565,1,6.2,นราธิวาส,ตัน
ม.ค.,0,2.31,200,2565,1,2.31,น่าน,ตัน
ม.ค.,0,4.2,201,2565,1,4.2,ปัตตานี,ตัน
ม.ค.,0,3.63,202,2565,1,3.63,พะเยา,ตัน
ม.ค.,0,1.85,203,2565,1,1.85,พังงา,ตัน
ม.ค.,0,7.31,204,2565,1,7.31,มุกดาหาร,ตัน
ม.ค.,0,1.28,205,2565,1,1.28,แม่ฮ่องสอน,ตัน
ม.ค.,0,0.8,206,2565,1,0.8,ยโสธร,ตัน
ม.ค.,0,6.2,207,2565,1,6.2,ยะลา,ตัน
ม.ค.,0,6.76,208,2565,1,6.76,ศรีสะเกษ,ตัน
ม.ค.,0,4.49,209,2565,1,4.49,สกลนคร,ตัน
ม.ค.,0,5.37,210,2565,1,5.37,สตูล,ตัน
ม.ค.,0,5.49,211,2565,1,5.49,สุโขทัย,ตัน
ม.ค.,0,1.86,212,2565,1,1.86,อำนาจเจริญ,ตัน
ม.ค.,0,3.27,213,2565,1,3.27,อุทัยธานี,ตัน
ก.พ.,0,46.23,214,2565,2,46.23,กระบี่,ตัน
ก.พ.,0,37.92,215,2565,2,37.92,นครพนม,ตัน
ก.พ.,0,0.32,216,2565,2,0.32,นราธิวาส,ตัน
ก.พ.,0,15.6,217,2565,2,15.6,บึงกาฬ,ตัน
ก.พ.,0,3.28,218,2565,2,3.28,พะเยา,ตัน
ก.พ.,0,1.28,219,2565,2,1.28,แม่ฮ่องสอน,ตัน
ก.พ.,0,12.77,220,2565,2,12.77,ยโสธร,ตัน
ก.พ.,0,27.74,221,2565,2,27.74,ระนอง,ตัน
ก.พ.,0,34.31,222,2565,2,34.31,ศรีสะเกษ,ตัน
ก.พ.,0,63.55,223,2565,2,63.55,สกลนคร,ตัน
มี.ค.,0,11.41,224,2565,3,11.41,สุโขทัย,ตัน
มี.ค.,0,10.38,225,2565,3,10.38,กาฬสินธุ์,ตัน
มี.ค.,0,9.17,226,2565,3,9.17,ศรีสะเกษ,ตัน
มี.ค.,0,8.93,227,2565,3,8.93,สกลนคร,ตัน
มี.ค.,0,7.4,228,2565,3,7.4,ภูเก็ต,ตัน
มี.ค.,0,6.88,229,2565,3,6.88,อุตรดิตถ์,ตัน
มี.ค.,0,5.52,230,2565,3,5.52,บึงกาฬ,ตัน
มี.ค.,0,2.92,231,2565,3,2.92,น่าน,ตัน
มี.ค.,0,2.55,232,2565,3,2.55,อุทัยธานี,ตัน
มี.ค.,0,2,233,2565,3,2,หนองคาย,ตัน
มี.ค.,0,1.92,234,2565,3,1.92,นครพนม,ตัน
มี.ค.,0,1.27,235,2565,3,1.27,เชียงราย,ตัน
มี.ค.,0,1.1,236,2565,3,1.1,กระบี่,ตัน
มี.ค.,0,0.67,237,2565,3,0.67,พะเยา,ตัน
มี.ค.,0,0.66,238,2565,3,0.66,แม่ฮ่องสอน,ตัน
มี.ค.,0,0.4,239,2565,3,0.4,ยโสธร,ตัน
เม.ย.,0,10.8,240,2565,4,10.8,ยะลา,ตัน
เม.ย.,0,8.6,241,2565,4,8.6,นราธิวาส,ตัน
เม.ย.,0,6.88,242,2565,4,6.88,สกลนคร,ตัน
เม.ย.,0,6.85,243,2565,4,6.85,ศรีสะเกษ,ตัน
เม.ย.,0,5.61,244,2565,4,5.61,สตูล,ตัน
เม.ย.,0,5.09,245,2565,4,5.09,พะเยา,ตัน
เม.ย.,0,4.7,246,2565,4,4.7,ปัตตานี,ตัน
เม.ย.,0,4.01,247,2565,4,4.01,น่าน,ตัน
เม.ย.,0,3.71,248,2565,4,3.71,อำนาจเจริญ,ตัน
เม.ย.,0,3.6,249,2565,4,3.6,อุทัยธานี,ตัน
เม.ย.,0,2.89,250,2565,4,2.89,อุตรดิตถ์,ตัน
เม.ย.,0,2.88,251,2565,4,2.88,ภูเก็ต,ตัน
เม.ย.,0,2.07,252,2565,4,2.07,เชียงราย,ตัน
เม.ย.,0,1.86,253,2565,4,1.86,นครพนม,ตัน
เม.ย.,0,1.6,254,2565,4,1.6,หนองคาย,ตัน
เม.ย.,0,1.08,255,2565,4,1.08,แม่ฮ่องสอน,ตัน
เม.ย.,0,0.94,256,2565,4,0.94,ยโสธร,ตัน
เม.ย.,0,0.78,257,2565,4,0.78,พังงา,ตัน
เม.ย.,0,0.24,258,2565,4,0.24,ตราด,ตัน
เม.ย.,0,0.07,259,2565,4,0.07,กระบี่,ตัน
เม.ย.,0,0.05,260,2565,4,0.05,ระนอง,ตัน
พ.ค.,0,42.42,261,2565,5,42.42,กระบี่,ตัน
พ.ค.,0,13.15,262,2565,5,13.15,เชียงราย,ตัน
พ.ค.,0,10.74,263,2565,5,10.74,ตราด,ตัน
พ.ค.,0,1.87,264,2565,5,1.87,นครพนม,ตัน
พ.ค.,0,3.4,265,2565,5,3.4,นราธิวาส,ตัน
พ.ค.,0,1,266,2565,5,1,บึงกาฬ,ตัน
พ.ค.,0,5.7,267,2565,5,5.7,ปัตตานี,ตัน
พ.ค.,0,2.84,268,2565,5,2.84,พะเยา,ตัน
พ.ค.,0,20.88,269,2565,5,20.88,พังงา,ตัน
พ.ค.,0,26.84,270,2565,5,26.84,ภูเก็ต,ตัน
พ.ค.,0,1.08,271,2565,5,1.08,แม่ฮ่องสอน,ตัน
พ.ค.,0,13.53,272,2565,5,13.53,ยโสธร,ตัน
พ.ค.,0,7.2,273,2565,5,7.2,ยะลา,ตัน
พ.ค.,0,1.4,274,2565,5,1.4,ระนอง,ตัน
พ.ค.,0,7.61,275,2565,5,7.61,ศรีสะเกษ,ตัน
พ.ค.,0,33.44,276,2565,5,33.44,สกลนคร,ตัน
พ.ค.,0,7.62,277,2565,5,7.62,อำนาจเจริญ,ตัน
พ.ค.,0,17.24,278,2565,5,17.24,อุตรดิตถ์,ตัน
พ.ค.,0,2.59,279,2565,5,2.59,อุทัยธานี,ตัน
มิ.ย.,0,1.97,280,2565,6,1.97,นครพนม,ตัน
มิ.ย.,0,1.69,281,2565,6,1.69,น่าน,ตัน
มิ.ย.,0,0.1,282,2565,6,0.1,ปัตตานี,ตัน
มิ.ย.,0,4.52,283,2565,6,4.52,พะเยา,ตัน
มิ.ย.,0,1.08,284,2565,6,1.08,แม่ฮ่องสอน,ตัน
มิ.ย.,0,1.24,285,2565,6,1.24,ยโสธร,ตัน
มิ.ย.,0,3.8,286,2565,6,3.8,ยะลา,ตัน
มิ.ย.,0,8.19,287,2565,6,8.19,ศรีสะเกษ,ตัน
มิ.ย.,0,3.82,288,2565,6,3.82,สกลนคร,ตัน
มิ.ย.,0,1.87,289,2565,6,1.87,สตูล,ตัน
มิ.ย.,0,1.5,290,2565,6,1.5,หนองคาย,ตัน
มิ.ย.,0,7.87,291,2565,6,7.87,อำนาจเจริญ,ตัน
มิ.ย.,0,6,292,2565,6,6,อุตรดิตถ์,ตัน
มิ.ย.,0,5.72,293,2565,6,5.72,อุทัยธานี,ตัน
ก.ค.,0,24.77,294,2565,7,24.77,กระบี่,ตัน
ก.ค.,0,15.35,295,2565,7,15.35,เชียงราย,ตัน
ก.ค.,0,0.31,296,2565,7,0.31,ตราด,ตัน
ก.ค.,0,22.87,297,2565,7,22.87,นครพนม,ตัน
ก.ค.,0,8.93,298,2565,7,8.93,นราธิวาส,ตัน
ก.ค.,0,5.58,299,2565,7,5.58,ปัตตานี,ตัน
ก.ค.,0,3.93,300,2565,7,3.93,พะเยา,ตัน
ก.ค.,0,9.3,301,2565,7,9.3,พังงา,ตัน
ก.ค.,0,3.2,302,2565,7,3.2,มุกดาหาร,ตัน
ก.ค.,0,1.08,303,2565,7,1.08,แม่ฮ่องสอน,ตัน
ก.ค.,0,0.91,304,2565,7,0.91,ยโสธร,ตัน
ก.ค.,0,5.23,305,2565,7,5.23,หนองคาย,ตัน
ก.ค.,0,7.75,306,2565,7,7.75,อำนาจเจริญ,ตัน
ก.ค.,0,2.27,307,2565,7,2.27,อุทัยธานี,ตัน
ส.ค.,0,10.75,308,2565,8,10.75,กระบี่,ตัน
ส.ค.,0,1.86,309,2565,8,1.86,นครพนม,ตัน
ส.ค.,0,3.18,310,2565,8,3.18,น่าน,ตัน
ส.ค.,0,5.32,311,2565,8,5.32,พะเยา,ตัน
ส.ค.,0,14.88,312,2565,8,14.88,ภูเก็ต,ตัน
ส.ค.,0,1.08,313,2565,8,1.08,แม่ฮ่องสอน,ตัน
ส.ค.,0,7,314,2565,8,7,ยะลา,ตัน
ส.ค.,0,2.44,315,2565,8,2.44,ระนอง,ตัน
ส.ค.,0,13.03,316,2565,8,13.03,ศรีสะเกษ,ตัน
ส.ค.,0,3.37,317,2565,8,3.37,สกลนคร,ตัน
ส.ค.,0,5.08,318,2565,8,5.08,อำนาจเจริญ,ตัน
ส.ค.,0,1.2,319,2565,8,1.2,อุตรดิตถ์,ตัน
ก.ย.,0,7.85,320,2565,9,7.85,กาฬสินธุ์,ตัน
ก.ย.,0,14.53,321,2565,9,14.53,เชียงราย,ตัน
ก.ย.,0,0.53,322,2565,9,0.53,ตราด,ตัน
ก.ย.,0,1.86,323,2565,9,1.86,นครพนม,ตัน
ก.ย.,0,9.7,324,2565,9,9.7,นราธิวาส,ตัน
ก.ย.,0,1.59,325,2565,9,1.59,น่าน,ตัน
ก.ย.,0,7.8,326,2565,9,7.8,ปัตตานี,ตัน
ก.ย.,0,4.68,327,2565,9,4.68,พะเยา,ตัน
ก.ย.,0,5.19,328,2565,9,5.19,พังงา,ตัน
ก.ย.,0,15.05,329,2565,9,15.05,เพชรบูรณ์,ตัน
ก.ย.,0,1.28,330,2565,9,1.28,แม่ฮ่องสอน,ตัน
ก.ย.,0,1.58,331,2565,9,1.58,ยโสธร,ตัน
ก.ย.,0,17,332,2565,9,17,ยะลา,ตัน
ก.ย.,0,2.14,333,2565,9,2.14,ระนอง,ตัน
ก.ย.,0,6.6,334,2565,9,6.6,ศรีสะเกษ,ตัน
ก.ย.,0,14.52,335,2565,9,14.52,สกลนคร,ตัน
ก.ย.,0,2.86,336,2565,9,2.86,สุโขทัย,ตัน
ก.ย.,0,11.24,337,2565,9,11.24,อำนาจเจริญ,ตัน
ต.ค.,0,1.05,338,2565,10,1.05,กระบี่,ตัน
ต.ค.,0,8.81,339,2565,10,8.81,ชุมพร,ตัน
ต.ค.,0,15.24,340,2565,10,15.24,เชียงราย,ตัน
ต.ค.,0,2.01,341,2565,10,2.01,นครพนม,ตัน
ต.ค.,0,4.9,342,2565,10,4.9,นราธิวาส,ตัน
ต.ค.,0,1.56,343,2565,10,1.56,น่าน,ตัน
ต.ค.,0,4.82,344,2565,10,4.82,บึงกาฬ,ตัน
ต.ค.,0,7.1,345,2565,10,7.1,ปัตตานี,ตัน
ต.ค.,0,4.78,346,2565,10,4.78,พะเยา,ตัน
ต.ค.,0,1.28,347,2565,10,1.28,แม่ฮ่องสอน,ตัน
ต.ค.,0,0.82,348,2565,10,0.82,ยโสธร,ตัน
ต.ค.,0,2.4,349,2565,10,2.4,ยะลา,ตัน
ต.ค.,0,0.24,350,2565,10,0.24,ระนอง,ตัน
ต.ค.,0,0.33,351,2565,10,0.33,ศรีสะเกษ,ตัน
ต.ค.,0,4.66,352,2565,10,4.66,อำนาจเจริญ,ตัน
ต.ค.,0,1.85,353,2565,10,1.85,อุตรดิตถ์,ตัน
พ.ย.,0,25.88,354,2565,11,25.88,กระบี่,ตัน
พ.ย.,0,12.24,355,2565,11,12.24,ชุมพร,ตัน
พ.ย.,0,14.78,356,2565,11,14.78,เชียงราย,ตัน
พ.ย.,0,1.8,357,2565,11,1.8,นครพนม,ตัน
พ.ย.,0,4.9,358,2565,11,4.9,นราธิวาส,ตัน
พ.ย.,0,2.03,359,2565,11,2.03,น่าน,ตัน
พ.ย.,0,3,360,2565,11,3,ปัตตานี,ตัน
พ.ย.,0,5.12,361,2565,11,5.12,พะเยา,ตัน
พ.ย.,0,10.3,362,2565,11,10.3,แพร่,ตัน
พ.ย.,0,24.93,363,2565,11,24.93,ภูเก็ต,ตัน
พ.ย.,0,23.43,364,2565,11,23.43,มุกดาหาร,ตัน
พ.ย.,0,1.08,365,2565,11,1.08,แม่ฮ่องสอน,ตัน
พ.ย.,0,0.97,366,2565,11,0.97,ยโสธร,ตัน
พ.ย.,0,7.87,367,2565,11,7.87,ศรีสะเกษ,ตัน
พ.ย.,0,6.31,368,2565,11,6.31,อำนาจเจริญ,ตัน
พ.ย.,0,2.38,369,2565,11,2.38,อุตรดิตถ์,ตัน
ธ.ค.,0,23.27,370,2565,12,23.27,กระบี่,ตัน
ธ.ค.,0,14.02,371,2565,12,14.02,เชียงราย,ตัน
ธ.ค.,0,6.3,372,2565,12,6.3,นราธิวาส,ตัน
ธ.ค.,0,2.11,373,2565,12,2.11,น่าน,ตัน
ธ.ค.,0,9.78,374,2565,12,9.78,พังงา,ตัน
ธ.ค.,0,1.08,375,2565,12,1.08,แม่ฮ่องสอน,ตัน
ธ.ค.,0,0.4,376,2565,12,0.4,ยโสธร,ตัน
ธ.ค.,0,0.96,377,2565,12,0.96,ศรีสะเกษ,ตัน
ธ.ค.,0,7.68,378,2565,12,7.68,สกลนคร,ตัน
ธ.ค.,0,11.08,379,2565,12,11.08,หนองคาย,ตัน
ธ.ค.,0,33.24,380,2565,12,33.24,อุตรดิตถ์,ตัน
ธ.ค.,0,3.86,381,2565,12,3.86,อุทัยธานี,ตัน
ธ.ค.,0,34.79,382,2564,12,34.79,กระบี่,ตัน
ธ.ค.,0,13.18,383,2564,12,13.18,ชุมพร,ตัน
ธ.ค.,0,11.62,384,2564,12,11.62,เชียงราย,ตัน
ธ.ค.,0,1.86,385,2564,12,1.86,นครพนม,ตัน
ธ.ค.,0,2.14,386,2564,12,2.14,น่าน,ตัน
ธ.ค.,0,0.11,387,2564,12,0.11,ปัตตานี,ตัน
ธ.ค.,0,2.92,388,2564,12,2.92,พะเยา,ตัน
