ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
0,52,2566,เมืองสรวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,53,2566,โพนทราย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,54,2566,อาจสามารถ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,531.65",55,2566,เมยวดี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,56,2566,ศรีสมเด็จ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,57,2566,จังหาร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,58,2566,เชียงขวัญ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,59,2566,หนองฮี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,60,2566,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,61,2567,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"13,895.12",62,2567,เกษตรวิสัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"5,000.00",63,2567,ปทุมรัตต์,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,000.00",64,2567,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,838.93",65,2567,ธวัชบุรี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,66,2567,พนมไพร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"8,933.27",67,2567,โพนทอง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"8,397.53",68,2567,โพธิ์ชัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,000.00",69,2567,หนองพอก,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,70,2567,เสลภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,71,2567,สุวรรณภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,72,2567,เมืองสรวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,73,2567,โพนทราย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,74,2567,อาจสามารถ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"13,000.00",75,2567,เมยวดี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,76,2567,ศรีสมเด็จ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,77,2567,จังหาร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,78,2567,เชียงขวัญ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,79,2567,หนองฮี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,80,2567,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,81,2568,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,000.00",82,2568,เกษตรวิสัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,000.00",83,2568,ปทุมรัตต์,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,272.00",84,2568,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,85,2568,ธวัชบุรี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,86,2568,พนมไพร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"14,560.00",87,2568,โพนทอง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"11,000.00",88,2568,โพธิ์ชัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"12,000.00",89,2568,หนองพอก,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,90,2568,เสลภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,91,2568,สุวรรณภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,92,2568,เมืองสรวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,93,2568,โพนทราย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,94,2568,อาจสามารถ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"12,999.65",95,2568,เมยวดี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,96,2568,ศรีสมเด็จ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,97,2568,จังหาร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,98,2568,เชียงขวัญ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,99,2568,หนองฮี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,100,2568,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
