Harvested area (rai),Crop Year,Production (ton),Yield per rai (kgs),_id,Vegetable Crops,Planted area (rai)
3387,2564,1948,575,81,หน่อไม้ฝรั่ง,3387
2798,2564,5643,2017,82,หอมแดง,2866
1424,2565,2825,1985,83,กระเทียมหัว,1424
1193,2565,3562,2986,84,กะหล่ำดอก,1296
625,2565,719,1150,85,ซาโยเต้ (ฟักแม้ว),625
1296,2565,4015,3098,86,แตงกวา/แตงร้าน,1296
770,2565,423,549,87,ผักชีฝรั่ง,903
5213,2565,6047,1160,88,พริกขี้หนู,5495
1302,2565,1580,1214,89,พริกหยวก/พริกยักษ์,1302
2235,2565,2543,1138,90,หน่อไม้ฝรั่ง,2235
1727,2565,4145,2401,91,หอมแดง,1726
1127,2566,1783,1582,92,กระเทียมหัว,1167
1057,2566,3156,2986,93,กะหล่ำดอก,1338
521,2566,1574,3022,94,ขิง,521
594,2566,1582,2663,95,ซาโยเต้ (ฟักแม้ว),594
1507,2566,4669,3098,96,แตงกวา/แตงร้าน,1507
624,2566,525,842,97,ผักชีฝรั่ง,783
6819,2566,11967,1755,98,พริกขี้หนู,6819
834,2566,988,1185,99,พริกหยวก/พริกยักษ์,834
2235,2566,1292,578,100,หน่อไม้ฝรั่ง,2235
1109,2566,2217,1999,101,หอมแดง,1139
974,2567,3090,3173,102,กะหล่ำดอก,1594
1300,2567,3215,2473,103,ขิง,1611
1790,2567,1362,761,104,ซาโยเต้ (ฟักแม้ว),1875
9171,2567,12594,1373,105,พริกขี้หนู,9892
2865,2567,1095,382,106,หน่อไม้ฝรั่ง,3361
1579,2567,2489,1576,107,หอมแดง,1709
4269,2567,9269,2171,108,มะเขือเปราะ,6343
310,2567,553,1785,109,ผักกวางตุ้ง,486
2533,2567,9518,3757,110,กระหล่ำปลี,3200
2686,2568,6389.1,2378.67,111,กะหล่ำปลี,3566
4994.5,2568,7001.07,1401.76,112,พริกขี้หนูเม็ดใหญ่,5019.5
850,2568,3347.3,3938,113,กะหล่ำดอก,1333
991.75,2568,806.551,813.26,114,หน่อไม้ฝรั่ง,998.75
2615,2568,4742.316,1813.51,115,มะเขือเปราะ,3085
419,2568,667.3,1592.6,116,ผักกวางตุ้ง,650
1209,2568,2703.33609,2236.01,117,หอมแดง,1209
1229,2568,873.2,710.5,118,ซาโยเต้ (ฟักแม้ว),1229
597.5,2568,679.64,1137.47,119,ขิง,1186.5
