ค่าของข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
0,สำนักงานขนส่งจังหวัดชุมพร,12,2562,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
393,สำนักงานขนส่งจังหวัดชุมพร,13,2563,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
153,สำนักงานขนส่งจังหวัดชุมพร,14,2563,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
24,สำนักงานขนส่งจังหวัดชุมพร,15,2563,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"2,137",สำนักงานขนส่งจังหวัดชุมพร,16,2563,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"5,258",สำนักงานขนส่งจังหวัดชุมพร,17,2563,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,18,2563,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
367,สำนักงานขนส่งจังหวัดชุมพร,19,2564,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
137,สำนักงานขนส่งจังหวัดชุมพร,20,2564,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
25,สำนักงานขนส่งจังหวัดชุมพร,21,2564,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"2,333",สำนักงานขนส่งจังหวัดชุมพร,22,2564,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"5,337",สำนักงานขนส่งจังหวัดชุมพร,23,2564,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,24,2564,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
356,สำนักงานขนส่งจังหวัดชุมพร,25,2565,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
113,สำนักงานขนส่งจังหวัดชุมพร,26,2565,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
27,สำนักงานขนส่งจังหวัดชุมพร,27,2565,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"2,515",สำนักงานขนส่งจังหวัดชุมพร,28,2565,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"5,295",สำนักงานขนส่งจังหวัดชุมพร,29,2565,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,30,2565,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
332,สำนักงานขนส่งจังหวัดชุมพร,31,2566,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
126,สำนักงานขนส่งจังหวัดชุมพร,32,2566,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
31,สำนักงานขนส่งจังหวัดชุมพร,33,2566,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"2,735",สำนักงานขนส่งจังหวัดชุมพร,34,2566,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"5,106",สำนักงานขนส่งจังหวัดชุมพร,35,2566,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
3,สำนักงานขนส่งจังหวัดชุมพร,36,2566,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
318,สำนักงานขนส่งจังหวัดชุมพร,37,2567,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
120,สำนักงานขนส่งจังหวัดชุมพร,38,2567,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
31,สำนักงานขนส่งจังหวัดชุมพร,39,2567,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"2,908",สำนักงานขนส่งจังหวัดชุมพร,40,2567,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"4,866",สำนักงานขนส่งจังหวัดชุมพร,41,2567,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
3,สำนักงานขนส่งจังหวัดชุมพร,42,2567,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
