ที่มา,ประเภทข้าว,_id,ปี,เก็บเกี่ยว,เพาะปลูก,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,72,2565,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,73,2565,"12,930","12,930",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,74,2565,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,75,2565,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,76,2565,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,77,2565,"3,969","3,969",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,78,2565,0,0,รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,79,2565,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,80,2565,0,0,บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,81,2565,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,82,2565,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,83,2565,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,84,2565,0,0,บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,85,2566,"15,428","15,428",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,86,2566,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,87,2566,"12,628","12,628",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,88,2566,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,89,2566,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,90,2566,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,91,2566,"2,800","2,800",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,92,2566,"15,428","15,428",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,93,2566,0,0,อำเภอเมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,94,2566,"12,628","12,628",อำเภอบางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,95,2566,0,0,อำเภอบางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,96,2566,0,0,อำเภอพระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,97,2566,0,0,อำเภอพระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,98,2566,"2,800","2,800",อำเภอบางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,99,2566,0,0,รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,100,2566,0,0,อำเภอเมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,101,2566,0,0,อำเภอบางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,102,2566,0,0,อำเภอบางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,103,2566,0,0,อำเภอพระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,104,2566,0,0,อำเภอพระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,105,2566,0,0,อำเภอบางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,106,2567,"13,397","13,397",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,107,2567,0,0,เมืองสมุทรปราการ,ไร่
