จำนวน,_id,ปี,ชนิดไม้ผลและไม้ยืนต้น,รายการ
225.234,31,2565,ยางพารา,ผลผลิต (ตัน)
129,32,2565,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2216,33,2565,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
0,34,2565,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
0,35,2565,ยูคาลิปตัส,ผลผลิต (ตัน)
0,36,2565,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
3032.25,37,2565,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
2622.25,38,2565,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
7604.525,39,2565,ผักหวานป่า,ผลผลิต (ตัน)
2900,40,2565,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
6387.5,41,2566,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
5887.5,42,2566,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
14143.76,43,2566,กล้วยหอม,ผลผลิต (ตัน)
2214.29,44,2566,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1730.83,45,2566,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
1435.83,46,2566,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
2483.12,47,2566,กล้วยน้ำว้า,ผลผลิต (ตัน)
1434.64,48,2566,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2316.75,49,2566,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
2302.75,50,2566,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
1646.47,51,2566,น้อยหน่า,ผลผลิต (ตัน)
710.68,52,2566,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7322,53,2566,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
5140,54,2566,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
3053.16,55,2566,มะม่วง,ผลผลิต (ตัน)
594,56,2566,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
352.25,57,2566,มะขาม,เนื้อที่เพาะปลูก (ไร่)
229,58,2566,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
178.62,59,2566,มะขาม,ผลผลิต (ตัน)
507.08,60,2566,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
572,61,2566,องุ่น,เนื้อที่เพาะปลูก (ไร่)
383,62,2566,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
445,63,2566,องุ่น,ผลผลิต (ตัน)
777.97,64,2566,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5792.25,65,2566,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
4012.75,66,2566,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
12379.33,67,2566,ปาล์มน้ำมัน,ผลผลิต (ตัน)
2137.22,68,2566,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1122.25,69,2566,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
572.25,70,2566,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
78.01,71,2566,ยางพารา,ผลผลิต (ตัน)
69.51,72,2566,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2546,73,2566,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
344,74,2566,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
1499.84,75,2566,ยูคาลิปตัส,ผลผลิต (ตัน)
589.1,76,2566,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2369,77,2566,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
2139,78,2566,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
1029.86,79,2566,ผักหวานป่า,ผลผลิต (ตัน)
434.72,80,2566,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
