เดือน,_id,ปี,ค่า,รายการหลัก,รายการรอง,หน่วย
มิถุนายน,48,2568,74271,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,คน
มกราคม,49,2568,73735,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,คน
กุมภาพันธ์,50,2568,73735,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,คน
มีนาคม,51,2568,73735,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,คน
เมษายน,52,2568,73735,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,คน
พฤษภาคม,53,2568,71227,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,คน
มิถุนายน,54,2568,71227,ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,คน
มกราคม,55,2568,111440,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
กุมภาพันธ์,56,2568,111440,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
มีนาคม,57,2568,111440,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
เมษายน,58,2568,111440,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
พฤษภาคม,59,2568,119013,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
มิถุนายน,60,2568,119013,ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
มกราคม,61,2568,10360,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
กุมภาพันธ์,62,2568,10360,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
มีนาคม,63,2568,10360,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
เมษายน,64,2568,10360,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
พฤษภาคม,65,2568,12285,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
มิถุนายน,66,2568,12285,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
มกราคม,67,2568,45255,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,คน
กุมภาพันธ์,68,2568,45255,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,คน
มีนาคม,69,2568,45255,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,คน
เมษายน,70,2568,45255,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,คน
พฤษภาคม,71,2568,54436,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,คน
มิถุนายน,72,2568,54436,ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,คน
มกราคม,73,2568,374079,แรงงานนอกระบบ,แรงงานนอกระบบ,คน
กุมภาพันธ์,74,2568,374079,แรงงานนอกระบบ,แรงงานนอกระบบ,คน
มีนาคม,75,2568,374079,แรงงานนอกระบบ,แรงงานนอกระบบ,คน
เมษายน,76,2568,374079,แรงงานนอกระบบ,แรงงานนอกระบบ,คน
พฤษภาคม,77,2568,374079,แรงงานนอกระบบ,แรงงานนอกระบบ,คน
มิถุนายน,78,2568,374079,แรงงานนอกระบบ,แรงงานนอกระบบ,คน
มกราคม,79,2568,250529,แรงงานนอกระบบ,ในภาคการเกษตร,คน
กุมภาพันธ์,80,2568,250529,แรงงานนอกระบบ,ในภาคการเกษตร,คน
มีนาคม,81,2568,250529,แรงงานนอกระบบ,ในภาคการเกษตร,คน
เมษายน,82,2568,250529,แรงงานนอกระบบ,ในภาคการเกษตร,คน
พฤษภาคม,83,2568,250529,แรงงานนอกระบบ,ในภาคการเกษตร,คน
มิถุนายน,84,2568,250529,แรงงานนอกระบบ,ในภาคการเกษตร,คน
มกราคม,85,2568,123550,แรงงานนอกระบบ,นอกภาคการเกษตร,คน
กุมภาพันธ์,86,2568,123550,แรงงานนอกระบบ,นอกภาคการเกษตร,คน
มีนาคม,87,2568,123550,แรงงานนอกระบบ,นอกภาคการเกษตร,คน
เมษายน,88,2568,123550,แรงงานนอกระบบ,นอกภาคการเกษตร,คน
พฤษภาคม,89,2568,123550,แรงงานนอกระบบ,นอกภาคการเกษตร,คน
มิถุนายน,90,2568,123550,แรงงานนอกระบบ,นอกภาคการเกษตร,คน
