ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
2952,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
627.05,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
1480,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,การทำน้ำดื่ม,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
4,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,โรงงานถักผ้า ผ้าลูกไม้ หรือเครื่องนุ่งห่มด้วยด้ายหรือเส้นใย หรือฟอกย้อมสี หรือแต่งสำเร็จผ้า,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
122,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,การผลิตเชือก,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
140,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,การผลิต ประกอบ หรือซ่อมแซมตาข่าย แห หรืออวน และรวมถึงชิ้นส่วนอุปกรณ์ของผลิตภัณฑ์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
33,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การทำแผ่นเส้นใยที่แช่หรือฉาบผิวหน้าด้วยวัสดุซึ่งมิใช่ยาง,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
73,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,19,2566,การทำวัสดุจากเส้นใยสำหรับใช้ทำเบาะ นวม หรือสิ่งที่คล้ายคลึงกัน,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
40.34,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,20,2566,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย ปลอกแขน ถุงมือ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
1.23,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,21,2566,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
97.07,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,22,2566,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
59.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,23,2566,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
6.97,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,24,2566,การเผาถ่านจากไม้,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
0.8,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,25,2566,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
76.16,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,26,2566,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
178,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,27,2566,การผลิตวัตถุที่รับรองไว้ในตำรายาที่รัฐมนตรีว่าการกระทรวงสาธารณสุขประกาศ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
319.96,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,28,2566,การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
133.7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,29,2566,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
18.65,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,30,2566,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
3.9,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,31,2566,การล้าง บด หรือย่อยพลาสติก,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
23.9,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,32,2566,โรงงานผลิตแก้ว เส้นใยแก้ว หรือผลิตภัณฑ์แก้ว,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
7.86,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,33,2566,โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
1012.62,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,34,2566,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
61.25,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,35,2566,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
37,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,36,2566,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
17.3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,37,2566,การทำผลิตภัณฑ์ด้วยวิธีปั๊มหรือกระแทก,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
0.6,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,38,2566,การอัดเศษโลหะ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,39,2566,การตัด พับ หรือม้วนโลหะ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
10.52,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,40,2566,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
11.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,41,2566,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรมหรือการเลี้ยงสัตว์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
52.88,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,42,2566,โรงงานผลิต ประกอบหรือดัดแปลง เครื่องมือหรือเครื่องใช้ไฟฟ้าที่ไม่ได้ระบุไว้ในลำดับใด และส่วนประกอบ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
41.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,43,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
36,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,44,2566,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
40,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,45,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพจักรยานยนต์ จักรยานสามล้อ หรือจักรยาน,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
219.2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,46,2566,การผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
21.99,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,47,2566,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
70.2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,48,2566,โรงงานผลิตก๊าซ ซึ่งมิใช่ก๊าซธรรมชาติ และโรงงานส่งหรือจำหน่ายก๊าซ แต่ไม่รวมถึงโรงงานส่งหรือจำหน่ายก๊าซที่เป็นน้ำมันเชื้อเพลิงตามกฎหมายว่าด้วยการควบคุมน้ำม้นเชื้อเพลิง,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
121.66,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,49,2566,โรงงานห้องเย็น,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
808.13,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,50,2566,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
19,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,51,2566,การพ่นสีกันสนิมยานที่ขับเคลื่อนด้วยเครื่องยนต์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
42.95,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,52,2566,โรงงานซักรีด ซักแห้ง ซักฟอก รีด อัด หรือย้อมผ้า หรือนุ่งห่ม พรม หรือขนสัตว์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
145.51,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,53,2566,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
2.77,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,54,2566,การทำเกลือสินเธาว์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
29,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,55,2566,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
9,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,56,2566,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
