เดือน,จำนวน,เจ้าของข้อมูล,_id,ปี,รายการ,หน่วย
มิ.ย.,510417,สำนักงานแรงงานจังหวัดสุรินทร์,18,2568,อยู่ในกำลังแรงงาน,คน
ม.ค.,524680,สำนักงานแรงงานจังหวัดสุรินทร์,19,2568,ผู้มีงานทำ,คน
ก.พ.,524680,สำนักงานแรงงานจังหวัดสุรินทร์,20,2568,ผู้มีงานทำ,คน
มี.ค.,524680,สำนักงานแรงงานจังหวัดสุรินทร์,21,2568,ผู้มีงานทำ,คน
เม.ย.,524680,สำนักงานแรงงานจังหวัดสุรินทร์,22,2568,ผู้มีงานทำ,คน
พ.ค.,480747,สำนักงานแรงงานจังหวัดสุรินทร์,23,2568,ผู้มีงานทำ,คน
มิ.ย.,480747,สำนักงานแรงงานจังหวัดสุรินทร์,24,2568,ผู้มีงานทำ,คน
ม.ค.,4757,สำนักงานแรงงานจังหวัดสุรินทร์,25,2568,ผู้ว่างงาน,คน
ก.พ.,4757,สำนักงานแรงงานจังหวัดสุรินทร์,26,2568,ผู้ว่างงาน,คน
มี.ค.,4757,สำนักงานแรงงานจังหวัดสุรินทร์,27,2568,ผู้ว่างงาน,คน
เม.ย.,4757,สำนักงานแรงงานจังหวัดสุรินทร์,28,2568,ผู้ว่างงาน,คน
พ.ค.,1717,สำนักงานแรงงานจังหวัดสุรินทร์,29,2568,ผู้ว่างงาน,คน
มิ.ย.,1717,สำนักงานแรงงานจังหวัดสุรินทร์,30,2568,ผู้ว่างงาน,คน
ม.ค.,1622,สำนักงานแรงงานจังหวัดสุรินทร์,31,2568,ผู้รอฤดูกาล,คน
ก.พ.,1622,สำนักงานแรงงานจังหวัดสุรินทร์,32,2568,ผู้รอฤดูกาล,คน
มี.ค.,1622,สำนักงานแรงงานจังหวัดสุรินทร์,33,2568,ผู้รอฤดูกาล,คน
เม.ย.,1622,สำนักงานแรงงานจังหวัดสุรินทร์,34,2568,ผู้รอฤดูกาล,คน
พ.ค.,27953,สำนักงานแรงงานจังหวัดสุรินทร์,35,2568,ผู้รอฤดูกาล,คน
มิ.ย.,27953,สำนักงานแรงงานจังหวัดสุรินทร์,36,2568,ผู้รอฤดูกาล,คน
ม.ค.,311879,สำนักงานแรงงานจังหวัดสุรินทร์,37,2568,ผู้ไม่อยู่ในกำลังแรงงาน,คน
ก.พ.,311879,สำนักงานแรงงานจังหวัดสุรินทร์,38,2568,ผู้ไม่อยู่ในกำลังแรงงาน,คน
มี.ค.,311879,สำนักงานแรงงานจังหวัดสุรินทร์,39,2568,ผู้ไม่อยู่ในกำลังแรงงาน,คน
เม.ย.,311879,สำนักงานแรงงานจังหวัดสุรินทร์,40,2568,ผู้ไม่อยู่ในกำลังแรงงาน,คน
พ.ค.,331232,สำนักงานแรงงานจังหวัดสุรินทร์,41,2568,ผู้ไม่อยู่ในกำลังแรงงาน,คน
มิ.ย.,331232,สำนักงานแรงงานจังหวัดสุรินทร์,42,2568,ผู้ไม่อยู่ในกำลังแรงงาน,คน
ม.ค.,71089,สำนักงานแรงงานจังหวัดสุรินทร์,43,2568,ทำงานบ้าน,คน
ก.พ.,71089,สำนักงานแรงงานจังหวัดสุรินทร์,44,2568,ทำงานบ้าน,คน
มี.ค.,71089,สำนักงานแรงงานจังหวัดสุรินทร์,45,2568,ทำงานบ้าน,คน
เม.ย.,71089,สำนักงานแรงงานจังหวัดสุรินทร์,46,2568,ทำงานบ้าน,คน
พ.ค.,74271,สำนักงานแรงงานจังหวัดสุรินทร์,47,2568,ทำงานบ้าน,คน
มิ.ย.,74271,สำนักงานแรงงานจังหวัดสุรินทร์,48,2568,ทำงานบ้าน,คน
ม.ค.,73735,สำนักงานแรงงานจังหวัดสุรินทร์,49,2568,เรียนหนังสือ,คน
ก.พ.,73735,สำนักงานแรงงานจังหวัดสุรินทร์,50,2568,เรียนหนังสือ,คน
มี.ค.,73735,สำนักงานแรงงานจังหวัดสุรินทร์,51,2568,เรียนหนังสือ,คน
เม.ย.,73735,สำนักงานแรงงานจังหวัดสุรินทร์,52,2568,เรียนหนังสือ,คน
พ.ค.,71227,สำนักงานแรงงานจังหวัดสุรินทร์,53,2568,เรียนหนังสือ,คน
มิ.ย.,71227,สำนักงานแรงงานจังหวัดสุรินทร์,54,2568,เรียนหนังสือ,คน
ม.ค.,111440,สำนักงานแรงงานจังหวัดสุรินทร์,55,2568,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
ก.พ.,111440,สำนักงานแรงงานจังหวัดสุรินทร์,56,2568,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
มี.ค.,111440,สำนักงานแรงงานจังหวัดสุรินทร์,57,2568,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
เม.ย.,111440,สำนักงานแรงงานจังหวัดสุรินทร์,58,2568,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
พ.ค.,119013,สำนักงานแรงงานจังหวัดสุรินทร์,59,2568,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
มิ.ย.,119013,สำนักงานแรงงานจังหวัดสุรินทร์,60,2568,เด็ก คนชรา คนที่ไม่สามารถทำงานได้,คน
ม.ค.,10360,สำนักงานแรงงานจังหวัดสุรินทร์,61,2568,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
ก.พ.,10360,สำนักงานแรงงานจังหวัดสุรินทร์,62,2568,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
มี.ค.,10360,สำนักงานแรงงานจังหวัดสุรินทร์,63,2568,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
เม.ย.,10360,สำนักงานแรงงานจังหวัดสุรินทร์,64,2568,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
พ.ค.,12285,สำนักงานแรงงานจังหวัดสุรินทร์,65,2568,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
มิ.ย.,12285,สำนักงานแรงงานจังหวัดสุรินทร์,66,2568,ผู้ดูแลเด็ก ผู้สูงอายุ ผู้พิการ,คน
ม.ค.,45255,สำนักงานแรงงานจังหวัดสุรินทร์,67,2568,อื่นๆ,คน
ก.พ.,45255,สำนักงานแรงงานจังหวัดสุรินทร์,68,2568,อื่นๆ,คน
มี.ค.,45255,สำนักงานแรงงานจังหวัดสุรินทร์,69,2568,อื่นๆ,คน
เม.ย.,45255,สำนักงานแรงงานจังหวัดสุรินทร์,70,2568,อื่นๆ,คน
พ.ค.,54436,สำนักงานแรงงานจังหวัดสุรินทร์,71,2568,อื่นๆ,คน
มิ.ย.,54436,สำนักงานแรงงานจังหวัดสุรินทร์,72,2568,อื่นๆ,คน
ม.ค.,374079,สำนักงานแรงงานจังหวัดสุรินทร์,73,2568,แรงงานนอกระบบ,คน
ก.พ.,374079,สำนักงานแรงงานจังหวัดสุรินทร์,74,2568,แรงงานนอกระบบ,คน
มี.ค.,374079,สำนักงานแรงงานจังหวัดสุรินทร์,75,2568,แรงงานนอกระบบ,คน
เม.ย.,374079,สำนักงานแรงงานจังหวัดสุรินทร์,76,2568,แรงงานนอกระบบ,คน
พ.ค.,374079,สำนักงานแรงงานจังหวัดสุรินทร์,77,2568,แรงงานนอกระบบ,คน
มิ.ย.,374079,สำนักงานแรงงานจังหวัดสุรินทร์,78,2568,แรงงานนอกระบบ,คน
ม.ค.,250529,สำนักงานแรงงานจังหวัดสุรินทร์,79,2568,ในภาคการเกษตร,คน
ก.พ.,250529,สำนักงานแรงงานจังหวัดสุรินทร์,80,2568,ในภาคการเกษตร,คน
มี.ค.,250529,สำนักงานแรงงานจังหวัดสุรินทร์,81,2568,ในภาคการเกษตร,คน
เม.ย.,250529,สำนักงานแรงงานจังหวัดสุรินทร์,82,2568,ในภาคการเกษตร,คน
พ.ค.,250529,สำนักงานแรงงานจังหวัดสุรินทร์,83,2568,ในภาคการเกษตร,คน
มิ.ย.,250529,สำนักงานแรงงานจังหวัดสุรินทร์,84,2568,ในภาคการเกษตร,คน
ม.ค.,123550,สำนักงานแรงงานจังหวัดสุรินทร์,85,2568,นอกภาคการเกษตร,คน
ก.พ.,123550,สำนักงานแรงงานจังหวัดสุรินทร์,86,2568,นอกภาคการเกษตร,คน
มี.ค.,123550,สำนักงานแรงงานจังหวัดสุรินทร์,87,2568,นอกภาคการเกษตร,คน
เม.ย.,123550,สำนักงานแรงงานจังหวัดสุรินทร์,88,2568,นอกภาคการเกษตร,คน
พ.ค.,123550,สำนักงานแรงงานจังหวัดสุรินทร์,89,2568,นอกภาคการเกษตร,คน
มิ.ย.,123550,สำนักงานแรงงานจังหวัดสุรินทร์,90,2568,นอกภาคการเกษตร,คน
