_id,ปี,จำนวน,อำเภอ,หน่วย,ชนิดพืช
47,2565,5077,บ้านแพ้ว, ไร่ ,มะม่วง
48,2565,6532,บ้านแพ้ว, ไร่ ,มะนาว
49,2565,5937,บ้านแพ้ว, ไร่ ,ฝรั่ง
50,2565,4409,บ้านแพ้ว, ไร่ ,ลำไย
51,2565,593,บ้านแพ้ว, ไร่ ,ชมพู่
52,2565,818,บ้านแพ้ว, ไร่ ,กล้วยน้ำว้า
53,2565,139,บ้านแพ้ว, ไร่ ,มะขามเทศ
54,2565,462,บ้านแพ้ว, ไร่ ,แก้วมังกร
55,2565,67,บ้านแพ้ว, ไร่ ,พุทรา
56,2565,582,บ้านแพ้ว, ไร่ ,องุ่น
57,2565,1237.7,บ้านแพ้ว, ไร่ ,กล้วยไม้ 
58,2565,2718,บ้านแพ้ว, ไร่ ,พืชผัก 
59,2565,520,บ้านแพ้ว, ไร่ ,สมุนไพร
60,2565,152.5,บ้านแพ้ว, ไร่ ,ไม้ดอกอื่นๆ
61,2565,125.5,บ้านแพ้ว, ไร่ ,ไม้ประดับ
62,2565, -,บ้านแพ้ว, ไร่ ,นาเกลือ
63,2565,1249,บ้านแพ้ว, ไร่ ,พืชอื่นๆ
64,2566,107,เมืองสมุทรสาคร, ไร่ ,ข้าวนาปรัง 64/65
65,2566,107,เมืองสมุทรสาคร, ไร่ ,ข้าวนาปี 65/66
66,2566,1929,เมืองสมุทรสาคร, ไร่ ,มะพร้าวน้ำหอม
67,2566,350.73,เมืองสมุทรสาคร, ไร่ ,มะพร้าวแก่
68,2566,275.47,เมืองสมุทรสาคร, ไร่ ,มะม่วง
69,2566,20.51,เมืองสมุทรสาคร, ไร่ ,มะนาว
70,2566,287.37,เมืองสมุทรสาคร, ไร่ ,ฝรั่ง
71,2566,10,เมืองสมุทรสาคร, ไร่ ,ลำไย
72,2566,0,เมืองสมุทรสาคร, ไร่ ,ชมพู่
73,2566,199.49,เมืองสมุทรสาคร, ไร่ ,กล้วยน้ำว้า
74,2566,481,เมืองสมุทรสาคร, ไร่ ,มะขามเทศ
75,2566,0,เมืองสมุทรสาคร, ไร่ ,แก้วมังกร
76,2566,107.29,เมืองสมุทรสาคร, ไร่ ,พุทรา
77,2566,0,เมืองสมุทรสาคร, ไร่ ,องุ่น
78,2566,0,เมืองสมุทรสาคร, ไร่ ,กล้วยไม้ 
79,2566,62.75,เมืองสมุทรสาคร, ไร่ ,พืชผัก 
80,2566,13.48,เมืองสมุทรสาคร, ไร่ ,สมุนไพร
81,2566,26.9,เมืองสมุทรสาคร, ไร่ ,ไม้ดอกอื่นๆ
82,2566,17,เมืองสมุทรสาคร, ไร่ ,ไม้ประดับ
83,2566,18835,เมืองสมุทรสาคร, ไร่ ,นาเกลือ
84,2566,83,เมืองสมุทรสาคร, ไร่ ,พืชอื่นๆ
85,2566,2069.75,กระทุ่มแบน, ไร่ ,ข้าวนาปรัง 64/65
86,2566,2069.75,กระทุ่มแบน, ไร่ ,ข้าวนาปี 65/66
87,2566,3277,กระทุ่มแบน, ไร่ ,มะพร้าวน้ำหอม
88,2566,62,กระทุ่มแบน, ไร่ ,มะพร้าวแก่
89,2566,1726,กระทุ่มแบน, ไร่ ,มะม่วง
90,2566,381,กระทุ่มแบน, ไร่ ,มะนาว
91,2566,1165,กระทุ่มแบน, ไร่ ,ฝรั่ง
92,2566,160,กระทุ่มแบน, ไร่ ,ลำไย
93,2566,136,กระทุ่มแบน, ไร่ ,ชมพู่
94,2566,584,กระทุ่มแบน, ไร่ ,กล้วยน้ำว้า
95,2566,0,กระทุ่มแบน, ไร่ ,มะขามเทศ
96,2566,8.5,กระทุ่มแบน, ไร่ ,แก้วมังกร
97,2566,6,กระทุ่มแบน, ไร่ ,พุทรา
98,2566,0,กระทุ่มแบน, ไร่ ,องุ่น
99,2566,1824.25,กระทุ่มแบน, ไร่ ,กล้วยไม้ 
100,2566,672.5,กระทุ่มแบน, ไร่ ,พืชผัก 
101,2566,53.5,กระทุ่มแบน, ไร่ ,สมุนไพร
102,2566,720,กระทุ่มแบน, ไร่ ,ไม้ดอกอื่นๆ
103,2566,500,กระทุ่มแบน, ไร่ ,ไม้ประดับ
104,2566,0,กระทุ่มแบน, ไร่ ,นาเกลือ
105,2566,116.75,กระทุ่มแบน, ไร่ ,พืชอื่นๆ
106,2566,189.5,บ้านแพ้ว, ไร่ ,ข้าวนาปรัง 64/65
107,2566,1391.25,บ้านแพ้ว, ไร่ ,ข้าวนาปี 65/66
108,2566,41345,บ้านแพ้ว, ไร่ ,มะพร้าวน้ำหอม
109,2566,1006.75,บ้านแพ้ว, ไร่ ,มะพร้าวแก่
110,2566,5151,บ้านแพ้ว, ไร่ ,มะม่วง
111,2566,6429,บ้านแพ้ว, ไร่ ,มะนาว
112,2566,6229,บ้านแพ้ว, ไร่ ,ฝรั่ง
113,2566,3652,บ้านแพ้ว, ไร่ ,ลำไย
114,2566,572,บ้านแพ้ว, ไร่ ,ชมพู่
115,2566,798,บ้านแพ้ว, ไร่ ,กล้วยน้ำว้า
116,2566,124,บ้านแพ้ว, ไร่ ,มะขามเทศ
117,2566,387,บ้านแพ้ว, ไร่ ,แก้วมังกร
118,2566,55,บ้านแพ้ว, ไร่ ,พุทรา
119,2566,385,บ้านแพ้ว, ไร่ ,องุ่น
120,2566,1191,บ้านแพ้ว, ไร่ ,กล้วยไม้ 
121,2566,773,บ้านแพ้ว, ไร่ ,พืชผัก 
122,2566,470.5,บ้านแพ้ว, ไร่ ,สมุนไพร
123,2566,97,บ้านแพ้ว, ไร่ ,ไม้ดอกอื่นๆ
124,2566,148,บ้านแพ้ว, ไร่ ,ไม้ประดับ
125,2566,0,บ้านแพ้ว, ไร่ ,นาเกลือ
126,2566,3867,บ้านแพ้ว, ไร่ ,พืชอื่นๆ
127,2567,48,เมืองสมุทรสาคร, ไร่ ,ข้าวนาปรัง 65/66
128,2567,113.12,เมืองสมุทรสาคร, ไร่ ,ข้าวนาปี 66/67
129,2567,4173.68,เมืองสมุทรสาคร, ไร่ ,มะพร้าวน้ำหอม
130,2567,350.73,เมืองสมุทรสาคร, ไร่ ,มะพร้าวแก่
131,2567,275.47,เมืองสมุทรสาคร, ไร่ ,มะม่วง
132,2567,20.51,เมืองสมุทรสาคร, ไร่ ,มะนาว
133,2567,287.37,เมืองสมุทรสาคร, ไร่ ,ฝรั่ง
134,2567,11,เมืองสมุทรสาคร, ไร่ ,ลำไย
135,2567,0,เมืองสมุทรสาคร, ไร่ ,ชมพู่
136,2567,199.49,เมืองสมุทรสาคร, ไร่ ,กล้วยน้ำว้า
137,2567,481,เมืองสมุทรสาคร, ไร่ ,มะขามเทศ
138,2567,0,เมืองสมุทรสาคร, ไร่ ,แก้วมังกร
139,2567,105.28,เมืองสมุทรสาคร, ไร่ ,พุทรา
140,2567,0,เมืองสมุทรสาคร, ไร่ ,องุ่น
141,2567,0,เมืองสมุทรสาคร, ไร่ ,กล้วยไม้ 
142,2567,63,เมืองสมุทรสาคร, ไร่ ,พืชผัก 
143,2567,13.48,เมืองสมุทรสาคร, ไร่ ,สมุนไพร
144,2567,26.9,เมืองสมุทรสาคร, ไร่ ,ไม้ดอกอื่นๆ
145,2567,17,เมืองสมุทรสาคร, ไร่ ,ไม้ประดับ
146,2567,18810,เมืองสมุทรสาคร, ไร่ ,นาเกลือ
147,2567,83,เมืองสมุทรสาคร, ไร่ ,พืชอื่นๆ
148,2567,2055.75,กระทุ่มแบน, ไร่ ,ข้าวนาปรัง 65/66
149,2567,2055.75,กระทุ่มแบน, ไร่ ,ข้าวนาปี 66/67
150,2567,6286.25,กระทุ่มแบน, ไร่ ,มะพร้าวน้ำหอม
151,2567,61,กระทุ่มแบน, ไร่ ,มะพร้าวแก่
152,2567,1721.5,กระทุ่มแบน, ไร่ ,มะม่วง
153,2567,300,กระทุ่มแบน, ไร่ ,มะนาว
154,2567,1204.25,กระทุ่มแบน, ไร่ ,ฝรั่ง
155,2567,149.75,กระทุ่มแบน, ไร่ ,ลำไย
156,2567,137.5,กระทุ่มแบน, ไร่ ,ชมพู่
157,2567,584,กระทุ่มแบน, ไร่ ,กล้วยน้ำว้า
158,2567,0,กระทุ่มแบน, ไร่ ,มะขามเทศ
159,2567,0,กระทุ่มแบน, ไร่ ,แก้วมังกร
160,2567,6.25,กระทุ่มแบน, ไร่ ,พุทรา
161,2567,0.25,กระทุ่มแบน, ไร่ ,องุ่น
162,2567,1961,กระทุ่มแบน, ไร่ ,กล้วยไม้ 
163,2567,921.25,กระทุ่มแบน, ไร่ ,พืชผัก 
164,2567,53.5,กระทุ่มแบน, ไร่ ,สมุนไพร
165,2567,720,กระทุ่มแบน, ไร่ ,ไม้ดอกอื่นๆ
166,2567,597.25,กระทุ่มแบน, ไร่ ,ไม้ประดับ
167,2567,0,กระทุ่มแบน, ไร่ ,นาเกลือ
168,2567,103,กระทุ่มแบน, ไร่ ,พืชอื่นๆ
169,2567,304.25,บ้านแพ้ว, ไร่ ,ข้าวนาปรัง 65/66
170,2567,1222.5,บ้านแพ้ว, ไร่ ,ข้าวนาปี 66/67
171,2567,61271,บ้านแพ้ว, ไร่ ,มะพร้าวน้ำหอม
172,2567,758.75,บ้านแพ้ว, ไร่ ,มะพร้าวแก่
173,2567,5112,บ้านแพ้ว, ไร่ ,มะม่วง
174,2567,6102,บ้านแพ้ว, ไร่ ,มะนาว
175,2567,6205,บ้านแพ้ว, ไร่ ,ฝรั่ง
176,2567,3957,บ้านแพ้ว, ไร่ ,ลำไย
177,2567,565,บ้านแพ้ว, ไร่ ,ชมพู่
178,2567,760,บ้านแพ้ว, ไร่ ,กล้วยน้ำว้า
179,2567,123,บ้านแพ้ว, ไร่ ,มะขามเทศ
180,2567,387,บ้านแพ้ว, ไร่ ,แก้วมังกร
181,2567,52,บ้านแพ้ว, ไร่ ,พุทรา
182,2567,588,บ้านแพ้ว, ไร่ ,องุ่น
183,2567,1191,บ้านแพ้ว, ไร่ ,กล้วยไม้ 
184,2567,159.25,บ้านแพ้ว, ไร่ ,พืชผัก 
185,2567,439.25,บ้านแพ้ว, ไร่ ,สมุนไพร
186,2567,58,บ้านแพ้ว, ไร่ ,ไม้ดอกอื่นๆ
187,2567,366.25,บ้านแพ้ว, ไร่ ,ไม้ประดับ
188,2567,0,บ้านแพ้ว, ไร่ ,นาเกลือ
189,2567,1550,บ้านแพ้ว, ไร่ ,พืชอื่นๆ
