_id,ปี,แหล่งที่มา,เดือน,ประเภท,รถจดทะเบียนใหม่
22,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
23,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
24,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
25,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
26,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 8 รถยนต์รับจ้างสามล้อ,0
27,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 9 รถยนต์บริการธุรกิจ,0
28,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 10 รถยนต์บริการทัศนาจร,0
29,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 11 รถยนต์บริการให้เช่า,0
30,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 12 รถจักรยานยนต์,842
31,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 13 รถแทรกเตอร์,87
32,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 14 รถบดถนน,0
33,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 15 รถใช้งานเกษตรกรรม,0
34,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 16 รถพ่วง,0
35,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 17 รถจักรยานยนต์สาธารณะ,56
36,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
37,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,175
38,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,79
39,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,133
40,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
41,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
42,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
43,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
44,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 8 รถยนต์รับจ้างสามล้อ,1
45,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 9 รถยนต์บริการธุรกิจ,0
46,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 10 รถยนต์บริการทัศนาจร,0
47,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 11 รถยนต์บริการให้เช่า,0
48,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 12 รถจักรยานยนต์,957
49,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 13 รถแทรกเตอร์,110
50,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 14 รถบดถนน,0
51,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 15 รถใช้งานเกษตรกรรม,0
52,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 16 รถพ่วง,0
53,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 17 รถจักรยานยนต์สาธารณะ,64
54,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มีนาคม,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
55,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,133
56,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,93
57,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,80
58,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
59,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
60,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
61,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
62,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 8 รถยนต์รับจ้างสามล้อ,2
63,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 9 รถยนต์บริการธุรกิจ,0
64,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 10 รถยนต์บริการทัศนาจร,0
65,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 11 รถยนต์บริการให้เช่า,0
66,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 12 รถจักรยานยนต์,590
67,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 13 รถแทรกเตอร์,77
68,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 14 รถบดถนน,0
69,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 15 รถใช้งานเกษตรกรรม,0
70,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 16 รถพ่วง,0
71,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 17 รถจักรยานยนต์สาธารณะ,32
72,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,เมษายน,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
73,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,154
74,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,93
75,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,135
76,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
77,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
78,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
79,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
80,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 8 รถยนต์รับจ้างสามล้อ,1
81,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 9 รถยนต์บริการธุรกิจ,0
82,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 10 รถยนต์บริการทัศนาจร,0
83,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 11 รถยนต์บริการให้เช่า,0
84,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 12 รถจักรยานยนต์,816
85,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 13 รถแทรกเตอร์,98
86,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 14 รถบดถนน,0
87,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 15 รถใช้งานเกษตรกรรม,0
88,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 16 รถพ่วง,0
89,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 17 รถจักรยานยนต์สาธารณะ,30
90,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤษภาคม,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
91,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,156
92,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,76
93,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,111
94,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
95,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
96,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
97,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
98,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 8 รถยนต์รับจ้างสามล้อ,1
99,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 9 รถยนต์บริการธุรกิจ,0
100,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 10 รถยนต์บริการทัศนาจร,0
101,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 11 รถยนต์บริการให้เช่า,0
102,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 12 รถจักรยานยนต์,867
103,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 13 รถแทรกเตอร์,138
104,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 14 รถบดถนน,0
105,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 15 รถใช้งานเกษตรกรรม,0
106,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 16 รถพ่วง,0
107,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 17 รถจักรยานยนต์สาธารณะ,27
108,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มิถุนายน,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
109,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,124
110,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,97
111,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,88
112,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
113,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
114,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
115,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
116,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 8 รถยนต์รับจ้างสามล้อ,1
117,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 9 รถยนต์บริการธุรกิจ,0
118,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 10 รถยนต์บริการทัศนาจร,0
119,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 11 รถยนต์บริการให้เช่า,0
120,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 12 รถจักรยานยนต์,741
121,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 13 รถแทรกเตอร์,89
122,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 14 รถบดถนน,0
123,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 15 รถใช้งานเกษตรกรรม,0
124,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 16 รถพ่วง,0
125,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 17 รถจักรยานยนต์สาธารณะ,46
126,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กรกฎาคม,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
127,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,188
128,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,123
129,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,143
130,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
131,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
132,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
133,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
134,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 8 รถยนต์รับจ้างสามล้อ,3
135,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 9 รถยนต์บริการธุรกิจ,0
136,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 10 รถยนต์บริการทัศนาจร,0
137,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 11 รถยนต์บริการให้เช่า,0
138,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 12 รถจักรยานยนต์,884
139,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 13 รถแทรกเตอร์,89
140,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 14 รถบดถนน,0
141,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 15 รถใช้งานเกษตรกรรม,0
142,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 16 รถพ่วง,0
143,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 17 รถจักรยานยนต์สาธารณะ,35
144,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,สิงหาคม,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
145,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,184
146,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,103
147,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,114
148,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
149,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
150,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
151,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
152,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 8 รถยนต์รับจ้างสามล้อ,2
153,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 9 รถยนต์บริการธุรกิจ,0
154,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 10 รถยนต์บริการทัศนาจร,0
155,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 11 รถยนต์บริการให้เช่า,0
156,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 12 รถจักรยานยนต์,861
157,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 13 รถแทรกเตอร์,94
158,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 14 รถบดถนน,0
159,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 15 รถใช้งานเกษตรกรรม,0
160,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 16 รถพ่วง,0
161,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 17 รถจักรยานยนต์สาธารณะ,42
162,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กันยายน,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
163,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,168
164,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,94
165,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,117
166,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
167,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
168,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
169,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
170,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 8 รถยนต์รับจ้างสามล้อ,1
171,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 9 รถยนต์บริการธุรกิจ,0
172,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 10 รถยนต์บริการทัศนาจร,0
173,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 11 รถยนต์บริการให้เช่า,0
174,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 12 รถจักรยานยนต์,777
175,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 13 รถแทรกเตอร์,125
176,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 14 รถบดถนน,0
177,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 15 รถใช้งานเกษตรกรรม,0
178,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 16 รถพ่วง,0
179,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 17 รถจักรยานยนต์สาธารณะ,30
180,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ตุลาคม,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
181,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,174
182,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,98
183,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,115
184,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 4 รถยนต์สามล้อส่วนบุคคล,1
185,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
186,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
187,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
188,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 8 รถยนต์รับจ้างสามล้อ,9
189,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 9 รถยนต์บริการธุรกิจ,0
190,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 10 รถยนต์บริการทัศนาจร,0
191,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 11 รถยนต์บริการให้เช่า,0
192,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 12 รถจักรยานยนต์,777
193,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 13 รถแทรกเตอร์,113
194,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 14 รถบดถนน,0
195,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 15 รถใช้งานเกษตรกรรม,0
196,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 16 รถพ่วง,0
197,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 17 รถจักรยานยนต์สาธารณะ,39
198,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,พฤศจิกายน,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
199,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ธันวาคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,149
200,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ธันวาคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,50
201,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ธันวาคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,117
202,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,ธันวาคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
