จำนวน,_id,ปี,อำเภอ,หน่วยวัด
1,105,2565,พนม,แห่ง
2,106,2565,ท่าฉาง,แห่ง
1,107,2565,บ้านนาสาร,แห่ง
0,108,2565,บ้านนาเดิม,แห่ง
3,109,2565,เคียนซา,แห่ง
1,110,2565,เวียงสระ,แห่ง
1,111,2565,พระแสง,แห่ง
1,112,2565,พุนพิน,แห่ง
2,113,2565,ชัยบุรี,แห่ง
1,114,2565,วิภาวดี,แห่ง
0,115,2566,เมืองสุราษฎร์ธานี,แห่ง
0,116,2566,กาญจนดิษฐ์,แห่ง
1,117,2566,ดอนสัก,แห่ง
1,118,2566,เกาะสมุย,แห่ง
4,119,2566,เกาะพะงัน,แห่ง
1,120,2566,ไชยา,แห่ง
1,121,2566,ท่าชนะ,แห่ง
1,122,2566,คีรีรัฐนิคม,แห่ง
3,123,2566,บ้านตาขุน,แห่ง
1,124,2566,พนม,แห่ง
1,125,2566,ท่าฉาง,แห่ง
1,126,2566,บ้านนาสาร,แห่ง
0,127,2566,บ้านนาเดิม,แห่ง
3,128,2566,เคียนซา,แห่ง
1,129,2566,เวียงสระ,แห่ง
1,130,2566,พระแสง,แห่ง
1,131,2566,พุนพิน,แห่ง
2,132,2566,ชัยบุรี,แห่ง
0,133,2566,วิภาวดี,แห่ง
0,134,2567,เมืองสุราษฎร์ธานี,แห่ง
0,135,2567,กาญจนดิษฐ์,แห่ง
1,136,2567,ดอนสัก,แห่ง
1,137,2567,เกาะสมุย,แห่ง
4,138,2567,เกาะพะงัน,แห่ง
1,139,2567,ไชยา,แห่ง
1,140,2567,ท่าชนะ,แห่ง
1,141,2567,คีรีรัฐนิคม,แห่ง
2,142,2567,บ้านตาขุน,แห่ง
1,143,2567,พนม,แห่ง
0,144,2567,ท่าฉาง,แห่ง
1,145,2567,บ้านนาสาร,แห่ง
0,146,2567,บ้านนาเดิม,แห่ง
3,147,2567,เคียนซา,แห่ง
1,148,2567,เวียงสระ,แห่ง
1,149,2567,พระแสง,แห่ง
1,150,2567,พุนพิน,แห่ง
2,151,2567,ชัยบุรี,แห่ง
0,152,2567,วิภาวดี,แห่ง
