Group,SubGroup,_id,Year,Count,Status
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,39,2562,6607,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,40,2562,69090,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,41,2562,38506, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,42,2562,95730,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,43,2563,406348,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,44,2563,7870,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,45,2563,11833,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,46,2563,64308,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,47,2563,42046, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,48,2563,93159,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,49,2564,407917,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,50,2564,13654,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,51,2564,6153,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,52,2564,56674,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,53,2564,45076, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,54,2564,91977,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,55,2565,427438,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,56,2565,9977,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,57,2565,7486,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,58,2565,63175,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,59,2565,43401, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการ จนไม่สามารถทำงานได้,60,2565,96249,เด็ก/ชรา/ป่วย/พิการ จนไม่สามารถทำงานได้
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,61,2565,14574,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,62,2566,"435,860",ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,63,2566,"9,970",ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,64,2566,"3,836",ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,65,2566,"57,981",ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,66,2566,"50,103", เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการ จนไม่สามารถทำงานได้,67,2566,"92,424",เด็ก/ชรา/ป่วย/พิการ จนไม่สามารถทำงานได้
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,68,2566,"13,712",อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,69,2567," 435,628 ",ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,70,2567," 9,151 ",ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,71,2567," 2,739 ",ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,72,2567,49410.575,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,73,2567,49165.525, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,เด็ก/ชรา/ป่วย/พิการ จนไม่สามารถทำงานได้,74,2567,101609.995,เด็ก/ชรา/ป่วย/พิการ จนไม่สามารถทำงานได้
ผู้ไม่อยู่ในกำลังแรงงาน,ดูแลเด็ก/ผู้สูงอายุผู้ป่วย/ผู้พิการ,75,2567,7226.4975,ดูแลเด็ก/ผู้สูงอายุผู้ป่วย/ผู้พิการ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,76,2567,10948.1875,อื่นๆ
