AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
20-24 ปี,71.94,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,94,ชาย,ร้อยละ,ภาคเหนือ,2568
20-24 ปี,57.07,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,95,หญิง,ร้อยละ,ภาคเหนือ,2568
25-29 ปี,90.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,96,ชาย,ร้อยละ,ภาคเหนือ,2568
25-29 ปี,78.53,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,97,หญิง,ร้อยละ,ภาคเหนือ,2568
30-34 ปี,93.75,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,98,ชาย,ร้อยละ,ภาคเหนือ,2568
30-34 ปี,80.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,99,หญิง,ร้อยละ,ภาคเหนือ,2568
35-39 ปี,85.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,100,หญิง,ร้อยละ,ภาคเหนือ,2568
35-39 ปี,93.49,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,101,ชาย,ร้อยละ,ภาคเหนือ,2568
40-49 ปี,84.42,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,102,หญิง,ร้อยละ,ภาคเหนือ,2568
40-49 ปี,92.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,103,ชาย,ร้อยละ,ภาคเหนือ,2568
50-59 ปี,91.74,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,104,ชาย,ร้อยละ,ภาคเหนือ,2568
50-59 ปี,77.22,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,105,หญิง,ร้อยละ,ภาคเหนือ,2568
60 ปีขึ้นไป,54.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,106,ชาย,ร้อยละ,ภาคเหนือ,2568
60 ปีขึ้นไป,32.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,107,หญิง,ร้อยละ,ภาคเหนือ,2568
รวม,73.91,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,108,ชาย,ร้อยละ,ภาคเหนือ,2568
รวม,57.41,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,109,หญิง,ร้อยละ,ภาคเหนือ,2568
รวม,65.22,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,110,รวม,ร้อยละ,ภาคเหนือ,2568
15-19 ปี,16.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,111,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
15-19 ปี,11.75,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,112,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
20-24 ปี,58.16,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,113,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
20-24 ปี,66.13,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,114,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
25-29 ปี,94.32,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,115,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
25-29 ปี,91.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,116,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
30-34 ปี,89.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,117,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
30-34 ปี,97.28,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,118,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
35-39 ปี,96.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,119,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
35-39 ปี,88.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,120,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
40-49 ปี,97.26,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,121,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
40-49 ปี,86.04,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,122,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
50-59 ปี,72.47,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,123,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
50-59 ปี,91.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,124,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
60 ปีขึ้นไป,26.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,125,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
60 ปีขึ้นไป,36.46,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,126,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
รวม,67.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,127,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
รวม,80.18,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,128,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
รวม,73.24,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,129,รวม,ร้อยละ,กรุงเทพมหานคร,2568
รวม,67.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,130,รวม,ร้อยละ,ทั่วราชอาณาจักร,2568
15-19 ปี,11.24,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,131,หญิง,ร้อยละ,ภาคกลาง,2568
15-19 ปี,16.72,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,132,ชาย,ร้อยละ,ภาคกลาง,2568
20-24 ปี,74.08,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,133,ชาย,ร้อยละ,ภาคกลาง,2568
20-24 ปี,55.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,134,หญิง,ร้อยละ,ภาคกลาง,2568
25-29 ปี,88.94,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,135,หญิง,ร้อยละ,ภาคกลาง,2568
25-29 ปี,95.57,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,136,ชาย,ร้อยละ,ภาคกลาง,2568
30-34 ปี,90.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,137,หญิง,ร้อยละ,ภาคกลาง,2568
30-34 ปี,95.72,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,138,ชาย,ร้อยละ,ภาคกลาง,2568
35-39 ปี,96.74,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,139,ชาย,ร้อยละ,ภาคกลาง,2568
35-39 ปี,88.65,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,140,หญิง,ร้อยละ,ภาคกลาง,2568
40-49 ปี,96.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,141,ชาย,ร้อยละ,ภาคกลาง,2568
40-49 ปี,83.69,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,142,หญิง,ร้อยละ,ภาคกลาง,2568
50-59 ปี,89.36,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,143,ชาย,ร้อยละ,ภาคกลาง,2568
50-59 ปี,71.88,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,144,หญิง,ร้อยละ,ภาคกลาง,2568
60 ปีขึ้นไป,27.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,145,หญิง,ร้อยละ,ภาคกลาง,2568
60 ปีขึ้นไป,41.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,146,ชาย,ร้อยละ,ภาคกลาง,2568
รวม,78.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,147,ชาย,ร้อยละ,ภาคกลาง,2568
รวม,63.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,148,หญิง,ร้อยละ,ภาคกลาง,2568
รวม,70.34,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,149,รวม,ร้อยละ,ภาคกลาง,2568
15-19 ปี,18.39,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,150,ชาย,ร้อยละ,ภาคใต้,2568
15-19 ปี,9.98,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,151,หญิง,ร้อยละ,ภาคใต้,2568
20-24 ปี,73.49,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,152,ชาย,ร้อยละ,ภาคใต้,2568
20-24 ปี,54.49,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,153,หญิง,ร้อยละ,ภาคใต้,2568
25-29 ปี,96.01,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,154,ชาย,ร้อยละ,ภาคใต้,2568
25-29 ปี,77.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,155,หญิง,ร้อยละ,ภาคใต้,2568
30-34 ปี,96.24,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,156,ชาย,ร้อยละ,ภาคใต้,2568
30-34 ปี,77.13,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,157,หญิง,ร้อยละ,ภาคใต้,2568
35-39 ปี,80.28,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,158,หญิง,ร้อยละ,ภาคใต้,2568
35-39 ปี,96.64,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,159,ชาย,ร้อยละ,ภาคใต้,2568
40-49 ปี,79.74,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,160,หญิง,ร้อยละ,ภาคใต้,2568
40-49 ปี,96.31,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,161,ชาย,ร้อยละ,ภาคใต้,2568
50-59 ปี,93.01,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,162,ชาย,ร้อยละ,ภาคใต้,2568
50-59 ปี,76.22,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,163,หญิง,ร้อยละ,ภาคใต้,2568
