ประเภท,เนื้อที่สะสม,ภาค,รายละเอียด,_id,หน่วย,ปีเพาะปลูก,สภาพการเพาะปลูก,หมวดหมู่,จังหวัด,ลักษณะการใช้พื้นที่
นาปรัง,,เหนือ,เสียหาย,52,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,53,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,54,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,55,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,"โรค,แมลง "
นาปรัง,121786,เหนือ,เก็บเกี่ยว,56,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,57,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,เก็บเกี่ยว
พื้นที่คาดการณ์,1640,เหนือ,พื้นที่คาดการณ์,58,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,เชียงราย,พื้นที่คาดการณ์
พืชไร่,1609,เหนือ,ปลูก,59,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,เชียงราย,ปลูก 
พืชผัก,770,เหนือ,ปลูก,60,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,เชียงราย,ปลูก 
พื้นที่ชลประทาน,109675,เหนือ,พื้นที่ชลประทาน,61,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,พะเยา,พื้นที่ชลประทาน
พื้นที่คาดการณ์,11000,เหนือ,พื้นที่คาดการณ์,62,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,พื้นที่คาดการณ์
นาปรัง,11394,เหนือ,ปลูก,63,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,ปลูก
นาปรัง 2,,เหนือ,ปลูก,64,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,ปลูก
นาปรัง,,เหนือ,เสียหาย,65,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,66,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,67,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,68,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,69,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,70,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,"โรค,แมลง "
นาปรัง,11394,เหนือ,เก็บเกี่ยว,71,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,72,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,พะเยา,เก็บเกี่ยว
พื้นที่คาดการณ์,15000,เหนือ,พื้นที่คาดการณ์,73,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,พะเยา,พื้นที่คาดการณ์
พืชไร่,20,เหนือ,ปลูก,74,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,พะเยา,ปลูก 
พืชผัก,3013,เหนือ,ปลูก,75,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,พะเยา,ปลูก 
พื้นที่ชลประทาน,243067,เหนือ,พื้นที่ชลประทาน,76,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,ลำปาง,พื้นที่ชลประทาน
พื้นที่คาดการณ์,38266,เหนือ,พื้นที่คาดการณ์,77,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,พื้นที่คาดการณ์
นาปรัง,48074,เหนือ,ปลูก,78,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,ปลูก
นาปรัง 2,,เหนือ,ปลูก,79,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,ปลูก
นาปรัง,,เหนือ,เสียหาย,80,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,81,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,82,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,83,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,84,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,85,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,"โรค,แมลง "
นาปรัง,48074,เหนือ,เก็บเกี่ยว,86,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,87,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ลำปาง,เก็บเกี่ยว
พื้นที่คาดการณ์,18330,เหนือ,พื้นที่คาดการณ์,88,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,ลำปาง,พื้นที่คาดการณ์
พืชไร่,10149,เหนือ,ปลูก,89,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,ลำปาง,ปลูก 
พืชผัก,2607,เหนือ,ปลูก,90,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,ลำปาง,ปลูก 
พื้นที่ชลประทาน,292400,เหนือ,พื้นที่ชลประทาน,91,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,แพร่,พื้นที่ชลประทาน
พื้นที่คาดการณ์,17500,เหนือ,พื้นที่คาดการณ์,92,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,พื้นที่คาดการณ์
นาปรัง,39909,เหนือ,ปลูก,93,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,ปลูก
นาปรัง 2,,เหนือ,ปลูก,94,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,ปลูก
นาปรัง,,เหนือ,เสียหาย,95,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,96,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,97,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,98,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,99,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,100,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,"โรค,แมลง "
นาปรัง,39909,เหนือ,เก็บเกี่ยว,101,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,102,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แพร่,เก็บเกี่ยว
พื้นที่คาดการณ์,78900,เหนือ,พื้นที่คาดการณ์,103,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,แพร่,พื้นที่คาดการณ์
พืชไร่,77114,เหนือ,ปลูก,104,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,แพร่,ปลูก 
พืชผัก,155,เหนือ,ปลูก,105,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,แพร่,ปลูก 
พื้นที่ชลประทาน,70100,เหนือ,พื้นที่ชลประทาน,106,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,น่าน,พื้นที่ชลประทาน
พื้นที่คาดการณ์,2100,เหนือ,พื้นที่คาดการณ์,107,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,พื้นที่คาดการณ์
นาปรัง,2350,เหนือ,ปลูก,108,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,น่าน,ปลูก
