ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
ประดิษฐกรรมจากไม้ แผ่นพื้นที่ทำจากไม้ แผ่นกระดานไม้ เฟอร์นิเจอร์ไม้ ทำไม้พาเลท และบรรจุภัณฑ์ที่ทำจากไม้ เช่น หีบ กล่อง ลังไม้ ส่วนประกอบของลังไม้ แกนม้วนสายเคเบิ้ลที่ทำจากไม้,12,, 57.00 ,จ3-36(1)-13/67ชบ,20200204025672,22, 490.00 ,3601,บริษัท แอมเบอร์ วู้ด อินโนเวชั่น (ประเทศไทย) จำกัด,ท่าบุญมี,67,,เกาะจันทร์,โฉนดที่ดินเลขที่ 19201,ชลบุรี,บริษัท แอมเบอร์ วู้ด อินโนเวชั่น (ประเทศไทย) จำกัด,3, 160 ,20240
ทำแผ่นรองสินค้าจากไม้ (พาเลท) ลังไม้,1,เกาะโพธิ์-เกาะจันทร์, 2.80 ,จ3-36(1)-3/44ชบ,20200000325441,23, 98.50 ,3601,บริษัท ทองคำบรรจง จำกัด,ท่าบุญมี,44,เทศบาล 15,เกาะจันทร์,103/5,ชลบุรี,บริษัท ทองคำบรรจง จำกัด,3, 17 ,20240
ทำลัง ภาชนะรองรับสินค้าและเครื่องเรือนจากไม้,1,-, 4.30 ,จ3-36(1)-4/45ชบ,20200000425456,24, 93.00 ,3601,บริษัท เค.ที.คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,ท่าบุญมี,45,-,เกาะจันทร์,107,ชลบุรี,บริษัท เค.ที.คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,3, 24 ,20240
ทำเครื่องเรือนจากไม้ยางพารา,7,ฉะเชิงเทรา-สัตหีบ, 144.00 ,3-37-2/44ชบ,10200100225444,25," 2,145.64 ",3700,บริษัท เดคคา เอ็มเอฟจี (ประเทศไทย) จำกัด,ท่าบุญมี,44,,เกาะจันทร์,20/2,ชลบุรี,บริษัท เดคคา เอ็มเอฟจี (ประเทศไทย) จำกัด,3, 268 ,20240
ผลิตชิ้นส่วนละอุปกรณ์เฟอร์นิเจอร์จากไม้,4,ชลประทาน, 16.00 ,จ3-37-18/64ชบ,20200284025642,26, 417.30 ,3700,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,ท่าบุญมี,64,,เกาะจันทร์,66,ชลบุรี,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,3, 21 ,20240
ผลิตและจำหน่ายเฟอร์นิเจอร์,1,, 7.00 ,จ3-37-186/54ชบ,20200018625543,27, 148.50 ,3700,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด,ท่าบุญมี,54,,เกาะจันทร์,103/2,ชลบุรี,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด,3, 55 ,20240
ผลิตเฟอร์นิเจอร์,1,, 24.00 ,จ3-37-187/54ชบ,20200018725541,28, 298.25 ,3700,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด,ท่าบุญมี,54,,เกาะจันทร์,111/1,ชลบุรี,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด,3, 150 ,20240
ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ยางพาราแปรรูป รวมถึงชิ้นส่วนของผลิตภัณฑ์ดังกล่าว,8,สาย 331, 41.00 ,3-37-1/45ชบ,10200400125450,29," 2,113.40 ",3700,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด,ท่าบุญมี,45,บชร.1,เกาะจันทร์,99,ชลบุรี,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด,3, 569 ,20240
ผลิตสีทาหรือพ่นในโรงงานอุตสาหกรรมก่อสร้าง,7,ชลบุรี-ระยอง, 2.30 ,จ3-45(1)-2/41ชบ,20200100225418,30, 96.00 ,4501,บริษัท ยู.พี.เอ็น.อินดัสเทรียล เท็ค จำกัด,ท่าบุญมี,41,บ้านหนองงูเหลือม,เกาะจันทร์,345,ชลบุรี,บริษัท ยู.พี.เอ็น.อินดัสเทรียล เท็ค จำกัด,3, 7 ,20240
ผลิตยางแผ่น (Master Batch) และตัดแผ่นพื้นรองเท้า,8,, 68.00 ,3-52(4)-17/59ชบ,10200001725591,31, 182.70 ,5204,บริษัท คิว แอนด์ คิว โฮลดิ้ง จำกัด,ท่าบุญมี,59,,เกาะจันทร์,183/19,ชลบุรี,บริษัท คิว แอนด์ คิว โฮลดิ้ง จำกัด,3, 20 ,20240
ฉีดพลาสติกเป็นชิ้นส่วนอะไหล่ของกระเป๋าเดินทางและผลิตกระเป๋าเดินทาง,7,, 45.00 ,จ3-53(1)-41/64ชบ,20200430125643,32, 490.00 ,5301,บริษัท เห้อซัน ไทย อินเตอร์เนชั่นแนล จำกัด,ท่าบุญมี,64,,เกาะจันทร์,โฉนดที่ดินเลขที่ 12329,ชลบุรี,บริษัท เห้อซัน ไทย อินเตอร์เนชั่นแนล จำกัด,3, 30 ,20240
ผลิตชิ้นส่วนเรื่องใช้ไฟฟ้า และชิ้นส่วนรถยนต์พลาสติก,7,, 28.40 ,จ3-53(1)-20/56ชบ,20200002025569,33, 292.00 ,5301,บริษัท ไทย ชลเทค 009 จำกัด,ท่าบุญมี,56,,เกาะจันทร์,222/2,ชลบุรี,บริษัท ไทย ชลเทค 009 จำกัด,3, 20 ,20240
ทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,6,, 15.07 ,จ3-53(4)-49/60ชบ,20200004925600,34, 348.53 ,5304,บริษัท ไคบิ แพ็ก จำกัด,ท่าบุญมี,60,,เกาะจันทร์,88/8,ชลบุรี,บริษัท ไคบิ แพ็ก จำกัด,3, 290 ,20240
ผลิตภัณฑ์ถุงพลาสติก,4,-, 7.00 ,จ3-53(4)-23/55ชบ,20200002325555,35, 172.00 ,5304,บริษัท บารมี แพค จำกัด,ท่าบุญมี,55,-,เกาะจันทร์,534,ชลบุรี,บริษัท บารมี แพค จำกัด,3, 14 ,20240
ผลิตเม็ดพลาสติกเกรดบี และบดย่อยพลาสติก,4,เลียบคลองชลประทาน, 225.00 ,จ3-53(5)-52/57ชบ,20200005225570,36," 4,336.14 ",5305,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,ท่าบุญมี,57,,เกาะจันทร์,-,ชลบุรี,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,3, 20 ,20240
ทำเม็ดพลาสติกจากพลาสติกใช้แล้ว และบดย่อยพลาสติก,3,, 36.50 ,จ3-53(5)-32/58ชบ,20200103225589,37, 487.77 ,5305,บริษัท ชัยวัฒน์พลาสติก 2015 จำกัด,ท่าบุญมี,58,,เกาะจันทร์,99,ชลบุรี,บริษัท ชัยวัฒน์พลาสติก 2015 จำกัด,3, 38 ,20240
ผลิตถุงพลาสติก,7,, 7.00 ,จ3-53(5)-89/60ชบ,20200008925606,38, 141.40 ,5305,บริษัท ไอ แคน รีไซเคิล จำกัด,ท่าบุญมี,60,,เกาะจันทร์,391,ชลบุรี,บริษัท ไอ แคน รีไซเคิล จำกัด,3, 6 ,20240
ผลิตแผ่นพลาสติกและแผ่นพื้น SPC,7,," 1,505.00 ",3-53(5)-74/67ชบ,10200218125676,39," 11,552.25 ",5305,บริษัท ไวเทค ฟลอร์ จำกัด,ท่าบุญมี,67,,เกาะจันทร์,55/9,ชลบุรี,บริษัท ไวเทค ฟลอร์ จำกัด,3, 62 ,20240
ล้างและบดย่อยเศษพลาสติกและชิ้นส่วน,8,-, 253.20 ,จ3-53(9)-7/65ชบ,20200159925652,40, 495.12 ,5309,บริษัท วิสุทธิ์ พลาสติก จำกัด,ท่าบุญมี,65,-,เกาะจันทร์,183/19,ชลบุรี,บริษัท วิสุทธิ์ พลาสติก จำกัด,3, 48 ,20240
ผลิตหินเทียม เช่น หินแกรนิต,9,, 74.00 ,จ3-56-2/63ชบ,20200141425639,41," 8,400.84 ",5600,บริษัท ไท้เหม่ย สโตน จำกัด,ท่าบุญมี,63,,เกาะจันทร์,168,ชลบุรี,บริษัท ไท้เหม่ย สโตน จำกัด,3, 54 ,20240
ผลิตปูนพลาสเตอร์,7,, 75.00 ,3-57(1)-1/37ชบ,10200600125375,42," 3,401.60 ",5701,บริษัท คนอฟ ปลาสเตอร์ จำกัด,ท่าบุญมี,37,-,เกาะจันทร์,29,ชลบุรี,บริษัท คนอฟ ปลาสเตอร์ จำกัด,3, 89 ,20240
โรงงานทำผลิตภัณฑ์คอนกรีตผสม,1,, 5.12 ,จ3-58(1)-190/63ชบ,20200226625632,43, 252.50 ,5801,บริษัท อนันต์คอนกรีต 2019 จำกัด,เกาะจันทร์,63,,เกาะจันทร์,โฉนดที่ดินเลขที่ 5673,ชลบุรี,บริษัท อนันต์คอนกรีต 2019 จำกัด,3, 5 ,20240
"หลอมหล่อโลหะ เช่น เหล็ก , ทองแดง , ทองเหลือง และอลูมิเนียม",3,, 112.00 ,จ3-59-13/50ชบ,20200001325507,44, 236.00 ,5900,บริษัท เอเซียเวสต์ แมนเน็จเม้นท์ จำกัด,เกาะจันทร์,50,,เกาะจันทร์,นส3ก. เลขที่ 118,ชลบุรี,บริษัท เอเซียเวสต์ แมนเน็จเม้นท์ จำกัด,3, 25 ,20240
ทำเครื่องใช้ในห้องสมุดและสำนักงาน,7,สาย 331, 879.00 ,3-62-1/37ชบ,10200800125373,45," 4,467.50 ",6200,บริษัท เดอะแกรนด์ ยูบี จำกัด,ท่าบุญมี,37,,เกาะจันทร์,55/9,ชลบุรี,บริษัท เดอะแกรนด์ ยูบี จำกัด,3, 94 ,20240
ขึ้นรูปโลหะโดยวิธีปั้มและทำแม่พิมพ์ขึ้นรูปโลหะทุกชนิด,5,-, 37.00 ,จ3-64(2)-1/46ชบ,20202500125461,46, 371.82 ,6402,บริษัท ดี.บี.ไดมอนด์ (ประเทศไทย) จำกัด,ท่าบุญมี,46,-,เกาะจันทร์,364/1,ชลบุรี,บริษัท ดี.บี.ไดมอนด์ (ประเทศไทย) จำกัด,3, 30 ,20240
ผลิตผลิตภัณฑ์จากโลหะทองเหลือง สำหรับใช้ในการต่อท่อและประกอบเครื่องสุขภัณฑ์,4,ชลประทาน, 339.40 ,3-64(8)-2/44ชบ,10200200225443,47," 6,966.55 ",6408,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ท่าบุญมี,44,,เกาะจันทร์,62,ชลบุรี,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,3, 270 ,20240
ผลิตผลิตภัณฑ์จากโลหะ (ซิงส์) สำหรับใช้ในการต่อท่อและส่วนประกอบเครื่องสุขภัณฑ์,4,, 165.00 ,จ3-64(8)-1/46ชบ,20202700125469,48, 463.73 ,6408,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ท่าบุญมี,46,,เกาะจันทร์,60,ชลบุรี,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,3, 346 ,20240
ผลิตผลิตภัณฑ์จากโลหะทองเหลืองสำหรับใช้ในการต่อท่อและประกอบเครื่องสุขภัณฑ์,4,ชลประทาน, 300.00 ,ส3-64(8)-1/34ชบ,200500125345,49," 4,616.81 ",6408,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ท่าบุญมี,34,,เกาะจันทร์,64,ชลบุรี,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,3," 1,058 ",20240
ผลิตแม่พิมพ์เครื่องจักร ผลิตเครื่องจักร และชิ้นส่วนเครื่องจักร,8,, 25.00 ,จ3-67(7)-7/59ชบ,20200500725595,50, 273.00 ,6707,บริษัท ไทย หยวน แมชชิน (ไทยแลนด์) จำกัด,ท่าบุญมี,59,,เกาะจันทร์,98,ชลบุรี,บริษัท ไทย หยวน แมชชิน (ไทยแลนด์) จำกัด,3, 7 ,20240
ผลิตเครื่องดูดฝุ่นอุตสาหกรรม (BLOWER) และอุปกรณ์ระบบบำบัดมลพิษทางอากาศ,7,ทางหลวงหมายเลข 331, 24.00 ,จ3-70-10/50ชบ,20200101025502,51, 156.50 ,7000,บริษัท วินด์ ไรเดอร์ จำกัด,ท่าบุญมี,50,-,เกาะจันทร์,33/1,ชลบุรี,บริษัท วินด์ ไรเดอร์ จำกัด,3, 12 ,20240
สร้าง ประกอบ ดัดแปลงหรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง และชิ้นส่วนตกแต่งรถยนต์,5,, 110.00 ,จ3-77(1)-14/57ชบ,20200201425578,52, 80.37 ,7701,บริษัท เอ็ม.เอช.ซี (ไทยแลนด์) จำกัด,ท่าบุญมี,57,,เกาะจันทร์,129,ชลบุรี,บริษัท เอ็ม.เอช.ซี (ไทยแลนด์) จำกัด,3, 15 ,20240
ต่อตัวถังรถทุกชนิด ทำกะบะไม้ กะบะเหล็ก ถังเหล็กและหัวเก๋งสำหรับรถบรรทุกทุกชนิด,7,, 21.50 ,จ3-77(2)-11/55ชบ,20200501125555,53, 280.00 ,7702,บริษัท ซุ่นชัย อินดัสตรี้ จำกัด,ท่าบุญมี,55,,เกาะจันทร์,999,ชลบุรี,บริษัท ซุ่นชัย อินดัสตรี้ จำกัด,3, 30 ,20240
ผลิตชิ้นส่วนรถจักรยานยนต์,7,, 15.20 ,จ3-78(2)-4/57ชบ,20200600425575,54, 882.37 ,7802,บริษัท โซริทสึ (ไทยแลนด์) จำกัด,ท่าบุญมี,57,,เกาะจันทร์,49/1,ชลบุรี,บริษัท โซริทสึ (ไทยแลนด์) จำกัด,3, 30 ,20240
ผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ ขนาดกำลังการผลิต 119.60 kWp. เพื่อจำหน่ายกระแสไฟฟ้าให้กับ บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),8,, 5.18 ,3-88(1)-38/67ชบ,40200079225676,55, 294.20 ,8801,CPF SOLAR CELL PHASE 3 (ฟาร์มเกาะโพธิ์),ท่าบุญมี,67,,เกาะจันทร์,97,ชลบุรี,CPF SOLAR CELL PHASE 3 (ฟาร์มเกาะโพธิ์),3, 13 ,20240
ต้มกลั่นตัวทำละลายและเคมีภัณฑ์ที่ผ่านการใช้งานแล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่ แยกสลายสารประกอบโพลิเมอร์คืนสภาพเดิม ซ่อมและล้างถังบรรจุเคมีภัณฑ์อุปกรณ์จับยึดชิ้นงาน ต้มกลั่นน้ำมันเครื่องใช้แล้ว และรีไซเคิลสารเคมีที่ใช้แล้วจากห้องปฏิบัติการ (Lab Waste),7,เจริญโชคดี, 90.00 ,3-101-1/43ชบ,10200700125432,56," 2,822.60 ",10100,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,ท่าบุญมี,43,-,เกาะจันทร์,57,ชลบุรี,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,3, 187 ,20240
บำบัดน้ำเสียรวม,4,ชลประทาน, 12.00 ,3-101-1/48ชบ,10200400125484,57, 64.55 ,10100,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ท่าบุญมี,48,-,เกาะจันทร์,64,ชลบุรี,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,3, 6 ,20240
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,7,, 2.00 ,3-105-45/58ชบ,10200004525584,58, 67.60 ,10500,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ,ท่าบุญมี,58,,เกาะจันทร์,โฉนดที่ดินเลขที่ 6766,ชลบุรี,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ,3, 8 ,20240
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,ชลประทาน, 35.00 ,3-105-54/64ชบ,10200323625644,59, 490.00 ,10500,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,ท่าบุญมี,64,,เกาะจันทร์,66,ชลบุรี,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,3, 21 ,20240
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,-, 274.80 ,3-105-23/66ชบ,10200037425661,60, 667.00 ,10500,บริษัท วิสุทธิ์ พลาสติก จำกัด,ท่าบุญมี,66,-,เกาะจันทร์,โฉนดที่ดินเลขที่ 5969+,ชลบุรี,บริษัท วิสุทธิ์ พลาสติก จำกัด,3, 50 ,20240
ถอดแยกและบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ เครื่องใช้ไฟฟ้า ชิ้นส่วนแผงวงจรอิเล็กทรอนิกส์ บดย่อยเศษสายไฟที่ใช้แล้วเกี่ยวกับรถยนต์ และเศษสายไฟ และเก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพ,8,-, 269.80 ,3-106-19/66ชบ,10200097625663,61," 1,787.50 ",10600,บริษัท วิสุทธิ์ พลาสติก จำกัด,ท่าบุญมี,66,-,เกาะจันทร์,โฉนดที่ดินเลขที่ 5969,ชลบุรี,บริษัท วิสุทธิ์ พลาสติก จำกัด,3, 50 ,20240
ทำเชื้อเพลิงผสมจากเศษวัสดุปนเปื้อน เก็บรวบรวมของเสียจากห้องปฏิบัติการ (Lab Waste) เพื่อส่งกำจัด และรีไซเคิลกระป๋องสเปรย์,7,, 38.00 ,3-106-61/67ชบ,10200182325674,62, 248.00 ,10600,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,ท่าบุญมี,67,,เกาะจันทร์,"โฉนดที่ดินเลขที่ 7989, 7990",ชลบุรี,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,3, 26 ,20240
ผลิตน้ำมันเชื้อเพลิงจากยางรถยนต์ที่ไม่ใช้แล้ว,3,-, 8.20 ,3-106-16/53ชบ,10200001625536,63, 165.60 ,10600,บริษัท โปรมิลเลี่ยน กรีน เทคโนโลยี จำกัด,ท่าบุญมี,53,-,เกาะจันทร์,112,ชลบุรี,บริษัท โปรมิลเลี่ยน กรีน เทคโนโลยี จำกัด,3, 8 ,20240
ผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกันหรือการผสมผลิตภัณพ์จากปิโตรเลียมกับวัสดุอื่น,3,, 393.40 ,จ3-50(4)-13/51ชบ,20200101325514,64, 120.00 ,5004,บริษัท สยาม แทงค์ เทอร์มินัล จำกัด,ท่าเทววงษ์,51,,เกาะสีชัง,120,ชลบุรี,บริษัท สยาม แทงค์ เทอร์มินัล จำกัด,3, 30 ,20120
ขนถ่ายปูนซิเมนต์ผง,,, 40.00 ,3-57(2)-1/41ชบ,10200800125415,65," 1,913.00 ",5702,บริษัท เอสซีจี เจดับเบิ้ลยูดี โลจิสติกส์ จำกัด (มหาชน),ท่าเทววงษ์,41,,เกาะสีชัง,-,ชลบุรี,บริษัท เอสซีจี เจดับเบิ้ลยูดี โลจิสติกส์ จำกัด (มหาชน),3, 20 ,20120
ผลิตน้ำประปาจากน้ำทะเล,3,, 25.00 ,จ3-90-4/57ชบ,20200700425574,66, 100.00 ,9000,บริษัท ฟลูอิด ไซเคิล จำกัด,ท่าเทววงษ์,57,,เกาะสีชัง,198,ชลบุรี,บริษัท ฟลูอิด ไซเคิล จำกัด,3, 4 ,20120
